,LQGsigma,ReturnMin,IWMean,target_sum_log_mean,Bound,LQGmu01,TimestepsSoFar,LQGmu1,ReturnAbsMax,DenMISELogFirst,ReturnMean,MISE,DenMISELogLast,DenMISEMeanLog,IWMax,SqrtESSClassic,Iteration,IWNorm2,IWNorm1,ReturnStepMax,IWFirstEpisode,IWLastEpisode,TimeElapsed,ReturnMax,IWMin,ReturnLastEpisode,URet
0,0.11,,0.99336547,17.09536,62.47424,-0.01,20,-0.098,15.644507999999998,17.102016,15.644507999999998,15.540714000000001,17.102016,17.102016,0.99336547,1.0,1,0.99336547,0.99336547,0.99262077,0.99336547,0.99336547,0.3341782093048096,15.644507999999998,,15.644507999999998,17.332240856619553
1,0.11,,0.9951494000000001,13.756588,48.63243,-0.01,40,-0.099,15.644507999999998,17.098694000000002,15.518020000000002,15.443937,10.424294999999999,13.761495000000002,1.0045575,1.4141503999999998,2,1.4074167,1.9902987,0.9970642,1.0045575,0.98574126,13.11142086982727,15.644507999999998,,15.391531,17.064454941188142
2,0.11,,1.2961354999999999,12.719536,53.982338,-0.011,60,-0.109,15.896431,17.100212,15.644157,20.446856,10.5539,12.691215,2.563205,1.4220548000000002,3,2.7343577999999997,3.8884065000000003,0.9970642,0.78221285,2.563205,14.085968732833862,15.896431,,15.896431,17.604950384442393
3,0.11,,1.5083593000000002,13.355147,55.262875,-0.012,80,-0.12,15.896431,17.044226000000002,15.670831,23.848688,16.200870000000002,13.606770499999998,3.0953999,1.5180813999999998,4,3.974383,6.0334373,0.99740416,0.3218745,2.4674916000000002,14.789287328720093,15.896431,,15.750853,17.44781527365483
4,0.11,,0.97277147,13.923226999999999,43.083504,-0.013,100,-0.129,15.896431,16.898478,15.69565,15.388954,19.534204000000003,14.84725,2.0996141,1.7219738000000002,5,2.8245826000000003,4.863857299999999,0.99942493,0.09460349400000001,1.1282141,16.13708782196045,15.896431,,15.794926,17.500519156388258
5,0.11,,4.8044317e-08,-13.149231,48.103320000000004,-0.023,120,-0.228,16.138628,16.7349,15.769480999999999,7.753133699999999e-07,16.652437,15.136657999999999,2.8689738000000003e-07,1.0064977,6,2.87001e-07,2.8886586e-07,0.9997046999999999,9.720277e-18,2.8689738000000003e-07,17.536823511123654,16.138628,,16.138628,17.861954192220015
6,0.11,,0.91086155,-6.3650293,63.869987,-0.022,140,-0.218,16.33145,16.58075,15.849762,14.875689499999998,7.100917,13.856567000000002,6.3760242,1.0000011,7,6.3760242,6.376030999999999,0.9997046999999999,2.1488866000000003e-15,6.3760242,18.42990612983704,16.33145,,16.33145,18.07499477928013
7,0.11,,1.0065677,-2.1010572999999995,59.884655,-0.022,160,-0.213,16.898874,16.447218,15.9809,16.530037,14.045092000000002,13.844235000000001,6.7649064,1.1693476,8,6.886353999999999,8.052541999999999,0.99978995,3.5746837e-14,1.2875999,19.537915706634518,16.898874,,16.898874,18.667757692696078
8,0.11,,1.0391719000000001,1.822488,56.584503000000005,-0.021,180,-0.207,16.898874,16.329435,16.0753,17.102812,19.714333,14.476445000000002,7.0660005,1.2840539,9,7.28361,9.352547999999999,0.9999909,6.265935000000001e-13,1.6476021,20.49147343635559,16.898874,,16.830498000000002,18.59737974390764
9,0.11,,1.0258496,3.9130998,54.593019999999996,-0.02,200,-0.201,16.898874,16.224075,16.138662,16.879382999999997,8.8671665,13.902313000000001,7.3949003,1.3442516000000002,10,7.63138,10.258495,0.9999909,1.3741389999999999e-11,1.5652188999999999,21.551761627197266,16.898874,,16.708927,18.461751632087463
10,0.11,,1.0600568000000001,6.397056,53.661003,-0.019,220,-0.192,16.898874,16.128764999999998,16.193403,17.452269,14.915514000000002,13.982651999999998,7.96513,1.4001215,11,8.328294999999999,11.660624499999999,0.9999909,6.183667e-10,2.2072368,22.352283000946045,16.898874,,16.740797,18.504136722305635
11,0.11,,0.9805569,8.829257,53.032738,-0.018,240,-0.178,16.898874,16.041754,16.206457,16.063059,13.49066,13.933456,8.288034,1.3713027,12,8.58066,11.766683,0.9999909,2.3541179999999998e-07,1.9351463,23.20185947418213,16.898874,,16.350048,18.097025635307773
12,0.11,,0.72652304,9.243625999999999,43.262446999999995,-0.018,260,-0.176,16.898874,15.96171,16.246776999999998,11.932057,12.095823,13.7797,5.43485,1.6181292999999999,13,5.8368635,9.444799,0.9999909,5.168533e-07,0.9323549999999999,24.02467226982117,16.898874,,16.730629999999998,18.491578985927152
13,0.11,,1.040991,10.573766,48.694317,-0.016,280,-0.162,16.898874,15.887603,16.247142999999998,16.942348000000003,14.542822,13.8114805,8.288097,1.596645,14,9.127810499999999,14.573873,0.9999909,8.643562599999999e-05,8.288097,25.152719736099247,16.898874,,16.251888,17.98711026389837
14,0.11,,0.00012047911,-59.923405,50.683820000000004,-0.045,300,-0.419,16.898874,15.818616,16.257025,0.002035959,11.344806,13.641398,0.0018066589000000001,1.0002929,15,0.001806659,0.0018071881,0.9999909,,3.405762e-28,26.951504945755005,16.898874,,16.395388,18.137537646416195
15,0.11,,0.5215808,-72.575645,59.705162,-0.051,320,-0.468,16.954082,15.754076999999999,16.30059,8.842925,11.520468,13.448343,8.345291,1.0000002000000001,16,8.345291,8.345293,0.9999909,,8.345291,28.023906707763672,16.954082,,16.954082,18.72831380232997
16,0.11,,1.2508754,-54.38445,57.453453,-0.046,340,-0.429,17.056376,15.693453,16.345049,21.271793,12.693064,13.371548,10.694219,1.4142282,17,15.036386499999999,21.264881,0.9999909,,10.694219,29.55896806716919,17.056376,,17.056376,18.831087270577445
