,SqrtESSClassic,ReturnMean,IWMax,ReturnMax,LQGsigma,MISE,Bound,IWNorm1,DenMISEMeanLog,IWLastEpisode,IWFirstEpisode,DenMISELogLast,ReturnLastEpisode,IWMin,TimeElapsed,LQGmu1,ReturnAbsMax,LQGmu01,URet,Iteration,ReturnMin,DenMISELogFirst,ReturnStepMax,IWMean,IWNorm2,TimestepsSoFar,target_sum_log_mean
0,1.0,15.058442000000001,1.147175,15.058442000000001,0.11,17.274668,62.449996999999996,1.147175,18.60218,1.147175,1.147175,18.60218,15.058442000000001,,0.3903501033782959,-0.103,15.058442000000001,-0.01,16.687925283112616,1,,18.60218,0.9625284,1.147175,1.147175,20,18.739483
1,1.4142001,15.449816,1.1756636999999999,15.841189000000002,0.11,18.086647,51.691204,2.3410819,19.954407,1.1756636999999999,1.1654181000000001,21.235626,15.841189000000002,,11.586604833602905,-0.109,15.841189000000002,-0.011,17.539857673397375,2,,18.673187,0.9961013000000001,1.1705409,1.6554106,40,20.111862
2,1.7205939,15.619057000000002,1.1082341999999998,15.957538000000001,0.11,15.908131,43.731438,3.0611677000000004,20.508135,0.8536633,1.1082341999999998,21.505013,15.957538000000001,,12.18388557434082,-0.107,15.957538000000001,-0.011,17.670031687704057,3,,18.726860000000002,0.9978520000000001,1.0203891999999999,1.7791343000000002,60,20.5212
3,2.0,15.772325,2.995895e-25,16.232129999999998,0.11,1.2157438999999999e-24,24.348194,4e-10,20.038414000000003,2.995895e-25,,18.61531,16.232129999999998,,12.707417964935305,-0.32,16.232129999999998,-0.033,17.964744864537238,4,,18.75356,0.99989426,7.489737599999999e-26,2e-10,80,-62.529102
4,1.0,15.962473000000001,6.4993463,16.723064,0.11,21.737797,71.90699000000001,6.4993463,15.770207999999998,6.4993463,,-0.41004002,16.723064,,12.896133184432983,-0.311,16.723064,-0.032,18.489255550976342,5,,18.530414999999998,0.99989426,1.2998693000000001,6.4993463,100,-45.498756
5,1.2119447,16.133724,4.677366,16.98998,0.11,16.333658,58.389984,5.841703,15.775238,1.1643373,,15.87914,16.98998,,13.563348293304445,-0.296,16.98998,-0.03,18.7657514310803,6,,18.348093,0.99989426,0.97361714,4.820107,120,-29.047302000000002
6,1.0484502,16.247206,0.57325727,16.98998,0.11,1.4383781999999998,50.052933,0.6017292,16.14807,0.02761149,1.515509e-17,18.556245999999998,16.928106,,14.638065576553345,-0.223,16.98998,-0.023,18.701865698819823,7,,18.193943,0.99989426,0.08596132,0.5739225,140,-2.4144337000000005
7,1.3469023,16.30698,4.3273416,16.98998,0.11,13.171695000000001,51.01404,6.29786,15.422972,4.3273416,9.187621999999999e-23,11.1992235,16.725395000000002,,15.446561336517336,-0.243,16.98998,-0.025,18.48321938771182,8,,18.060411,0.99989426,0.7872325,4.675811,160,-4.4678062999999995
8,1.5254709,16.352287,5.2561812,16.98998,0.11,19.828468,53.241066000000004,10.671986,15.722151,4.5455760000000005,6.399148e-19,18.400614,16.714745999999998,,16.689064264297485,-0.229,16.98998,-0.023,18.477412511616734,9,,17.942629,0.99989426,1.1857761999999998,6.9958634,180,0.83907765
9,1.4190648000000001,16.42152,3.65046,17.044603,0.11,9.4507,45.484158,5.6455269999999995,15.458898999999999,0.31072113,3.9889454e-13,13.07617,17.044603,,17.826953172683716,-0.206,17.044603,-0.021,18.82104324955195,10,,17.837269,0.99991125,0.56455266,3.9783435,200,5.0829059999999995
10,1.353976,16.435270000000003,7.859572999999999,17.044603,0.11,16.786104,54.551773,11.109328999999999,15.454120000000001,7.859572999999999,3.3681807e-11,15.86015,16.572779,,19.00082492828369,-0.198,17.044603,-0.02,18.32742062453229,11,,17.741959,0.9999701999999999,1.0099391,8.2049675,220,6.971652499999999
11,1.7691259,16.460905,5.0609364999999995,17.044603,0.11,16.716984,45.620415,12.033614,15.563580499999999,4.0354767,5.496603000000001e-11,16.910707000000002,16.74288,,20.124968051910397,-0.197,17.044603,-0.02,18.507429629749602,12,,17.654947,0.9999701999999999,1.0028012,6.802011,240,7.9734305999999995
12,1.9121805,16.485838,4.6660185,17.044603,0.11,16.286243,43.027344,12.546064,15.171612,0.25375465,2.9680067999999998e-30,10.555792,16.785045999999998,,21.213708400726322,-0.269,17.044603,-0.028,18.548685484478472,13,,17.574903,0.9999701999999999,0.9650818999999999,6.5611296,260,-1.4130023
13,2.1461391,16.517060999999998,3.936983,17.044603,0.11,15.942132999999998,39.76809,13.363203,15.088377,0.21659562,1.3868092000000002e-11,14.110497,16.92296,,21.97529411315918,-0.2,17.044603,-0.02,18.695450723390394,14,,17.500795,0.9999701999999999,0.9545145,6.226625,280,8.351113
