,DenMISELogFirst,ReturnStepMax,IWMean,Bound,IWFirstEpisode,IWLastEpisode,target_sum_log_mean,URet,SqrtESSClassic,ReturnMax,LQGsigma,DenMISEMeanLog,Iteration,IWMin,MISE,DenMISELogLast,LQGmu1,ReturnMin,IWNorm1,TimestepsSoFar,ReturnAbsMax,ReturnLastEpisode,IWMax,ReturnMean,LQGmu01,IWNorm2,TimeElapsed
0,18.60218,0.9625284,1.2002747,48.19115,1.2002747,1.2002747,18.78473,16.687925283112616,1.0,15.058442000000001,0.11,18.60218,1,,18.074266,18.60218,-0.111,,1.2002747,20,15.058442000000001,15.058442000000001,1.2002747,15.058442000000001,-0.011,1.2002747,0.3605470657348633
1,18.697615,0.9978268,,22.561598,,,-563.36865,17.662259126015382,1.4142135,15.953459,0.11,19.81343,2,,,20.929247,0.378,,2e-10,40,15.953459,15.953459,,15.505951000000001,0.04,1.4142136e-10,20.41714191436768
2,18.29215,0.9978268,2.2840387000000002e-21,18.421469000000002,,6.852116e-21,-394.49203,9.605544987978211,1.7320506999999998,15.953459,0.11,9.502326,3,,1.9998563e-20,-10.308952,0.378,,3e-10,60,15.953459,8.75579,6.852116e-21,13.255897500000001,0.04,1.7320508999999999e-10,21.591139793396
3,18.004469,0.9978268,0.6762564999999999,37.748847999999995,,2.7050259999999997,-268.33167000000003,9.488374309289783,1.0,15.953459,0.11,11.425735000000001,4,,5.841929,18.05901,0.346,,2.7050259999999997,80,15.953459,8.638629,2.7050259999999997,12.10158,0.036,2.7050259999999997,22.00809621810913
4,17.781323999999998,0.9978268,0.7385385999999999,28.939384000000004,,1.8619796000000002,-224.29842000000002,9.478313324247814,1.4141629,15.953459,0.11,11.666171,5,,6.3769774,13.003926,0.368,,3.6926932,100,15.953459,8.630616,1.8619796000000002,11.407387,0.039,2.611222,23.156501293182373
5,17.599003,0.9978268,1.4690628000000001,36.093708,,6.174883,-168.2663,9.531168900930957,1.3656284,15.953459,0.11,12.448580999999999,6,,12.729434,16.643682000000002,0.335,,8.814377,120,15.953459,8.67779,6.174883,10.952454,0.035,6.4544477,24.19272780418396
6,17.444853,0.9978268,1.0432302,33.454209999999996,,1.2811607,-131.17738,9.506800710295991,1.3071826000000002,15.953459,0.11,13.259889999999999,7,,9.045286,17.947845,0.31,,7.3026114,140,15.953459,8.655869000000001,5.4202485000000005,10.624369999999999,0.032,5.5865273,25.612887382507324
7,17.311321,0.9978268,1.1088248,38.359734,,7.9388375,-103.61909,9.556342583904602,1.11106,15.953459,0.11,13.117170000000002,8,,9.642186,12.227346,0.281,,8.870599,160,15.953459,8.6982565,7.9388375,10.383606,0.029,7.983906299999999,26.895427703857425
8,17.193539,0.9978268,1.2840228999999999,31.464243,,5.347698,-90.705574,9.563791322409726,1.5722697,15.953459,0.11,13.67634,9,,11.170702,18.291416,0.284,,11.556207,180,15.953459,8.7072315,5.347698,10.197341999999999,0.029,7.3500156,28.09119200706482
9,17.088176999999998,0.9978268,,10.089855,,,-155.82898,9.58694938449119,3.1622772,15.953459,0.11,13.553357,10,,,12.35625,0.11,,1e-09,200,15.953459,8.730141999999999,,10.050623,0.011,3.162278e-10,29.32173752784729
