,Iteration,IWMax,ReturnAbsMax,IWNorm2,DenMISEMeanLog,target_sum_log_mean,IWLastEpisode,ReturnMax,ReturnLastEpisode,LQGmu1,LQGsigma,IWNorm1,IWMean,TimestepsSoFar,TimeElapsed,ReturnMin,SqrtESSClassic,IWMin,Bound,IWFirstEpisode,ReturnMean,DenMISELogLast,LQGmu01,ReturnStepMax,MISE,URet,DenMISELogFirst
0,1,0.32188034,15.807039999999999,0.32188034,13.511501,12.377925999999999,0.32188034,15.807039999999999,15.807039999999999,-0.114,0.11,0.32188034,0.32188034,20,0.9603049755096436,,1.0,,52.509094,0.32188034,15.807039999999999,13.511501,-0.011,0.99233466,5.0879755,17.497854397219367,13.511501
1,2,0.9579002000000001,15.807039999999999,1.2730469,16.864515,16.754935999999997,0.8384959000000001,15.807039999999999,15.745648000000001,-0.107,0.11,1.7963961,0.89819807,40,26.511951684951786,,1.4110998,,47.777905,0.9579002000000001,15.776344,20.63162,-0.011,0.99233466,14.172114,17.438968773091496,13.097408999999999
2,3,1.6933464,15.807039999999999,2.4820452,15.884738,16.200731,1.0114067,15.807039999999999,15.579738,-0.1,0.11,4.211466000000001,1.403822,60,28.29972076416016,,1.6967724999999998,,50.02682,1.5067127,15.710809,13.994653,-0.01,0.99233466,22.078985,17.251143496602765,13.083277
3,4,2.2095428,15.929314999999999,2.9139497000000003,16.026413,16.171066,0.78817046,15.929314999999999,15.929314999999999,-0.093,0.11,5.241844,1.310461,80,30.01698207855225,,1.7988794,,47.23387,1.6067042,15.765435,16.169472,-0.009,0.99265146,20.668472,17.639608273181327,13.20255
4,5,2.1297127999999996,15.929314999999999,3.3033129999999997,14.690546,14.868045,2.1297127999999996,15.929314999999999,15.220667,-0.091,0.11,6.735342500000001,1.3470685,100,31.64370465278625,,2.038966,,44.449184,1.4210684,15.656482,9.134462,-0.009,0.99265146,21.01184,16.835245657686123,13.317076
5,6,4.5165205,15.929314999999999,5.112058,15.226254,15.10656,4.5165205,15.929314999999999,14.553370000000001,-0.081,0.11,8.975397000000001,1.4958996,120,32.98090672492981,,1.7557306000000001,,49.74626,0.89060587,15.472629999999999,17.646673,-0.008,0.99265146,22.527992,16.172331884734973,13.3849
6,7,1.9638255,15.929314999999999,2.3542482999999996,14.781365,13.484398,1.0426785,15.929314999999999,15.311557999999998,-0.069,0.11,4.353294,0.6218991,140,34.802837133407586,,1.8491226000000003,,35.204144,0.25257427,15.449620000000001,11.801488,-0.007,0.99265146,9.360566,16.951180797882714,13.369148999999998
7,8,2.7665606,15.929314999999999,4.816400499999999,14.659589000000002,14.626681,2.7665606,15.929314999999999,15.129838000000001,-0.078,0.11,11.317015,1.4146268,160,36.57621359825134,,2.349683,,41.806785999999995,0.8093104999999999,15.409647,14.169167999999999,-0.008,0.99265146,21.468744,16.753904423191617,13.271064
8,9,2.265978,15.929314999999999,4.8724055,14.493737,14.641785,2.1752892000000004,15.929314999999999,15.108795,-0.08,0.11,13.050256,1.4500283999999999,180,38.34363198280335,,2.678401,,39.899426,0.99076176,15.376219,12.847083,-0.008,0.99265146,22.057457,16.71492824293109,13.249649
9,10,1.7912648000000002,15.929314999999999,3.5822413,14.7246685,14.481844,1.6610725,15.929314999999999,15.513974,-0.1,0.11,9.777622000000001,0.9777621999999999,200,40.9285295009613,,2.7294705,,32.72866,1.292616,15.389995,16.429517999999998,-0.01,0.99636483,15.220523000000002,17.208056923729874,13.248724
10,11,1.6908404,15.929314999999999,4.214715,15.255007999999998,15.392133,0.8858698,15.929314999999999,15.776688,-0.089,0.11,13.377146,1.2161041000000001,220,43.26992869377136,,3.1739147,,33.765842,1.4456263,15.425149,20.592173000000003,-0.009,0.99636483,18.709375,17.4813387034841,13.274977999999999
11,12,2.0904813,15.929314999999999,4.5873837,15.241597,15.013714000000002,0.8707287,15.929314999999999,15.209759,-0.08,0.11,13.352594,1.1127162,240,45.409607887268066,,2.910721,,33.363243,0.9171695,15.407198999999999,14.902838000000001,-0.008,0.99636483,16.945335,16.85119937509247,13.31144
12,13,1.9601375,15.929314999999999,3.9339058,15.528381,14.851156,1.3116851999999999,15.929314999999999,15.71335,-0.075,0.11,11.268234,0.86678725,260,47.06379508972168,,2.8643885,,29.894104,0.5530024,15.430748999999999,18.884182,-0.007,0.99636483,13.210632,17.393510277138688,13.305048999999999
13,14,6.008744200000001,15.929314999999999,6.3056383,15.49678,13.854226,6.008744200000001,15.929314999999999,15.168626999999999,-0.066,0.11,10.9872265,0.7848019,280,49.078572273254395,,1.7424448000000001,,39.34375,0.17062475,15.412026000000001,15.225005,-0.007,0.99636483,11.917947999999999,16.805461920636045,13.272599
14,15,5.198037,15.929314999999999,5.28223,14.873871,12.307184,0.18030435,15.929314999999999,15.734853,-0.06,0.11,7.670464999999999,0.51136434,300,50.911253929138184,,1.4521263,,40.677956,0.06434556,15.433548000000002,6.4152846,-0.006,0.99636483,7.769008,17.397416159567562,13.215720000000001
15,16,3.3981051,15.929314999999999,3.4277835,14.915898,10.9648,0.36370933,15.929314999999999,15.204524,-0.053,0.11,4.4215803,0.27634877,320,53.58205938339234,,1.289924,,41.243297999999996,0.013570976,15.419232999999998,16.053947,-0.005,0.99636483,4.196198000000001,16.849009709710806,13.155462
