,LQGmu1,IWNorm1,LQGsigma,Bound,IWMin,ReturnMax,IWMean,TimeElapsed,SqrtESSClassic,DenMISELogFirst,ReturnMean,MISE,LQGmu01,TimestepsSoFar,URet,IWFirstEpisode,DenMISELogLast,Iteration,IWNorm2,target_sum_log_mean,ReturnMin,ReturnAbsMax,ReturnLastEpisode,IWMax,DenMISEMeanLog,IWLastEpisode,ReturnStepMax
0,-0.111,1.2002747,0.11,48.19115,,15.058442000000001,1.2002747,0.3161463737487793,1.0,18.60218,15.058442000000001,18.074266,-0.011,20,16.687925283112616,1.2002747,18.60218,1,1.2002747,18.78473,,15.058442000000001,15.058442000000001,1.2002747,18.60218,1.2002747,0.9625284
1,0.378,2e-10,0.11,22.561598,,15.953459,,10.67611002922058,1.4142135,18.697615,15.505951000000001,,0.04,40,17.662259126015382,,20.929247,2,1.4142136e-10,-563.36865,,15.953459,15.953459,,19.81343,,0.9978268
2,0.378,3e-10,0.11,18.421469000000002,,15.953459,2.2840387000000002e-21,11.075570821762085,1.7320506999999998,18.29215,13.255897500000001,1.9998563e-20,0.04,60,9.605544987978211,,-10.308952,3,1.7320508999999999e-10,-394.49203,,15.953459,8.75579,6.852116e-21,9.502326,6.852116e-21,0.9978268
3,0.346,2.7050259999999997,0.11,37.748847999999995,,15.953459,0.6762564999999999,11.217957258224487,1.0,18.004469,12.10158,5.841929,0.036,80,9.488374309289783,,18.05901,4,2.7050259999999997,-268.33167000000003,,15.953459,8.638629,2.7050259999999997,11.425735000000001,2.7050259999999997,0.9978268
4,0.368,3.6926932,0.11,28.939384000000004,,15.953459,0.7385385999999999,12.130528926849365,1.4141629,17.781323999999998,11.407387,6.3769774,0.039,100,9.478313324247814,,13.003926,5,2.611222,-224.29842000000002,,15.953459,8.630616,1.8619796000000002,11.666171,1.8619796000000002,0.9978268
5,0.335,8.814377,0.11,36.093708,,15.953459,1.4690628000000001,12.925931453704836,1.3656284,17.599003,10.952454,12.729434,0.035,120,9.531168900930957,,16.643682000000002,6,6.4544477,-168.2663,,15.953459,8.67779,6.174883,12.448580999999999,6.174883,0.9978268
6,0.31,7.3026114,0.11,33.454209999999996,,15.953459,1.0432302,13.954132795333862,1.3071826000000002,17.444853,10.624369999999999,9.045286,0.032,140,9.506800710295991,,17.947845,7,5.5865273,-131.17738,,15.953459,8.655869000000001,5.4202485000000005,13.259889999999999,1.2811607,0.9978268
7,0.281,8.870599,0.11,38.359734,,15.953459,1.1088248,14.546380043029785,1.11106,17.311321,10.383606,9.642186,0.029,160,9.556342583904602,,12.227346,8,7.983906299999999,-103.61909,,15.953459,8.6982565,7.9388375,13.117170000000002,7.9388375,0.9978268
8,0.284,11.556207,0.11,31.464243,,15.953459,1.2840228999999999,15.316169261932373,1.5722697,17.193539,10.197341999999999,11.170702,0.029,180,9.563791322409726,,18.291416,9,7.3500156,-90.705574,,15.953459,8.7072315,5.347698,13.67634,5.347698,0.9978268
9,0.11,1e-09,0.11,10.089855,,15.953459,,16.262930154800415,3.1622772,17.088176999999998,10.050623,,0.011,200,9.58694938449119,,12.35625,10,3.162278e-10,-155.82898,,15.953459,8.730141999999999,,13.553357,,0.9978268
10,0.116,15.221954,0.11,44.333557,,15.953459,1.3838139999999999,17.230263471603394,1.0,16.992867,9.953292,12.426639999999999,0.012,220,9.866464782792972,,2.3237547999999997,11,15.221954,-131.74055,,15.953459,8.979992999999999,15.221954,12.445839999999999,15.221954,0.9978268
11,0.117,13.552686999999999,0.11,32.711315,,15.953459,1.1293906,18.52390933036804,1.4141692,16.905855,9.873239,10.14901,0.012,240,9.876908633309247,,16.381754,12,9.583497,-117.81721999999999,,15.953459,8.99265,6.830005,12.766464,6.722681,0.9978268
12,0.171,3.2280647e-09,0.11,15.291163000000001,,15.953459,1.4831267e-10,19.630095720291138,2.0866246,16.825813,9.806118,1.3326882e-09,0.017,260,9.885822335427324,,10.144942,13,1.5470271e-09,-71.09679399999999,,15.953459,9.000658999999999,1.0640309e-09,12.559797999999999,5.953381999999999e-13,0.9978268
13,0.162,29.1711,0.11,50.48488,,15.953459,2.08365,21.26680970191956,1.0,16.751704999999998,9.742543,18.577961,0.016,280,9.793055369484355,,15.205706,14,29.1711,-67.55033,,15.953459,8.916066,29.1711,12.679975500000001,29.1711,0.9978268
