,ReturnMin,LQGsigma,IWLastEpisode,LQGmu01,DenMISELogFirst,LQGmu1,IWNorm2,target_sum_log_mean,ReturnAbsMax,ReturnLastEpisode,ReturnMean,URet,DenMISEMeanLog,IWMax,MISE,IWMean,IWFirstEpisode,ReturnMax,IWMin,Bound,DenMISELogLast,ReturnStepMax,SqrtESSClassic,TimestepsSoFar,IWNorm1,TimeElapsed,Iteration
0,,0.11,0.32188034,-0.011,13.511501,-0.114,0.32188034,12.377925999999999,15.807039999999999,15.807039999999999,15.807039999999999,17.497854397219367,13.511501,0.32188034,5.0879755,0.32188034,0.32188034,15.807039999999999,,6.676642999999999,13.511501,0.99233466,1.0,20,0.32188034,0.7523148059844971,1
1,,0.11,0.8102156,-0.011,13.097408999999999,-0.107,1.2365392,16.725212,15.807039999999999,15.745648000000001,15.776344,17.438968773091496,16.864515,0.9341199,13.76152,0.8721677,0.9341199,15.807039999999999,,14.887709,20.63162,0.99233466,1.4106591999999998,40,1.7443354,16.990678787231445,2
2,,0.11,1.0013428,-0.01,13.075205,-0.1,2.500559,16.202272,15.807039999999999,15.58474,15.712476,17.256640855268508,15.882503,1.7138758,22.210203,1.4119959,1.520769,15.807039999999999,,23.148014,14.006031,0.99233466,1.6940162,60,4.2359877,17.89958953857422,3
3,,0.11,0.628271,-0.009,13.197593,-0.089,2.9584238999999997,16.043651999999998,15.930029999999999,15.930029999999999,15.766865,17.640344801709553,16.026768,2.3867762000000003,19.86189,1.2592186,1.5663208999999998,15.930029999999999,,20.80226,16.172619,0.99264914,1.7025533,80,5.036874299999999,18.748869419097897,4
4,,0.11,0.28976290000000005,-0.011,13.304889000000001,-0.108,1.8901744999999999,14.208319,15.930029999999999,15.142892999999999,15.64207,16.74839201997555,14.596138,1.217948,12.084106,0.76900846,0.7046831,15.930029999999999,,12.871152,8.714089999999999,0.99264914,2.034226,100,3.8450422,19.515366554260254,5
5,,0.11,1.3385768,-0.01,13.254416,-0.1,2.977331,15.233332999999998,15.930029999999999,14.939086999999999,15.524906,16.593762364260257,15.044606,1.3385768,18.798282999999998,1.2116271,1.2921156999999999,15.930029999999999,,19.453982999999997,17.492511999999998,0.9970646000000001,2.4417047999999997,120,7.269763,20.497942209243774,6
6,,0.11,1.0007174,-0.01,13.2953005,-0.097,3.4820404000000003,14.935321,15.930029999999999,15.751463000000001,15.557271,17.43382566489161,14.7101145,1.6555514,19.935917,1.2851583,1.3881361,15.930029999999999,,20.555613,12.5250025,0.9970646000000001,2.5835738,140,8.996108,21.605790615081787,7
7,,0.11,,-0.082,13.342676999999998,-0.674,2.8284272e-10,-328.77316,15.930029999999999,15.781292,15.585273999999998,17.470079426866448,14.793683999999999,,,,,15.930029999999999,,0.566049,15.137619,0.9970646000000001,2.828427,160,8e-10,22.52175712585449,8
8,,0.11,,0.01,13.224895000000002,0.1,3e-10,-126.58508,17.045929,17.045929,15.747569,18.824289484859353,14.254778,,,,,17.045929,,0.5710601,10.885794,0.99990624,3.0,180,8.999999599999999e-10,23.326893091201786,9
9,,0.11,5.699554e-28,0.01,13.119534,0.1,3.162278e-10,-121.351074,17.045929,9.469688,15.1197815,10.367557679951911,11.583183,5.699554e-28,5.3972999999999994e-28,5.699554299999999e-29,,17.045929,,0.54175526,-11.512925,0.99990624,3.1622772,200,1e-09,24.01186227798462,10
10,,0.11,6.168020200000001,0.01,13.024223,0.096,6.168020200000001,-104.09406,17.045929,9.023308,14.5655575,9.910625083359154,12.190458999999999,6.168020200000001,5.0596312999999995,0.5607291,,17.045929,,6.772811999999999,19.216307,0.99990624,1.0,220,6.168020200000001,24.687796354293823,11
11,,0.11,4.8749986,0.009,12.937211999999999,0.091,5.7062845,-88.77305,17.045929,9.024419,14.103795000000002,9.912391010741342,12.346119,4.8749986,5.896292,0.6534013000000001,,17.045929,,7.1430880000000005,14.57036,0.99990624,1.3740667,240,7.8408155,25.69190120697021,12
12,,0.11,3.2910227999999995,0.01,12.857169,0.098,5.9837226999999995,-87.135666,17.045929,9.027952,13.7133465,9.91521697042082,12.740504,3.6866352999999994,7.1864479999999995,0.7962695,,17.045929,,8.176758,17.871843,0.99990624,1.7299438000000003,260,10.351503,27.206714630126953,13
13,,0.11,23.936295,0.011,12.783061,0.111,23.943026,-90.96605,17.045929,8.996523,13.37643,9.880269355835493,12.899838,23.936295,15.955070499999998,1.7732729,,17.045929,,17.607329999999997,15.228537,0.99990624,1.0368707,280,24.82582,28.53538203239441,14
14,,0.11,4.1816487,0.012,12.714068,0.119,8.882429,-92.25919,17.045929,8.992728,13.084183,9.874791467724863,12.262606,7.8364687,7.2352467,0.804335,,17.045929,,8.496512,3.2476602000000003,0.99990624,1.3583025,300,12.065025,29.87707805633545,15
15,,0.11,4.391972,0.011,12.64953,0.108,9.081374,-76.10885,17.045929,8.990592999999999,12.828333,9.873440015112335,12.341269500000001,5.720399,9.8535595,1.0951966999999998,,17.045929,,10.741415,13.819969,0.99990624,1.9295701,320,17.523148000000003,30.987389326095578,16
16,,0.11,1.9611603,0.012,12.588905,0.115,9.957052000000001,-76.129196,17.045929,9.005711,12.603473,9.890937056897092,12.475442,6.7734437000000005,9.965463,1.1079053,,17.045929,,10.871159,14.630076999999998,0.99990624,1.8915627,340,18.834389,32.84665989875793,17
17,,0.11,3.9697839999999998,0.011,12.531747,0.113,8.948112,-69.17486600000001,17.045929,8.999051,12.403227000000001,9.88483248403192,12.705789,4.6227584,10.105282,1.1232016000000002,,17.045929,,10.863518,16.62625,0.99990624,2.2594297,360,20.217628,34.271928787231445,18
18,,0.11,,-0.575,12.477679,-1.0,4.358899e-10,-1079.009,17.045929,8.99475,12.223834,9.877823913069378,12.71349,,,,,17.045929,,0.39303052,12.809453999999999,0.99990624,4.3588986,380,1.9e-09,35.770572900772095,19
19,,0.11,5.3852578e-17,-0.575,12.426387,-1.0,4.4721363e-10,-1027.5417,17.045929,16.102826999999998,12.417784,17.802427196651053,11.418782,5.3852578e-17,4.3358935e-17,2.6926288e-18,,17.045929,,0.38307875,-12.206073,0.99990624,4.472136,400,2.0000002e-09,37.027384281158454,20
20,,0.11,9.610236,-0.592,12.377596,-1.0,9.610236,-978.18195,17.045929,16.64895,12.619268,18.37416823052702,11.54549,9.610236,7.6190643,0.4576303,,17.045929,,9.332245,15.055441,0.99990624,1.0,420,9.610236,37.79969692230225,21
21,,0.11,8.733763,-0.536,12.331077,-1.0,11.508433,-931.74945,17.045929,16.59115,12.799808,18.304769427901125,11.601797999999999,8.733763,12.258018,0.73764193,,17.045929,,13.472947,13.384382,0.99990624,1.410107,440,16.228123,39.158490180969245,22
22,,0.11,16.575571,-0.64,12.286625,-1.0,17.397083,-892.8292,17.045929,16.671654,12.968149,18.391551794470857,11.675310000000001,16.575571,17.358479,1.0422719,,17.045929,,18.601763000000002,13.6430435,0.99990624,1.3779466,460,23.972251999999997,40.94506883621216,23
23,,0.11,2.0389264,-0.788,12.244064999999999,-1.0,7.142423,-858.5298,17.045929,16.69562,13.123460000000001,18.41929620225265,11.910642,6.3955426,7.583400699999999,0.45523962,,17.045929,,8.703347,17.4616,0.99990624,1.529698,480,10.925751,42.56030941009522,24
24,,0.11,36.608162,-0.799,12.203242999999999,-1.0,36.981026,-823.9705,17.045929,16.659370000000003,13.264897,18.374868572765244,11.826491,36.608162,29.990864000000002,1.8003346000000002,,17.045929,,31.398495,10.369866,0.99990624,1.2170664,500,45.008365999999995,44.14230751991272,25
25,,0.11,5.02875,-0.823,12.164022000000001,-1.0,30.375433,-792.1835,17.045929,16.700981,13.397054,18.43018205771337,12.064291,29.743440000000003,26.098817999999998,1.5662847,,17.045929,,27.376672999999997,17.771856,0.99990624,1.3406688999999998,520,40.7234,45.72294664382935,26
26,,0.11,7.003107000000001,-0.859,12.126282000000002,-1.0,30.22001,-763.3407599999999,17.045929,16.599422,13.515659,18.308133190397406,12.149371,29.202219,26.19736,1.5734422,,17.045929,,27.416021,14.18325,0.99990624,1.4057883999999998,540,42.48294,47.66818189620972,27
27,,0.11,1.3872427999999999,-0.628,12.089914,-1.0,11.363779,-730.513,17.045929,16.599543,13.625798000000001,18.31374909597828,12.226165,6.499771599999999,16.310543,0.9790298000000001,,17.045929,,17.02073,14.092716000000001,0.99990624,2.4122992,560,27.412834000000004,49.36075687408447,28
28,,0.11,7.0766115,-0.709,12.054822999999999,-1.0,16.196903,-706.28314,17.045929,16.708624,13.732102,18.432494186633946,12.052767999999999,7.858217,23.637295,1.4188266999999999,,17.045929,,24.31168,7.274580499999999,0.99990624,2.5403605,580,41.145973,50.81184029579162,29
29,,0.11,2.4731882,-0.662,12.020922,-1.0,12.192247,-681.40314,17.045929,16.696472,13.830914499999999,18.422937237899436,12.199316,6.094605400000001,19.002703,1.1400526000000002,,17.045929,,19.61342,16.148466,0.99990624,2.8051906000000004,600,34.201576,52.637526273727424,30
30,,0.11,,1.0,11.9881315,1.0,5.5677646e-10,-1624.721,17.045929,16.485325,13.916541,18.206495547246252,11.961306,,,,,17.045929,,0.30769625,4.7393794,0.99990624,5.5677642999999994,620,3.1e-09,54.41312026977539,31
31,,0.11,,1.0,11.956383,1.0,5.6568544e-10,-1579.1484,17.045929,8.93117,13.760748999999999,9.774727942936464,11.160631,,,,,17.045929,,0.30285037,-12.676076,0.99990624,5.656854,640,3.2e-09,55.86252546310425,32
32,,0.11,16.500002,1.0,11.9256115,1.0,16.500002,-1530.9976,17.045929,8.48932,13.601007999999998,9.319472940863065,11.005608,16.500002,4.244660400000001,0.50000006,,17.045929,,5.957841,7.029585400000001,0.99990624,1.0,660,16.500002,56.89302945137024,33
33,,0.11,11.333338000000001,1.0,11.895758,1.0,16.027756,-1485.4457,17.045929,8.519513,13.451552,9.356596991702737,11.115969,11.333338000000001,5.6696124,0.6666668,,17.045929,,6.8810139999999995,15.337532999999999,0.99990624,1.4142137,680,22.666672,58.26520562171936,34
34,,0.11,8.750003,1.0,11.866771,1.0,15.155448000000002,-1442.5996,17.045929,8.503587,13.310182999999999,9.341300393167133,11.1294985,8.750003,6.378106,0.7500001000000001,,17.045929,,7.3672113,11.999727,0.99990624,1.7320506999999998,700,26.250003999999997,59.60880661010742,35
35,,0.11,7.2000003,1.0,11.8386,1.0,14.400001000000001,-1402.1488,17.045929,8.545694000000001,13.1778345,9.386840195184648,11.135252000000001,7.2000003,6.811623,0.8,,17.045929,,7.668213400000001,11.653186999999999,0.99990624,2.0,720,28.800001,61.02373170852661,36
36,,0.11,6.1666675,1.0,11.811200999999999,1.0,13.789087,-1364.0347,17.045929,8.462833,13.050403,9.296898599416485,10.996471000000001,6.1666675,7.086825,0.8333334000000001,,17.045929,,7.8529824999999995,6.2574224,0.99990624,2.236068,740,30.833336,62.267395734786994,37
37,,0.11,5.428572,1.0,11.784533,1.0,13.297229999999999,-1327.7777,17.045929,8.555984500000001,12.932129,9.397553280039904,11.018069,5.428572,7.296705,0.8571428,,17.045929,,7.9961076,12.033174,0.99990624,2.4494896,760,32.571426,63.397292852401726,38
38,,0.11,4.8749986,1.0,11.758557000000001,1.0,12.898035,-1293.3173,17.045929,8.549733,12.819759,9.389780464187712,11.105144000000001,4.875001,7.4533315,0.8749998,,17.045929,,8.100853,14.599844000000001,0.99990624,2.6457512000000003,780,34.124992,64.59369587898253,39
39,,0.11,4.444446599999999,1.0,11.733239,1.0,12.570788,-1260.5735,17.045929,8.561886,12.713312,9.40263232620272,11.196916,4.444446599999999,7.576506,0.88888896,,17.045929,,8.182207,14.938925,0.99990624,2.828427,800,35.555557,66.03044962882997,40
40,,0.11,4.1,1.0,11.708547,1.0,12.299998,-1229.4908,17.045929,8.469389,12.609802,9.302032869204423,11.222841,4.1,7.6657925,0.89999986,,17.045929,,8.236853,12.404695,0.99990624,3.0,820,36.899994,67.67120361328125,41
41,,0.11,3.8181809999999996,1.0,11.684449,1.0,12.07415,-1199.9939,17.045929,8.540152,12.512903999999999,9.382904138090698,11.144008,3.8181846,7.74528,0.90909076,,17.045929,,8.287035000000001,8.042011,0.99990624,3.1622775,840,38.181812,69.36407470703125,42
42,,0.11,3.5833343999999996,1.0,11.660917999999999,1.0,11.884574,-1171.7616,17.045929,8.515492,12.419942,9.354299643133466,11.177743,3.5833343999999996,7.809467,0.9166668,,17.045929,,8.32601,12.712823,0.99990624,3.3166246,860,39.41667,70.85717678070068,43
43,,0.11,3.384615,1.0,11.637929,1.0,11.724649000000001,-1144.8008,17.045929,8.538002,12.3317175,9.375690697683655,11.223446000000001,3.384615,7.8655057,0.9230768,,17.045929,,8.360058,13.296764999999999,0.99990624,3.4641017999999995,880,40.61538,72.23880767822266,44
