,LQGmu1,SqrtESSClassic,Iteration,IWNorm2,ReturnLastEpisode,Bound,IWFirstEpisode,DenMISELogLast,MISE,LQGmu01,ReturnStepMax,IWMax,ReturnMin,IWLastEpisode,LQGsigma,DenMISELogFirst,IWNorm1,IWMean,TimestepsSoFar,ReturnMax,ReturnAbsMax,ReturnMean,target_sum_log_mean,IWMin,URet,DenMISEMeanLog,TimeElapsed
0,0.195,1.0,1,1e-10,15.644507999999998,1.5723323,,17.102016,,0.02,0.99262077,,,,0.11,17.102016,1e-10,,20,15.644507999999998,15.644507999999998,15.644507999999998,-245.30376,,17.332240856619553,17.102016,0.3427667617797852
1,0.195,1.4142135,2,1.4142451000000002e-10,8.982722,1.1118069,,-9.903487,2.0054463999999998e-14,0.02,0.99262077,4.4651193999999996e-15,,4.4651193999999996e-15,0.11,16.408869,2.0000446e-10,2.2325596999999998e-15,40,15.644507999999998,15.644507999999998,12.313616,-144.12486,,9.853878778052412,3.2526908,13.001452445983887
2,-0.999,1.7320506999999998,3,1.7320508999999999e-10,8.883155,0.9077864999999999,,10.233628,,-0.356,0.99262077,,,,0.11,16.003404999999997,3e-10,,60,15.644507999999998,15.644507999999998,11.170129,-1627.2709,,9.756865261801403,5.3093605,13.323333501815796
3,-0.999,2.0,4,2e-10,16.398951999999998,0.8240784,,-10.596635000000001,1.05667296e-32,-0.356,0.9999224,2.5774156999999995e-33,,2.5774156999999995e-33,0.11,15.715722,4e-10,6.443539299999999e-34,80,16.398951999999998,16.398951999999998,12.477335,-1241.8619,,18.137164360390962,1.1170997999999999,13.615024089813232
4,-0.998,1.0,5,3.1124918,16.728416,12.094681,,19.27197,10.413412,-0.336,0.9999224,3.1124918,,3.1124918,0.11,15.4925785,3.1124918,0.6224984,100,16.728416,16.728416,13.327551000000001,-988.8283,,18.452150209721857,4.5695586,13.80289101600647
5,-0.998,1.4139684,6,3.194098,16.829718,13.825567999999999,,16.712385,12.629325,-0.337,0.9999283999999999,2.3002226,,2.2161312,0.11,15.310257,4.5163535999999995,0.7527256,120,16.829718,16.829718,13.911244,-821.1338,,18.556958307029568,6.5220895,14.424626588821411
6,-0.998,1.7294859,7,3.4237727999999996,16.678782,15.140702,,13.323334,14.162695000000001,-0.334,0.9999283999999999,2.1205745,,2.1205745,0.11,15.156106,5.9213667,0.84590954,140,16.829718,16.829718,14.306607999999999,-701.7438400000001,,18.411426082557682,7.4528327,15.075288772583008
7,-0.998,1.9980837,8,3.355833,16.712345000000003,14.8752165,,15.091455999999999,14.02868,-0.341,0.9999283999999999,1.7331623999999999,,1.5505668,0.11,15.022575,6.7052355,0.83815444,160,16.829718,16.829718,14.607325,-612.21906,,18.435405320594228,8.383944,15.635931253433228
8,-0.998,2.0976455,9,3.9791449999999995,16.728088,16.325472,,20.034456,15.519114499999999,-0.326,0.9999283999999999,2.763391,,2.763391,0.11,14.904792,8.346836,0.9274261999999999,180,16.829718,16.829718,14.842965,-541.6611,,18.4551241293972,9.658287,16.022276401519775
9,-0.998,2.4463779999999997,10,3.6067080000000002,16.707853,15.454203,,9.709466,14.762792999999999,-0.338,0.9999283999999999,1.5340068,,1.3426577,0.11,14.799432000000001,8.823371,0.8823370999999999,200,16.829718,16.829718,15.029454000000001,-486.6809,,18.4341957037727,9.652842,16.525291681289673
10,-0.998,2.6434759999999997,11,3.7482364,16.747272,15.712767999999999,,15.722565,15.072909,-0.341,0.9999283999999999,1.4572631999999999,,1.4572631999999999,0.11,14.704122,9.908373,0.9007611999999999,220,16.829718,16.829718,15.185619,-441.01412999999997,,18.47113310670621,10.192813000000001,16.989842891693115
11,-0.998,2.8210146000000003,12,3.8915089999999997,16.663816,15.899657999999999,,14.218888,15.300069,-0.337,0.9999283999999999,1.4965322,,1.4558437,0.11,14.61711,10.978003999999999,0.9148337,240,16.829718,16.829718,15.308803,-402.9952,,18.4020200814504,10.519163,17.778030157089233
12,-0.998,2.968769,13,4.0932674,16.816288,16.213614,,12.240046000000001,15.643865,-0.333,0.9999283999999999,1.6569778000000002,,1.5337538,0.11,14.537067,12.151966,0.93476665,260,16.829718,16.829718,15.424763,-370.98596000000003,,18.553803564701205,10.644267999999999,18.387022018432614
