,LQGmu1,DenMISELogFirst,ReturnMean,ReturnMin,Bound,target_sum_log_mean,IWLastEpisode,TimestepsSoFar,ReturnLastEpisode,ReturnMax,DenMISELogLast,IWNorm1,MISE,TimeElapsed,IWMin,DenMISEMeanLog,URet,LQGmu01,IWNorm2,IWMax,LQGsigma,SqrtESSClassic,ReturnAbsMax,IWFirstEpisode,IWMean,ReturnStepMax,Iteration
0,-0.098,17.102016,15.644507999999998,,62.47424,17.09536,0.99336547,20,15.644507999999998,15.644507999999998,17.102016,0.99336547,15.540714000000001,0.7162482738494873,,17.102016,17.332240856619553,-0.01,0.99336547,0.99336547,0.11,1.0,15.644507999999998,0.99336547,0.99336547,0.99262077,1
1,-0.099,17.098694000000002,15.518020000000002,,48.63243,13.756588,0.98574126,40,15.391531,15.644507999999998,10.424294999999999,1.9902987,15.443937,18.628049373626713,,13.761495000000002,17.064454941188142,-0.01,1.4074167,1.0045575,0.11,1.4141503999999998,15.644507999999998,1.0045575,0.9951494000000001,0.9970642,2
2,-0.109,17.100212,15.644157,,53.982338,12.719536,2.563205,60,15.896431,15.896431,10.5539,3.8884065000000003,20.446856,19.37793231010437,,12.691215,17.604950384442393,-0.011,2.7343577999999997,2.563205,0.11,1.4220548000000002,15.896431,0.78221285,1.2961354999999999,0.9970642,3
3,-0.12,17.044226000000002,15.670831,,55.262875,13.355147,2.4674916000000002,80,15.750853,15.896431,16.200870000000002,6.0334373,23.848688,20.37655138969421,,13.606770499999998,17.44781527365483,-0.012,3.974383,3.0953999,0.11,1.5180813999999998,15.896431,0.3218745,1.5083593000000002,0.99740416,4
4,-0.129,16.898478,15.69565,,43.083504,13.923226999999999,1.1282141,100,15.794926,15.896431,19.534204000000003,4.863857299999999,15.388954,21.278099536895756,,14.84725,17.500519156388258,-0.013,2.8245826000000003,2.0996141,0.11,1.7219738000000002,15.896431,0.09460349400000001,0.97277147,0.99942493,5
5,-0.228,16.7349,15.769480999999999,,48.103320000000004,-13.149231,2.8689738000000003e-07,120,16.138628,16.138628,16.652437,2.8886586e-07,7.753133699999999e-07,22.30536818504333,,15.136657999999999,17.861954192220015,-0.023,2.87001e-07,2.8689738000000003e-07,0.11,1.0064977,16.138628,9.720277e-18,4.8044317e-08,0.9997046999999999,6
6,-0.218,16.58075,15.849762,,63.869987,-6.3650293,6.3760242,140,16.33145,16.33145,7.100917,6.376030999999999,14.875689499999998,23.42465043067932,,13.856567000000002,18.07499477928013,-0.022,6.3760242,6.3760242,0.11,1.0000011,16.33145,2.1488866000000003e-15,0.91086155,0.9997046999999999,7
7,-0.213,16.447218,15.9809,,59.884655,-2.1010572999999995,1.2875999,160,16.898874,16.898874,14.045092000000002,8.052541999999999,16.530037,24.48506045341492,,13.844235000000001,18.667757692696078,-0.022,6.886353999999999,6.7649064,0.11,1.1693476,16.898874,3.5746837e-14,1.0065677,0.99978995,8
8,-0.207,16.329435,16.0753,,56.584503000000005,1.822488,1.6476021,180,16.830498000000002,16.898874,19.714333,9.352547999999999,17.102812,25.606701374053955,,14.476445000000002,18.59737974390764,-0.021,7.28361,7.0660005,0.11,1.2840539,16.898874,6.265935000000001e-13,1.0391719000000001,0.9999909,9
9,-0.201,16.224075,16.138662,,54.593019999999996,3.9130998,1.5652188999999999,200,16.708927,16.898874,8.8671665,10.258495,16.879382999999997,26.762877941131592,,13.902313000000001,18.461751632087463,-0.02,7.63138,7.3949003,0.11,1.3442516000000002,16.898874,1.3741389999999999e-11,1.0258496,0.9999909,10
