,LQGmu01,DenMISEMeanLog,TimeElapsed,MISE,IWNorm2,URet,IWNorm1,ReturnMax,DenMISELogFirst,target_sum_log_mean,IWMin,TimestepsSoFar,SqrtESSClassic,Bound,ReturnLastEpisode,DenMISELogLast,IWMax,LQGsigma,ReturnStepMax,ReturnAbsMax,IWFirstEpisode,ReturnMin,ReturnMean,IWLastEpisode,LQGmu1,Iteration,IWMean
0,-0.018,17.102016,0.4473385810852051,6.8502914e-06,4.3797195000000003e-07,17.332240856619553,4.3797195000000003e-07,15.644507999999998,17.102016,2.4606771000000003,,20,1.0,31.289023999999998,15.644507999999998,17.102016,4.3787196e-07,0.11,0.99262077,15.644507999999998,4.3787196e-07,,15.644507999999998,4.3787196e-07,-0.174,1,4.3787196e-07
1,0.036,13.048138,14.112754583358765,,1.4142136e-10,17.945342966368138,2e-10,16.20821,16.40887,-449.97217,,40,1.4142135,22.921870000000002,16.20821,9.687405,,0.11,0.9994574,16.20821,,,15.926359,,0.349,2,
2,0.036,4.9921308,14.412508964538574,2.678419e-26,1.7320508999999999e-10,9.685959393497528,3e-10,16.20821,16.003404999999997,-323.40497,,60,1.7320506999999998,18.715629999999997,8.830508,-10.308952,9.099426999999999e-27,0.11,0.9994574,16.20821,,,13.561076000000002,9.099426999999999e-27,0.349,3,3.0331424e-27
3,0.033,7.5009584,14.7406325340271,6.0095844000000005,2.7747595,9.514662582069736,2.7747595,16.20821,15.715723,-218.42526,,80,1.0,38.426003,8.663215,15.890489,2.7747595,0.11,0.9994574,16.20821,,,12.336611,2.7747595,0.318,4,0.6936899000000001
4,0.022,9.699747,15.555848121643065,3.9129992e-07,2.2436669000000003e-07,9.538053842075339,2.2583542000000002e-07,16.20821,15.4925785,-126.84397,,100,1.0065461,32.205597,8.682703,18.860560999999997,2.2426356e-07,0.11,0.9994574,16.20821,,,11.605829,2.2426356e-07,0.22,5,4.5067083e-08
5,0.008,10.598212,16.305094957351685,,2.4494897999999997e-10,9.668240137993076,6e-10,16.20821,15.310258,-178.57841000000002,,120,2.4494896,13.233948999999999,8.80251,16.00215,,0.11,0.9994574,16.20821,,,11.138608,,0.077,6,
6,0.221,8.789457,16.755226135253903,9.888135e-06,7.822087e-06,9.895723263175043,7.990072e-06,16.20821,15.156107,-345.32187000000005,,140,1.0214756999999999,31.734901,9.008139,-1.1381673,7.820155e-06,0.11,0.9994574,16.20821,,,10.834256,,0.978,7,1.1413388000000001e-06
7,0.221,6.1628419999999995,17.099090337753296,8.883323e-05,7.404414000000001e-05,9.433295994805103,8.263389999999999e-05,16.20821,15.022575,-304.7575,,160,1.1160086,29.046834999999998,8.592382,-11.288746000000002,7.3502415e-05,0.11,0.9994574,16.20821,,,10.554022,7.3502415e-05,0.978,8,1.0329139e-05
8,0.221,7.489189,17.570328712463382,4.1350739999999995,4.34328,9.41093806981763,4.3433722999999995,16.20821,14.904793,-268.61658,,180,1.0000213,36.550804,8.568379,19.042220999999998,4.34328,0.11,0.9994574,16.20821,,,10.333394,4.34328,0.978,9,0.48259693
9,0.221,7.5087724,17.975302219390873,5.6307917000000005,4.658664,9.365008787086587,6.58799,16.20821,14.799432000000001,-240.8106,,200,1.4141371,28.553902,8.526228999999999,8.239469,3.3328532999999996,0.11,0.9994574,16.20821,,,10.152678,3.3328532999999996,0.978,10,0.658799
