,LQGmu01,DenMISELogLast,TimeElapsed,LQGmu1,target_sum_log_mean,IWLastEpisode,DenMISELogFirst,URet,IWMin,ReturnAbsMax,TimestepsSoFar,ReturnLastEpisode,Bound,ReturnMax,IWNorm1,DenMISEMeanLog,ReturnMin,Iteration,IWMax,IWFirstEpisode,SqrtESSClassic,IWNorm2,LQGsigma,IWMean,ReturnStepMax,MISE,ReturnMean
0,1.0,13.511501,0.2352304458618164,1.0,-1081.5807,,13.511501,17.497854397219367,,15.807039999999999,20,15.807039999999999,31.614079999999998,15.807039999999999,1e-10,13.511501,,1,,,1.0,1e-10,0.11,,0.99233466,,15.807039999999999
1,1.0,-9.903487,6.2712552547454825,1.0,-567.3488,1.7086695e-19,12.818355,9.444017119258,,15.807039999999999,40,8.608342,22.35453,15.807039999999999,2e-10,1.4574337,,2,1.7086695e-19,,1.4142135,1.4142136e-10,0.11,8.5433475e-20,0.99233466,7.3544059999999995e-19,12.207691
2,1.0,13.889163,6.516961336135863,1.0,-373.46765,1.5,12.4128895,9.357533310929476,,15.807039999999999,60,8.519454,35.873806,15.807039999999999,1.5,5.331033000000001,,3,1.5,,1.0,1.5,0.11,0.5,0.99233466,4.259727,10.978278999999999
3,1.0,15.842417999999999,6.752476692199707,1.0,-276.0682,1.333334,12.125207000000001,9.349345311296524,,15.807039999999999,80,8.514177,28.032408,15.807039999999999,2.6666665000000003,7.844484,,4,1.333334,,1.4142135,1.885618,0.11,0.6666666,0.99233466,5.677877,10.362252999999999
4,1.0,9.997811,6.901118278503418,1.0,-218.81037999999998,1.25,11.902063,9.320908297065099,,15.807039999999999,100,8.4897,24.633229999999998,15.807039999999999,3.75,8.211707,,5,1.25,,1.7320508000000001,2.1650636000000003,0.11,0.75,0.99233466,6.380833,9.987743
5,1.0,18.250675,7.044281005859375,1.0,-179.26981999999998,1.2,11.719742,9.360986810277963,,15.807039999999999,120,8.519156,22.61554,15.807039999999999,4.8,9.844505999999999,,6,1.2,,2.0,2.4,0.11,0.8,0.99233466,6.8084983999999995,9.742977999999999
6,1.0,12.730482,7.180018901824951,1.0,-151.81918000000002,1.166667,11.565591,9.342529711258434,,15.807039999999999,140,8.508499,21.230078,15.807039999999999,5.833334,10.228843,,7,1.166667,,2.236068,2.6087463,0.11,0.83333343,0.99233466,7.091831699999999,9.566625
7,1.0,14.974279999999998,7.308554172515869,1.0,-130.9533,1.1428573,11.43206,9.374537785161252,,15.807039999999999,160,8.5366,20.204622,15.807039999999999,6.857144,10.801525999999999,,8,1.1428573,,2.4494898,2.7994173,0.11,0.857143,0.99233466,7.2982283,9.437872
8,1.0,12.651157000000001,7.4542386531829825,1.0,-114.98416999999999,1.1249995000000002,11.314277,9.347410026813852,,15.807039999999999,180,8.513926,19.399187,15.807039999999999,7.8749975999999995,10.991367,,9,1.1250006000000001,,2.6457512000000003,2.9764692999999998,0.11,0.87499976,0.99233466,7.4501867,9.33521
9,1.0,14.138475,7.6077020168304434,1.0,-102.06138,1.1111106000000002,11.208917,9.457765322130069,,15.807039999999999,200,8.611085000000001,18.756439999999998,15.807039999999999,8.888885499999999,11.293700999999999,,10,1.1111116,,2.828427,3.1426957000000004,0.11,0.88888854,0.99233466,7.579175,9.262797
10,1.0,20.825745,7.817253828048706,1.0,-90.88115,1.1,11.113605999999999,9.38625892358411,,15.807039999999999,220,8.545993,18.213886,15.807039999999999,9.9,12.150229,,11,1.1,,3.0,3.3,0.11,0.9,0.99233466,7.675859,9.197633999999999
11,1.0,15.882651999999998,8.015742778778076,1.0,-81.97691,1.090909,11.026595,9.379479220727518,,15.807039999999999,240,8.538658,17.751545,15.807039999999999,10.909089999999999,12.452988000000001,,12,1.090909,,3.1622777,3.449757,0.11,0.9090908000000001,0.99233466,7.754295,9.142719
12,1.0,19.234545,8.248384714126589,1.0,-74.18526,1.0833324,10.946552,9.360806005529788,,15.807039999999999,260,8.524119,17.35045,15.807039999999999,11.916664,12.967692,,13,1.0833335,,3.3166248999999994,3.5930092000000005,0.11,0.91666645,0.99233466,7.8184457,9.095135
13,1.0,16.402418,8.420706748962402,1.0,-67.70942,1.0769233,10.872444,9.301084130393486,,15.807039999999999,280,8.470346000000001,16.994792999999998,15.807039999999999,12.923079,13.207106,,14,1.0769233,,3.4641016000000002,3.7305714999999995,0.11,0.92307705,0.99233466,7.8685946,9.050507000000001
14,1.0,6.4731793,8.711189270019531,1.0,-62.759319999999995,1.0714288,10.803452,9.356480528754362,,15.807039999999999,300,8.524075999999999,16.68358,15.807039999999999,13.928567999999999,12.753071,,15,1.0714288,,3.6055512000000003,3.8630898,0.11,0.92857116,0.99233466,7.915412,9.015411
15,1.0,16.510809,8.906853675842285,1.0,-57.8009,1.0666671,10.738913,9.37736215181045,,15.807039999999999,320,8.540718,16.406319,15.807039999999999,14.933338000000001,12.98348,,16,1.0666671,,3.7416577000000006,3.9911022000000003,0.11,0.93333364,0.99233466,7.957103,8.985743
16,1.0,15.719211999999999,9.243433237075807,1.0,-53.472626,1.0625004999999998,10.6782875,9.376705631716883,,15.807039999999999,340,8.538686,16.156174,15.807039999999999,15.937505999999999,13.140497,,17,1.0625004999999998,,3.8729837,4.1150459999999995,0.11,0.93750036,0.99233466,7.993453,8.959446
17,1.0,17.729765,9.541208028793337,1.0,-49.51376,1.0588226,10.62113,9.384558070745626,,15.807039999999999,360,8.542669,15.929275500000001,15.807039999999999,16.941177,13.391994,,18,1.0588245,,4.0000005,4.235294000000001,0.11,0.94117653,0.99233466,8.025757,8.936291
