,LQGsigma,TimeElapsed,SqrtESSClassic,ReturnAbsMax,LQGmu1,MISE,IWNorm2,DenMISELogLast,Iteration,Bound,IWMax,IWLastEpisode,ReturnStepMax,DenMISELogFirst,ReturnLastEpisode,target_sum_log_mean,ReturnMean,IWMean,ReturnMin,DenMISEMeanLog,TimestepsSoFar,URet,IWNorm1,LQGmu01,ReturnMax,IWFirstEpisode,IWMin
0,0.11,0.6308255195617676,1.0,15.644507999999998,-0.119,4.8004794,0.30684757,17.102016,1,6.372812000000001,0.30684757,0.30684757,0.99262077,17.102016,15.644507999999998,15.920612,15.644507999999998,0.30684757,,17.102016,20,17.332240856619553,0.30684757,-0.012,15.644507999999998,0.30684757,
1,0.11,16.411585330963135,1.4036758999999999,15.721279000000001,-0.111,18.193360000000002,1.6524159999999999,10.82809,2,19.319010000000002,1.3020996,1.3020996,0.9993023000000001,16.676486999999998,15.721279000000001,13.892881,15.682894000000001,1.1597283,,13.752289000000001,40,17.422696217582782,2.3194566,-0.011,15.721279000000001,1.017357,
2,0.11,17.32161831855774,1.1975253000000001,16.104210000000002,-0.128,21.919535,3.424872,10.997582000000001,3,23.271101,3.3722138,3.3722138,0.9993023000000001,16.682257,16.104210000000002,12.458717,15.823332999999998,1.3671236,,12.867958,60,17.827959525839233,4.101371,-0.013,16.104210000000002,0.1500018,
3,0.11,18.26870679855347,1.6419393,16.104210000000002,-0.128,20.651917,3.1434727000000002,16.055128,4,21.637660999999998,2.2037263,2.2037263,0.9995714,16.443365,16.01961,13.541811,15.872402,1.2903478000000002,,13.693648999999999,80,17.737906088921836,5.1613913,-0.013,16.104210000000002,0.18243302,
4,0.11,19.33771085739136,2.0548327,16.104210000000002,-0.126,17.993118,2.7429930000000002,19.859551999999997,5,18.78079,1.5601742,1.3834246000000001,0.9997905,16.26482,15.953967,14.934505999999999,15.888715,1.1272784,,14.960158999999999,100,17.670334395424547,5.636392,-0.013,16.104210000000002,0.3175847,
5,0.11,20.37201189994812,1.9087218000000001,16.127077,-0.144,15.673587,3.0686662,17.120420000000003,6,16.522758,1.9653918000000001,1.1773646,0.9997905,16.14408,16.127077,14.369804,15.928441000000001,0.97620505,,15.334989000000002,120,17.84851447142593,5.85723,-0.014,16.127077,0.010283789,
6,0.11,21.848621606826786,2.0113037,16.127077,-0.143,13.155292999999999,2.8539202,15.19696,7,13.961154999999998,1.7603215,0.14126347,0.9997905,15.991641,15.684844,14.281607000000001,15.893641,0.8200143,,15.306904999999999,140,17.376124259511002,5.7401,-0.014,16.127077,0.014909238,
7,0.11,23.060427904129032,1.4628203000000002,16.491685999999998,-0.149,23.907185000000002,8.00019,14.064886999999999,8,25.040255,7.729078299999999,7.729078299999999,0.9997905,15.860238,16.491685999999998,13.862873,15.968397,1.462855,,15.12825,160,18.23722586361048,11.70284,-0.015,16.491685999999998,0.0033556934999999996,
8,0.11,24.02477288246155,1.6481221000000001,16.491685999999998,-0.155,27.267208,9.078264,19.247206,9,28.272884,7.774721,4.4524903,0.9997905,15.742873999999999,16.455446,14.115351,16.022514,1.6624541000000002,,15.608151999999999,180,18.200447487818337,14.962088,-0.016,16.491685999999998,0.0008648258999999999,
9,0.11,25.673003673553467,1.7577037,16.491685999999998,-0.161,28.543726,9.895793,8.100761,10,29.486704,8.244149,3.4946330000000003,0.9997905,15.6376095,16.316278,12.945257000000002,16.051891,1.7393872,,14.89419,200,18.039577811010965,17.393871,-0.016,16.491685999999998,0.00012331404,
10,0.11,27.141554832458496,1.7149391,16.497618,-0.172,26.193195000000003,10.213389,15.411335000000001,11,27.160035999999998,9.056464,2.150666,0.9998277,15.542311999999999,16.497618,11.942828,16.092411,1.5923038,,14.981449,220,18.248060166586253,17.51534,-0.017,16.497618,3.5618113999999998e-06,
11,0.11,28.57051992416382,2.3761125,16.497618,-0.165,21.482466,6.6317716,13.215204,12,22.180275,3.7179531999999997,3.1634425999999998,0.9998499,15.4553,16.16645,13.019474,16.098581,1.3131529,,14.862079000000001,240,17.90361828854081,15.757833999999999,-0.017,16.497618,5.1098184e-05,
12,0.11,29.97064328193665,1.6848199000000001,16.649727,-0.199,14.933929000000001,6.969554,11.252982000000001,13,15.927128,5.406408,5.406408,0.9999600000000001,15.375262,16.649727,7.874645699999999,16.140978,0.9032648999999999,,14.601501,260,18.406627423187924,11.742443,-0.02,16.649727,6.1318575e-11,
13,0.11,31.17704057693481,2.1344397,16.649727,-0.188,18.019688000000002,7.172730400000001,14.632292000000001,14,18.803669,4.7503123,0.9985286,0.9999600000000001,15.301154,16.358185,10.241732,16.156492,1.0935544,,14.591123999999999,280,18.10230260181989,15.309760999999998,-0.019,16.649727,8.374265e-09,
14,0.11,32.7205171585083,2.3496627999999995,16.649727,-0.192,15.724723000000001,6.0861906999999995,12.102789,15,16.436892999999998,3.7482607000000003,2.4210954,0.9999600000000001,15.232161499999998,16.564728,9.889726,16.183708,0.95336634,,14.4264,300,18.316236247832972,14.300495000000002,-0.019,16.649727,2.053776e-09,
15,0.11,34.15776515007019,3.0371613999999996,16.649727,-0.173,21.74318,6.964784599999999,11.795312,16,22.294142,2.7135884999999997,1.7434124,0.9999600000000001,15.167623,16.635693,12.328341,16.211956,1.3220735000000001,,14.256504000000001,320,18.38495958104123,21.153175,-0.018,16.649727,3.0955766e-06,
