,ReturnMin,IWMin,SqrtESSClassic,IWNorm2,IWFirstEpisode,DenMISELogFirst,ReturnLastEpisode,TimestepsSoFar,DenMISELogLast,ReturnStepMax,Bound,ReturnAbsMax,target_sum_log_mean,LQGmu1,LQGmu01,IWMax,IWMean,Iteration,LQGsigma,IWNorm1,IWLastEpisode,MISE,ReturnMean,URet,DenMISEMeanLog,TimeElapsed,ReturnMax
0,,,1.0,1e-10,,17.102016,15.644507999999998,20,17.102016,0.99262077,46.933525,15.644507999999998,-591.4348,0.458,0.049,,,1,0.11,1e-10,,,15.644507999999998,17.332240856619553,17.102016,0.09985733032226562,15.644507999999998
1,,,1.4142135,1.4142136e-10,,16.408869,8.710541000000001,40,-9.903487,0.99262077,33.187016,15.644507999999998,-333.4946,0.458,0.049,3.0773645999999995e-29,1.5386822999999997e-29,2,0.11,2e-10,3.0773645999999995e-29,1.3402754999999998e-28,12.177525,9.553992583671665,3.2526908,5.070052146911621,15.644507999999998
2,,,1.7320506999999998,1.7320508999999999e-10,,16.003404999999997,8.618428,60,10.233627,0.99262077,27.097085999999997,15.644507999999998,-2003.8317,-0.456,-0.049,,,3,0.11,3e-10,,,10.991158500000001,9.466179879546036,5.30936,5.182922124862671,15.644507999999998
3,,,2.0,2e-10,,15.715722,16.511663000000002,80,-10.596635000000001,0.9999329,24.767494,16.511663000000002,-1533.6860000000001,-0.456,-0.049,,,4,0.11,4e-10,,,12.3712845,18.277621593424143,1.1170993,5.273561954498291,16.511663000000002
4,,,1.0,0.04235193,,15.4925785,17.088607999999997,100,19.27197,0.9999392,51.338825,17.088607999999997,-622.80975,1.0,0.606,0.04235193,0.008470386,5,0.11,0.04235193,,0.073001415,13.314748999999999,18.86761141848965,4.5695586,5.351683139801025,17.088607999999997
5,,,1.0,0.05039546599999999,,15.310257,8.783379,120,-11.0021,0.9999392,51.33821,17.088607999999997,-545.2661,1.0,0.606,0.05039546599999999,0.008399244,6,0.11,0.05039546599999999,,0.072388284,12.559522,9.62440044433178,1.8237534,5.562092781066895,17.088607999999997
6,,,1.0166487,3.4726953999999997,,15.156106,8.460329,140,12.798402000000001,0.9999392,54.69465,17.088607999999997,-465.3648,1.0,0.606,3.4722059,0.5043587,7,0.11,3.530511,3.4722059,4.2683573,11.973923,9.292158092186963,3.2606256,5.736225366592407,17.088607999999997
7,,,1.263583,2.763855,,15.022575,8.575863,160,15.603007999999999,0.9999392,44.277588,17.088607999999997,-405.27588,1.0,0.606,2.6525111,0.43654499999999996,8,0.11,3.4923599999999997,0.77376515,3.7057947999999996,11.549164999999999,9.416776407126124,4.737973,5.914961576461793,17.088607999999997
8,,,1.6001263000000001,2.602198,,14.904792,8.568379,180,20.456968,0.9999392,35.976933,17.088607999999997,-357.96625,1.0,0.606,2.2410316000000003,0.46264946,9,0.11,4.163844999999999,1.0553607,3.9383214,11.217967,9.41093806981763,6.4228206,6.0011634826660165,17.088607999999997
9,,,1.9160099,2.968723,,14.799432000000001,8.526228999999999,200,8.881833,0.9999392,31.602420000000002,17.088607999999997,-321.22528,1.0,0.606,1.9936178,0.5688103,10,0.11,5.6881027,1.753238,4.8458643,10.948792999999998,9.365008787086587,6.616488499999999,6.16560959815979,17.088607999999997
