,ReturnMin,target_sum_log_mean,URet,IWNorm1,LQGsigma,ReturnAbsMax,IWMax,SqrtESSClassic,IWNorm2,TimeElapsed,IWFirstEpisode,ReturnMax,ReturnStepMax,MISE,TimestepsSoFar,ReturnMean,Iteration,LQGmu01,IWMin,DenMISELogLast,IWLastEpisode,IWMean,Bound,DenMISELogFirst,DenMISEMeanLog,LQGmu1,ReturnLastEpisode
0,,-11.785177000000001,17.497854397219367,1.10322675e-10,0.11,15.807039999999999,1.0322671499999999e-11,1.0,1.10322675e-10,1.2078700065612793,1.0322671499999999e-11,15.807039999999999,0.99233466,1.6317088e-10,20,15.807039999999999,1,-0.02,,13.511501,1.0322671499999999e-11,1.0322671499999999e-11,1.5886673,13.511501,13.511501,-0.193,15.807039999999999
1,,4.2178907,18.165385368983713,1.7409583,0.11,16.416923999999998,1.7409583,1.0,1.7409583,29.39172625541687,6.921826400000001e-10,16.416923999999998,0.99936074,14.29059,40,16.111982,2,-0.019,,16.154163,1.7409583,0.87047917,15.940554,12.818355,14.486259,-0.185,16.416923999999998
2,,8.730236,18.27017719207366,4.663939,0.11,16.523888,3.1456451000000003,1.3352654,3.4928927000000005,30.7743182182312,1.8248491999999997e-08,16.523888,0.9996315999999998,25.576645000000003,60,16.249285,3,-0.018,,13.658501999999999,1.5182938999999998,1.5546464,26.820377,12.4128895,14.148762,-0.179,16.523888
3,,11.540564999999999,18.419368161803863,6.8356604999999995,0.11,16.658620000000003,4.9137864,1.3405281,5.0992293,32.59081411361694,7.873221e-07,16.658620000000003,0.99988157,28.136503,80,16.35162,4,-0.017,,16.0001,0.89006495,1.7089151000000002,29.385454,12.125207000000001,14.677498000000002,-0.17,16.658620000000003
4,,11.946736999999999,18.14013957089408,9.110599,0.11,16.658620000000003,7.054829600000001,1.2665784,7.1930785,33.998206615448,0.00013348389,16.658620000000003,0.99988157,29.937872,100,16.363483,5,-0.016,,9.333633,1.2962713,1.8221197,31.259743,11.902063,13.67655,-0.156,16.410948
5,,13.331527,17.571391614515104,13.210362,0.11,16.658620000000003,7.4915294999999995,1.499688,8.808741,36.04553389549256,0.0016889095000000001,16.658620000000003,0.99988157,35.452496000000004,120,16.278513,6,-0.015,,17.655554000000002,7.4915294999999995,2.2017272,36.568897,11.719769,14.397273,-0.148,15.853651999999999
6,,13.085721000000001,18.135496709606297,10.259706,0.11,16.658620000000003,5.608328299999999,1.5712214,6.5297647,38.03569102287293,0.030051814,16.658620000000003,0.99988157,23.607879999999998,140,16.295752,7,-0.014,,12.104366,1.055084,1.4656723,24.673454,11.5659,14.160454999999999,-0.138,16.399197
7,,-188.49768,18.101679182425052,8e-10,0.11,16.658620000000003,,2.828427,2.8284272e-10,40.37386798858642,,16.658620000000003,0.99988157,,160,16.30451,8,-0.088,,14.526914999999999,,,0.5919383,11.436652,14.234777,-0.705,16.365820000000003
8,,-175.00931,18.87934816002161,9.409144,0.11,17.099857,9.409144,1.0,9.409144,41.906916856765754,,17.099857,0.99988157,17.877224,180,16.392882999999998,9,-0.092,,13.530303,9.409144,1.0454605,19.595825,11.318869,14.051807,-0.727,17.099857
9,,-138.17283999999998,18.892041264521534,11.239313000000001,0.11,17.112257,7.021866,1.3721438999999997,8.19106,43.98985147476196,,17.112257,0.9999804,19.227772,200,16.46482,10,-0.083,,12.813022,7.021866,1.1239313,20.481173000000002,11.213509,13.904666,-0.68,17.112257
