,ReturnMax,DenMISELogFirst,ReturnLastEpisode,target_sum_log_mean,DenMISEMeanLog,Bound,LQGmu1,ReturnStepMax,IWMax,ReturnAbsMax,DenMISELogLast,TimeElapsed,LQGmu01,Iteration,IWLastEpisode,LQGsigma,IWNorm1,IWMin,SqrtESSClassic,MISE,IWNorm2,URet,TimestepsSoFar,ReturnMin,IWMean,ReturnMean,IWFirstEpisode
0,15.058442000000001,18.60218,15.058442000000001,-503.24225,18.60218,1.5134303999999998,-1.0,0.9625284,,15.058442000000001,18.60218,0.494318962097168,-0.42,1,,0.11,1e-10,,1.0,,1e-10,16.687925283112616,20,,,15.058442000000001,
1,16.508476,17.909032999999997,16.508476,-249.35242000000002,10.876512,18.1946,-1.0,0.9869969000000001,2.003266,16.508476,3.8439898,14.421086072921753,-0.422,2,2.003266,0.11,2.003266,,1.0,16.535435,2.003266,18.231684851967206,40,,1.001633,15.783458999999999,
2,16.822939,17.503569,16.822939,-159.17856,14.133172,17.866903,-1.0,0.99996305,1.5010353,16.822939,20.763458,14.943742752075195,-0.422,3,1.49999,0.11,3.0010252,,1.4142133999999997,16.671349,2.1220455,18.550357817106107,60,,1.0003418,16.129953,
3,16.822939,17.215887,16.699317999999998,-114.68802,15.203783,17.797703,-1.0,0.99996305,1.3885665,16.822939,18.467506,15.926368474960327,-0.415,4,1.3885665,0.11,4.0344152,,1.7315791,16.821270000000002,2.3299053,18.424759842685443,80,,1.0086038,16.272292999999998,
4,16.822939,16.992743,16.681793,-88.9905,14.871657999999998,17.644560000000002,-1.0,0.99996305,1.292409,16.822939,13.566294000000001,16.790049076080322,-0.414,5,1.2619791999999999,0.11,5.03608,,1.9997096,16.799053,2.5184057,18.40272116612204,100,,1.007216,16.354193,
5,16.822939,16.810420999999998,16.600458,-71.34585600000001,15.168797,17.585115,-1.0,0.99996305,1.2428857,16.822939,16.667772,17.384021282196045,-0.413,6,1.2351815000000002,0.11,6.0597634000000005,,2.235633,16.828833,2.7105360000000003,18.315524367557693,120,,1.0099605,16.395236999999998,
6,16.822939,16.656271,16.65234,-58.42256999999999,15.700880999999999,17.650864000000002,-1.0,0.99996305,1.2624053,16.822939,18.898417000000002,18.25895595550537,-0.409,7,1.2624053,0.11,7.125551,,2.447653,16.960093,2.911177,18.37647327322872,140,,1.0179359000000001,16.431967,
7,16.822939,16.52274,16.695396,-49.353657,15.496889000000001,17.361162,-1.0,0.99996305,1.1503916,16.822939,14.063502,18.855422258377075,-0.416,8,1.1384756999999999,0.11,8.027064999999999,,2.6457374,16.722109,3.0339615,18.420164091753445,160,,1.0033832,16.464895000000002,
8,16.822939,16.404957,16.695724,-41.690216,15.988417000000002,20.088634,-0.999,0.99996305,3.9442437000000004,16.822939,19.925234,19.535945653915405,-0.385,9,3.9442437000000004,0.11,10.429514999999999,,2.219998,19.327026,4.697984,18.426997318488894,180,,1.1588348999999998,16.490543,
9,16.822939,16.299595,16.788486,-36.150845000000004,15.78031,18.401222,-0.999,0.99996305,3.2413414,16.822939,13.808864000000002,20.272234201431274,-0.383,10,1.0735588,0.11,10.623937,,2.517127,17.729517,4.220659700000001,18.515499456732847,200,,1.0623936999999999,16.520336,
10,16.822939,16.204285000000002,16.677698,-31.262867,15.874728,18.189976,-0.999,0.99996305,2.2738276,16.822939,16.78719,21.32679772377014,-0.388,11,1.4383255,0.11,11.615953,,2.9641356,17.619568,3.9188332999999997,18.40645947880497,220,,1.0559958,16.534643,
11,16.822939,16.117273,16.731892000000002,-27.111183,16.06829,17.903734,-1.0,0.99996305,1.7001263999999998,16.822939,18.156832,22.24132013320923,-0.393,12,1.123055,0.11,12.499895,,3.2492619,17.383379,3.8469954,18.455915617146577,240,,1.0416579,16.55108,
12,16.822939,16.037231,16.799404,-24.174704000000002,15.668448000000001,18.347723000000002,-0.999,0.99996305,1.9117806,16.822939,10.83731,23.020315885543823,-0.389,13,1.6375532,0.11,13.886051,,3.3319714,17.840284,4.167518,18.535788610776237,260,,1.0681578,16.570183,
13,16.822939,15.963123000000001,16.719679,-21.228193,15.765079,18.754757,-0.999,0.99996305,2.1591082000000004,16.822939,16.964622,23.79448390007019,-0.383,14,1.7504946,0.11,15.298646,,3.382393,18.254883,4.5230246,18.444147824155273,280,,1.0927604,16.58086,
14,16.822939,15.894131,16.762757999999998,-18.588667,15.921012,18.64595,-0.999,0.99996305,1.9659542,16.822939,18.025976,24.750105142593387,-0.383,15,1.3334166,0.11,16.313557,,3.571674,18.172567,4.567482,18.49387318977979,300,,1.0875704,16.592987,
15,16.822939,15.829592000000002,16.706595999999998,-16.400673,15.940203,18.850342,-0.999,0.99996305,1.9899630000000001,16.822939,16.152256,26.243987560272217,-0.381,16,1.6059704,0.11,17.610348000000002,,3.681944,18.391136,4.782894000000001,18.43282741511332,320,,1.1006467,16.600088,
16,16.822939,15.768968,16.700792,-14.35679,16.085655,18.230223000000002,-0.999,0.99996305,1.6875427,16.822939,18.324463,27.25399947166443,-0.385,17,0.8040515,0.11,18.105785,,3.8796356,17.794416000000002,4.666877700000001,18.422568828634333,340,,1.0650462,16.60601,
17,16.822939,15.711808999999999,16.627188,-12.569394,16.183922,18.614882,-0.999,0.99996305,1.9239802,16.822939,17.79705,28.0180504322052,-0.379,18,1.8430531000000003,0.11,19.594382999999997,,3.894187,18.180704000000002,5.0317006,18.351172711261608,360,,1.0885768,16.607187,
