,IWNorm1,Iteration,Bound,SqrtESSClassic,LQGsigma,IWMean,DenMISELogFirst,target_sum_log_mean,ReturnLastEpisode,MISE,IWMax,ReturnMin,DenMISEMeanLog,ReturnStepMax,TimestepsSoFar,LQGmu1,TimeElapsed,ReturnAbsMax,IWMin,LQGmu01,DenMISELogLast,IWLastEpisode,IWNorm2,ReturnMean,URet,IWFirstEpisode,ReturnMax
0,1e-10,1,47.42112,1.0,0.11,,13.511501,-1081.2155,15.807039999999999,,,,13.511501,0.99233466,20,1.0,0.193270206451416,15.807039999999999,,0.587,13.511501,,1e-10,15.807039999999999,17.497854397219367,,15.807039999999999
1,2e-10,2,33.5318,1.4142135,0.11,8.5433475e-20,12.818355,-567.1662,8.608342,7.3544059999999995e-19,1.7086695e-19,,1.4574337,0.99233466,40,1.0,4.772207021713257,15.807039999999999,,0.587,-9.903487,1.7086695e-19,1.4142136e-10,12.207691,9.444017119258,,15.807039999999999
2,1.5,3,51.680847,1.0,0.11,0.5,12.4128895,-373.34592000000004,8.519454,4.259727,1.5,,5.331033000000001,0.99233466,60,1.0,4.8450372219085684,15.807039999999999,,0.587,13.889163,1.5,1.5,10.978278999999999,9.357533310929476,,15.807039999999999
3,2.6666665000000003,4,39.209675,1.4142135,0.11,0.6666666,12.125207000000001,-275.9769,8.514177,5.677877,1.333334,,7.844484,0.99233466,80,1.0,4.930540084838867,15.807039999999999,,0.587,15.842417999999999,1.333334,1.885618,10.362252999999999,9.349345311296524,,15.807039999999999
4,3.75,5,33.75943,1.7320508000000001,0.11,0.75,11.902063,-218.73734,8.4897,6.380833,1.25,,8.211707,0.99233466,100,1.0,5.064403295516968,15.807039999999999,,0.587,9.997811,1.25,2.1650636000000003,9.987743,9.320908297065099,,15.807039999999999
5,4.8,6,30.519058,2.0,0.11,0.8,11.719742,-179.20893999999998,8.519156,6.8084983999999995,1.2,,9.844505999999999,0.99233466,120,1.0,5.14265513420105,15.807039999999999,,0.587,18.250675,1.2,2.4,9.742977999999999,9.360986810277963,,15.807039999999999
6,5.833334,7,28.2992,2.236068,0.11,0.83333343,11.565591,-151.767,8.508499,7.091831699999999,1.166667,,10.228843,0.99233466,140,1.0,5.278531789779663,15.807039999999999,,0.587,12.730482,1.166667,2.6087463,9.566625,9.342529711258434,,15.807039999999999
7,6.857144,8,26.657818,2.4494898,0.11,0.857143,11.43206,-130.90764,8.5366,7.2982283,1.1428573,,10.801525999999999,0.99233466,160,1.0,5.4728615283966064,15.807039999999999,,0.587,14.974279999999998,1.1428573,2.7994173,9.437872,9.374537785161252,,15.807039999999999
8,7.8749975999999995,9,25.373688,2.6457512000000003,0.11,0.87499976,11.314277,-114.94358999999999,8.513926,7.4501867,1.1250006000000001,,10.991367,0.99233466,180,1.0,5.59952187538147,15.807039999999999,,0.587,12.651157000000001,1.1249995000000002,2.9764692999999998,9.33521,9.347410026813852,,15.807039999999999
9,8.888885499999999,10,24.345074,2.828427,0.11,0.88888854,11.208917,-102.02486,8.611085000000001,7.579175,1.1111116,,11.293700999999999,0.99233466,200,1.0,5.71609091758728,15.807039999999999,,0.587,14.138475,1.1111106000000002,3.1426957000000004,9.262797,9.457765322130069,,15.807039999999999
10,9.9,11,23.482899,3.0,0.11,0.9,11.113605999999999,-90.847946,8.545993,7.675859,1.1,,12.150229,0.99233466,220,1.0,5.819371700286865,15.807039999999999,,0.587,20.825745,1.1,3.3,9.197633999999999,9.38625892358411,,15.807039999999999
11,10.909089999999999,12,22.75017,3.1622777,0.11,0.9090908000000001,11.026595,-81.94648000000001,8.538658,7.754295,1.090909,,12.452988000000001,0.99233466,240,1.0,5.940900087356567,15.807039999999999,,0.587,15.882651999999998,1.090909,3.449757,9.142719,9.379479220727518,,15.807039999999999
12,11.916664,13,22.116451,3.3166248999999994,0.11,0.91666645,10.946552,-74.157166,8.524119,7.8184457,1.0833335,,12.967692,0.99233466,260,1.0,6.025405406951903,15.807039999999999,,0.587,19.234545,1.0833324,3.5930092000000005,9.095135,9.360806005529788,,15.807039999999999
13,12.923079,14,21.557894,3.4641016000000002,0.11,0.92307705,10.872444,-67.683334,8.470346000000001,7.8685946,1.0769233,,13.207106,0.99233466,280,1.0,6.100932836532593,15.807039999999999,,0.587,16.402418,1.0769233,3.7305714999999995,9.050507000000001,9.301084130393486,,15.807039999999999
14,13.928567999999999,15,21.067664999999998,3.6055512000000003,0.11,0.92857116,10.803452,-62.73497,8.524075999999999,7.915412,1.0714288,,12.753071,0.99233466,300,1.0,6.263352394104004,15.807039999999999,,0.587,6.4731793,1.0714288,3.8630898,9.015411,9.356480528754362,,15.807039999999999
15,14.933338000000001,16,20.63093,3.7416577000000006,0.11,0.93333364,10.738913,-57.778071999999995,8.540718,7.957103,1.0666671,,12.98348,0.99233466,320,1.0,6.440630674362183,15.807039999999999,,0.587,16.510809,1.0666671,3.9911022000000003,8.985743,9.37736215181045,,15.807039999999999
16,15.937505999999999,17,20.237534,3.8729837,0.11,0.93750036,10.6782875,-53.45114,8.538686,7.993453,1.0625004999999998,,13.140497,0.99233466,340,1.0,6.617146015167236,15.807039999999999,,0.587,15.719211999999999,1.0625004999999998,4.1150459999999995,8.959446,9.376705631716883,,15.807039999999999
17,16.941177,18,19.881035,4.0000005,0.11,0.94117653,10.62113,-49.49347,8.542669,8.025757,1.0588245,,13.391994,0.99233466,360,1.0,6.811985969543457,15.807039999999999,,0.587,17.729765,1.0588226,4.235294000000001,8.936291,9.384558070745626,,15.807039999999999
