,LQGsigma,IWNorm1,Iteration,ReturnMean,ReturnStepMax,Bound,IWMax,URet,ReturnMin,MISE,DenMISELogLast,IWLastEpisode,ReturnLastEpisode,TimestepsSoFar,IWNorm2,DenMISELogFirst,target_sum_log_mean,IWFirstEpisode,TimeElapsed,LQGmu1,LQGmu01,IWMin,ReturnAbsMax,SqrtESSClassic,DenMISEMeanLog,IWMean,ReturnMax
0,0.11,0.9818458000000001,1,15.807039999999999,0.99233466,17.108744,0.9818458000000001,17.497854397219367,,15.520076000000001,13.511501,0.9818458000000001,15.807039999999999,20,0.9818458000000001,13.511501,13.493179999999999,0.9818458000000001,0.8348433971405029,-0.085,-0.008,,15.807039999999999,1.0,13.511501,0.9818458000000001,15.807039999999999
1,0.11,3.9637809,2,15.511194,0.99233466,31.699734000000003,3.1709576,16.85564728966543,,30.389706,19.320435,3.1709576,15.215347,40,3.2685685,13.502382999999998,16.872349,0.7928233,17.981147289276127,-0.081,-0.008,,15.807039999999999,1.2126963,16.41141,1.9818904,15.807039999999999
2,0.11,5.5891886,3,15.300021,0.99233466,29.538448,4.2817545,16.481388482355293,,28.283882000000002,13.789619,1.0366235000000001,14.877676000000001,60,4.413768,13.430823,15.756439000000002,0.27081063,18.910831451416016,-0.07,-0.007,,15.807039999999999,1.2663078,15.695107,1.8630629,15.807039999999999
3,0.11,5.5129123,4,15.2964,0.99233466,21.823547,1.9606366999999998,16.936632860039552,,20.969486,15.717272,1.725543,15.285539000000002,80,2.963721,13.229567999999999,16.013393,0.5302401999999999,20.023144960403442,-0.073,-0.007,,15.807039999999999,1.860132,15.802382000000001,1.3782281,15.807039999999999
4,0.11,6.7512217,5,15.144485000000001,0.99233466,21.056057,2.3031552000000004,16.077793329002585,,20.230017,9.860331,2.3031552000000004,14.536829000000001,100,3.5103517,13.130904000000001,14.679129000000001,0.21923783,21.07357883453369,-0.066,-0.007,,15.807039999999999,1.9232323,14.668009,1.3502443000000002,15.807039999999999
5,0.11,8.69364,6,14.909792999999999,0.99233466,21.776825,3.647335,15.273131751192222,,20.946904999999997,17.906895000000002,3.647335,13.736327,120,4.541555000000001,12.991496000000001,15.147515,0.11524323,22.46007466316223,-0.062,-0.006,,15.807039999999999,1.9142430000000001,15.248308999999999,1.4489398999999998,15.807039999999999
6,0.11,4.849509200000001,7,14.872794,0.99233466,11.418833,1.9297816000000003,16.221772439962134,,10.59511,11.997516000000001,0.14922546,14.650804500000001,140,2.514468,12.856371000000001,13.902410999999999,1.9297816000000003,23.683656215667725,-0.085,-0.009,,15.807039999999999,1.9286423,14.827399,0.69278705,15.807039999999999
7,0.11,10.663281,8,14.939924,0.99233466,20.122139999999998,2.9099953,17.068491127638627,,19.429287,14.430693,0.17088416,15.409826,160,4.6505019999999995,12.966321,14.57187,0.13481344,24.92238450050354,-0.063,-0.006,,15.807039999999999,2.2929310000000003,14.740547,1.3329102,15.807039999999999
8,0.11,11.326300999999999,9,14.916097,0.99233466,19.046183,2.3032124,16.281963848428575,,18.433532999999997,9.848456,1.5986128000000002,14.725485,180,4.367849,12.86525,14.146834,0.17227863,26.22354340553284,-0.063,-0.006,,15.807039999999999,2.5931072,14.224552,1.2584778,15.807039999999999
9,0.11,7.5072865,10,14.934288,0.99233466,11.586193,2.2258787,16.757170785284806,,10.896823,16.658665,0.010984453,15.098007,200,3.2576349,12.77885,13.2641325,0.036698047000000004,27.303099870681766,-0.055,-0.006,,15.807039999999999,2.3045206,14.488596,0.75072867,15.807039999999999
10,0.11,0.0077077280000000005,11,14.916007,0.99233466,1.1091194,0.004642732,16.33853157999526,,0.0108925635,20.454632,2.9561655e-11,14.733194000000001,220,0.0053282613000000005,12.687202000000001,-3.2953513,0.004642732,28.69386601448059,-0.141,-0.014,,15.807039999999999,1.4465747,15.008219,0.0007007025,15.807039999999999
11,0.11,14.672651,12,14.992432999999998,0.9995620999999999,20.931060000000002,14.529247,17.541516301509294,,19.355291,14.897367000000001,14.529247,15.833127,240,14.529544,12.600614,3.425971,0.07123858,29.756505250930786,-0.129,-0.013,,15.833127,1.0098494,14.919279999999999,1.222721,15.833127
12,0.11,14.2867775,13,15.103995000000001,0.9995620999999999,16.724,2.2460468,18.184659237907287,,16.14246,17.513895,0.00020388560000000002,16.442747,260,5.0275598,12.526489999999999,13.677885999999999,0.21365023,30.72279000282288,-0.063,-0.006,,16.442747,2.8416922000000002,15.106923000000002,1.0989829,16.442747
