,ReturnStepMax,IWLastEpisode,LQGmu01,IWMax,target_sum_log_mean,IWFirstEpisode,DenMISELogLast,Bound,ReturnMax,IWNorm1,TimeElapsed,IWNorm2,ReturnMin,MISE,DenMISEMeanLog,SqrtESSClassic,URet,Iteration,LQGmu1,ReturnMean,ReturnAbsMax,IWMin,TimestepsSoFar,IWMean,ReturnLastEpisode,LQGsigma,DenMISELogFirst
0,0.99233466,1.0494451999999999,-0.01,1.0494451999999999,13.559763,1.0494451999999999,13.511501,18.177288,15.807039999999999,1.0494451999999999,0.4155850410461426,1.0494451999999999,,16.588621,13.511501,1.0,17.497854397219367,1,-0.099,15.807039999999999,15.807039999999999,,20,1.0494451999999999,15.807039999999999,0.11,13.511501
1,0.99233466,1.7670292,-0.01,1.7670292,17.007061,1.1244868000000001,19.79157,23.73762,15.807039999999999,2.891516,15.7254056930542,2.0944839,,22.58686,16.663746,1.3805386999999998,17.175772747481727,2,-0.095,15.656339000000001,15.807039999999999,,40,1.445758,15.505637,0.11,13.535923
2,0.99233466,1.0410848,-0.009,2.5826062999999997,16.257673,1.0809072,14.110327999999999,25.360462,15.807039999999999,4.7045984,16.578610897064213,2.986984,,24.351807,15.902051,1.5750331,16.941427626354933,3,-0.09,15.536252,15.807039999999999,,60,1.5681995000000002,15.296079999999998,0.11,13.576581
3,0.99233466,0.7106077,-0.008,3.2811573,16.016731,0.67235243,16.136295,21.349478,15.807039999999999,5.2191553,17.459017515182495,3.468585,,20.293669,16.051514,1.5046928999999998,17.427420059944403,4,-0.08,15.585594,15.807039999999999,,80,1.3047888,15.733621,0.11,13.596606
4,0.99233466,3.373224,-0.008,3.373224,14.589203,0.530311,8.612748,22.948202,15.807039999999999,7.233224000000001,18.44495964050293,4.2073617,,22.024117999999998,14.594812,1.7191828000000002,16.414928940764987,5,-0.076,15.436972,15.807039999999999,,100,1.4466448,14.842483499999998,0.11,13.528831
5,0.99233466,5.092581,-0.006,5.092581,14.262054000000001,0.10493506,17.480577,20.601912,15.807039999999999,8.08104,19.352365255355835,5.454582,,19.529585,15.121846,1.4815141,15.68275017305592,6,-0.064,15.215344,15.807039999999999,,120,1.34684,14.107204999999999,0.11,13.447315
6,0.99233466,3.0106057999999996,-0.007,3.0777209,14.573442000000002,0.34306064,11.1545,23.798617999999998,15.807039999999999,10.909195,20.339662790298465,5.147772,,23.048967,14.575334,2.1192071,16.358944422289603,7,-0.071,15.152601,15.807039999999999,,140,1.5584563999999999,14.776139,0.11,13.310503
7,0.99233466,1.135235,-0.007,2.8629928,14.215141000000001,0.16296056,14.646557999999999,18.453453,15.807039999999999,9.599699000000001,21.113587617874146,4.4414,,17.71844,14.635141,2.1614127,16.709159309394888,8,-0.065,15.144243,15.807039999999999,,160,1.1999624,15.085742999999999,0.11,13.224817000000002
8,0.99233466,0.90679973,-0.008,1.6614636999999999,14.422282000000001,1.1503246999999999,11.450273,18.45832,15.807039999999999,10.633381,22.06664490699768,3.6794105000000004,,17.908604,14.295544,2.8899686,16.289807867411373,9,-0.081,15.098101000000002,15.807039999999999,,180,1.1814867,14.728947,0.11,13.127199
9,0.99618685,0.03721809,-0.007,2.056953,14.197146,0.43667603,15.732023000000002,18.56679,15.807039999999999,12.076813000000001,22.979575395584106,4.514362,,17.972939,14.45491,2.6751982999999995,17.15162177864718,10,-0.071,15.134293,15.807039999999999,,200,1.2076813,15.4600315,0.11,13.142119000000001
10,0.99618685,6.082736999999999e-29,-0.024,2.475313e-14,-54.877293,2.2173053e-20,20.48541,0.47900125,15.807039999999999,1.1000247e-09,24.08409810066223,3.3166997e-10,,3.478954e-14,15.018007999999998,3.3166244,16.919398895322587,11,-0.233,15.145966,15.807039999999999,,220,2.2502891000000003e-15,15.262692999999999,0.11,13.089551
11,0.99971986,16.422285000000002,-0.023,16.422285000000002,-46.015793,2.8265708e-19,12.039414,24.17377,16.455627,16.422285000000002,24.815608501434326,16.422285000000002,,22.519918,14.690032,1.0,18.20831429717601,12,-0.228,15.255104000000001,16.455627,,240,1.3685237,16.455627,0.11,13.00254
12,0.9999815000000001,5.015272599999999,-0.022,13.567827,-34.66601,7.1453655e-17,17.482899,25.039935999999997,16.950782999999998,18.5831,25.63199877738953,14.465092000000002,,23.713839,14.897310000000001,1.2846859,18.72354749252789,13,-0.218,15.385539999999999,16.950782999999998,,260,1.4294692,16.950782999999998,0.11,12.922497
13,0.9999815000000001,0.56043905,-0.016,3.3742952000000006,-3.4195466,6.5485565e-06,14.514915,6.1546106,16.950782999999998,3.9779322,27.40283489227295,3.420736,,4.689622,14.875541,1.1628878,18.544358032896994,14,-0.162,15.485121,16.950782999999998,,280,0.28413802,16.77965,0.11,12.848389
14,0.9999815000000001,0.21956812,-0.018,6.9206667,-7.799936,6.459369e-08,5.2047,11.511289,16.950782999999998,9.236097000000001,29.10208940505981,7.1817402999999995,,10.186602,14.183642,1.2860528,18.677125554666095,15,-0.174,15.58022,16.950782999999998,,300,0.6157398000000001,16.91163,0.11,12.779396
15,0.9999815000000001,4.443048,-0.019,7.0645857,-9.515114,2.0813649e-09,16.382004000000002,17.370892,16.950782999999998,15.792314999999999,30.75175499916077,8.963185000000001,,16.403976,14.293420999999999,1.7619088,18.45089558227112,16,-0.183,15.649510999999999,16.950782999999998,,320,0.98701966,16.688858,0.11,12.714858
