,ReturnLastEpisode,TimestepsSoFar,TimeElapsed,DenMISEMeanLog,ReturnMean,ReturnStepMax,IWMean,ReturnAbsMax,DenMISELogLast,target_sum_log_mean,IWMax,ReturnMax,DenMISELogFirst,SqrtESSClassic,LQGmu1,IWFirstEpisode,MISE,URet,Iteration,IWLastEpisode,IWNorm1,IWMin,LQGsigma,ReturnMin,IWNorm2,Bound,LQGmu01
0,15.644507999999998,20,0.20869994163513186,17.102016,15.644507999999998,0.99262077,,15.644507999999998,17.102016,-92.01430500000001,,15.644507999999998,17.102016,1.0,-0.34,,,17.332240856619553,1,,1e-10,,0.11,,1e-10,31.289016999999998,-0.035
1,16.710129000000002,40,6.691139936447144,9.96595,16.177319,0.9996768,1.2413261999999998,16.710129000000002,3.5230322,-42.14775,2.4826523999999996,16.710129000000002,16.408869,1.0,-0.335,,20.742722,18.474866750887244,2,2.4826523999999996,2.4826523999999996,,0.11,,2.4826523999999996,54.162980000000005,-0.035
2,17.044477,60,7.088447093963622,10.094324,16.466372,0.9999804,1.1388121999999998,17.044477,10.354933,-22.330927,2.471594,17.044477,16.003404999999997,1.291153,-0.325,,19.135,18.821180082790328,3,0.9448426,3.4164366999999998,,0.11,,2.6460357000000005,45.53695,-0.034
3,17.00716,80,7.838170051574707,11.668219,16.601570000000002,0.9999804,1.0119771,17.044477,16.378193,-10.78455,2.69171,17.044477,15.715722,1.413764,-0.313,,17.016102,18.781777136177226,4,0.80665207,4.0479083,,0.11,,2.8632134999999996,41.1283,-0.032
4,16.948416,100,8.107038259506227,13.253069,16.670938,0.9999804,1.1193225,17.044477,19.65803,-2.9406705,2.8424132,17.044477,15.4925785,1.5861923999999998,-0.299,9.547613e-36,18.845910999999997,18.72171813704359,5,2.0201132,5.596613,,0.11,,3.5283318,40.336967,-0.031
5,17.010979000000003,120,8.489563465118406,13.935507999999999,16.727613,0.9999804,0.7854007,17.044477,17.328522,2.182688,2.7082328999999996,17.044477,15.310257,1.5300204,-0.277,2.1752631999999996e-29,13.210312,18.785506126115905,6,0.43103004,4.7124043,,0.11,,3.0799618,35.49038,-0.028
6,16.725983,140,9.025230169296263,13.725547,16.72738,0.9999804,1.564812,17.044477,12.710336999999999,4.1334834,7.021658,17.044477,15.156106,1.4686245,-0.273,1.8318471e-28,26.229553000000003,18.487441623378114,7,7.021658,10.953683999999999,,0.11,,7.458464599999999,49.44104,-0.028
7,17.02789,160,9.443263053894043,14.173835,16.764942,0.9999804,1.0849075000000001,17.044477,17.045101000000003,5.710529,5.27013,17.044477,15.022575,1.5271059,-0.269,3.9091240000000004e-27,18.191175,18.802718321009433,8,0.112094216,8.679260000000001,,0.11,,5.68347,40.513763,-0.028
8,16.982946,180,9.682909965515137,14.907959,16.789165,0.9999894,0.9065023999999999,17.044477,20.822294,7.502165,4.841597599999999,17.044477,14.904792,1.5729246000000001,-0.263,1.7663495e-25,15.208117999999999,18.757159992033642,9,0.5679015000000001,8.158522,,0.11,,5.186848599999999,36.88046,-0.027
9,16.910967000000003,200,9.95421314239502,14.342313,16.801346,0.9999894,0.80373126,17.044477,9.420297999999999,7.777289,4.7968884,17.044477,14.799432000000001,1.5842245000000001,-0.255,2.3436265e-23,13.485342000000001,18.677124653213912,10,0.825109,8.0373125,,0.11,,5.073342,35.003098,-0.026
