,IWNorm2,IWMean,TimestepsSoFar,ReturnMin,IWNorm1,URet,IWMax,IWMin,Bound,ReturnStepMax,Iteration,ReturnLastEpisode,SqrtESSClassic,IWLastEpisode,LQGsigma,ReturnAbsMax,ReturnMean,ReturnMax,LQGmu1,target_sum_log_mean,DenMISELogLast,IWFirstEpisode,TimeElapsed,MISE,DenMISELogFirst,DenMISEMeanLog,LQGmu01
0,0.32188034,0.32188034,20,,0.32188034,17.497854397219367,0.32188034,,6.676642999999999,0.99233466,1,15.807039999999999,1.0,0.32188034,0.11,15.807039999999999,15.807039999999999,15.807039999999999,-0.114,12.377925999999999,13.511501,0.32188034,0.8097138404846191,5.0879755,13.511501,13.511501,-0.011
1,1.2365392,0.8721677,40,,1.7443354,17.438968773091496,0.9341199,,14.887709,0.99233466,2,15.745648000000001,1.4106591999999998,0.8102156,0.11,15.807039999999999,15.776344,15.807039999999999,-0.107,16.725212,20.63162,0.9341199,26.15853500366211,13.76152,13.097408999999999,16.864515,-0.011
2,2.500559,1.4119959,60,,4.2359877,17.256640855268508,1.7138758,,23.148014,0.99233466,3,15.58474,1.6940162,1.0013428,0.11,15.807039999999999,15.712476,15.807039999999999,-0.1,16.202272,14.006031,1.520769,27.89903736114502,22.210203,13.075205,15.882503,-0.01
3,2.9584238999999997,1.2592186,80,,5.036874299999999,17.640344801709553,2.3867762000000003,,20.80226,0.99264914,4,15.930029999999999,1.7025533,0.628271,0.11,15.930029999999999,15.766865,15.930029999999999,-0.089,16.043651999999998,16.172619,1.5663208999999998,29.638597249984738,19.86189,13.197593,16.026768,-0.009
4,1.8901744999999999,0.76900846,100,,3.8450422,16.74839201997555,1.217948,,12.871152,0.99264914,5,15.142892999999999,2.034226,0.28976290000000005,0.11,15.930029999999999,15.64207,15.930029999999999,-0.108,14.208319,8.714089999999999,0.7046831,31.419971704483032,12.084106,13.304889000000001,14.596138,-0.011
5,2.977331,1.2116271,120,,7.269763,16.593762364260257,1.3385768,,19.453982999999997,0.9970646000000001,6,14.939086999999999,2.4417047999999997,1.3385768,0.11,15.930029999999999,15.524906,15.930029999999999,-0.1,15.233332999999998,17.492511999999998,1.2921156999999999,33.293657541275024,18.798282999999998,13.254416,15.044606,-0.01
6,3.4820404000000003,1.2851583,140,,8.996108,17.43382566489161,1.6555514,,20.555613,0.9970646000000001,7,15.751463000000001,2.5835738,1.0007174,0.11,15.930029999999999,15.557271,15.930029999999999,-0.097,14.935321,12.5250025,1.3881361,35.207523584365845,19.935917,13.2953005,14.7101145,-0.01
7,2.8284272e-10,,160,,8e-10,17.470079426866448,,,0.566049,0.9970646000000001,8,15.781292,2.828427,,0.11,15.930029999999999,15.585273999999998,15.930029999999999,-0.739,-368.14035,15.137619,,37.245054483413696,,13.342676999999998,14.793683999999999,-0.094
8,9.631624,1.0701804,180,,9.631624,18.82333630547181,9.631624,,19.954407,0.9998714,9,17.04508,1.0,9.631624,0.11,17.04508,15.747473999999999,17.04508,-0.752,-332.77435,10.838991,,38.969050645828254,18.241312,13.224895000000002,14.2495775,-0.097
9,7.020137299999999,0.85245705,200,,8.524569999999999,18.89228286947132,6.8067082999999995,,15.992455999999999,0.9999832000000001,10,17.11253,1.2143025,6.8067082999999995,0.11,17.11253,15.883982000000001,17.11253,-0.655,-250.6836,12.756936999999999,,41.13752937316895,14.576108999999999,13.119534,14.078253,-0.078
10,6.7001505,1.0456195,220,,11.501814,18.985659872579948,4.5396410000000005,,18.900166,0.9999832000000001,11,17.203762,1.7166501,3.3265724000000003,0.11,17.203762,16.00396,17.203762,-0.739,-263.4501,19.322596,,43.231818675994866,17.892946,13.024223,14.529976999999999,-0.095
11,5.530769,0.8508300999999999,240,,10.209961,18.920933297521675,3.6551142,,15.527078,0.9999832000000001,12,17.141722,1.8460292,3.0029182,0.11,17.203762,16.098772,17.203762,-0.632,-196.37706,14.933039,,45.081149578094475,14.590449,12.937211999999999,14.558411999999999,-0.074
12,7.0558414,1.1920538999999999,260,,15.496701000000002,19.003519140023318,3.7960987,,21.230309,0.9999832000000001,13,17.220627,2.1962938,2.7391574,0.11,17.220627,16.18507,17.220627,-0.688,-200.95128,18.853745999999997,,47.234259128570564,20.442282000000002,12.857169,14.873417000000002,-0.084
13,6.2635274,1.0873972,280,,15.223560999999998,18.930257913293136,3.1094183999999996,,19.352083,0.9999832000000001,14,17.149952,2.4305092999999998,2.3120196,0.11,17.220627,16.253989999999998,17.220627,-0.73,-200.34595,15.459078,,49.19311332702637,18.639994,12.783061,14.922557000000001,-0.093
14,4.117597,0.51144725,300,,7.6717086,19.024006518929873,3.0602376000000002,,9.709477,0.9999832000000001,15,17.240845,1.8631518,3.0602376000000002,0.11,17.240845,16.319779999999998,17.240845,-0.825,-217.8112,5.535359,,50.84538507461548,8.779456,12.714068,14.298901,-0.117
15,6.3889727999999995,1.0226899999999999,320,,16.363039999999998,18.986051335085218,3.3741376000000005,,18.236578,0.9999832000000001,16,17.203642000000002,2.561138,3.2467616,0.11,17.240845,16.375023000000002,17.240845,-0.773,-186.92444,15.636841,,53.85115361213684,17.560015,12.64953,14.351870000000002,-0.102
16,6.5584683,1.0979435,340,,18.665041,18.945016368850037,3.0376263,,19.45049,0.9999832000000001,17,17.163698,2.8459451000000002,1.1290559,0.11,17.240845,16.421415,17.240845,-0.695,-152.72916999999998,14.629831,,56.35967874526978,18.841635,12.588905,14.367116000000001,-0.086
