,DenMISELogLast,SqrtESSClassic,URet,IWMin,ReturnMin,MISE,TimestepsSoFar,IWNorm2,target_sum_log_mean,IWFirstEpisode,IWMean,ReturnMax,DenMISEMeanLog,IWLastEpisode,LQGsigma,IWMax,LQGmu1,ReturnStepMax,TimeElapsed,ReturnLastEpisode,ReturnAbsMax,Bound,LQGmu01,ReturnMean,Iteration,IWNorm1,DenMISELogFirst
0,18.60218,1.0,16.687925283112616,,,18.214323,20,1.2095755,18.79245,1.2095755,1.2095755,15.058442000000001,18.60218,1.2095755,0.11,1.2095755,-0.105,0.9625284,0.7625701427459717,15.058442000000001,15.058442000000001,63.38965,-0.01,15.058442000000001,1,1.2095755,18.60218
1,21.181547,1.4141229,17.565936350579985,,,17.666866,40,1.6155303,20.074652,1.1293358999999998,1.1422791,15.865079000000001,19.941689999999998,1.1552223,0.11,1.1552223,-0.106,0.9965108,23.22262740135193,15.865079000000001,15.865079000000001,51.32394,-0.011,15.4617605,2,2.2845583,18.701833999999998
2,21.347223,1.7320506999999998,17.639493460089874,,,,60,1.7320508999999999e-10,-584.9839,,,15.929637,20.441086,,0.11,,0.43,0.99750483,24.45121741294861,15.929637,15.929637,27.590944,0.046,15.617719000000001,3,3e-10,18.744041
3,-10.596635000000001,2.0,9.59028310626341,,,5.274111999999999e-21,80,2e-10,-453.25543,,6.0327346e-22,15.929637,12.465894,2.4130939e-21,0.11,2.4130939e-21,0.43,0.99750483,25.37737226486206,8.74249,15.929637,23.894454999999997,0.046,13.898912,4,4e-10,18.45636
4,12.882676,1.0,9.414771256099462,,,2.2196832000000004,100,1.2945825,-332.41943,,0.2589165,15.929637,12.370737,1.2945825,0.11,1.2945825,0.393,0.99750483,26.03826880455017,8.572969,15.929637,50.008595,0.042,12.833722999999999,5,1.2945825,18.233217
5,15.450911499999998,1.1269186000000002,9.509730050457394,,,11.299521,120,6.956859,-269.2606,,1.3066355,15.929637,12.770539,6.8919897,0.11,6.8919897,0.385,0.99750483,27.65736031532288,8.65809,15.929637,53.706233999999995,0.041,12.137784,6,7.839813,18.050895999999998
6,18.219772,1.3823491,9.461883762208108,,,10.842519,140,6.3539634000000005,-222.64182000000002,,1.2547708999999998,15.929637,13.547089000000001,2.2495837000000005,0.11,5.9095254,0.376,0.99750483,29.10813331604004,8.615126,15.929637,45.413315000000004,0.039,11.634547,7,8.783396,17.896744
7,12.908401,1.6181341,9.490887432235944,,,13.301043,160,7.608150500000001,-186.89241,,1.5388760000000001,15.929637,13.472431,4.209101,0.11,6.1029663,0.363,0.99750483,30.23563432693481,8.638583,15.929637,42.834385,0.038,11.260052,8,12.311008000000001,17.763212
8,19.450151,1.6377655,9.467263656767225,,,11.776698,180,7.4864497000000005,-156.6926,,1.3623388,15.929637,14.167418,1.1887463,0.11,6.3387136,0.347,0.99750483,31.604233264923096,8.619449000000001,15.929637,40.95603,0.036,10.966652,9,12.261049,17.645429999999998
9,12.582730999999999,2.3808715,9.511050431946137,,,7.5661697,200,3.6829684,-152.52243,,0.8768674999999999,15.929637,14.025301999999998,1.1843615,0.11,1.8756331999999998,0.379,0.99750483,33.628778219223015,8.661108,15.929637,27.638192999999998,0.04,10.736097000000001,10,8.768675,17.54007
10,16.927310000000002,2.1910324,9.465595964909461,,,11.012193,220,6.395919999999999,-126.7073,,1.2739698,15.929637,14.276617000000002,1.2330818000000001,0.11,3.985439,0.351,0.99750483,35.835559606552124,8.615359,15.929637,32.82333,0.037,10.5433035,11,14.013668,17.444760000000002
11,17.356703,2.7466846,9.48939388448506,,,8.881524,240,4.494914,-120.55641999999999,,1.0288426,15.929637,14.547932000000001,1.8344781000000003,0.11,1.8344781000000003,0.369,0.99750483,37.21970891952515,8.639628,15.929637,26.280285,0.039,10.384664,12,12.346111,17.357748
12,10.694825,2.431257,9.504595963679547,,,11.562969,260,7.149309,-101.68194,,1.3370621,15.929637,14.251853,3.5384576,0.11,4.025671,0.34,0.99750483,38.815188407897956,8.653716000000001,15.929637,31.21902,0.035,10.251514,13,17.381807000000002,17.277704
13,15.785212,2.0085897,9.523069119764573,,,4.5310106,280,3.6712822999999997,-115.53731499999999,,0.5267214,15.929637,14.378817000000002,0.04901664,0.11,3.1208649,0.416,0.99750483,40.81082582473755,8.669166,15.929637,28.32328,0.044,10.138489,14,7.3740997,17.203598
14,17.416227,1.7005438000000002,9.438838482479726,,,3.74649,300,3.8471935,-116.52988400000001,,0.43615472,15.929637,14.549979,1.5915953999999999,0.11,3.4127227999999996,0.453,0.99750483,42.78560566902161,8.596708999999999,15.929637,31.848625,0.049,10.035703999999999,15,6.5423207,17.134604
15,15.53563,1.449647,9.409166634688669,,,1.3210635,320,1.7012615000000002,-173.32376000000002,,0.15413928,15.929637,14.576517,1.4895766000000001,0.11,1.4895766000000001,0.822,0.99750483,44.61938333511353,8.565947999999999,15.929637,34.28696,0.116,9.943844,16,2.4662285,17.070066
16,16.846943,1.5730332,9.398418989571539,,,2.7696192,340,3.4952064,-170.17403000000002,,0.32341620000000004,15.929637,14.661766,3.07849,0.11,3.07849,0.885,0.99750483,46.65559387207031,8.558034,15.929637,33.149723,0.139,9.862326,17,5.4980755,17.009441
17,16.271358,1.5650507,9.364318659877327,,,5.891245400000001,360,7.931526,-165.47928000000002,,0.6896245,15.929637,14.714107,7.256359599999999,0.11,7.256359599999999,0.93,0.99750483,49.06716799736023,8.527508000000001,15.929637,36.426303999999995,0.165,9.788169,18,12.41324,16.952282
