,LQGmu1,IWNorm2,ReturnStepMax,IWMean,ReturnMax,IWFirstEpisode,DenMISELogLast,TimeElapsed,target_sum_log_mean,DenMISELogFirst,IWMax,SqrtESSClassic,IWLastEpisode,TimestepsSoFar,LQGmu01,Bound,LQGsigma,URet,MISE,ReturnLastEpisode,ReturnAbsMax,IWNorm1,ReturnMin,Iteration,IWMin,ReturnMean,DenMISEMeanLog
0,-1.0,1e-10,0.9625284,,15.058442000000001,,18.60218,0.15048980712890625,-503.26215,18.60218,,1.0,,20,-1.0,30.116884000000002,0.11,16.687925283112616,,15.058442000000001,15.058442000000001,1e-10,,1,,15.058442000000001,18.60218
1,-1.0,1.9999981,0.9725072,0.99999905,16.432243,,3.8439879999999995,4.109193563461304,-249.3625,17.909032999999997,1.9999981,1.0,1.9999981,40,-1.0,49.296715,0.11,18.144616846529182,16.432228,16.432243,16.432243,1.9999981,,2,,15.745342,10.876511
2,-1.0,2.1223006,0.98573774,1.0004620000000002,16.615067,,20.76316,4.166088342666627,-159.18515,17.503569,1.5013869,1.4142135,1.5013869,60,-1.0,40.028584,0.11,18.322765784150594,16.531332,16.615067,16.615067,3.0013862000000002,,3,,16.03525,14.1328
3,-1.0,2.3103495,0.98573774,1.0004104,16.632465,,18.464476,4.366119384765625,-114.70067,17.215887,1.3349766,1.7320504,1.3333327,80,-1.0,35.772265999999995,0.11,18.348871629641422,16.566746,16.632465,16.632465,4.0016418,,4,,16.184555,15.202766
4,-1.0,2.5008626,0.98573774,1.0003449,16.632465,,13.575821,4.6092565059661865,-89.000656,16.992743,1.2517261999999998,1.9999996,1.25,100,-1.0,33.195595000000004,0.11,18.262353108788,16.563124,16.5498,16.632465,5.0017242,,5,,16.257603,14.871533
5,-1.0,2.6840718,0.98573774,1.0002943000000002,16.632465,,16.691053,4.87812614440918,-71.35493000000001,16.810420999999998,1.201766,2.2360678,1.2,120,-1.0,31.418308000000003,0.11,18.153056837450432,16.541779000000002,16.454857,16.632465,6.001766,,6,,16.29048,15.171660000000001
6,-1.0,2.8593569,0.98573774,1.0005662,16.632465,,18.94352,5.156220436096191,-58.43281999999999,16.656271,1.1687683999999998,2.449489,1.1685299,140,-1.0,30.114132,0.11,18.1666362707868,16.533777,16.462023000000002,16.632465,7.003963499999999,,7,,16.314985,15.708632999999999
7,-1.0,3.0253772999999997,0.98573774,1.0005491,16.632465,,13.908569,5.448885679244995,-49.373333,16.52274,1.1451812,2.6457502999999996,1.1428573,160,-1.0,29.115532,0.11,18.296611666168737,16.542564000000002,16.58791,16.632465,8.004392999999999,,8,,16.349102,15.482458
8,-1.0,3.183642,0.98573774,1.0005218,16.632465,,19.919369,5.747016429901122,-41.66097,16.404957,1.1274848999999998,2.8284261,1.1249995000000002,180,-1.0,28.310935999999998,0.11,18.315921989485414,16.550003,16.596622,16.632465,9.004696000000001,,9,,16.376604,15.974664
9,-1.0,3.3349757000000007,0.98573774,1.0004923000000001,16.63338,,13.7934,6.00493597984314,-36.104927,16.299595,1.1137161,2.9999987999999997,1.1111106000000002,200,-1.0,27.648666,0.11,18.343495627495262,16.559742,16.63338,16.63338,10.004923,,10,,16.402279999999998,15.755984
10,-1.0,3.4801219,0.98573774,1.0004643,16.63338,,17.067495,6.201660871505737,-31.262346,16.204285000000002,1.1026993999999999,3.1622763,1.1,220,-1.0,27.080697999999998,0.11,18.282009273010143,16.56082,16.567028,16.63338,11.005107,,11,,16.41726,15.874811
11,-1.0,3.6197197,0.98573774,1.0004373,16.63338,,18.159385999999998,6.570796251296997,-27.136566,16.117273,1.093682,3.3166233999999997,1.090909,240,-1.0,26.595684000000002,0.11,18.32191230797963,16.565374,16.608158,16.63338,12.005247,,12,,16.433167,16.064894
12,-1.0,3.754325,0.98573774,1.0004121,16.635742,,11.167105000000001,6.912520408630371,-24.183931,16.037231,1.086165,3.4641001000000005,1.0833335,260,-1.0,26.176079,0.11,18.351194434162462,16.571424,16.635742,16.635742,13.005358,,13,,16.44875,15.687910999999998
13,-1.0,3.8836777000000002,0.98573774,1.0001993,16.635742,,17.34232,7.299622535705566,-21.212618,15.963123000000001,1.0796709999999998,3.605549,1.0745042999999999,280,-1.0,25.800732,0.11,18.342666362730498,16.572876,16.629433,16.635742,14.00279,,14,,16.461657000000002,15.8059025
14,-1.0,4.009646,0.98573774,1.0001808,16.635742,,18.245598,7.651942491531372,-18.577461,15.894131,1.0741067,3.741655,1.0714283000000002,300,-1.0,25.466293,0.11,18.30530799133204,16.57411,16.591127,16.635742,15.002711999999999,,15,,16.470287,15.968395999999998
