,TimestepsSoFar,ReturnMin,ReturnMean,MISE,ReturnLastEpisode,SqrtESSClassic,IWMean,IWFirstEpisode,LQGmu01,ReturnAbsMax,Iteration,LQGsigma,DenMISEMeanLog,LQGmu1,IWNorm1,URet,Bound,DenMISELogLast,IWMax,target_sum_log_mean,DenMISELogFirst,IWLastEpisode,ReturnMax,TimeElapsed,IWMin,ReturnStepMax,IWNorm2
0,20,,15.058442000000001,18.214323,15.058442000000001,1.0,1.2095755,1.2095755,-0.01,15.058442000000001,1,0.11,18.60218,-0.105,1.2095755,16.687925283112616,48.331207,18.60218,1.2095755,18.79245,18.60218,1.2095755,15.058442000000001,0.5322551727294922,,0.9625284,1.2095755
1,40,,15.4617605,18.044864999999998,15.865079000000001,1.4133091,1.1659758,1.1242573,-0.011,15.865079000000001,2,0.11,19.941689999999998,-0.11,2.3319516,17.565936350579985,40.495834,21.181547,1.2076944,20.094607999999997,18.701833999999998,1.2076944,15.865079000000001,17.232131004333493,,0.9965108,1.649994
2,60,,15.631595,14.051892,15.971264000000001,1.6600673,0.8949756,0.7139852,-0.01,15.971264000000001,3,0.11,20.4916,-0.097,2.6849267000000006,17.68470541224484,33.2936,21.483894,1.2716296,20.340181,18.742418,1.2716296,15.971264000000001,18.03907585144043,,0.99794203,1.6173601
3,80,,15.757331,12.020916999999999,16.134539,1.8979169999999999,0.7603909000000001,0.5894348,-0.009,16.134539,4,0.11,20.062271,-0.094,3.0415634999999996,17.85891559631328,29.023281,18.860917999999998,1.1956613999999999,19.741785,18.668229999999998,0.6587898,16.134539,18.945344448089603,,0.9994071,1.6025798
4,100,,15.652681,14.898507999999998,15.234078,2.0712778999999997,0.94950694,1.2121876,-0.011,16.134539,5,0.11,18.730915,-0.112,4.7475347999999995,16.870788728153407,30.477818,13.60736,1.3243983,18.571222,18.582548000000003,0.38968959999999997,16.134539,19.756962537765503,,0.9994071,2.2920802000000005
5,120,,15.68935,20.235825,15.872697,1.6804483000000001,1.2801718999999998,0.84740627,-0.012,16.134539,6,0.11,18.31579,-0.118,7.681031,17.579146867859546,39.438484,16.293184,4.2193135999999996,18.066383,18.617302,4.2193135999999996,16.134539,20.843945503234863,,0.9994071,4.5708227
6,140,,15.715516000000001,17.655638,15.872515,1.4802911,1.1129863000000002,0.24040636,-0.013,16.134539,7,0.11,18.332514,-0.13,7.790903999999999,17.579901888497567,39.45478,18.287066,4.9995804,17.269306,18.595263,1.4656565000000001,16.134539,21.87974500656128,,0.9994071,5.263089
7,160,,15.734769,17.616425,15.869535999999998,2.2149259999999997,1.1120433,0.5531621999999999,-0.012,16.134539,8,0.11,17.714706,-0.124,8.896346000000001,17.57843002101636,32.185345,13.411757000000001,2.7657428,17.337139999999998,18.495497,2.0161428,16.134539,22.810319423675537,,0.9999322,4.0165434
8,180,,15.745239000000002,10.124413,15.829014,2.0659606,0.64810014,0.5357506999999999,-0.009,16.134539,9,0.11,17.93185,-0.091,5.8329015,17.531735626864396,25.743818,19.606493,2.0843916,16.845613,18.444574,0.1628487,16.134539,23.944765329360962,,0.9999322,2.8233361
9,200,,15.808926999999999,19.508024,16.382116,3.060916,1.2317893999999998,1.4348538,-0.011,16.382116,10,0.11,17.412277,-0.112,12.317894,18.1196505239315,30.212086,13.079965,1.4893450000000001,17.57394,18.397038000000002,1.4110763000000002,16.382116,25.19456148147583,,0.9999322,4.0242510000000005
