,ReturnLastEpisode,ReturnMin,TimestepsSoFar,IWMin,ReturnStepMax,DenMISELogFirst,LQGmu01,IWLastEpisode,URet,ReturnAbsMax,target_sum_log_mean,IWMean,IWNorm2,ReturnMean,ReturnMax,Bound,IWFirstEpisode,SqrtESSClassic,IWMax,IWNorm1,MISE,DenMISEMeanLog,TimeElapsed,DenMISELogLast,LQGsigma,Iteration,LQGmu1
0,15.058442000000001,,20,,0.9625284,18.60218,-0.01,0.9650348,16.687925283112616,15.058442000000001,18.566589999999998,0.9650348,0.9650348,15.058442000000001,15.058442000000001,59.70725,0.9650348,1.0,0.9650348,0.9650348,14.531920000000001,18.60218,0.6356782913208008,18.60218,0.11,1,-0.099
1,15.791472,,40,,0.99517673,18.584543,-0.01,0.98634213,17.485525404344575,15.791472,19.936947,0.9817013000000001,1.3883508,15.424957000000001,15.791472,48.643547,0.9770605,1.4141977,0.98634213,1.9634026000000002,15.144402,19.955425,16.11546540260315,21.326307,0.11,2,-0.099
2,15.816197,,60,,0.9962558000000001,18.576868,-0.011,0.32247025,17.516749463314227,15.816197,20.067667,0.8792327,1.6739548,15.555370000000002,15.816197,43.69317,1.2524761,1.5757284,1.2524761,2.6376982000000004,13.581001,20.349586,17.07754683494568,21.150146,0.11,3,-0.111
3,16.234661,,80,,0.999951,18.638075,-0.041,3.660206e-38,17.96859454704273,16.234661,-112.16013999999998,,2e-10,15.725192999999999,16.234661,24.351992000000003,,2.0,3.660206e-38,4e-10,1.4855551e-37,19.804170000000003,17.827740192413327,18.276735000000002,0.11,4,-0.393
4,16.805001999999998,,100,,0.999951,18.41493,-0.038,7.010582,18.575494790646985,16.805001999999998,-75.05802,1.4021164,7.010582,15.941156,16.805001999999998,73.97758,,1.0,7.010582,7.010582,23.562569,15.107385999999998,18.6173791885376,-2.7871816000000003,0.11,5,-0.363
5,17.051659,,120,,0.9999546999999999,18.232609,-0.034,0.4551291,18.829801135123507,17.051659,-47.020720000000004,0.62894386,3.3495986000000006,16.126238,17.051659,55.99456,,1.1266016,3.3185339999999997,3.7736629999999995,10.588113,15.263415,19.44443774223328,16.078823,0.11,6,-0.332
6,16.987492,,140,,0.9999546999999999,18.078459,-0.042,2.0459619,18.76362631577187,17.051659,-59.525332999999996,1.2106332,5.3558135,16.249273000000002,17.051659,52.889866000000005,,1.5822866000000002,4.599183999999999,8.474432,20.56009,15.680426999999998,20.16293811798096,18.594032000000002,0.11,7,-0.394
7,17.02701,,160,,0.9999546999999999,17.944927,-0.046,0.34963578,18.80092523778043,17.051659,-62.63621,0.7905314999999999,4.7192169999999996,16.346493,17.051659,51.624695,,1.3401062,4.605601,6.3242519999999995,13.452366,15.430708,20.728370189666744,13.623813,0.11,8,-0.432
8,17.039635,,180,,0.9999546999999999,17.827145,-0.049,3.128228,18.816695522595047,17.051659,-58.854893000000004,0.80289227,4.506611,16.423507999999998,17.051659,45.576252000000004,,1.603429,3.1962361,7.2260303,13.672764,15.7708845,21.63316893577576,18.772875,0.11,9,-0.451
9,17.219797,,200,,0.9999716000000001,17.721785,-0.017,1.0539576999999999e-13,19.001754702443076,17.219797,-1.8763981,0.002738494,0.027282782000000002,16.503138,17.219797,51.511134999999996,7.970478e-06,1.0037444,0.027282624,0.027384939,0.044453584000000004,15.4360075,22.73907232284546,12.669821,0.11,10,-0.17
10,16.560156,,220,,0.9999716000000001,17.626473999999998,-0.026,0.01496338,18.30877658781931,17.219797,-5.707553400000001,0.021321714,0.15285535,16.50832,17.219797,34.02725,9.4673644e-26,1.5343843000000001,0.14185284,0.23453885,0.35941827,15.237518,23.63239622116089,14.202989,0.11,11,-0.254
11,16.819897,,240,,0.9999716000000001,17.539463,-0.024,15.754182,18.58920535278921,17.219797,-1.9788026,1.3324832,15.755228,16.534285,17.219797,73.310165,2.3673685e-21,1.0148884,15.754182,15.989798,22.408617,15.038716,24.77338981628418,13.787803,0.11,12,-0.238
12,16.927523,,260,,0.9999716000000001,17.459421,-0.027,7.128323599999999,18.697059800363732,17.219797,-4.6121907,0.8353786,7.746092,16.564532999999997,17.219797,50.961456,6.679888e-30,1.4019872,7.128323599999999,10.859921,14.114192000000001,14.594776000000001,25.83907699584961,9.369997999999999,0.11,13,-0.268
13,16.962847,,280,,0.9999716000000001,17.385313,-0.02,0.18947685,18.73629916070028,17.219797,2.356496,0.9056868,9.233157,16.592985000000002,17.219797,52.69899399999999,5.7561924000000005e-12,1.3732697,8.4678545,12.679615,15.081187,14.616767000000001,27.3703088760376,15.165522,0.11,14,-0.202
14,16.740876999999998,,300,,0.9999716000000001,17.31632,-0.02,0.914742,18.498983777434887,17.219797,3.4136622,0.7567876,8.36587,16.602844,17.219797,50.658363,2.315631e-10,1.3569196000000001,8.036356,11.351814,12.587282,14.764910999999998,28.84362030029297,17.06053,0.11,15,-0.195
15,16.609507,,320,,0.9999716000000001,17.251781,-0.028,0.012210833,18.368167833820788,17.219797,-1.292235,1.0306601999999998,8.606729,16.603260000000002,17.219797,44.382507000000004,8.789825999999999e-31,1.9160081999999998,6.180338,16.490562,17.420517,14.758976,30.24698758125305,14.999067000000002,0.11,16,-0.271
16,16.917553,,340,,0.9999716000000001,17.191156,-0.033,1.6093327,18.68758818342145,17.219797,-7.6405325,0.82348174,6.113470599999999,16.621748,17.219797,36.510643,,2.2898924,3.5506233999999997,13.999189000000001,13.950895000000001,14.798229999999998,31.458967208862305,15.484714000000002,0.11,17,-0.32
