,TimestepsSoFar,DenMISELogLast,DenMISEMeanLog,Iteration,URet,IWMin,ReturnMax,LQGmu01,IWMax,ReturnStepMax,IWNorm2,DenMISELogFirst,SqrtESSClassic,target_sum_log_mean,Bound,IWLastEpisode,IWNorm1,IWMean,ReturnMean,TimeElapsed,IWFirstEpisode,ReturnMin,MISE,LQGmu1,ReturnLastEpisode,ReturnAbsMax,LQGsigma
0,20,13.511501,13.511501,1,17.497854397219367,,15.807039999999999,-0.009,1.1503258,0.99233466,1.1503258,13.511501,1.0,13.6515465,19.771914000000002,1.1503258,1.1503258,1.1503258,15.807039999999999,1.3334238529205322,1.1503258,,18.183247,-0.09,15.807039999999999,15.807039999999999,0.11
1,40,19.406029999999998,16.495003,2,16.976274135923074,,15.807039999999999,-0.009,3.2004821,0.99233466,3.3317535000000005,13.583974,1.238535,17.038220000000003,33.12441,3.2004821,4.1264935,2.0632467,15.565791,20.36918950080872,0.92601115,,31.84171,-0.085,15.324542000000001,15.807039999999999,0.11
2,60,13.829822,15.781665,3,16.62938344721279,,15.807039999999999,-0.007,4.204243,0.99233466,4.3380336999999995,13.559002,1.2907963,15.956559,29.796546999999997,0.9887389999999999,5.599518,1.8665060000000002,15.381248999999999,21.808868408203125,0.40653569,,28.56578,-0.074,15.012166,15.807039999999999,0.11
3,80,15.768355,15.884576999999998,4,17.06362024930784,,15.807039999999999,1.0,,0.99233466,2e-10,13.398403,2.0,-1073.9182,0.79433364,,4e-10,,15.386249,22.940237283706665,,,,1.0,15.401247,15.807039999999999,0.11
4,100,-10.819778,10.3651905,5,9.446612796723869,,15.807039999999999,1.0,9.362871999999999e-29,0.99233466,2.2360681e-10,13.17526,2.2360678,-874.2062,0.71047366,9.362871999999999e-29,5e-10,1.8725742999999998e-29,14.03186,23.75866436958313,,,1.6130926999999998e-28,1.0,8.614305499999999,15.807039999999999,0.11
5,120,17.334385,11.374789,6,9.360986810277963,,15.807039999999999,1.0,2.9999986,0.99233466,2.9999986,12.992938,1.0,-725.4329,5.8482437,2.9999986,2.9999986,0.49999976,13.113075,24.349798679351807,,,4.2595763,1.0,8.519156,15.807039999999999,0.11
6,140,12.037335,11.395233000000001,7,9.342529711258434,,15.807039999999999,1.0,2.3333328,0.99233466,3.2998309999999997,12.838787,1.4142135,-619.9590000000001,6.799241,2.3333328,4.6666656,0.6666665,12.455278,24.863553762435913,,,5.675884,1.0,8.508499,15.807039999999999,0.11
7,160,14.414664000000002,11.727741,8,9.374537785161252,,15.807039999999999,1.0,2.0000009999999997,0.99233466,3.4641023,12.7052555,1.7320508000000001,-540.5757,7.308282000000001,2.0000009999999997,6.000001,0.7500001000000001,11.965444999999999,25.53615760803223,,,6.391064599999999,1.0,8.5366,15.807039999999999,0.11
8,180,12.181153,11.747807,9,9.347410026813852,,15.807039999999999,1.0,1.8,0.99233466,3.5999991999999996,12.587473,1.9999999,-479.093,7.609967999999999,1.8,7.199998,0.7999998,11.5819435,26.12471580505371,,,6.815634700000001,1.0,8.513926,15.807039999999999,0.11
9,200,13.73301,11.924431,10,9.457765322130069,,15.807039999999999,1.0,1.6666675,0.99233466,3.7267797,12.482111999999999,2.236068,-429.75928,7.8253508,1.6666659,8.333333,0.8333333,11.284857,26.84820461273193,,,7.114877000000001,1.0,8.611085000000001,15.807039999999999,0.11
10,220,20.469070000000002,12.68464,11,9.38625892358411,,15.807039999999999,1.0,1.5714289,0.99233466,3.8491979,12.386802000000001,2.4494898,-388.7883,7.967892599999999,1.5714275,9.428571,0.8571428,11.03587,27.72498726844788,,,7.3193220000000005,1.0,8.545993,15.807039999999999,0.11
11,240,15.564198499999998,12.911607,12,9.379479220727518,,15.807039999999999,1.0,1.5,0.99233466,3.968626,12.29979,2.6457512000000003,-355.0585,8.072198,1.5,10.499997,0.87499976,10.827769,28.47610068321228,,,7.4717383,1.0,8.538658,15.807039999999999,0.11
12,260,18.946861,13.365394,13,9.360806005529788,,15.807039999999999,1.0,1.4444454,0.99233466,4.0855064,12.219748,2.828427,-326.2606,8.150350999999999,1.4444454,11.555557,0.8888889999999999,10.650564,29.131520748138428,,,7.588671700000001,1.0,8.524119,15.807039999999999,0.11
13,280,16.140055,13.554975500000001,14,9.301084130393486,,15.807039999999999,1.0,1.4000003,0.99233466,4.199999299999999,12.14564,3.0,-301.77936,8.206392,1.399999,12.5999975,0.8999997999999999,10.494833999999999,29.847238779067997,,,7.676837,1.0,8.470346000000001,15.807039999999999,0.11
14,300,6.2320175,13.059571,15,9.356480528754362,,15.807039999999999,1.0,1.3636377,0.99233466,4.3121967,12.076647,3.1622777,-281.2246,8.256241000000001,1.3636363999999999,13.636364000000002,0.90909094,10.36345,30.67607450485229,,,7.75386,1.0,8.524075999999999,15.807039999999999,0.11
15,320,16.287666,13.255203,16,9.37736215181045,,15.807039999999999,1.0,1.333334,0.99233466,4.4221654,12.012108999999999,3.3166246,-262.6121,8.29843,1.3333327,14.666661999999999,0.9166664000000001,10.24953,31.65292501449585,,,7.819429400000001,1.0,8.540718,15.807039999999999,0.11
16,340,15.511573,13.382666,17,9.376705631716883,,15.807039999999999,1.0,1.3076934,0.99233466,4.52998,11.951483999999999,3.4641017999999995,-246.2361,8.333369,1.307692,15.692312,0.92307717,10.148891,32.63314318656921,,,7.87476,1.0,8.538686,15.807039999999999,0.11
17,360,17.535608,13.608807,18,9.384558070745626,,15.807039999999999,1.0,1.2857146000000002,0.99233466,4.635708,11.894325,3.605551,-231.56815,8.363082,1.2857139,16.714281,0.92857116,10.059657000000001,33.447576761245735,,,7.922464999999999,1.0,8.542669,15.807039999999999,0.11
18,380,13.845382999999998,13.617242000000001,19,9.364743809008043,,15.807039999999999,1.0,1.2666671,0.99233466,4.739433999999999,11.840259,3.7416574999999996,-218.63918999999999,8.387497999999999,1.2666671,17.733337,0.9333336,9.979099,34.39213705062866,,,7.9629083,1.0,8.529069999999999,15.807039999999999,0.11
19,400,15.856593,13.725659,20,9.381070278028718,,15.807039999999999,1.0,1.2500011999999998,0.99233466,4.841229,11.788965,3.8729835,-206.90323999999998,8.409298,1.25,18.75,0.9375,9.907249,35.416482210159295,,,7.999105999999999,1.0,8.542089,15.807039999999999,0.11
20,420,17.195507,13.887723999999999,21,9.348091654525565,,15.807039999999999,1.0,1.2352946000000002,0.99233466,4.9411783,11.740175,4.0,-196.22182,8.426322,1.2352946000000002,19.764713,0.94117683,9.840709,36.37124586105347,,,8.029155000000001,1.0,8.509901,15.807039999999999,0.11
21,440,15.126173000000001,13.941182999999999,22,9.375719891836804,,15.807039999999999,1.0,1.2222228000000002,0.99233466,5.03935,11.693655,4.1231055,-186.60596999999999,8.442730000000001,1.2222216000000001,20.777770999999998,0.9444440999999999,9.781496,37.37523126602173,,,8.057422,1.0,8.538034,15.807039999999999,0.11
22,460,14.212715,13.950432999999999,23,9.382886654201428,,15.807039999999999,1.0,1.2105263000000002,0.99233466,5.135828,11.649203,4.242641000000001,-177.86642,8.457529,1.2105263000000002,21.789474,0.94736844,9.727727999999999,38.37939786911011,,,8.0830765,1.0,8.544834,15.807039999999999,0.11
23,480,19.226814,14.167964000000001,24,9.34760561356085,,15.807039999999999,1.0,1.2,0.99233466,5.230678599999999,11.606644000000001,4.358899,-169.6466,8.469016,1.2,22.8,0.95,9.677096,39.14568018913268,,,8.10455,1.0,8.512551,15.807039999999999,0.11
24,500,13.413326000000001,14.135672,25,9.320376335336157,,15.807039999999999,1.0,1.1904776000000001,0.99233466,5.323971,11.565822,4.472136,-162.31723,8.478147,1.1904763999999999,23.809520000000003,0.95238084,9.629617,40.499079704284675,,,8.122910000000001,1.0,8.490112,15.807039999999999,0.11
25,520,19.513018,14.340565,26,9.380775458959569,,15.807039999999999,1.0,1.1818194,0.99233466,5.4157715,11.526601,4.582575299999999,-155.31735,8.488508,1.1818194,24.818182,0.95454544,9.587678,41.496376991271966,,,8.141832,1.0,8.539197,15.807039999999999,0.11
26,540,15.981978,14.399589,27,9.365661980522473,,15.807039999999999,1.0,1.1739137,0.99233466,5.506141,11.48886,4.6904154,-148.96698,8.497183,1.1739125,25.82609,0.95652187,9.5483055,42.700221300125115,,,8.158478,1.0,8.524643,15.807039999999999,0.11
27,560,15.102994,14.423079999999999,28,9.323470184373562,,15.807039999999999,1.0,1.1666682,0.99233466,5.595136599999999,11.452492999999999,4.795831,-143.10183999999998,8.503428,1.166667,26.833332000000002,0.9583333,9.510405,43.869699001312256,,,8.172169,1.0,8.487088,15.807039999999999,0.11
28,580,8.887264,14.230685000000001,29,9.31608755556689,,15.807039999999999,1.0,1.1600003,0.99233466,5.6828165,11.417401,4.8989797,-137.85571000000002,8.508892999999999,1.1600003,27.840002000000002,0.9600001,9.474981,45.25815200805664,,,8.1846075,1.0,8.483118,15.807039999999999,0.11
29,600,16.360264,14.300277,30,9.373132889874997,,15.807039999999999,1.0,1.153846,0.99233466,5.7692304000000005,11.3835,4.9999995,-132.71042,8.515713,1.153846,28.84615,0.9615383,9.443559,46.363351345062256,,,8.197979,1.0,8.532307000000001,15.807039999999999,0.11
30,620,5.5028744000000005,14.015194000000001,31,9.30904521639176,,15.807039999999999,1.0,1.1481491000000001,0.99233466,5.854430000000001,11.350710000000001,5.0990195,-128.24747,8.519852,1.1481481000000002,29.851854,0.96296304,9.412355999999999,47.43537616729736,,,8.208288,1.0,8.476275999999999,15.807039999999999,0.11
