,ReturnAbsMax,DenMISEMeanLog,IWMax,ReturnMin,ReturnMax,Bound,target_sum_log_mean,ReturnLastEpisode,TimeElapsed,URet,TimestepsSoFar,IWMean,IWMin,LQGsigma,IWNorm2,IWFirstEpisode,DenMISELogFirst,LQGmu01,IWLastEpisode,ReturnMean,SqrtESSClassic,DenMISELogLast,MISE,LQGmu1,ReturnStepMax,IWNorm1,Iteration
0,15.807039999999999,13.511501,1.0627427,,15.807039999999999,18.387484,13.572354,15.807039999999999,0.1724090576171875,17.497854397219367,20,1.0627427,,0.11,1.0627427,1.0627427,13.511501,-0.01,1.0627427,15.807039999999999,1.0,13.511501,16.798817,-0.098,0.99233466,1.0627427,1
1,15.807039999999999,16.656948,1.2257165,,15.807039999999999,18.938643,16.783976000000003,15.499260000000001,5.825228214263916,17.16876062923554,40,1.1387737,,0.11,1.6151559,1.0518309,13.542391,-0.01,1.2257165,15.653151000000001,1.4101099,19.771503,17.812016,-0.098,0.99233466,2.2775474,2
2,15.807039999999999,15.886354999999998,1.2938173000000002,,15.807039999999999,18.479626,16.002679999999998,15.346632000000001,6.123269557952881,16.997270189651616,60,1.1291655,,0.11,1.9662387,1.0607045,13.559520000000001,-0.01,1.0329751,15.550977,1.7228308,14.255503,17.557499,-0.097,0.99233466,3.3874967000000002,3
3,15.84929,15.976070000000002,1.4404367,,15.84929,18.470032,16.087626999999998,15.84929,6.419111728668213,17.55365426997557,80,1.1313087,,0.11,2.291676,1.0759653999999998,13.574582000000001,-0.01,0.9768834999999999,15.625554999999999,1.9746398,16.15106,17.663345,-0.096,0.99233466,4.5252347,4
4,15.84929,14.809102,1.5898023000000001,,15.84929,18.867128,14.946951,15.273693,6.717650651931763,16.895209846484846,100,1.1673694,,0.11,2.6587473999999998,1.0818777,13.589660999999998,-0.009,1.1947484,15.555183,2.195337,10.03999,18.141539,-0.094,0.99233466,5.836847,5
5,15.84929,15.396232000000001,1.6651106,,15.84929,19.686554,15.585779999999998,14.654554999999998,7.0187602043151855,16.28242329163885,120,1.2388716999999998,,0.11,3.1113138,1.0755264,13.603214999999999,-0.009,1.5658594,15.405079,2.3890967,18.197582,19.019811999999998,-0.093,0.9930071,7.43323,6
6,15.84929,15.0582,1.8336036,,15.84929,19.530893,15.228415,15.576131,7.346365690231322,17.243157519688264,140,1.2301638000000001,,0.11,3.383438,1.0601078000000002,13.613947,-0.009,0.9883902,15.429514999999999,2.5450877999999997,12.8331375,18.905016,-0.091,0.9930071,8.611147,7
7,15.84929,15.104422,2.671024,,15.84929,19.066668,15.135276999999999,15.664121,7.727717161178589,17.342473013381202,160,1.1998556999999999,,0.11,3.9651306000000006,0.91836774,13.621432,-0.009,0.59271663,15.458841,2.4208145,15.235588,18.40866,-0.086,0.9930071,9.5988455,8
8,15.84929,14.792372,1.5159154,,15.84929,17.808636,14.888238000000001,15.398283,8.052505970001219,17.03220280972567,180,1.1205844999999999,,0.11,3.4254703999999996,1.0538087999999999,13.61232,-0.009,1.1503971000000002,15.452110999999999,2.9441972,12.143842,17.267601000000003,-0.09,0.9930071,10.08526,9
9,15.84929,14.837173000000002,2.5586061,,15.84929,15.096356,14.473059,15.69767,8.344556331634521,17.405839028234382,200,0.94286,,0.11,3.7262564,0.78117216,13.617687,-0.008,0.088596396,15.476667,2.5303144,15.134595999999998,14.466825,-0.082,0.9985069,9.4286,10
10,15.84929,15.380041,1.9659429,,15.84929,15.462716,15.199105,15.536396,9.045510053634645,17.217851709839444,220,0.96990514,,0.11,3.5843502999999997,0.9108795,13.597593,-0.009,0.9785879999999999,15.482098,2.9765384,20.880685999999997,14.92756,-0.085,0.9985069,10.668957,11
11,15.84929,15.418410999999999,1.3601828,,15.84929,16.518332,15.419721,15.025620000000002,9.432441234588623,16.651551262679675,240,1.0421523000000001,,0.11,3.711264,1.0479459999999998,13.590138,-0.009,1.2448169,15.444057,3.3696952000000007,15.876707000000001,16.045614,-0.089,0.9985069,12.505828,12
12,15.84929,15.710076,0.25099045,,15.84929,1.8954248,1.3666415,15.839317999999999,9.878726243972777,17.533189613979438,260,0.019315403000000002,,0.11,0.25099048,3.3360136e-06,13.593820000000001,-0.016,1.445917e-06,15.4744625,1.0004373,19.173433,0.30320752,-0.162,0.9985069,0.25110024,13
13,16.299809,15.584086,4.53665,,16.299809,7.2157946,3.1322784,16.299809,10.402744531631472,18.04120462416865,280,0.35041952,,0.11,4.551633,6.9851499999999995e-06,13.519712,-0.016,4.53665,15.533416,1.0778271000000001,14.890491,5.695892,-0.16,0.9985069,4.9058733,14
14,16.832268,14.801544,7.974429,,16.832268,13.98325,2.8544723999999997,16.832268,10.979333400726318,18.594508662623912,300,0.7633963,,0.11,8.589432,4.480525599999999e-06,13.45072,-0.016,7.974429,15.620006,1.3331435,4.505104,12.714288999999999,-0.161,0.99852693,11.450944999999999,15
15,16.832268,14.791758999999999,6.3253956,,16.832268,16.700382,3.3972480000000003,16.633526,11.677915573120115,18.392359536763912,320,0.94226056,,0.11,9.05903,3.3325762e-06,13.386182000000002,-0.016,5.969425,15.683351000000002,1.6642146,14.974855999999999,15.683863,-0.162,0.9997299000000001,15.076169,16
16,16.832268,14.752235,5.415508,,16.832268,18.041044,3.8480779999999997,16.43026,12.236764907836914,18.16878907112585,340,1.0351051,,0.11,9.074409,2.52975e-06,13.325557,-0.016,4.8766584,15.727286999999999,1.9391662,14.277217000000002,17.168654999999998,-0.163,0.9997299000000001,17.596785999999998,17
