,ReturnMean,ReturnStepMax,IWMax,IWFirstEpisode,IWMin,LQGmu1,IWNorm2,IWNorm1,DenMISEMeanLog,LQGmu01,Bound,IWMean,DenMISELogLast,IWLastEpisode,SqrtESSClassic,target_sum_log_mean,ReturnMax,TimeElapsed,ReturnAbsMax,Iteration,TimestepsSoFar,MISE,ReturnLastEpisode,ReturnMin,DenMISELogFirst,LQGsigma,URet
0,15.644507999999998,0.99262077,0.9803347,0.9803347,,-0.102,0.9803347,0.9803347,17.102016,-0.01,46.62587,0.9803347,17.102016,0.9803347,1.0,17.082155,15.644507999999998,1.1450204849243164,15.644507999999998,1,20,15.336854,15.644507999999998,,17.102016,0.11,17.332240856619553
1,15.555016,0.9978294,1.0477742,0.99505883,,-0.097,1.4449819,2.0428330000000003,13.85188,-0.01,38.01783,1.0214165000000002,10.611626,1.0477742,1.413743,13.872738,15.644507999999998,21.191822528839108,15.644507999999998,2,40,15.885792000000002,15.465523000000001,,17.092133999999998,0.11,17.14510254600088
2,15.663982999999998,0.9978294,2.3232455,0.76503205,,-0.109,2.535231,3.7551,12.94281,-0.011,41.171448,1.2517,11.110517999999999,2.3232455,1.4811667,12.999442,15.881920000000001,22.22735571861267,15.881920000000001,3,60,19.726303,15.881920000000001,,17.090487,0.11,17.588459565754327
3,15.685545000000001,0.9978294,0.94891334,0.0046256133,,-0.143,1.1044180000000001,1.5206834999999999,13.808282,-0.014,29.087688,0.38017088,16.266415,0.56504583,1.3769094,10.766821,15.881920000000001,23.317896842956547,15.881920000000001,4,80,6.0187473,15.750229000000001,,17.02995,0.11,17.447474176566168
4,15.75786,0.9998877,3.7672865,0.015570823999999999,,-0.139,4.140308999999999,6.1836624,14.559573,-0.014,41.227608000000004,1.2367325,18.110623999999998,3.7672865,1.4935268,13.087259,16.047117,24.40188837051392,16.047117,5,100,19.73872,16.047117,,16.80796,0.11,17.772779483919408
5,15.846135,0.9998877,2.5559187000000003,0.4743076,,-0.12,4.0353913,8.178814,14.878051000000001,-0.012,37.711113,1.3631357,16.387823,0.65300196,2.026771,14.900528,16.287516,25.953036069869995,16.287516,6,120,21.638735,16.287516,,16.628748,0.11,18.020537543530324
6,15.779329999999998,0.9998877,3.1295109,0.00062744436,,-0.153,3.3894559999999996,4.778723,15.0715685,-0.015,34.155809999999995,0.6826747,15.976070000000002,8.031678000000001e-05,1.409879,11.183817999999999,16.287516,27.453224182128906,16.287516,7,140,11.050969,15.378502,,16.55068,0.11,17.038548759089107
7,15.869148999999998,0.9998877,8.4967985,0.00020879606,,-0.157,8.819389,11.78164,15.081914000000001,-0.016,48.871113,1.472705,15.499432999999998,8.4967985,1.3358793,11.2614355,16.497879,29.274030923843387,16.497879,8,160,24.171457,16.497879,,16.417238,0.11,18.24572083812921
8,15.941730499999998,0.9998877,7.4187965,4.3408050000000005e-05,,-0.163,9.201373,14.747720999999999,15.547106,-0.016,47.59697,1.6386356,19.11412,5.2045255,1.6027738999999999,11.457402,16.52238,31.112325191497803,16.52238,9,180,26.979736,16.52238,,16.29948,0.11,18.271649133718647
9,15.98674,0.9998877,7.588342699999999,3.2495645e-06,,-0.17,9.80194,17.300972,14.825026000000001,-0.017,47.205956,1.7300972,7.995205,3.953327,1.7650558999999997,9.973332000000001,16.52238,32.575539588928216,16.52238,10,200,28.484303000000004,16.391827,,16.194126,0.11,18.12131224274599
10,16.03869,0.999901,6.8813830000000005,9.537960999999999e-11,,-0.197,7.439114999999999,11.495745,14.909954999999998,-0.02,38.671547,1.0450677,15.326982500000002,1.1231673999999998,1.5453107,5.3161044,16.558197,33.885330200195305,16.558197,11,220,17.241298999999998,16.558197,,16.098816,0.11,18.31219283639368
11,16.061745000000002,0.999901,5.459776000000001,2.6432010999999997e-11,,-0.2,7.263174,13.2884445,14.703731,-0.02,36.287056,1.1073704,12.516618,5.459776000000001,1.8295643,5.3766427000000006,16.558197,35.716915845870965,16.558197,12,240,18.186357,16.31534,,16.011805,0.11,18.06175529231925
12,16.118628,0.999901,10.176117,4.118948e-19,,-0.235,10.194395,11.060979,14.404435000000001,-0.024,45.236813,0.8508445,10.812575,10.176117,1.0850058999999999,-3.0795972000000003,16.801228,37.3624005317688,16.801228,13,260,14.266976000000001,16.801228,,15.931761999999999,0.11,18.566007313631147
13,16.150676999999998,0.999901,3.7930553,8.534519000000001e-23,,-0.25,3.8015902,4.1822357000000006,14.36692,-0.026,35.554314,0.29873112,14.197478,0.22139755,1.1001279,-6.262928,16.801228,39.06810212135315,16.801228,14,280,5.010180999999999,16.56731,,15.857654,0.11,18.323452900811624
14,16.193995,0.9999319999999999,4.692275,2.2484657000000003e-10,,-0.195,9.083183,23.618504,14.141129000000001,-0.02,38.959457,1.574567,11.678556,2.1637998,2.6002452000000003,7.769359,16.801228,40.95494818687439,16.801228,15,300,26.036654000000002,16.800455,,15.788661,0.11,18.564178592458774
15,16.227142,0.9999319999999999,3.3462709999999998,2.3398160000000003e-05,,-0.166,6.272124,16.75885,13.863857000000001,-0.017,29.806690000000003,1.0474280999999999,9.255101,0.26243162,2.6719577,11.148161,16.801228,42.83240795135497,16.801228,16,320,17.230722,16.724361,,15.724122,0.11,18.47750765421684
16,16.232483,0.99996006,5.203051599999999,5.640054399999999e-13,,-0.209,9.3040695,23.386034,13.850128,-0.021,36.269928,1.3756491000000002,13.622198999999998,0.019073097,2.5135273999999996,5.9257455000000006,16.801228,44.84890270233154,16.801228,17,340,22.901281,16.317911,,15.663499,0.11,18.050615195659073
