,TimeElapsed,Iteration,IWMax,Bound,URet,IWFirstEpisode,DenMISELogFirst,LQGmu1,DenMISEMeanLog,IWNorm2,MISE,IWMean,ReturnMin,ReturnStepMax,SqrtESSClassic,ReturnAbsMax,ReturnMax,IWNorm1,LQGsigma,LQGmu01,DenMISELogLast,TimestepsSoFar,ReturnLastEpisode,IWLastEpisode,ReturnMean,target_sum_log_mean,IWMin
0,0.6165652275085449,1,1.1786454,19.261993,16.687925283112616,1.1786454,18.60218,-0.112,18.60218,1.1786454,17.748564000000002,1.1786454,,0.9625284,1.0,15.058442000000001,15.058442000000001,1.1786454,0.11,-0.011,18.60218,20,15.058442000000001,1.1786454,15.058442000000001,18.766545999999998,
1,21.037710905075073,2,,1.1343143,17.67070237983399,,18.687737,0.987,19.795714999999998,1.4142136e-10,,,,0.99792725,1.4142135,15.961216,15.961216,2e-10,0.11,0.247,20.903694,40,15.961216,,15.509829000000002,-1124.9912,
2,21.421412706375122,3,4.7573514e-25,0.92616373,9.510991107241422,,18.282272,0.987,9.490516,1.7320508999999999e-10,1.3748378000000002e-24,1.5857838e-25,,0.99792725,1.7320506999999998,15.961216,15.961216,3e-10,0.11,0.247,-10.308952,60,8.669768,4.7573514e-25,13.229809,-772.0987,
3,21.78485465049744,4,2.0000009999999997,5.8807836,9.394615873076395,,17.994589,0.987,11.416877000000001,2.0000009999999997,4.276621,0.50000024,,0.99792725,1.0,15.961216,15.961216,2.0000009999999997,0.11,0.247,18.05901,80,8.553238,2.0000009999999997,12.060666000000001,-574.386,
4,22.367507457733154,5,1.6666675,6.8245830000000005,9.353861586626273,,17.771445999999997,0.987,11.693708,2.3570227999999998,5.6902685,0.6666667,,0.99792725,1.4142135,15.961216,15.961216,3.3333334999999997,0.11,0.247,13.288139000000001,100,8.517569,1.6666659,11.352047,-456.74902000000003,
5,22.858693361282352,6,1.5,7.340525,9.431177276254576,,17.589125,0.987,12.433369,2.5980747,6.4143615,0.7499995,,0.99792725,1.7320508000000001,15.961216,15.961216,4.4999970000000005,0.11,0.247,16.46791,120,8.586656,1.4999986,10.891149,-377.81192000000004,
6,23.55143094062805,7,1.4000003,7.640363000000001,9.372668885330544,,17.434973,0.987,13.3010025,2.7999987999999996,6.838282,0.79999965,,0.99792725,2.0,15.961216,15.961216,5.5999975,0.11,0.247,18.762281,140,8.533963,1.399999,10.554407000000001,-321.1104,
7,23.958350658416748,8,1.333334,7.841335000000001,9.396200283202582,,17.301443,0.987,13.332001000000002,2.9814230999999998,7.1239314,0.8333331,,0.99792725,2.236068,15.961216,15.961216,6.666664599999999,0.11,0.247,13.754420999999999,160,8.552178,1.3333327,10.304129,-279.21634,
8,24.53082513809204,9,1.2857139,7.9783273,9.358479489850973,,17.183659,0.987,14.030035999999999,3.149343,7.3234305,0.8571426,,0.99792725,2.4494898,15.961216,15.961216,7.7142835000000005,0.11,0.247,19.785837,180,8.520425,1.2857139,10.105939,-245.96596,
9,25.02094292640686,10,1.2500011999999998,8.083263,9.390426991484944,,17.078298999999998,0.987,13.979889000000002,3.3071892,7.476947,0.875,,0.99792725,2.6457512000000003,15.961216,15.961216,8.75,0.11,0.247,13.675618,200,8.551549000000001,1.25,9.9505005,-219.97949,
10,25.762293338775635,11,1.2222216000000001,8.160799,9.369244440726737,,16.982988,0.987,14.239310000000001,3.4569647000000003,7.5936418,0.8888884,,0.99792725,2.828427,15.961216,15.961216,9.777773,0.11,0.247,16.962135,220,8.527231,1.2222216000000001,9.821112,-198.42113,
11,26.42685961723328,12,1.2,8.222175,9.370752930934687,,16.895977,0.987,14.548520000000002,3.6000001000000004,7.6874537,0.90000004,,0.99792725,3.0,15.961216,15.961216,10.8,0.11,0.247,18.064073999999998,240,8.531724,1.2,9.713662,-180.36548,
12,27.1100652217865,13,1.1818182,8.274205,9.40355792486515,,16.815935,0.987,14.273817000000001,3.7372352999999996,7.766924400000001,0.90909046,,0.99792725,3.1622777,15.961216,15.961216,11.818176,0.11,0.247,11.080093,260,8.561674,1.1818182,9.625048,-165.62605,
13,28.090702772140503,14,1.166667,8.316203999999999,9.396797524370827,,16.741827,0.987,14.480462,3.8693942999999997,7.832530499999999,0.91666645,,0.99792725,3.316625,15.961216,15.961216,12.83333,0.11,0.247,17.260157,280,8.554188,1.1666659,9.548558,-152.55174,
14,28.772295236587524,15,1.153846,8.349382,9.3673657816727,,16.672833999999998,0.987,14.720835999999998,3.9970398,7.886300599999999,0.9230768,,0.99792725,3.4641017999999995,15.961216,15.961216,13.846151999999998,0.11,0.247,18.17149,300,8.531523,1.153846,9.480756,-141.16064,
15,29.52597713470459,16,1.1428573,8.376521,9.359467800704905,,16.608295000000002,0.987,14.824516000000001,4.1206303,7.9316070000000005,0.9285716,,0.99792725,3.6055517,15.961216,15.961216,14.857145000000001,0.11,0.247,16.458498000000002,320,8.520557,1.1428573,9.420744000000001,-131.3011,
16,30.442297220230106,17,1.1333343999999999,8.401923,9.395780401423506,,16.54767,0.987,15.000618,4.240545,7.973192999999999,0.9333333,,0.99792725,3.7416574999999996,15.961216,15.961216,15.866666,0.11,0.247,17.891348,340,8.555416000000001,1.1333321,9.369843,-122.51772,
17,31.27076506614685,18,1.1250006000000001,8.422025999999999,9.364274089170967,,16.490513,0.987,15.170924,4.357105000000001,8.007833,0.9374996999999999,,0.99792725,3.8729835,15.961216,15.961216,16.874994,0.11,0.247,18.134254000000002,360,8.527467,1.1249995000000002,9.323044,-114.69718,
