,IWMin,LQGmu1,IWMax,IWLastEpisode,ReturnMax,SqrtESSClassic,DenMISELogLast,URet,TimeElapsed,ReturnMean,IWNorm2,IWFirstEpisode,DenMISEMeanLog,LQGmu01,IWNorm1,MISE,ReturnMin,LQGsigma,ReturnStepMax,target_sum_log_mean,ReturnLastEpisode,IWMean,Iteration,TimestepsSoFar,Bound,DenMISELogFirst,ReturnAbsMax
0,,-0.101,1.0660752,1.0660752,15.058442000000001,1.0,18.60218,16.687925283112616,0.4030814170837401,15.058442000000001,1.0660752,1.0660752,18.60218,-0.01,1.0660752,16.053432,,0.11,0.9625284,18.666164000000002,15.058442000000001,1.0660752,1,20,17.566862,18.60218,15.058442000000001
1,,-0.103,1.1076678,1.0759912,15.817225,1.4140648999999998,21.283113,17.51367817996084,13.522791862487793,15.437834,1.5442425,1.1076678,19.958899,-0.01,2.183659,16.849474,,0.11,0.99566776,20.046648,15.817225,1.0918295,2,40,17.973673,18.634684,15.817225
2,,-0.11,1.1575868,0.47793373,15.870928,1.641,21.280752,17.576109122349582,14.581922769546509,15.582199,1.6684456,1.1575868,20.419610000000002,-0.011,2.7379192999999997,14.1511965,,0.11,0.99692106,20.25479,15.870928,0.9126398000000001,3,60,15.123219,18.669945000000002,15.870928
3,,-0.125,1.522766,1.522766,16.238377,1.487527,18.404989999999998,17.972212416220078,15.571661710739136,15.7462435,1.642685,0.38540494,19.896969,-0.013,2.4435384,9.750501,,0.11,0.99994284,18.867865,16.238377,0.6108846,4,80,10.847636,18.708584,16.238377
4,,-0.123,1.9000461,1.9000461,16.238377,1.8244352,12.673882,17.499147937639044,16.539477586746216,15.758237,2.5248535,0.54303455,18.382179999999998,-0.012,4.6064315,14.607813,,0.11,0.99994284,17.905848000000002,15.806213,0.9212863000000001,5,100,15.502346,18.577429000000002,16.238377
5,,-0.126,3.2874122000000003,3.2874122000000003,16.238377,1.8254962,15.930772,17.824313469012324,17.418588161468506,15.815503,3.9205635,0.42850202,17.957611,-0.013,7.156974000000001,19.054776999999998,,0.11,0.99994284,17.584464999999998,16.101837,1.1928290000000001,6,120,19.948792,18.49821,16.238377
6,,-0.13,3.6026292,1.8485628,16.238377,1.9221383,18.412767000000002,17.7164144024458,18.641640663146973,15.841768,4.399621499999999,0.2662645,18.037159,-0.013,8.456681,19.335257000000002,,0.11,0.99994284,17.551682999999997,15.999359,1.2080973,7,140,20.18432,18.413042,16.238377
7,,-0.156,6.023081299999999,0.2004904,16.238377,1.1209646,13.6521635,17.610254745973688,19.83130955696106,15.849028,6.038631,0.0006963016000000001,17.503641000000002,-0.016,6.769092,13.612713000000001,,0.11,0.99994284,13.966295,15.899842999999999,0.8461365,8,160,15.068617999999999,18.316843,16.238377
8,,-0.154,4.003423000000001,3.0668743,16.238377,1.5995326,18.575153,17.875187044706625,20.637254476547238,15.882036,5.0783477,0.0014728704000000002,17.590569,-0.016,8.122983,14.533035,,0.11,0.99994284,14.923454999999999,16.146105,0.9025537,9,180,15.553345000000002,18.199148,16.238377
9,,-0.16,6.2811437,6.2811437,16.795307,1.6090768999999998,12.364002000000001,18.561215132391148,21.5011146068573,15.973364000000002,7.113125999999999,0.00024058902999999997,17.050694,-0.016,11.445566,18.867725,,0.11,0.99994284,13.942629,16.795307,1.1445566,10,200,19.916769,18.09395,16.795307
10,,-0.152,2.7196302000000006,2.198076,16.795307,2.2622459999999998,16.463070000000002,17.921741670551807,22.85311007499695,15.993048000000002,5.023575,0.0029195365,16.997507000000002,-0.015,11.364562,16.805656,,0.11,0.99994284,15.225219000000001,16.189869,1.033142,11,220,17.551813,17.998665,16.795307
11,,-0.14,2.1540529999999998,1.7603147000000001,16.795307,2.8630967000000003,17.481981,18.24269027646305,23.767406702041626,16.034523,4.7122064,0.066462986,17.036627,-0.014,13.491503,18.167612,,0.11,0.9999821,16.461412,16.490765,1.1242919,12,240,18.757181,17.911919,16.795307
12,,-0.14,1.9763986,1.3452237,16.795307,3.0644248,10.678196,18.244994640653037,25.116100311279297,16.070004,4.640211,0.072554946,16.554717999999998,-0.014,14.219578,17.708467000000002,,0.11,0.9999821,16.042547,16.495773,1.0938136999999999,13,260,18.259301999999998,17.837398999999998,16.795307
13,,-0.148,2.08643,1.8518729999999999,16.795307,3.012722,16.864845000000003,18.212614379620486,26.58915162086487,16.098177,5.2441316,0.011426209,16.581984,-0.015,15.79911,18.409595,,0.11,0.9999821,15.676951,16.464436,1.1285079,14,280,18.969883,17.768856,16.795307
14,,-0.135,1.8175273,0.66133165,16.795307,3.4189274,17.669110999999997,17.993603542137414,27.962636470794678,16.109407,4.496181,0.24903649999999997,16.661001000000002,-0.014,15.372117000000001,16.544056,,0.11,0.9999821,16.373552,16.266617,1.0248078,15,300,17.037775,17.70068,16.795307
15,,-0.144,1.8013067999999999,1.2375066000000001,16.795307,3.4602212999999997,16.53443,17.90576412264414,28.88049817085266,16.113419,5.096501,0.033763006,16.653994,-0.015,17.635021,17.924082000000002,,0.11,0.9999821,16.11659,16.17359,1.1021888000000002,16,320,18.41191,17.652607,16.795307
16,,-0.148,1.8482032,1.8125456999999998,16.795307,3.488634,17.494217000000003,18.217040725630515,29.900858640670773,16.134354000000002,5.477723999999999,0.014802596999999999,16.708393,-0.015,19.109776,18.338704999999997,,0.11,0.9999821,16.042938,16.469296,1.1241045,17,340,18.82256,17.594091,16.795307
