,TimestepsSoFar,TimeElapsed,target_sum_log_mean,IWLastEpisode,IWMin,URet,ReturnMin,LQGmu01,LQGsigma,IWNorm2,IWMean,Bound,IWFirstEpisode,ReturnMean,DenMISELogLast,ReturnMax,IWMax,MISE,ReturnAbsMax,SqrtESSClassic,DenMISELogFirst,ReturnStepMax,LQGmu1,ReturnLastEpisode,Iteration,DenMISEMeanLog,IWNorm1
0,20,1.2036943435668943,13.559763,1.0494451999999999,,17.497854397219367,,-0.01,0.11,1.0494451999999999,1.0494451999999999,64.00974000000001,1.0494451999999999,15.807039999999999,13.511501,15.807039999999999,1.0494451999999999,16.588621,15.807039999999999,1.0,13.511501,0.99233466,-0.099,15.807039999999999,1,13.511501,1.0494451999999999
1,40,26.922914266586304,16.983105,1.6941379,,17.175772747481727,,-0.01,0.11,2.0297859000000003,1.4060698,56.198776,1.1180014999999999,15.656339000000001,19.79157,15.807039999999999,1.6941379,21.970491,15.807039999999999,1.3854365,13.535923,0.99233466,-0.096,15.505637,2,16.663746,2.8121395000000002
2,60,28.64231777191162,16.221584,1.0662512,,16.9490733690755,,-0.009,0.11,2.6995382,1.4637594999999999,51.887603999999996,1.1045213,15.538561999999999,14.129248,15.807039999999999,2.2205062,22.735474,15.807039999999999,1.6266778,13.574503,0.99233466,-0.091,15.303007000000001,3,15.901153,4.3912787
3,80,30.35257434844971,16.193628,0.85705596,,17.45869568708149,,-0.009,0.11,3.2348037,1.3644571,49.345512,0.91668946,15.594470999999999,16.1529,15.807039999999999,2.867433,21.239456,15.807039999999999,1.6872208999999998,13.600298,0.99233466,-0.085,15.762201000000001,4,16.041220000000003,5.457828500000001
4,100,32.14007496833801,14.744229,2.4306827,,16.585906140520226,,-0.008,0.11,3.7369552,1.3594468000000002,46.94941,0.63059765,15.474696,9.162086500000001,15.807039999999999,2.6603925,20.878424,15.807039999999999,1.8189231,13.583495000000001,0.99233466,-0.079,14.995595000000002,5,14.712229999999998,6.7972339999999996
5,120,33.694326877593994,15.118289,5.295396,,15.775336595355851,,-0.007,0.11,5.9423804,1.6566319999999999,52.75934,0.36234426,15.260792000000002,17.576292000000002,15.807039999999999,5.295396,24.40921,15.807039999999999,1.6726953000000002,13.519951999999998,0.99233466,-0.073,14.191267999999999,6,15.228614000000002,9.939792
6,140,35.35214400291443,12.882597,0.8219808000000001,,16.665787036468902,,-0.006,0.11,2.0217392,0.48909888,35.18915,0.030165952000000003,15.230974,11.831659,15.807039999999999,1.7479056,7.1863017000000005,15.807039999999999,1.6934391,13.424438,0.99233466,-0.057,15.052074,7,14.800118,3.4236922
7,160,37.300633192062385,14.241833999999999,3.6420207,,16.3258317428539,,-0.007,0.11,5.343391400000001,1.3976305,43.335106,0.16363877,15.170069,13.816962,15.807039999999999,3.6420207,20.67268,15.807039999999999,2.0924994999999997,13.295207000000001,0.99233466,-0.066,14.743726,8,14.616935999999999,11.181044
8,180,39.1587700843811,14.513088,2.5346937,,16.22254284255795,,-0.007,0.11,5.393388,1.5347923,41.314785,0.3701486,15.11401,12.511909,15.807039999999999,2.5986407000000002,22.799034,15.807039999999999,2.5611231,13.197672,0.99233466,-0.07,14.66555,9,14.413631,13.81313
9,200,41.29355907440185,-63.871254,,,16.942956048371908,,0.006,0.11,3.162278e-10,4.3185187e-30,14.995876999999998,4.521731e-32,15.129453,16.7321,15.807039999999999,4.3032485e-29,6.69557e-29,15.807039999999999,3.1622772,13.132616,0.9924386999999999,0.059,15.268425,10,14.688728,1e-09
10,220,42.82831144332886,-54.852856,18.228051999999998,,10.13546608317741,,0.006,0.11,18.228051999999998,1.6570957,62.733936,4.8776654e-31,14.594116,5.4162455000000005,15.807039999999999,18.228051999999998,15.312817,15.807039999999999,1.0,13.037306,0.9924386999999999,0.056,9.240756,11,13.7591305,18.228051999999998
11,240,44.629538297653205,-45.043673999999996,6.785922500000001,,10.012632645921133,,0.005,0.11,14.671524,1.6494832999999998,50.319305,2.6553446e-29,14.137310000000001,14.223054999999999,15.807039999999999,13.007877,15.169910999999999,15.807039999999999,1.3491305,12.9502945,0.9924386999999999,0.052,9.112441,12,13.799466,19.7938
12,260,47.36520481109619,-23.944751999999998,0.0014369276000000002,,9.966702600888755,,0.003,0.11,0.055627603,0.0045245484999999995,44.889824,1.07148275e-20,13.747874,17.751596,15.807039999999999,0.055579826,0.041774097999999996,15.807039999999999,1.057373,12.870252,0.9924386999999999,0.029,9.07465,13,14.12055,0.05881913
13,280,49.38030529022217,-29.302687,20.694246,,10.006611770883481,,0.004,0.11,21.500853,2.0446708,54.29721,9.6109895e-26,13.4166975,16.648436,15.807039999999999,20.694246,18.67867,15.807039999999999,1.3313607,12.796144,0.9924386999999999,0.043,9.111399,14,14.232622000000001,28.625390999999997
14,300,51.33444833755493,-25.434492000000002,8.016772999999999,,10.320645823526004,,0.004,0.11,11.615457000000001,1.3131868999999998,40.113490000000006,9.648131999999999e-25,13.149975,2.6351272999999997,15.807039999999999,8.016772999999999,12.15007,15.807039999999999,1.6958269,12.727151,0.9924386999999999,0.04,9.415846,15,13.488662,19.697803
15,320,53.657485246658325,-21.1111,7.1740165,,10.027876344250355,,0.004,0.11,9.09052,1.0224932,35.75907,1.4389288e-23,12.898838,14.864438,15.807039999999999,7.1740165,9.4091015,15.807039999999999,1.7996651000000001,12.662613,0.9924386999999999,0.037,9.131798,16,13.582081,16.359892000000002
16,340,56.0734977722168,-11.681939999999999,0.008362366999999999,,10.006118255867754,,0.001,0.11,0.0084335385,0.0005610817,41.93334,1.4211076e-15,12.675938,14.081892000000002,15.807039999999999,0.008362366999999999,0.005113572,15.807039999999999,1.1310071000000002,12.601988,0.9924386999999999,0.013,9.109537,17,13.606879000000001,0.009538392
17,360,58.01162767410278,-9.7948065,9.792252000000001,,10.192063943078187,,0.0,0.11,9.792252000000001,0.5440149999999999,52.46315,4.755194e-13,12.486628999999999,14.038769,15.807039999999999,9.792252000000001,5.04212,15.807039999999999,1.0000019,12.544829,0.9924386999999999,0.004,9.268348,18,13.576920999999999,9.79227
18,380,59.89697813987732,-14.253129000000001,0.007069181,,10.599790598208669,,-0.002,0.11,0.0070806053,0.00040688337,43.436966,2.3604508e-07,12.337512,11.702637,15.807039999999999,0.007069181,0.004091637,15.807039999999999,1.0918256000000002,12.490763000000001,0.9924386999999999,-0.02,9.653427,19,13.449914999999999,0.0077307858
19,400,62.24102425575256,-12.070202,18.059036,,11.880146635641086,,-0.002,0.11,18.059046,0.90391046,57.1143,1.194506e-07,12.259653,13.923206,15.807039999999999,18.059036,9.743442,15.807039999999999,1.0010610999999998,12.439469,0.9924386999999999,-0.018,10.780318,20,13.424871,18.078209
20,420,65.22963714599611,-8.574958,13.048338000000001,,12.264405989792152,,-0.001,0.11,13.56294,0.82024294,46.362103000000005,4.791823e-09,12.205159,15.063032000000002,15.807039999999999,13.048338000000001,9.023003,15.807039999999999,1.2700124,12.390678,0.9924386999999999,-0.012,11.115296,21,13.487096,17.225101000000002
21,440,67.94101285934447,-7.886009,7.679417599999999,,13.620038105597875,,-0.001,0.11,12.503024,0.9644514000000001,38.995895000000004,1.1031850000000001e-08,12.210086,13.400312,15.807039999999999,8.783696,11.0522,15.807039999999999,1.6970238999999998,12.344159,0.9924386999999999,-0.013,12.313577,22,13.469119000000001,21.21793
22,460,71.84423398971558,-7.650369,6.2492790000000005,,13.653494393194942,,-0.002,0.11,12.387131,1.080239,36.211926,4.3142904e-08,12.214948,12.868247,15.807039999999999,6.2937536,12.56935,15.807039999999999,2.005751,12.299707000000001,0.9924386999999999,-0.016,12.321854,23,13.436694000000001,24.845497
23,480,75.31910753250122,-4.210572,3.5436243999999997,,13.169145119361,,-0.0,0.11,8.003142,0.64656496,31.40318,6.708425500000001e-11,12.203431,17.902895,15.807039999999999,6.641325,6.945854,15.807039999999999,1.9389333,12.257147999999999,0.9924386999999999,-0.004,11.938591,24,13.621872,15.517559
24,500,78.88048291206358,-3.3345182,8.550562,,12.312411317216293,,-5.985e-05,0.11,13.167794,0.98118997,35.739329999999995,1.0773939e-11,12.162183,11.229449,15.807039999999999,9.3562975,10.283238,15.807039999999999,1.8628593999999998,12.216325999999999,0.9924386999999999,-0.001,11.172219,25,13.510907999999999,24.529749
25,520,82.44425892829895,-2.7728932,2.3178346000000003,,11.641787233946769,,0.001,0.11,18.020301999999997,1.2775063999999998,38.503365,8.4249495e-14,12.099509,17.65699,15.807039999999999,12.52313,12.775872,15.807039999999999,1.8432080000000002,12.177105000000001,0.9924386999999999,0.007,10.532685,26,13.666022,33.215164
26,540,85.17896294593811,-79.41530999999999,,,10.27547133049124,,0.01,0.11,4.94242e-09,2.492436e-10,24.855311999999998,,11.997603,13.719448000000002,15.807039999999999,3.718915e-09,2.2660782e-09,15.807039999999999,1.9078867,12.139364,0.9924386999999999,0.098,9.348042999999999,27,13.671923999999999,9.429576999999998e-09
27,560,88.3495671749115,-84.25497,36.036137,,9.897341979575161,,0.01,0.11,36.036137,1.2870048,59.018640000000005,,11.890948,13.774364000000002,15.807039999999999,36.036137,11.597517,15.807039999999999,1.0,12.102997,0.9924386999999999,0.104,9.011246,28,13.640513,36.036137
28,580,92.25842428207396,-84.69373,37.023212,,9.872167666533633,,0.011,0.11,39.924717,1.7919054,52.552048,,11.790873,5.664457,15.807039999999999,37.023212,16.118570000000002,15.807039999999999,1.3015809999999999,12.067905,0.9924386999999999,0.106,8.988742,29,13.360121,51.965256
29,600,96.59254908561708,-87.645706,8.456057000000001,,9.893818411429786,,0.011,0.11,29.50757,1.417513,45.656456,,11.698088,14.161071,15.807039999999999,27.494877000000002,12.751825,15.807039999999999,1.4411688,12.034004,0.9924386999999999,0.111,9.007311999999999,30,13.395323999999999,42.52539
30,620,100.77202343940736,-87.56515,32.115932,,9.85506607770293,,0.011,0.11,36.689518,1.8658057000000001,46.84149,,11.61018,2.89883,15.807039999999999,32.115932,16.760946,15.807039999999999,1.5764714,12.001214,0.9924386999999999,0.113,8.972956,31,13.060383,57.839977000000005
31,640,104.50995898246764,-88.07999000000001,2.6406887,,9.895954689457083,,0.012,0.11,27.634724,1.3695712,42.205006,,11.528967,15.976712,15.807039999999999,24.814262,12.303549,15.807039999999999,1.5859134,11.969465,0.9924386999999999,0.116,9.011346000000001,32,13.164982,43.82628
32,660,108.2094042301178,-88.779976,25.341293,,9.851780357234745,,0.012,0.11,32.75372,1.7030025000000002,42.92586,,11.451469,7.0720224,15.807039999999999,25.341293,15.288078,15.807039999999999,1.7158077,11.938694,0.9924386999999999,0.118,8.971577,33,12.984086,56.19908
33,680,111.60259056091309,-93.56579,11.2152605,,9.866341563912112,,0.012,0.11,30.920563,1.6078516,41.254158000000004,,11.378878,15.316942999999998,15.807039999999999,24.377539000000002,14.431962,15.807039999999999,1.7679806,11.908841,0.9924386999999999,0.124,8.983336,34,13.063619000000001,54.666954000000004
34,700,115.58657550811769,-170.07095,2.4265191e-05,,9.847567066463023,,0.018,0.11,2.4285374999999998e-05,7.233882e-07,45.479659999999996,,11.309917,11.380279,15.807039999999999,2.4265191e-05,6.485559e-06,15.807039999999999,1.0426886999999998,11.879853,0.9924386999999999,0.175,8.96526,35,13.02469,2.5322088e-05
35,720,120.48581218719481,-150.94963,58.413433,,9.777839447667251,,0.017,0.11,58.413433,1.6226587,61.8651,,11.243046000000001,11.109117999999999,15.807039999999999,58.413433,14.445835,15.807039999999999,1.0000391,11.851683,0.9924386999999999,0.167,8.902569999999999,36,12.94409,58.415714
36,740,125.92819166183472,-144.53061,4.5847940000000005,,9.732283573818203,,0.017,0.11,23.29658,0.74135816,46.869583,,11.178637,5.852976,15.807039999999999,22.840979,6.5947127000000005,15.807039999999999,1.177437,11.824284,0.9924386999999999,0.165,8.859896,37,12.751841,27.430252000000003
37,760,130.54745841026306,-132.60095,28.517236999999998,,9.796639701459073,,0.016,0.11,30.822002,1.0831088,45.166270000000004,,11.119183999999999,10.737237,15.807039999999999,28.517236999999998,9.654121,15.807039999999999,1.3353491000000002,11.797614999999999,0.9924386999999999,0.16,8.919426,38,12.688587,41.158134000000004
38,780,133.15364503860474,-121.98823,23.07056,,9.802534369507622,,0.016,0.11,30.011190000000003,1.2163271999999998,40.85137,,11.062928,13.35825,15.807039999999999,23.07056,10.850076,15.807039999999999,1.5806358,11.77164,0.9924386999999999,0.155,8.925243,39,12.702321000000001,47.43676
39,800,135.06059074401855,-111.31787,36.122085999999996,,9.818820504300984,,0.015,0.11,39.923122,1.5834516,44.03581,,11.009863000000001,13.406351,15.807039999999999,36.122085999999996,14.145420999999999,15.807039999999999,1.5865008,11.746322,0.9924386999999999,0.15,8.940301,40,12.720114,63.338066000000005
40,820,139.99293637275696,-144.06011999999998,8.256423,,9.773143623487961,,0.018,0.11,32.890812,1.1498828,43.287647,,10.958358,13.578159,15.807039999999999,31.2729,10.204338,15.807039999999999,1.4333850000000001,11.721629,0.9924386999999999,0.176,8.898168,41,12.747397,47.145195
41,840,143.19107174873355,-145.06615,4.819407,,9.768673556697806,,0.018,0.11,26.678438,0.9460430000000001,40.23493,,10.909174,6.515588,15.807039999999999,25.482218,8.395004,15.807039999999999,1.4893603000000002,11.697532,0.9924386999999999,0.179,8.89263,42,12.597553999999999,39.733807
42,860,147.90996122360232,-150.90239,13.797506,,9.744520030152168,,0.019,0.11,26.726536,0.9543988999999999,39.346252,,10.861782,11.47533,15.807039999999999,22.741486,8.4634905,15.807039999999999,1.5355208,11.674000999999999,0.9924386999999999,0.186,8.87129,43,12.567008,41.03915
