,Iteration,DenMISEMeanLog,IWMax,ReturnMax,URet,Bound,ReturnAbsMax,DenMISELogFirst,IWMean,target_sum_log_mean,TimestepsSoFar,ReturnMean,IWNorm2,LQGsigma,SqrtESSClassic,ReturnLastEpisode,MISE,ReturnStepMax,IWMin,IWFirstEpisode,TimeElapsed,ReturnMin,IWLastEpisode,IWNorm1,DenMISELogLast,LQGmu01,LQGmu1
0,1,17.102016,,15.644507999999998,17.332240856619553,1.5723323,15.644507999999998,17.102016,,-1085.7476,20,15.644507999999998,1e-10,0.11,1.0,15.644507999999998,,0.99262077,,,0.22301220893859866,,,1e-10,17.102016,0.28,0.994
1,2,3.2526908,3.2822884e-31,15.644507999999998,9.507751597648364,1.1118069,15.644507999999998,16.408869,1.6411442e-31,-582.9213,40,12.156475,1.4142136e-10,0.11,1.4142135,8.668443,1.4226164999999999e-30,0.99262077,,,4.47371244430542,,3.2822884e-31,2e-10,-9.903487,0.28,0.994
2,3,5.30936,1.5,15.644507999999998,9.422409868982331,5.8616166,15.644507999999998,16.003404999999997,0.5,-385.06787,60,10.96384,1.5,0.11,1.0,8.578567999999999,4.289283999999999,0.99262077,,,4.5752596855163565,,1.5,1.5,10.233627,0.28,0.994
3,4,7.941613,1.3333327,15.644507999999998,9.39539435135737,6.822884599999999,15.644507999999998,15.715722,0.6666663,-284.655,80,10.361547999999999,1.8856171000000002,0.11,1.4142135,8.554674,5.711077700000001,0.99262077,,,4.663426160812378,,1.3333327,2.6666653,16.295956,0.28,0.994
4,5,10.282872,1.25,15.644507999999998,9.38565713922478,7.327076400000001,15.644507999999998,15.4925785,0.7499995,-223.68636,100,9.998026,2.1650622000000004,0.11,1.7320508000000001,8.543934,6.41929,0.99262077,,,4.766026496887207,,1.2499988000000002,3.7499976000000004,19.965117000000003,0.28,0.994
5,6,11.415962,1.2,15.644507999999998,9.368423600919428,7.627669,15.644507999999998,15.310257,0.8,-183.48763,120,9.75341,2.4,0.11,2.0,8.530333,6.8415027,0.99262077,,,4.848502397537232,,1.2,4.8,17.323593,0.28,0.994
6,7,11.741313,1.166667,15.644507999999998,9.292158092186963,7.8144727,15.644507999999998,15.156106,0.83333313,-155.26894,140,9.568685,2.608745,0.11,2.2360682,8.460329,7.1113043000000005,0.99262077,,,4.932044982910156,,1.166667,5.833332,13.889041,0.28,0.994
7,8,12.154778,1.1428573,15.644507999999998,9.416776407126124,7.962432000000001,15.644507999999998,15.022575,0.857143,-133.94201999999999,160,9.444582,2.7994173,0.11,2.4494898,8.575863,7.320530000000001,0.99262077,,,5.016762733459473,,1.1428573,6.857144,15.21299,0.28,0.994
8,9,13.054469000000001,1.1250006000000001,15.644507999999998,9.41093806981763,8.070794,15.644507999999998,14.904792,0.87499976,-116.78057,180,9.347225,2.9764692999999998,0.11,2.6457512000000003,8.568379,7.476508,0.99262077,,,5.105252027511597,,1.1249995000000002,7.8749975999999995,20.393068,0.28,0.994
9,10,12.670439,1.1111116,15.644507999999998,9.365008787086587,8.149046,15.644507999999998,14.799432000000001,0.88888854,-104.15819,200,9.265125999999999,3.1426957000000004,0.11,2.828427,8.526228999999999,7.5931425,0.99262077,,,5.19746732711792,,1.1111106000000002,8.888885499999999,9.337937,0.28,0.994
10,11,12.961355000000001,1.1,15.644507999999998,9.369556973885944,8.210922,15.644507999999998,14.704122,0.9,-93.227806,220,9.198278,3.3,0.11,3.0,8.529800999999999,7.6868114,0.99262077,,,5.323314428329468,,1.1,9.9,15.980732000000001,0.28,0.994
11,12,13.075025,1.090909,15.644507999999998,9.372613162150424,8.260981,15.644507999999998,14.61711,0.9090908000000001,-84.24951,240,9.142864,3.449757,0.11,3.1622777,8.533317,7.763765299999999,0.99262077,,,5.4182188510894775,,1.090909,10.909089999999999,14.424725,0.28,0.994
