,Iteration,DenMISEMeanLog,IWMax,ReturnMax,URet,Bound,ReturnAbsMax,DenMISELogFirst,IWMean,target_sum_log_mean,TimestepsSoFar,ReturnMean,IWNorm2,LQGsigma,SqrtESSClassic,ReturnLastEpisode,MISE,ReturnStepMax,IWMin,IWFirstEpisode,TimeElapsed,ReturnMin,IWLastEpisode,IWNorm1,DenMISELogLast,LQGmu01,LQGmu1
12,13,13.025538000000001,1.0833343999999998,15.644507999999998,9.399888412199688,8.3040495,15.644507999999998,14.537067,0.9166665999999999,-76.799385,260,9.097895,3.5930101999999997,0.11,3.3166246,8.558255,7.829973,0.99262077,,,5.523460626602173,,1.0833335,11.916666000000001,12.522103999999999,0.28,0.994
13,14,13.201514999999999,1.0769233,15.644507999999998,9.32272670762826,8.334425999999999,15.644507999999998,14.462959,0.92307705,-70.19612,280,9.054275,3.7305714999999995,0.11,3.4641016000000002,8.487219,7.8805323000000005,0.99262077,,,5.639422178268433,,1.0769233,12.923079,15.572153,0.28,0.994
14,15,13.18425,1.0714283000000002,15.644507999999998,9.39803445243334,8.364714,15.644507999999998,14.393967000000002,0.92857116,-64.64384,300,9.020916999999999,3.8630898,0.11,3.6055512000000003,8.553907,7.928627499999999,0.99262077,,,5.736563205718994,,1.0714283000000002,13.928567999999999,13.019141000000001,0.28,0.994
15,16,13.168806,1.0666671,15.644507999999998,9.347572604324338,8.387818,15.644507999999998,14.329428,0.9333334999999999,-59.786545,320,8.989179,3.9911017,0.11,3.7416577000000006,8.513098,7.967594999999999,0.99262077,,,5.885312795639037,,1.0666671,14.933335999999999,13.008314,0.28,0.994
16,17,13.237786999999999,1.0625004999999998,15.644507999999998,9.364636960574991,8.408294,15.644507999999998,14.268804000000001,0.93750024,-55.41859399999999,340,8.961766,4.1150455,0.11,3.8729835,8.523164999999999,8.002319,0.99262077,,,6.073946714401245,,1.0625004999999998,15.937504,14.407951999999998,0.28,0.994
17,18,13.471217999999999,1.0588236,15.644507999999998,9.354285692891224,8.425641,15.644507999999998,14.211645,0.9411761999999999,-51.36428,360,8.937026,4.235293,0.11,4.0,8.516451,8.032558,0.99262077,,,6.361476182937622,,1.0588226,16.941172,17.501844000000002,0.28,0.994
18,19,13.591482000000001,1.0555558999999999,15.644507999999998,9.350870392330243,8.440658,15.644507999999998,14.157577499999999,0.94444466,-47.825687,380,8.914764,4.3521676,0.11,4.123106,8.514043,8.059311,0.99262077,,,6.657308340072633,,1.0555558999999999,17.944448,15.814913,0.28,0.994
19,20,13.677615,1.0526316,15.644507999999998,9.370902328206594,8.454806,15.644507999999998,14.106284,0.94736814,-44.66336,400,8.895643,4.465936,0.11,4.242641000000001,8.532336,8.084204,0.99262077,,,6.872399568557738,,1.0526316,18.947363,15.369588,0.28,0.994
20,21,13.430437,1.0499998,15.644507999999998,9.400272217347553,8.468744000000001,15.644507999999998,14.057494,0.94999987,-42.127575,420,8.879691000000001,4.5768433,0.11,4.3588986,8.56066,8.1080265,0.99262077,,,7.155881881713867,,1.0499998,19.949997,8.539377,0.28,0.994
21,22,13.553045000000001,1.0476192,15.644507999999998,9.389018771829967,8.480630999999999,15.644507999999998,14.010974,0.95238113,-39.475215999999996,440,8.864677,4.6850953,0.11,4.4721364999999995,8.549387,8.129046,0.99262077,,,7.557231664657593,,1.0476192,20.952385,16.177736,0.28,0.994
22,23,13.670805999999999,1.0454555,15.644507999999998,9.400169405550967,8.491736999999999,15.644507999999998,13.966522,0.9545454,-37.047882,460,8.851424,4.790874,0.11,4.582576,8.559844,8.148626,0.99262077,,,7.804236173629762,,1.0454555,21.954544,16.309067000000002,0.28,0.994
23,24,13.752682,1.0434793,15.644507999999998,9.399493943036985,8.501699,15.644507999999998,13.923963,0.9565215,-34.849064,480,8.83925,4.8943458,0.11,4.690416,8.559237,8.166477,0.99262077,,,7.985428333282472,,1.0434783,22.956516,15.681204000000001,0.28,0.994
24,25,13.884072,1.0416676999999999,15.644507999999998,9.379596084069828,8.509826,15.644507999999998,13.883141,0.95833325,-32.770233000000005,500,8.827211,4.9956574,0.11,4.7958317,8.538298,8.181972,0.99262077,,,8.098562717437744,,1.0416676999999999,23.958332000000002,17.080896,0.28,0.994
25,26,13.802011499999999,1.0400001,15.644507999999998,9.342287291211194,8.515761999999999,15.644507999999998,13.84392,0.9600001,-31.054789000000003,520,8.814739,5.094939,0.11,4.8989797,8.502951,8.194811,0.99262077,,,8.212151050567629,,1.0400001,24.960003,11.792084,0.28,0.994
26,27,13.874042000000001,1.0384619000000002,15.644507999999998,9.366514013103517,8.522174,15.644507999999998,13.80618,0.96153873,-29.318518,540,8.804195,5.192309,0.11,5.0000005,8.530049,8.207707000000001,0.99262077,,,8.377240419387817,,1.0384619000000002,25.961546,15.786781,0.28,0.994
27,28,13.782844,1.0370378,15.644507999999998,9.389942981617496,8.528702000000001,15.644507999999998,13.769812,0.9629628,-27.864454,560,8.795079,5.287871400000001,0.11,5.0990195,8.548941000000001,8.220342,0.99262077,,,8.747226238250732,,1.0370368,26.96296,11.358913000000001,0.28,0.994
28,29,13.750282,1.0357144,15.644507999999998,9.298554221030132,8.531719,15.644507999999998,13.734720000000001,0.9642858,-26.458414,580,8.783738,5.38173,0.11,5.196152,8.466183000000001,8.229124,0.99262077,,,9.287247896194456,,1.0357144,27.964289,12.875562,0.28,0.994
29,30,13.837475,1.0344834,15.644507999999998,9.407010375731627,8.537883,15.644507999999998,13.700819000000001,0.96551704,-25.028614,600,8.776483,5.473967,0.11,5.2915025,8.566061,8.240739999999999,0.99262077,,,9.854007244110107,,1.0344824000000001,28.965511,16.401728,0.28,0.994
30,31,13.923015,1.0333347,15.644507999999998,9.420514933092676,8.544014,15.644507999999998,13.668029,0.9666665999999999,-23.687157,620,8.770133999999999,5.564669599999999,0.11,5.385164700000001,8.579703,8.252039,0.99262077,,,10.129086256027223,,1.0333326999999999,29.966663,16.523670000000003,0.28,0.994
31,32,13.951172,1.0322591,15.644507999999998,9.41149832962167,8.549282,15.644507999999998,13.636281,0.96774197,-22.48165,640,8.7638,5.65391,0.11,5.477226,8.567407000000001,8.262215,0.99262077,,,10.459294319152832,,1.0322582,30.967743,14.857377,0.28,0.994
32,33,13.978632000000001,1.0312506,15.644507999999998,9.416464103429817,8.554356,15.644507999999998,13.605509,0.9687498999999999,-21.348254999999998,660,8.758047,5.741756400000001,0.11,5.5677642999999994,8.573996000000001,8.271956,0.99262077,,,10.835138082504272,,1.0312496,31.968746000000003,14.889564000000002,0.28,0.994
33,34,14.1521225,1.030304,15.644507999999998,9.357920914318159,8.557438000000001,15.644507999999998,13.575656,0.96969694,-20.133944,680,8.75106,5.8282739999999995,0.11,5.656854,8.520453,8.279487,0.99262077,,,11.226680278778076,,1.0303019,32.969696,19.90854,0.28,0.994
34,35,14.145937,1.0294121999999999,15.644507999999998,9.384941724160468,8.560953999999999,15.644507999999998,13.546667999999999,0.97058845,-19.158834,700,8.745122,5.913521299999999,0.11,5.744562999999999,8.543241,8.287246000000001,0.99262077,,,11.828389406204224,,1.0294121999999999,33.970596,13.965882999999998,0.28,0.994
35,36,14.197803500000001,1.0285720999999999,15.644507999999998,9.330042537246682,8.562861,15.644507999999998,13.518497,0.9714286,-18.180232999999998,720,8.738201,5.9975505,0.11,5.8309517,8.4959955,8.293209,0.99262077,,,12.529131650924684,,1.0285720999999999,34.971428,16.04259,0.28,0.994
36,37,14.128117999999999,1.0277779,15.644507999999998,9.332697439616656,8.564558,15.644507999999998,13.491098000000001,0.9722223,-17.373327,740,8.731601,6.0804157,0.11,5.91608,8.493946000000001,8.298785,0.99262077,,,13.210798025131226,,1.0277779,35.972225,11.647925,0.28,0.994
37,38,14.29476,1.0270274,15.644507999999998,9.385134914605377,8.567496,15.644507999999998,13.464429999999998,0.97297305,-16.376266,760,8.726689,6.162163,0.11,6.0,8.545019,8.305441,0.99262077,,,13.855167865753176,,1.0270274,36.972977,20.4883,0.28,0.994
38,39,14.3319025,1.0263165,15.644507999999998,9.386715584375505,8.570286,15.644507999999998,13.438455,0.97368425,-15.551328,780,8.722081,6.2428360000000005,0.11,6.0827622,8.54696,8.311796000000001,0.99262077,,,14.584638833999634,,1.0263156,37.973686,15.770413000000001,0.28,0.994
39,40,14.426457999999998,1.0256413,15.644507999999998,9.367586511844381,8.572442,15.644507999999998,13.413136999999999,0.97435915,-14.708403,800,8.717264,6.3224764,0.11,6.1644144,8.529395,8.317376,0.99262077,,,15.00548768043518,,1.0256413,38.974365,18.140304999999998,0.28,0.994
40,41,14.51559,1.0250009,15.644507999999998,9.38411125574194,8.574881,15.644507999999998,13.388444,0.97499996,-13.907438,820,8.713102000000001,6.4011226,0.11,6.244998000000001,8.546608,8.323106,0.99262077,,,15.719860792160034,,1.025,39.975,18.106453,0.28,0.994
41,42,14.577067000000001,1.024391,15.644507999999998,9.333537650710463,8.575963,15.644507999999998,13.3643465,0.9756097,-13.168053,840,8.707966,6.4788120000000005,0.11,6.324555999999999,8.4973755,8.327355,0.99262077,,,16.435521841049194,,1.0243901,40.975609999999996,17.122648,0.28,0.994
42,43,14.313104999999998,1.02381,15.644507999999998,9.401563533616564,8.578463000000001,15.644507999999998,13.3408165,0.9761905999999999,-12.7856655,860,8.704535,6.5555806,0.11,6.403124299999999,8.560396,8.332906,0.99262077,,,17.177696466445926,,1.0238093000000001,41.976196,3.2510955000000004,0.28,0.994
43,44,14.279599,1.0232565,15.644507999999998,9.384054868593424,8.580403,15.644507999999998,13.317827,0.97674406,-12.202226,880,8.700861,6.631455,0.11,6.4807405,8.5429325,8.337788,0.99262077,,,17.800758361816406,,1.0232556000000002,42.976738,12.862646,0.28,0.994
44,45,14.225306,1.0227287,15.644507999999998,9.374814844568274,8.582116000000001,15.644507999999998,13.295354000000001,0.9772726999999999,-11.667017,900,8.697241,6.7064705,0.11,6.5574392999999995,8.537974,8.342338,0.99262077,,,18.4297399520874,,1.0227277,43.977272,11.859652,0.28,0.994
45,46,14.168319,1.0222235999999998,15.644507999999998,9.436309482662956,8.584891,15.644507999999998,13.2733755,0.9777777,-11.160156,920,8.6949215,6.780655,0.11,6.6332493,8.590516000000001,8.347854,0.99262077,,,19.079432487487797,,1.0222226,44.977776,11.626614,0.28,0.994
46,47,14.205078,1.0217402,15.644507999999998,9.39048233941642,8.586613,15.644507999999998,13.251869000000001,0.9782609,-10.583563999999999,940,8.691813,6.8540344,0.11,6.708203999999999,8.548866,8.352223,0.99262077,,,19.757710218429565,,1.0217392,45.97826,15.9182625,0.28,0.994
47,48,14.206245000000001,1.0212774,15.644507999999998,9.333862912526774,8.587193,15.644507999999998,13.230816,0.97872335,-10.065076,960,8.687814,6.926634299999999,0.11,6.7823305,8.499830000000001,8.355364999999999,0.99262077,,,20.17076802253723,,1.0212765,46.97872,14.282820000000001,0.28,0.994
48,49,14.226091,1.0208344,15.644507999999998,9.36713083874749,8.588327,15.644507999999998,13.2101965,0.97916675,-9.549042,980,8.684569999999999,6.9984813,0.11,6.8556547000000005,8.528855,8.358979,0.99262077,,,20.48533058166504,,1.0208335,47.97917,15.199959,0.28,0.994
49,50,14.154539999999999,1.0204091,15.644507999999998,9.379809226594322,8.589654,15.644507999999998,13.189994,0.97959185,-9.14427,1000,8.681713,7.069595,0.11,6.928203599999999,8.541707,8.362707,0.99262077,,,20.801227807998657,,1.020408,48.97959,10.669338,0.28,0.994
50,51,14.219682999999998,1.0200014000000002,15.644507999999998,9.383412381175358,8.590891000000001,15.644507999999998,13.170191,0.98,-8.621499,1020,8.678951,7.1400003,0.11,6.9999994999999995,8.540914,8.366272,0.99262077,,,21.123533487319946,,1.0199995000000002,49.98,17.497206,0.28,0.994
51,52,14.32876,1.0196085,15.644507999999998,9.384827436190339,8.592136,15.644507999999998,13.150773000000001,0.98039216,-8.072409,1040,8.676373,7.2097163,0.11,7.0710679999999995,8.544851,8.369775,0.99262077,,,21.451406240463253,,1.0196085,50.980391999999995,19.911776,0.28,0.994
52,53,14.340659,1.0192313,15.644507999999998,9.366079990328231,8.592924,15.644507999999998,13.131723999999998,0.98076934,-7.6371183,1060,8.6735115,7.278764,0.11,7.141429,8.524704,8.372753,0.99262077,,,21.768665552139282,,1.0192302,51.980774,14.978944,0.28,0.994
53,54,14.374144,1.0188688,15.644507999999998,9.329923537566,8.593123,15.644507999999998,13.113032,0.9811321,-7.1959352,1080,8.670226,7.347161,0.11,7.211103,8.496108999999999,8.37508,0.99262077,,,22.105822563171387,,1.0188679,52.98113299999999,16.16808,0.28,0.994
54,55,14.397772,1.01852,15.644507999999998,9.336618877302008,8.593396,15.644507999999998,13.094683999999999,0.9814813,-6.7794479999999995,1100,8.667157000000001,7.4149265,0.11,7.2801089999999995,8.501425999999999,8.377419,0.99262077,,,22.546101570129395,,1.018519,53.981472,15.692533,0.28,0.994
55,56,14.431039000000002,1.018183,15.644507999999998,9.324225003115602,8.593433000000001,15.644507999999998,13.076665,0.9818181999999999,-6.3673644,1120,8.663992,7.482078,0.11,7.3484693,8.489903,8.379466,0.99262077,,,23.33217811584473,,1.018182,54.98181999999999,16.27921,0.28,0.994
56,57,14.483670000000002,1.0178578,15.644507999999998,9.421009687921641,8.595034,15.644507999999998,13.058966,0.9821429,-5.9492183,1140,8.662491000000001,7.5486320000000005,0.11,7.416198,8.578444500000002,8.38302,0.99262077,,,24.004878044128414,,1.0178578,55.982147,17.449251,0.28,0.994
57,58,14.497478,1.0175452,15.644507999999998,9.388208931962184,8.596003999999999,15.644507999999998,13.041574,0.9824560999999999,-5.582512400000001,1160,8.660498,7.6146006999999996,0.11,7.4833145000000005,8.5468445,8.385892,0.99262077,,,24.522160291671753,,1.0175433,56.982452,15.302344,0.28,0.994
58,59,14.557015,1.0172425999999999,15.644507999999998,9.397404396967199,8.597106,15.644507999999998,13.024479,0.9827585999999999,-5.182049299999999,1180,8.658745,7.680003999999999,0.11,7.5498343,8.557134,8.388845,0.99262077,,,25.108380794525146,,1.0172425999999999,57.982758,18.02768,0.28,0.994
59,60,14.593986,1.0169496999999998,15.644507999999998,9.37703084448774,8.597863,15.644507999999998,13.007672,0.983051,-4.815526,1200,8.656764,7.744855,0.11,7.615773,8.539889,8.391406,0.99262077,,,25.78034734725952,,1.0169476,58.983059999999995,16.79254,0.28,0.994
60,61,14.530745499999998,1.0166684000000001,15.644507999999998,9.390521301309187,8.59876,15.644507999999998,12.991142,0.9833333000000001,-4.560028,1220,8.655025,7.809164,0.11,7.681146000000001,8.550642,8.394059,0.99262077,,,26.45210361480713,,1.0166664,59.98333,10.753288000000001,0.28,0.994
61,62,14.481945000000001,1.0163950000000002,15.644507999999998,9.392933666387963,8.599618,15.644507999999998,12.974882000000001,0.9836065,-4.300381,1240,8.653346,7.872949,0.11,7.745967,8.550971,8.39663,0.99262077,,,27.26873111724853,,1.0163931000000002,60.98360400000001,11.521833,0.28,0.994
62,63,14.54607,1.0161295,15.644507999999998,9.325830949569248,8.599469000000001,15.644507999999998,12.958881,0.9838710999999999,-3.9376108999999997,1260,8.650766,7.936222,0.11,7.8102503,8.490867,8.398152,0.99262077,,,28.199108123779297,,1.0161295,61.983880000000006,18.538162,0.28,0.994
63,64,14.555299,1.0158737,15.644507999999998,9.312396454947985,8.599105999999999,15.644507999999998,12.943133,0.9841273000000001,-3.6390762000000003,1280,8.648066499999999,7.998994000000001,0.11,7.8740087,8.4779415,8.39942,0.99262077,,,29.099083185195926,,1.0158726999999999,62.984145999999996,15.152859,0.28,0.994
64,65,14.465568,1.0156257,15.644507999999998,9.401882881150154,8.600073,15.644507999999998,12.927629,0.98437524,-3.4484112000000002,1300,8.64676,8.0612755,0.11,7.937253999999999,8.563143,8.401978,0.99262077,,,29.821393966674805,,1.0156257,63.984390000000005,8.738650999999999,0.28,0.994
65,66,14.432154999999998,1.0153855,15.644507999999998,9.422033055016806,8.601249000000001,15.644507999999998,12.912362,0.98461545,-3.2099322999999997,1320,8.645739,8.123077,0.11,8.0,8.5793915,8.404707,0.99262077,,,30.55444884300232,,1.0153846,64.98461999999999,12.275932000000001,0.28,0.994
66,67,14.479754999999999,1.015153,15.644507999999998,9.347591350839783,8.601342,15.644507999999998,12.897324000000001,0.9848485,-2.8985631,1340,8.643730999999999,8.184412,0.11,8.062259,8.5112095,8.406319,0.99262077,,,31.251869440078732,,1.0151511,65.98485,17.636744,0.28,0.994
67,68,14.514304999999998,1.0149266,15.644507999999998,9.31401508154816,8.600992,15.644507999999998,12.882508999999999,0.9850745000000001,-2.6080097999999996,1360,8.641356,8.245292999999998,0.11,8.124038,8.482249000000001,8.407452000000001,0.99262077,,,31.746948719024658,,1.0149266,66.98507,16.844257,0.28,0.994
68,69,14.550723000000001,1.0147069,15.644507999999998,9.382459837362012,8.601544,15.644507999999998,12.86791,0.985294,-2.323014,1380,8.639938,8.305725,0.11,8.185352,8.543502,8.409453,0.99262077,,,32.618882894515984,,1.0147059,67.98528,17.0421,0.28,0.994
69,70,14.579703,1.0144940999999998,15.644507999999998,9.322872533715078,8.601282000000001,15.644507999999998,12.853521,0.9855072,-2.0525644,1400,8.637786,8.365722,0.11,8.246211,8.489258,8.410609,0.99262077,,,33.56903576850891,,1.0144931000000001,68.985504,16.594065,0.28,0.994
70,71,14.515061,1.0142870000000002,15.644507999999998,9.386227418682306,8.60186,15.644507999999998,12.839336,0.9857143,-1.8825468999999997,1420,8.636522,8.425289999999999,0.11,8.306624000000001,8.54802,8.412574000000001,0.99262077,,,34.575265407562256,,1.014286,69.98572,10.004474,0.28,0.994
71,72,14.563765,1.0140858,15.644507999999998,9.388498491383864,8.602428999999999,15.644507999999998,12.825351,0.9859154,-1.6057048,1440,8.635311,8.48444,0.11,8.366599,8.549341,8.414499000000001,0.99262077,,,35.35017204284668,,1.0140848,70.98591,18.03611,0.28,0.994
72,73,14.570376000000001,1.0138896000000002,15.644507999999998,9.380860199001544,8.602881,15.644507999999998,12.811557,0.98611104,-1.3772128000000001,1460,8.634041999999999,8.54318,0.11,8.426148,8.542653999999999,8.41628,0.99262077,,,35.73871612548828,,1.0138886,71.98611,15.060414000000002,0.28,0.994
73,74,14.58808,1.0137,15.644507999999998,9.321391145417808,8.602521000000001,15.644507999999998,12.797952,0.9863013,-1.1436276,1480,8.632028,8.601519,0.11,8.48528,8.484997,8.41722,0.99262077,,,36.08194255828858,,1.0136981,72.9863,15.894479,0.28,0.994
74,75,14.635568,1.0135144,15.644507999999998,9.336416197452387,8.602369,15.644507999999998,12.784529,0.9864866,-0.88602257,1500,8.630268,8.659463,0.11,8.544005,8.500132,8.418341999999999,0.99262077,,,37.25706005096436,,1.0135144,73.986496,18.163334,0.28,0.994
75,76,14.608923999999998,1.0133345999999999,15.644507999999998,9.36334710512686,8.602542,15.644507999999998,12.771283,0.9866666,-0.7080829000000001,1520,8.628882,8.717023,0.11,8.602325,8.524883,8.419762,0.99262077,,,38.04817152023315,,1.0133326999999999,74.986664,12.624141999999999,0.28,0.994
76,77,14.680594000000001,1.0131588,15.644507999999998,9.361543894868095,8.602653,15.644507999999998,12.758211,0.98684216,-0.43714765,1540,8.627481,8.774205,0.11,8.6602545,8.521085000000001,8.421095,0.99262077,,,38.75847172737122,,1.0131588,75.98685,20.14084,0.28,0.994
77,78,14.652231,1.0129888,15.644507999999998,9.366875711909666,8.602829,15.644507999999998,12.745308,0.9870129000000001,-0.27135918,1560,8.626194,8.831014999999999,0.11,8.717798,8.527047999999999,8.42247,0.99262077,,,39.69910955429077,,1.0129858,76.98701,12.481434,0.28,0.994
78,79,14.631236,1.0128226,15.644507999999998,9.358767467812973,8.602929,15.644507999999998,12.732569,0.98717946,-0.10312199,1580,8.624875,8.887464,0.11,8.774964,8.521949000000001,8.423745,0.99262077,,,40.61045503616333,,1.0128207,77.987175,13.006652,0.28,0.994
79,80,14.655207,1.0126604,15.644507999999998,9.35267204570478,8.602961,15.644507999999998,12.71999,0.9873415999999999,0.10534477,1600,8.623529,8.943553999999999,0.11,8.831760000000001,8.5172205,8.424928999999999,0.99262077,,,41.625799655914314,,1.0126584,78.98733,16.561647,0.28,0.994
80,81,14.723856,1.012502,15.644507999999998,9.388533853821064,8.603363,15.644507999999998,12.707567,0.98749983,0.3539312,1620,8.622592,8.999296000000001,0.11,8.888194,8.547608,8.426461999999999,0.99262077,,,42.34588885307311,,1.0125,79.98749000000001,20.228405,0.28,0.994
81,82,14.758860999999998,1.0123475,15.644507999999998,9.346866026959963,8.603277,15.644507999999998,12.695297,0.98765415,0.56447953,1640,8.621211,9.054694,0.11,8.944271,8.509411,8.427485,0.99262077,,,43.13625121116638,,1.0123475,80.98764,17.60667,0.28,0.994
82,83,14.766511999999999,1.0121969000000002,15.644507999999998,9.362334918804127,8.603385000000001,15.644507999999998,12.683176,0.9878046999999999,0.74344426,1660,8.620058,9.109755999999999,0.11,8.999998,8.52554,8.428681,0.99262077,,,43.5940625667572,,1.0121959999999999,81.98779,15.406413,0.28,0.994
83,84,14.816645999999999,1.0120502,15.644507999999998,9.373217707193456,8.603569,15.644507999999998,12.6712,0.9879518,0.96080744,1680,8.619017,9.164485,0.11,9.055387,8.532536,8.429934,0.99262077,,,43.97615838050842,,1.0120482,82.98795,18.989893,0.28,0.994
84,85,14.847557,1.0119064,15.644507999999998,9.33873266962569,8.603399000000001,15.644507999999998,12.659366,0.98809546,1.1550091999999998,1700,8.61766,9.218891000000001,0.11,9.1104355,8.503725,8.430814,0.99262077,,,44.33936882019043,,1.0119054,83.98810999999999,17.456152,0.28,0.994
85,86,14.881813000000001,1.0117664000000002,15.644507999999998,9.328050442484995,8.603106,15.644507999999998,12.647669,0.9882353000000001,1.3487563,1720,8.616217,9.272977000000001,0.11,9.165152,8.493508,8.43155,0.99262077,,,45.16515374183655,,1.0117645,84.988235,17.805595,0.28,0.994
86,87,14.886095999999998,1.0116295,15.644507999999998,9.342062479059637,8.602967,15.644507999999998,12.636108,0.9883721,1.5088586000000002,1740,8.614957,9.326749000000001,0.11,9.219544,8.506594,8.432424000000001,0.99262077,,,46.21534967422485,,1.0116276,85.98836999999999,15.266108,0.28,0.994
87,88,14.948691,1.0114963,15.644507999999998,9.383614053191893,8.603256,15.644507999999998,12.62468,0.9885059000000002,1.72373,1760,8.614153,9.380211,0.11,9.273621,8.544209,8.433707,0.99262077,,,47.414897203445435,,1.0114925,86.98852,20.406132,0.28,0.994
88,89,14.980957,1.0113652,15.644507999999998,9.338393543343157,8.603060000000001,15.644507999999998,12.613380000000001,0.9886363000000001,1.9048468999999997,1780,8.612897,9.4333725,0.11,9.327378,8.502321,8.434488,0.99262077,,,48.93846106529236,,1.0113652,87.98863,17.831846,0.28,0.994
89,90,15.014073000000002,1.0112379,15.644507999999998,9.364693088189052,8.603131,15.644507999999998,12.602207,0.98876417,2.0835023,1800,8.611936,9.486235,0.11,9.380833,8.526437,8.43552,0.99262077,,,50.43063426017761,,1.011236,88.98878,17.972668,0.28,0.994
90,91,15.0377865,1.0111125,15.644507999999998,9.389451909921776,8.603437,15.644507999999998,12.591157,0.98888874,2.249556,1820,8.611233,9.538803999999999,0.11,9.433978999999999,8.547937,8.43677,0.99262077,,,51.83217787742615,,1.0111125,89.98888000000001,17.183342,0.28,0.994
91,92,15.077745000000002,1.010991,15.644507999999998,9.382782840434556,8.603678,15.644507999999998,12.580228,0.9890110000000001,2.4287567,1840,8.610495,9.591084,0.11,9.486834,8.543307,8.43794,0.99262077,,,53.16060996055603,,1.0109891,90.98901,18.725057999999997,0.28,0.994
92,93,15.129245000000001,1.0108714,15.644507999999998,9.400747725317618,8.604074,15.644507999999998,12.569417,0.9891305,2.616501,1860,8.609933,9.643081,0.11,9.539392,8.558261,8.439248,0.99262077,,,53.74649715423584,,1.0108694999999999,91.989136,19.878172,0.28,0.994
