,LQGmu1,IWNorm2,TimestepsSoFar,SqrtESSClassic,Iteration,IWMean,ReturnMax,TimeElapsed,ReturnLastEpisode,IWMax,ReturnMin,ReturnAbsMax,target_sum_log_mean,DenMISELogLast,LQGmu01,IWFirstEpisode,IWNorm1,ReturnStepMax,IWMin,URet,LQGsigma,Bound,DenMISEMeanLog,IWLastEpisode,DenMISELogFirst,ReturnMean,MISE
0,-0.042,2.1990281e-05,20,1.0,1,2.1990180999999996e-05,15.644507999999998,0.7891156673431396,15.644507999999998,2.1990180999999996e-05,,15.644507999999998,6.377102,17.102016,-0.004,2.1990180999999996e-05,2.1990281e-05,0.99262077,,17.332240856619553,0.11,31.28936,17.102016,2.1990180999999996e-05,17.102016,15.644507999999998,0.00034402558
1,-0.492,1.4142136e-10,40,1.4142135,2,,15.644507999999998,16.19032621383667,13.646818,,,15.644507999999998,-327.91846,6.0768414,-0.054,,2e-10,0.99262077,,15.132556256703946,0.11,22.124676,11.2428665,,16.408892,14.645663,
2,-0.492,3.1941236000000005e-06,60,1.0000626,3,1.0646745e-06,16.762966,16.358436822891235,16.762966,3.1940235e-06,,16.762966,-226.25835,-10.308950999999999,-0.054,,3.1943237e-06,0.99986637,,18.53483902381871,0.11,33.523853,3.788617,3.1940235e-06,16.003426,15.351429999999999,1.7847103999999998e-05
3,-0.541,2.8690634,80,1.0000011999999998,4,0.7172666999999999,17.128535999999997,17.03348135948181,17.128535999999997,2.8690634,,17.128535999999997,-183.36665,15.890581,-0.06,,2.8690667000000003,0.999977,,18.90822722916217,0.11,46.542759999999994,6.5983467000000005,2.8690634,15.715744,15.795708,12.285728
4,-0.527,2.5579169,100,1.4026138000000001,5,0.7175539000000001,17.128535999999997,17.904907703399655,17.11795,2.025086,,17.128535999999997,-138.66872,19.854677,-0.059,,3.5877695,0.999977,,18.898129477627762,0.11,36.711079999999995,9.179245,1.5626788999999999,15.4926,16.060156,12.287339
5,-0.557,3.1224737,120,1.6338271,6,0.85026366,17.165932,18.48943042755127,17.165932,2.4215481,,17.165932,-119.79175,16.849459,-0.063,,5.101582,0.999977,,18.946589358467435,0.11,35.590332000000004,10.407681,2.4215481,15.310279000000001,16.244452,14.577176000000001
6,-0.501,2.9869093999999996,140,1.9467223999999999,7,0.83066905,17.165932,19.273341655731198,17.037073,1.8760625,,17.165932,-89.07245999999999,14.38357,-0.055,,5.8146834,0.999977,,18.814247331229453,0.11,31.84214,10.949173,1.8760625,15.156128,16.357682999999998,14.206414
7,-0.635,5.3749695,160,1.2846601999999998,8,0.86312616,17.203037,20.12585425376892,17.203037,5.252408,,17.203037,-99.24598,15.517531,-0.075,,6.9050093,0.999977,,18.98445735844809,0.11,41.6196,11.497311,5.252408,15.022597,16.463352,14.837360999999998
8,-0.738,17.988766000000002,180,1.0388752,9,2.0764537,17.203037,21.337910413742065,17.178587,17.975975,,17.203037,-100.7338,18.524925,-0.094,,18.688084,0.9999955,,18.960332112989605,0.11,68.79088,12.251445,17.975975,14.904814000000002,16.542824,35.672295
9,-0.774,13.855619,200,1.3449895,10,1.8635664,17.203037,22.69159412384033,17.166412,12.527575,,17.203037,-94.36314399999999,7.1452979999999995,-0.103,,18.635664000000002,0.9999955,,18.946066909646614,0.11,57.57956,11.76342,12.527575,14.799454,16.605183,31.998635999999998
10,-0.796,10.705749,220,1.6395162,11,1.5956589,17.203037,23.80300116539001,17.178435999999998,8.349582,,17.203037,-87.05529,14.159046,-0.108,,17.552248000000002,0.99999833,,18.958845098900724,0.11,48.39026,12.012369,8.349582,14.704144,16.657295,27.404753000000003
11,-0.772,7.798791400000001,240,2.0200517,12,1.3128301000000002,17.203037,24.83912038803101,16.991305999999998,4.3465742999999994,,17.203037,-75.88264000000001,13.657692,-0.102,,15.753962,0.99999833,,18.76760913515982,0.11,39.525787,12.17463,3.5277765,14.617132000000002,16.685131,22.493515
12,-0.835,10.912676,260,1.6055957,13,1.3477957,17.203037,25.73290181159973,17.166532999999998,9.832077,,17.203037,-75.98315,11.478235,-0.12,,17.521345,0.99999833,,18.944165318606558,0.11,44.563263,12.134781,9.832077,14.537089000000002,16.722162,23.134407
13,-0.82,7.563131299999999,280,2.1658313,14,1.1700333,17.203037,26.707236766815186,17.07473,5.425177,,17.203037,-67.82053,14.955042,-0.115,,16.380466000000002,0.99999833,,18.85233989200081,0.11,35.947098,12.345875999999999,2.4260092,14.462981,16.747345000000003,20.061245
14,-0.777,7.043666,300,2.645132,15,1.2420951,17.203037,27.864766597747803,17.165304000000003,3.0358016,,17.203037,-58.346176,12.367691,-0.103,,18.631426,0.99999833,,18.94584837926739,0.11,34.283924,12.352764,2.8982136,14.393989000000001,16.77521,21.276608
15,-0.786,6.8489537,320,2.8416324,16,1.216388,17.203037,28.711567640304565,17.140266,2.6704154,,17.203037,-54.62404,12.159186,-0.106,,19.462208,0.99999833,,18.92031117639689,0.11,32.94993,12.351639,2.6201487,14.32945,16.798026999999998,20.842072
16,-0.764,6.7398314,340,2.9841387000000004,17,1.1830937,17.203037,29.411897897720337,17.119974,2.7824388,,17.203037,-48.86159,13.86615,-0.1,,20.112593,0.99999833,,18.897385269171806,0.11,31.791775,12.450325,2.6652505,14.268826,16.816963,20.262125
17,-0.785,6.474431500000001,360,3.1784208,18,1.1432482,17.203037,30.17324161529541,17.063337,2.267688,,17.203037,-46.660717,17.259815,-0.105,,20.578468,0.99999833,,18.841808107880407,0.11,30.405053999999996,12.725264,1.9294963,14.211667000000002,16.83065,19.580157999999997
18,-0.799,6.5684743,380,3.2658396,19,1.1290307,17.203037,30.852197408676147,17.176422,2.5258594,,17.203037,-44.38559,15.169141,-0.109,,21.451584,0.99999833,,18.956233715525187,0.11,29.879965000000002,12.859672999999999,2.1677467999999998,14.157599,16.84885,19.344826
19,-0.78,6.391534,400,3.4890554,20,1.1150208000000001,17.203037,31.590036869049072,17.142364999999998,2.0385432,,17.203037,-40.088932,15.146946,-0.104,,22.300415,0.99999833,,18.923314825256774,0.11,28.962542,12.978973,1.7783306,14.106306,16.863525,19.101398
20,-0.779,6.4496082999999995,420,3.6319453999999998,21,1.1154583999999999,17.203037,32.52324724197388,17.163760999999997,1.9654441999999999,,17.203037,-37.70963,7.909852000000001,-0.104,,23.424625,0.99999833,,18.9403398460159,0.11,28.585054,12.741924000000001,1.9654441999999999,14.057516,16.877823,19.111874
21,-0.75,6.7068787,440,3.6190227999999998,22,1.1032885000000001,17.203037,33.749874830245965,17.187275,2.6187148,,17.203037,-33.599270000000004,15.814645,-0.097,,24.272346,0.99999833,,18.96851104573402,0.11,28.41299,12.885863,2.6187148,14.010995999999999,16.891888,18.905983
22,-0.76,6.537333,460,3.8522722999999996,23,1.0949385,17.211257999999997,35.13867735862732,17.211257999999997,2.1560178,,17.211257999999997,-31.921305,15.967522,-0.099,,25.183586,0.99999833,,18.993601628032962,0.11,27.704078999999997,13.023394,1.5922087,13.966544,16.905773,18.76844
23,-0.772,6.5221540000000005,480,4.0346150000000005,24,1.0964326000000002,17.211257999999997,36.31453967094421,17.167479,1.7949808,,17.211257999999997,-30.596945,15.274256,-0.102,,26.31438,0.99999833,,18.947973786147724,0.11,27.328762,13.120415,1.6705598999999998,13.923985,16.916677,18.796965
24,-0.778,6.5739074,500,4.1560774,25,1.0928666999999999,17.211257999999997,37.15306401252747,17.141853,1.7462528000000002,,17.211257999999997,-29.0121,16.646523000000002,-0.104,,27.321666999999998,0.99999833,,18.92132369819774,0.11,27.018729999999998,13.264714000000001,1.655493,13.8831625,16.925684,18.736279
25,-0.767,6.6172266,520,4.272346499999999,26,1.0873494,17.211257999999997,38.3746280670166,17.11903,1.8134326,,17.211257999999997,-26.849314,11.4857,-0.101,,28.271084000000002,0.99999833,,18.89835713850069,0.11,26.696341999999998,13.199335999999999,1.6817508999999997,13.843942000000002,16.933123000000002,18.63929
26,-0.781,6.626162,540,4.382759,27,1.0755877,17.211257999999997,39.65614771842957,17.098927,1.6758814999999998,,17.211257999999997,-25.987417,15.71879,-0.105,,29.04087,0.99999833,,18.877506250172367,0.11,26.290627,13.295426,1.5485673999999998,13.806201999999999,16.939262,18.436552
27,-0.786,6.7209144,560,4.474632700000001,28,1.0740579,17.211257999999997,41.02712512016296,17.209606,1.6498238999999997,,17.211257999999997,-24.857744,10.930525,-0.106,,30.073624,0.99999833,,18.99160601692467,0.11,26.107208,13.213273999999998,1.6099175,13.769834,16.948917,18.414394
28,-0.769,6.7409754,580,4.615273,29,1.0728083000000002,17.211257999999997,42.526503324508674,17.021606,1.6756642,,17.211257999999997,-22.784594,12.772098,-0.101,,31.11144,0.99999833,,18.798487010439104,0.11,25.843485,13.200257999999998,1.6756642,13.734743,16.951424,18.385092
29,-0.738,7.3774796,600,4.3496804000000004,30,1.069656,17.211257999999997,43.970497608184814,17.180256,2.5404775,,17.211257999999997,-20.219088,15.958495999999998,-0.094,,32.08968,0.99999833,,18.961363781839463,0.11,26.24442,13.294316,2.486607,13.700841,16.959051000000002,18.330616
30,-0.737,7.341303,620,4.480283,31,1.0610037,17.214376,45.26266741752625,17.214376,2.4455872000000003,,17.214376,-19.000708,16.12422,-0.094,,32.891113,0.99999833,,18.996466134326425,0.11,25.870964,13.387442000000002,1.5318315,13.668052,16.967289,18.18646
31,-0.741,7.302313000000001,640,4.6877985,32,1.0697428,17.214376,46.59296631813049,17.12453,2.2198732000000003,,17.214376,-18.094676999999997,14.329788,-0.095,,34.231770000000004,0.99999833,,18.90369496495466,0.11,25.680172,13.418447,1.7372001,13.636303,16.972202,18.335838
32,-0.754,7.106146000000001,660,4.9683485,33,1.0698729999999999,17.214376,48.12048554420471,17.16464,1.8416703,,17.214376,-17.553767999999998,14.9282255,-0.098,,35.30581,0.99999833,,18.94564671166597,0.11,25.269754000000002,13.466013,1.1845806,13.605531,16.978035000000002,18.340137
33,-0.759,7.13076,680,5.11325,34,1.0723928,17.214376,49.60791206359863,17.185787,1.6772436999999998,,17.214376,-16.620226000000002,19.550594,-0.099,,36.461357,0.99999833,,18.96780194015012,0.11,25.119035999999998,13.646802,1.4629780000000001,13.575678,16.984146,18.385794
34,-0.756,7.239406599999999,700,5.188747,35,1.0732415000000002,17.214376,51.37056827545166,17.175913,1.7328748999999999,,17.214376,-15.622995999999999,13.552989000000002,-0.098,,37.56345,0.99999833,,18.9569383717143,0.11,25.036814,13.64599,1.595667,13.54669,16.989624,18.40154
35,-0.741,7.560467699999999,720,5.1132550000000005,36,1.07385,17.214376,52.8470311164856,17.167145,2.1130445,,17.214376,-14.277173999999999,15.533738,-0.095,,38.6586,0.99999833,,18.946569403486432,0.11,25.145746,13.700273499999998,2.1130445,13.518519,16.994555,18.41251
36,-0.672,10.622817,740,3.5223307999999998,37,1.0112723,17.214376,54.303109645843506,17.14978,6.232839599999999,,17.214376,-11.87877,11.046085,-0.081,,37.417076,0.99999833,,18.927793790277406,0.11,27.120728000000003,13.630324,6.232839599999999,13.49112,16.998749,17.346304
