,URet,TimestepsSoFar,IWFirstEpisode,MISE,IWMean,ReturnStepMax,ReturnMean,ReturnMin,IWMax,Iteration,ReturnMax,IWNorm1,LQGmu1,IWMin,DenMISEMeanLog,LQGmu01,ReturnLastEpisode,ReturnAbsMax,target_sum_log_mean,IWNorm2,Bound,DenMISELogLast,IWLastEpisode,DenMISELogFirst,LQGsigma,SqrtESSClassic,TimeElapsed
0,17.497854397219367,20,1.0627427,16.798817,1.0627427,0.99233466,15.807039999999999,,1.0627427,1,15.807039999999999,1.0627427,-0.098,,13.511501,-0.01,15.807039999999999,15.807039999999999,13.572354,1.0627427,48.412895,13.511501,1.0627427,13.511501,0.11,1.0,0.10974884033203124
1,17.16876062923554,40,1.0510146999999999,17.771439,1.1361636999999998,0.99233466,15.653151000000001,,1.2213128999999998,2,15.807039999999999,2.2723273999999996,-0.098,,16.656948,-0.01,15.499260000000001,15.807039999999999,16.781788,1.6112843000000001,40.18866,19.771503,1.2213128999999998,13.542391,0.11,1.4102584999999999,6.870651245117188
2,16.997822932226544,60,1.0587671,17.477663,1.1240132,0.99233466,15.551145000000002,,1.2812731000000002,3,15.807039999999999,3.3720396,-0.097,,15.886192000000001,-0.01,15.347134,15.807039999999999,15.998344,1.9564433999999997,35.820023,14.256644,1.0319992,13.559253,0.11,1.7235558999999998,7.20295262336731
3,17.554947492150593,80,1.0718809999999999,17.507526000000002,1.121232,0.99233466,15.625978,,1.4019926,4,15.850477,4.484928,-0.096,,15.974794000000001,-0.01,15.850477,15.850477,16.079212,2.2667222000000002,33.52947,16.150095,0.9795777,13.573837,0.11,1.9785963,7.6201226711273184
4,16.901349102487327,100,1.0782181,17.895807,1.1513325,0.99233466,15.556625,,1.5232860000000001,5,15.850477,5.756662400000001,-0.095,,14.810251999999998,-0.009,15.279216,15.850477,14.937601999999998,2.6125636,32.28275,10.058291,1.1733607,13.588110999999998,0.11,2.2034535,8.351433753967285
5,16.2954956325257,120,1.0748363,18.641397,1.2134008,0.9931903,15.408279,,1.5881566999999999,6,15.850477,7.280405,-0.094,,15.398864999999999,-0.009,14.666554000000001,15.850477,15.57298,3.0311809,31.840021000000004,18.219944,1.4895694,13.601064000000001,0.11,2.4018377999999996,8.808960676193239
6,17.257040311579665,140,1.067015,18.488394,1.2019387,0.9931903,15.434067,,1.7085035,7,15.850477,8.413571000000001,-0.092,,15.059346,-0.009,15.588789000000002,15.850477,15.216191,3.2720556,30.816961,12.8454075,0.9884778000000001,13.611697,0.11,2.5713413,9.297120571136476
7,17.363106141113967,160,1.0421635,18.016312,1.1703377000000001,0.9931903,15.465179000000001,,1.9308436999999998,8,15.850477,9.362701,-0.09,,15.101574,-0.009,15.682964000000002,15.850477,15.208097,3.4954688999999997,29.851540000000004,15.227015,0.78456175,13.62004,0.11,2.6785252,10.024037122726439
8,17.146543653917426,180,0.9424604999999999,17.21803,1.1199694,0.9931903,15.469197,,2.4078784,9,15.850477,10.079724,-0.086,,14.839966,-0.009,15.501341,15.850477,14.841902,3.7986684,29.164927000000002,12.604401,0.8260089,13.624714,0.11,2.6534888999999997,10.71435832977295
9,17.363214504409914,200,0.50385934,11.288742,0.7366074,0.9979082,15.488159,,3.046585,10,15.850477,7.366073599999999,-0.077,,14.92695,-0.008,15.6588125,15.850477,13.990381,3.6441904999999997,26.972038,15.617142999999999,0.026742455,13.618943,0.11,2.0213196,11.705394268035887
10,17.079323269145153,220,0.80119336,14.098370000000001,0.91745836,0.9979082,15.480988,,2.2675562,11,15.850477,10.092042,-0.082,,15.421301999999999,-0.008,15.409270999999999,15.850477,15.082004000000001,3.6535296,25.574776,20.638376,1.3155059999999998,13.57279,0.11,2.7622720000000003,12.184361934661865
11,16.541344467904224,240,1.0120280000000001,15.290137,0.98581696,0.9979082,15.43464,,1.7984334,12,15.850477,11.829803,-0.099,,15.447019000000001,-0.01,14.924832,15.850477,15.359263,3.639159,25.042185,15.819799,0.6004244000000001,13.556085000000001,0.11,3.2506971,12.788800954818726
12,17.6745634608752,260,1.1122386,16.665820999999998,1.0795466,0.9979082,15.475636999999999,,1.3089534999999999,13,15.967604000000001,14.034104999999998,-0.09,,15.714433999999999,-0.009,15.967604000000001,15.967604000000001,15.768695999999998,3.9575741,25.671452,18.941172,1.0216856,13.557008999999999,0.11,3.5461383,13.471567392349243
13,17.256742945351604,280,1.0907582,15.732757000000001,1.0142788,0.9979082,15.483134,,1.1789141,14,15.967604000000001,14.1999035,-0.095,,15.741465,-0.01,15.580591,15.967604000000001,15.738569,3.851314,24.39426,16.020515,0.6919812,13.564994,0.11,3.6870282,14.215901136398315
14,17.965931511043895,300,0.3620679,10.015296000000001,0.6517831000000001,0.9979082,15.534258,,2.3921542000000002,15,16.249979999999997,9.776747,-0.073,,15.152256,-0.007,16.249979999999997,16.249979999999997,13.929042,3.8380957,22.773933,6.8909720000000005,0.018281767,13.571026999999999,0.11,2.547291,14.904602766036987
15,17.32264908773798,320,0.52662987,11.446814,0.74447,0.9979082,15.540835000000001,,2.2584057,16,16.249979999999997,11.91152,-0.076,,15.146257,-0.008,15.639497,16.249979999999997,14.326092000000001,4.043226,22.478544,15.402721,0.49740204,13.530339000000001,0.11,2.9460437,15.709206342697144
16,16.51397011856039,340,0.67952836,13.127482,0.85545063,0.9979082,15.504097,,2.0457628,17,16.249979999999997,14.542660999999999,-0.079,,15.166635999999999,-0.008,14.916279000000001,16.249979999999997,14.661657,4.313233,22.766703,15.747987,1.2830486,13.502099,0.11,3.371638,16.849302291870114
