,IWMin,DenMISELogFirst,LQGmu01,ReturnLastEpisode,URet,ReturnMin,IWMax,IWMean,SqrtESSClassic,Bound,ReturnMax,TimestepsSoFar,ReturnAbsMax,IWNorm2,ReturnMean,IWLastEpisode,IWNorm1,TimeElapsed,ReturnStepMax,Iteration,MISE,DenMISELogLast,IWFirstEpisode,target_sum_log_mean,LQGsigma,LQGmu1,DenMISEMeanLog
0,,18.60218,-0.01,15.058442000000001,16.687925283112616,,1.147175,1.147175,1.0,18.788097,15.058442000000001,20,15.058442000000001,1.147175,15.058442000000001,1.147175,1.147175,0.4657909870147705,0.9625284,1,17.274668,18.60218,1.147175,18.739483,0.11,-0.103,18.60218
1,,18.673187,-0.011,15.841189000000002,17.539857673397375,,1.1755448999999998,1.1696141000000002,1.4141953,19.198442,15.841189000000002,40,15.841189000000002,1.6541054,15.449816,1.1755448999999998,2.3392282000000004,17.420953035354614,0.9961013000000001,2,18.072643,21.235626,1.1636833999999998,20.111069,0.11,-0.109,19.954407
2,,18.72631,-0.008,15.95943,17.672086686365823,,0.9114694999999999,0.40476513,1.2954402,7.6548424,15.95943,60,15.95943,0.9373611999999999,15.619686999999999,0.9114694999999999,1.2142954,18.31123948097229,0.9978710999999999,3,6.4166665,21.510492000000003,0.11965163,19.205370000000002,0.11,-0.084,20.509766
3,,18.477737,-0.009,15.966656,17.67609591700611,,1.2441735,0.82922435,1.8567946,13.979327,15.966656,80,15.966656,1.7863567,15.7064295,1.063129,3.3168974,19.02037239074707,0.9978710999999999,4,13.115091,18.702906,0.46468230000000005,19.659746,0.11,-0.091,19.933208
4,,18.364498,-0.009,15.088217000000002,16.712218707547756,,1.4894187,1.0439941,2.141928,17.017014,15.966656,100,15.966656,2.437043,15.582788,1.4894187,5.21997,19.781131029129032,0.9978710999999999,5,16.267823999999997,13.125891000000001,0.6589921,18.537256,0.11,-0.093,18.542057
5,,18.305984,-0.01,15.573795,17.252540551566454,,1.6968026000000003,1.2384680000000001,2.3313444,19.99196,15.966656,120,15.966656,3.187349,15.581288,1.6968026000000003,7.430808,20.526759386062626,0.9978710999999999,6,19.303639999999998,17.616415,1.6038888,18.542883,0.11,-0.104,18.392754
6,,18.388735,-0.013,15.606966,17.292731059370663,,1.153681,0.29234648,1.6339643999999998,5.541587,15.966656,140,15.966656,1.2524296,15.584956,0.17914894,2.0464253,21.55655026435852,0.9978710999999999,7,4.559491,18.335716,0.20831089,16.073513000000002,0.11,-0.132,18.411991
7,,18.284527,-0.013,15.848325,17.557082709129876,,3.087116,0.92114305,1.9349501,15.288042,15.966656,160,15.966656,3.8084415999999996,15.617878,3.087116,7.369144400000001,22.420002698898315,0.99992186,8,14.458714,12.885558999999999,0.6481941,16.753191,0.11,-0.124,17.639065
8,,18.244654,-0.012,15.841524,17.5450647936635,,2.1489724999999997,1.3209466,2.6530669999999996,21.314377,15.966656,180,15.966656,4.481047,15.642726999999999,2.1489724999999997,11.888519,23.2445650100708,0.99992186,9,20.709526,19.223175,1.4952711,17.832197,0.11,-0.115,17.802267
9,,18.292994,-0.01,16.55844,18.31025719263712,,1.4731058000000001,1.0942755,2.9673445,17.68746,16.55844,200,16.55844,3.6877263,15.734298999999998,0.26457843,10.942755,24.473635911941532,0.99992186,10,17.126627,13.084964999999999,1.450854,17.340647,0.11,-0.101,17.356878
