,IWFirstEpisode,TimeElapsed,LQGsigma,Iteration,DenMISELogFirst,MISE,DenMISELogLast,Bound,SqrtESSClassic,ReturnStepMax,ReturnAbsMax,URet,IWNorm2,IWMin,target_sum_log_mean,LQGmu01,ReturnLastEpisode,LQGmu1,IWMean,IWLastEpisode,ReturnMax,IWNorm1,ReturnMean,IWMax,DenMISEMeanLog,ReturnMin,TimestepsSoFar
0,1.1503258,0.3449819087982178,0.11,1,13.511501,18.183247,13.511501,49.797325,1.0,0.99233466,15.807039999999999,17.497854397219367,1.1503258,,13.6515465,-0.009,15.807039999999999,-0.09,1.1503258,1.1503258,15.807039999999999,1.1503258,15.807039999999999,1.1503258,13.511501,,20
1,0.9580409,6.9723169803619385,0.11,2,13.583974,29.901669000000002,19.406029999999998,54.946804,1.2622843000000001,0.99233466,15.807039999999999,16.976274135923074,3.0676854,,17.008377,-0.009,15.324542000000001,-0.086,1.9361453999999998,2.91425,15.807039999999999,3.8722907999999996,15.565791,2.91425,16.495003,,40
2,0.6175934000000001,7.6757376194000235,0.11,3,13.569888,27.318647,13.886934,49.67552,1.4140655,0.99233466,15.807039999999999,16.651802533807928,3.7844071,,16.10589,-0.008,15.0324,-0.078,1.7837998,1.1973181999999998,15.807039999999999,5.351399400000001,15.387994,3.5364876000000005,15.785459,,60
3,0.27666065,8.206540822982786,0.11,4,13.469403,18.594723000000002,15.922077999999999,39.469879999999996,1.5144358,0.99233466,15.807039999999999,17.166203044510073,3.1994328,,15.753546,-0.007,15.494373000000001,-0.07,1.2113339,0.99787176,15.807039999999999,4.8453355,15.414589000000001,2.9662411,15.929307000000001,,80
4,0.13316178,8.656615257263184,0.11,5,13.313138,20.654068,8.628242,40.949413,1.557701,0.99233466,15.807039999999999,16.004908299161308,4.4634123,,14.152965,-0.006,14.474294,-0.064,1.3905323,3.9456358,15.807039999999999,6.9526615000000005,15.226529999999999,3.9456358,14.487604999999999,,100
5,0.10382138,9.198357582092283,0.11,6,13.1571,22.604548,17.501389,40.76316,1.7409965,0.99233466,15.807039999999999,15.185405418357568,5.444662999999999,,14.768826500000001,-0.006,13.657106,-0.062,1.5798565,4.4767766,15.807039999999999,9.479139,14.964959,4.4767766,15.023379,,120
6,0.008320913000000001,9.692077398300173,0.11,7,13.020104,11.3689165,11.963376,29.926090000000002,1.7036041000000002,0.99233466,15.807039999999999,16.221619967373755,3.2926936,,13.061602,-0.005,14.650174,-0.05,0.8013494999999999,1.3268052,15.807039999999999,5.6094465,14.919989999999999,2.8427696,14.637526000000001,,140
7,0.38484704,10.384117126464844,0.11,8,12.887761,19.405834,14.148942000000002,31.387386,2.638563,0.99233466,15.807039999999999,15.966495814201592,3.9905023999999996,,14.716802,-0.007,14.41964,-0.068,1.316149,1.3896475000000001,15.807039999999999,10.529192,14.857447,1.9393642,14.548438,,160
8,0.015648935,11.063788652420044,0.11,9,12.816963000000001,13.512056,13.796376,27.976019,2.1857138,0.99233466,15.807039999999999,16.285199657648672,3.8800692999999997,,13.5164995,-0.005,14.719695999999999,-0.052,0.9423023000000001,0.59033436,15.807039999999999,8.4807205,14.842141,2.4907463,14.494214999999999,,180
9,0.07645627,11.63509488105774,0.11,10,12.713339999999999,16.729399,17.129223,29.230286,2.5289468999999998,0.99233466,15.807039999999999,16.463948708108973,4.565493599999999,,14.353956,-0.006,14.832516,-0.058,1.1545889999999999,0.14833412,15.807039999999999,11.545891000000001,14.841179,2.410778,14.749046,,200
10,1.8378052,12.201167583465574,0.11,11,12.625646000000001,16.760246,20.570724,28.792233000000003,2.6275027,0.99233466,15.807039999999999,16.368576442325068,4.637151,,14.937892999999999,-0.008,14.757568,-0.08,1.1076478,0.54281396,15.807039999999999,12.184126,14.833578,2.383187,15.288227,,220
11,1.2858628999999999e-16,12.85808539390564,0.11,12,12.693133,3.426667e-12,16.27364,9.12629,3.464067,0.99233466,15.807039999999999,16.38492840853714,3.4722053e-10,,-18.571188,0.002,14.779518,0.016,2.3293574e-13,1.2801548e-18,15.807039999999999,1.2027952e-09,14.829072,1.5320501e-12,15.376285000000001,,240
12,2.5792957e-17,13.590378999710085,0.11,13,12.613091,8.231137,11.593813,39.84522,1.0,0.99233466,15.807039999999999,11.295265086547413,10.367219,,-17.850126,0.002,10.321455,0.019,0.7974784,10.367219,15.807039999999999,10.367219,14.482332000000001,10.367219,15.011439000000001,,260
13,4.5649355999999995e-18,14.758052825927734,0.11,14,12.538983,17.415415,14.095163000000001,44.353046,1.1736028,0.99233466,15.807039999999999,10.072636642540902,22.193106,,-17.153856,0.002,9.172842999999999,0.021,1.8604209999999999,21.779078,15.807039999999999,26.045893,14.103083999999999,21.779078,14.919061,,280
14,3.9942168000000006e-19,15.768985509872437,0.11,15,12.46999,17.177309,4.4999585,41.550964,1.2970593000000001,0.99233466,15.807039999999999,10.970041781924778,21.1113,,-17.911587,0.002,10.023981,0.024,1.825507,5.3438873,15.807039999999999,27.382607,13.831144,20.354166,14.240351,,300
15,3.4366394e-21,16.779581785202026,0.11,16,12.405452,13.108463,14.733304,39.425232,1.2012902,0.99233466,15.807039999999999,10.154678012010015,18.85908,,-20.18509,0.003,9.248483,0.031,1.4159517,1.9789598999999998,15.807039999999999,22.655228,13.544726999999998,18.667526000000002,14.289938000000001,,320
