,ReturnMax,ReturnLastEpisode,TimestepsSoFar,IWFirstEpisode,LQGmu01,IWMean,ReturnMin,DenMISELogFirst,SqrtESSClassic,IWMax,LQGmu1,IWNorm2,URet,IWNorm1,IWMin,ReturnStepMax,MISE,ReturnMean,DenMISELogLast,Iteration,target_sum_log_mean,DenMISEMeanLog,IWLastEpisode,Bound,LQGsigma,TimeElapsed,ReturnAbsMax
0,15.058442000000001,15.058442000000001,20,,-0.709,,,18.60218,1.0,,-1.0,1e-10,16.687925283112616,1e-10,,0.9625284,,15.058442000000001,18.60218,1,-503.26215,18.60218,,1.5134303999999998,0.11,0.16457867622375488,15.058442000000001
1,16.446407,16.446407,40,,-0.699,1.0250094,,17.909032999999997,1.0,2.0500188,-1.0,2.0500188,18.161249230141106,2.0500188,,0.97976863,16.857720999999998,15.752424,3.8439891000000004,2,-249.35016000000002,10.876511,2.0500188,18.510647,0.11,9.253088712692259,16.446407
2,16.77448,16.77448,60,,-0.704,1.0006632,,17.503569,1.4142135,1.501739,-1.0,2.1227272,18.49619460249339,3.0019894,,0.9999518000000001,16.621542,16.093110999999997,20.787533,3,-159.17274,14.145064999999999,1.501739,17.813651999999998,0.11,9.587324380874632,16.77448
3,16.77448,16.655542,80,,-0.717,1.0392004000000001,,17.215887,1.7297232,1.456877,-1.0,2.4031599999999997,18.375752040708424,4.1568017,,0.9999518000000001,17.283160000000002,16.233719,18.46281,4,-114.66435,15.211584,1.456877,18.257824,0.11,9.923660278320312,16.77448
4,16.77448,16.683064,100,,-0.715,1.000078,,16.992743,1.9973902,1.3220308,-1.0,2.5034617999999997,18.409328138338736,5.00039,,0.9999518000000001,16.6429,16.323587,13.667916,5,-88.97072,14.902743,1.158962,17.486952,0.11,10.35385799407959,16.77448
5,16.77448,16.561629999999997,120,,-0.709,1.0017486,,16.810420999999998,2.236066,1.2040328000000002,-1.0,2.6879756,18.273181983232764,6.0104914,,0.9999518000000001,16.653297,16.36326,16.729149,6,-71.32141999999999,15.203945999999998,1.2040328000000002,17.407255,0.11,10.930346250534058,16.77448
6,16.77448,16.600535999999998,140,,-0.708,1.0017303,,16.656271,2.4494555,1.1770525,-1.0,2.8627229,18.31906875789401,7.012112599999999,,0.9999518000000001,16.648870000000002,16.397157999999997,18.942785,7,-58.404087,15.736376000000002,1.1636790000000001,17.337145,0.11,11.535319328308105,16.77448
7,16.77448,16.672207,160,,-0.722,1.0488243,,16.52274,2.6145072,1.5956198,-1.0,3.2092452000000002,18.396843311421932,8.3905945,,0.9999518000000001,17.444370000000003,16.431538,13.932478,8,-49.31442,15.509848000000002,1.5956198,18.089195,0.11,12.151157140731812,16.77448
8,16.77448,16.650935999999998,180,,-0.726,1.0114741,,16.404957,2.7686536,1.6452061000000002,-1.0,3.2879763,18.376423299440194,9.103268,,0.9999518000000001,16.825570000000003,16.455915,20.165121,9,-41.6135,16.030835999999997,0.80619526,17.434492000000002,0.11,12.74905776977539,16.77448
9,16.77448,16.712404,200,,-0.744,1.1295024999999999,,16.299595,2.7369217999999997,2.2409267,-1.0,4.1269083,18.429975087081505,11.295025,,0.9999518000000001,18.810274,16.481564000000002,13.481614000000002,10,-36.064415000000004,15.776117999999999,2.167354,19.426257999999997,0.11,13.393513679504395,16.77448
10,16.77448,16.577517999999998,220,,-0.759,1.1500973,,16.204285000000002,2.719893,2.6819794,-1.0,4.6513114,18.293592771053977,12.651069999999999,,0.9999518000000001,19.152051999999998,16.490288,17.132452,11,-31.258159999999997,15.908503,0.9908865,19.771893,0.11,13.91371488571167,16.77448
11,16.77448,16.668705,240,,-0.774,1.229508,,16.117273,2.7592654,3.005385,-1.0,5.3471103,18.386418768185038,14.754095999999999,,0.9999518000000001,20.48175,16.505156,17.660398,12,-27.178784999999998,16.063944,1.9740553,21.092747,0.11,14.524631261825562,16.77448
12,16.77448,16.7189,260,,-0.783,1.1562698999999999,,16.037231,2.845536,2.9480567000000004,-1.0,5.2824874,18.44631083822668,15.031507999999999,,0.9999559000000001,19.266146,16.521599,11.442472,13,-24.266842,15.722370000000002,0.75633335,19.858618,0.11,15.130754470825195,16.77448
13,16.77448,16.657055,280,,-0.789,1.1126856999999999,,15.963123000000001,3.0043173,2.7881525000000003,-1.0,5.185071499999999,18.375966428705407,15.5776,,0.9999559000000001,18.539316,16.531275,17.262320000000003,14,-21.321259,15.840851999999998,1.1760741000000001,19.100475,0.11,15.567394495010376,16.77448
14,16.77448,16.629976,300,,-0.792,1.0474075999999999,,15.894131,3.1675873,2.5592139,-1.0,4.9599624,18.347701031922952,15.711114000000002,,0.9999559000000001,17.449097000000002,16.537853,18.560679999999998,15,-18.693317,16.0278,0.7586066999999999,17.98133,0.11,16.01944351196289,16.77448
15,16.77448,16.645726999999997,320,,-0.792,1.0392622,,15.829592000000002,3.3780015,2.3441012000000003,-1.0,4.922495,18.36684162663657,16.628195,,0.9999559000000001,17.31104,16.544596,16.239245999999998,16,-16.49081,16.042820000000003,1.4210968000000002,17.810123,0.11,16.48948836326599,16.77448
16,16.77448,16.657104,340,,-0.792,1.028147,,15.768968,3.5664172,2.1789389999999997,-1.0,4.900856500000001,18.37662040208905,17.478498000000002,,0.9999559000000001,17.124985000000002,16.551214,17.78107,17,-14.462487,16.146544,1.2666502,17.5977,0.11,16.971699476242065,16.77448
