Iteration,LQGmu1_actor,LQGsigma_higher,TimeElapsed,TimestepsSoFar,LQGmu1_higher,ReturnMean
159,-1.0135934,0.14999999,1.9721217155456543,3180,-0.75,17.344275
160,-0.75706613,0.14999999,1.9818665981292725,3200,-0.75,17.343338
161,-0.8385149,0.14999999,1.9927654266357422,3220,-0.75,17.343464
162,-0.7055387,0.14999999,2.003690481185913,3240,-0.75,17.343332
163,-0.8807088,0.14999999,2.0153403282165527,3260,-0.75,17.343664
164,-0.8757043,0.14999999,2.026515007019043,3280,-0.75,17.34336
165,-0.7023943,0.14999999,2.037123680114746,3300,-0.75,17.343117
166,-0.8831383,0.14999999,2.049262285232544,3320,-0.75,17.343424
167,-0.7370931,0.14999999,2.0595340728759766,3340,-0.75,17.343178
168,-0.67190975,0.14999999,2.0700299739837646,3360,-0.75,17.343388
169,-0.8315768,0.14999999,2.0813159942626953,3380,-0.75,17.343609
170,-0.91563505,0.14999999,2.092071294784546,3400,-0.75,17.343456
171,-0.6331794,0.14999999,2.1029045581817627,3420,-0.75,17.343084
172,-0.9468495,0.14999999,2.113471508026123,3440,-0.75,17.343298
173,-0.53273505,0.14999999,2.1239545345306396,3460,-0.75,17.342691
174,-0.80876255,0.14999999,2.1323866844177246,3480,-0.75,17.343098
175,-0.6193338,0.14999999,2.142982244491577,3500,-0.75,17.343119
176,-0.59950846,0.14999999,2.15572190284729,3520,-0.75,17.343264
177,-0.97884595,0.14999999,2.1705901622772217,3540,-0.75,17.343483
178,-0.6630464,0.14999999,2.1795709133148193,3560,-0.75,17.342806
179,-0.6931249,0.14999999,2.190917730331421,3580,-0.75,17.342897
180,-0.58351636,0.14999999,2.2004096508026123,3600,-0.75,17.343102
181,-0.89183515,0.14999999,2.2111828327178955,3620,-0.75,17.343397
182,-0.4690507,0.14999999,2.2232844829559326,3640,-0.75,17.34306
183,-0.8538213,0.14999999,2.233452558517456,3660,-0.75,17.343176
184,-0.6583128,0.14999999,2.243534564971924,3680,-0.75,17.343016
185,-0.75332826,0.14999999,2.26069712638855,3700,-0.75,17.34314
186,-0.6353208,0.14999999,2.271383047103882,3720,-0.75,17.343164
187,-0.71010494,0.14999999,2.2809011936187744,3740,-0.75,17.343533
188,-0.91783166,0.14999999,2.290041446685791,3760,-0.75,17.343676
189,-0.6966123,0.14999999,2.3000075817108154,3780,-0.75,17.343271
190,-0.70176375,0.14999999,2.308838367462158,3800,-0.75,17.34339
191,-0.6365187,0.14999999,2.3170580863952637,3820,-0.75,17.343645
192,-0.93806165,0.14999999,2.3275887966156006,3840,-0.75,17.343891
193,-0.7430635,0.14999999,2.338038206100464,3860,-0.75,17.343395
194,-0.91004884,0.14999999,2.349219560623169,3880,-0.75,17.343449
195,-0.6155067,0.14999999,2.362877607345581,3900,-0.75,17.343107
196,-0.7357086,0.14999999,2.372959852218628,3920,-0.75,17.34344
197,-0.5802991,0.14999999,2.383260488510132,3940,-0.75,17.343575
198,-0.5754132,0.14999999,2.3942408561706543,3960,-0.75,17.343874
199,-0.7258762,0.14999999,2.405679702758789,3980,-0.75,17.344181
200,-0.5767974,0.14999999,2.4161248207092285,4000,-0.75,17.344273
201,-0.588676,0.14999999,2.425504207611084,4020,-0.75,17.34432
202,-0.7096291,0.14999999,2.4363090991973877,4040,-0.75,17.34457
203,-0.9645532,0.14999999,2.446211099624634,4060,-0.75,17.344791
204,-0.99571383,0.14999999,2.4569828510284424,4080,-0.75,17.344255
205,-0.7138664,0.14999999,2.467344284057617,4100,-0.75,17.34353
206,-0.8422585,0.14999999,2.4779090881347656,4120,-0.75,17.343712
207,-0.75590134,0.14999999,2.488192558288574,4140,-0.75,17.343668
208,-0.6587062,0.14999999,2.4988486766815186,4160,-0.75,17.34376
209,-0.85860807,0.14999999,2.5124175548553467,4180,-0.75,17.343952
210,-0.78267395,0.14999999,2.5228769779205322,4200,-0.75,17.3438
211,-0.5837883,0.14999999,2.5343852043151855,4220,-0.75,17.343819
212,-0.64288974,0.14999999,2.5445165634155273,4240,-0.75,17.344091
213,-0.589656,0.14999999,2.555276393890381,4260,-0.75,17.344193
214,-0.73389626,0.14999999,2.566220760345459,4280,-0.75,17.344458
215,-0.5052453,0.14999999,2.577463388442993,4300,-0.75,17.344528
216,-0.8085114,0.14999999,2.5879218578338623,4320,-0.75,17.34463
217,-0.99223363,0.14999999,2.598724365234375,4340,-0.75,17.344542
218,-0.57259965,0.14999999,2.6092207431793213,4360,-0.75,17.34392
219,-0.8240125,0.14999999,2.6201484203338623,4380,-0.75,17.34394
220,-0.603991,0.14999999,2.631213665008545,4400,-0.75,17.343876
221,-0.7826032,0.14999999,2.642035484313965,4420,-0.75,17.344112
222,-0.7532603,0.14999999,2.653615951538086,4440,-0.75,17.344156
223,-0.7136806,0.14999999,2.6626062393188477,4460,-0.75,17.344292
224,-0.8469419,0.14999999,2.6735427379608154,4480,-0.75,17.344378
225,-0.6666992,0.14999999,2.6862876415252686,4500,-0.75,17.344242
226,-0.753418,0.14999999,2.7033841609954834,4520,-0.75,17.344477
227,-0.67186266,0.14999999,2.7140579223632812,4540,-0.75,17.344604
228,-0.8204539,0.14999999,2.725640058517456,4560,-0.75,17.344797
229,-0.88517034,0.14999999,2.7381842136383057,4580,-0.75,17.344765
230,-0.83978903,0.14999999,2.7539865970611572,4600,-0.75,17.344542
231,-0.63572156,0.14999999,2.7665936946868896,4620,-0.75,17.34447
232,-0.9438116,0.14999999,2.777229070663452,4640,-0.75,17.344774
233,-0.71420693,0.14999999,2.787714958190918,4660,-0.75,17.344376
234,-0.64336324,0.14999999,2.7991220951080322,4680,-0.75,17.344584
235,-0.7721689,0.14999999,2.807868480682373,4700,-0.75,17.344805
236,-0.44072017,0.14999999,2.8168084621429443,4720,-0.75,17.344868
237,-0.91431135,0.14999999,2.830138921737671,4740,-0.75,17.344784
238,-0.798826,0.14999999,2.8403215408325195,4760,-0.75,17.344471
239,-0.9899659,0.14999999,2.8544657230377197,4780,-0.75,17.34444
240,-0.7782544,0.14999999,2.8668904304504395,4800,-0.75,17.343876
241,-0.82384664,0.14999999,2.881812334060669,4820,-0.75,17.343979
242,-0.9303462,0.14999999,2.8972015380859375,4840,-0.75,17.343952
243,-0.8770173,0.14999999,2.911747694015503,4860,-0.75,17.343596
244,-0.6633066,0.14999999,2.9274942874908447,4880,-0.75,17.343456
245,-0.76061624,0.14999999,2.940330743789673,4900,-0.75,17.343637
246,-0.5166891,0.14999999,2.9506213665008545,4920,-0.75,17.34366
247,-0.6859056,0.14999999,2.9595131874084473,4940,-0.75,17.343752
248,-0.85177636,0.14999999,2.9727210998535156,4960,-0.75,17.343887
249,-0.7385557,0.14999999,2.9816484451293945,4980,-0.75,17.343805
250,-0.76644915,0.14999999,2.994481086730957,5000,-0.75,17.343922
251,-0.73610973,0.14999999,3.006478786468506,5020,-0.75,17.344019
252,-0.69051456,0.14999999,3.016158103942871,5040,-0.75,17.344189
253,-0.62873685,0.14999999,3.02618408203125,5060,-0.75,17.344305
254,-0.67210335,0.14999999,3.0363566875457764,5080,-0.75,17.344658
255,-0.793204,0.14999999,3.0465705394744873,5100,-0.75,17.34481
256,-0.8827491,0.14999999,3.0586118698120117,5120,-0.75,17.344858
257,-0.6410374,0.14999999,3.0690269470214844,5140,-0.75,17.344656
258,-0.719851,0.14999999,3.079838275909424,5160,-0.75,17.344799
259,-0.77954274,0.14999999,3.089630603790283,5180,-0.75,17.344847
260,-0.6601954,0.14999999,3.0982494354248047,5200,-0.75,17.344858
261,-0.8635797,0.14999999,3.1122889518737793,5220,-0.75,17.345062
262,-0.72987103,0.14999999,3.1227734088897705,5240,-0.75,17.344938
263,-0.81866753,0.14999999,3.13324236869812,5260,-0.75,17.345049
264,-0.885831,0.14999999,3.144474983215332,5280,-0.75,17.344948
265,-0.9296437,0.14999999,3.1598896980285645,5300,-0.75,17.344786
266,-0.85333645,0.14999999,3.1705739498138428,5320,-0.75,17.344471
267,-0.72295153,0.14999999,3.1835968494415283,5340,-0.75,17.34436
268,-0.7524792,0.14999999,3.1947531700134277,5360,-0.75,17.34447
269,-0.6258457,0.14999999,3.204936981201172,5380,-0.75,17.344618
270,-0.75089407,0.14999999,3.214106798171997,5400,-0.75,17.344904
271,-0.9853195,0.14999999,3.232297897338867,5420,-0.75,17.344965
272,-0.6497396,0.14999999,3.2414891719818115,5440,-0.75,17.344486
273,-0.7482795,0.14999999,3.2508561611175537,5460,-0.75,17.344622
274,-0.50968516,0.14999999,3.261363983154297,5480,-0.75,17.34465
275,-0.49392998,0.14999999,3.2717819213867188,5500,-0.75,17.34474
276,-0.5897944,0.14999999,3.2835733890533447,5520,-0.75,17.344812
277,-0.80751616,0.14999999,3.299128293991089,5540,-0.75,17.345003
278,-0.7769298,0.14999999,3.309526205062866,5560,-0.75,17.34498
279,-0.6689328,0.14999999,3.3250157833099365,5580,-0.75,17.345041
280,-0.64867127,0.14999999,3.335963726043701,5600,-0.75,17.345144
281,-0.6349,0.14999999,3.3445467948913574,5620,-0.75,17.34529
282,-0.650077,0.14999999,3.3598532676696777,5640,-0.75,17.345367
283,-0.78907245,0.14999999,3.3702571392059326,5660,-0.75,17.345558
284,-0.56314677,0.14999999,3.378422737121582,5680,-0.75,17.34557
285,-0.5882169,0.14999999,3.3883659839630127,5700,-0.75,17.345568
286,-0.94089335,0.14999999,3.4032986164093018,5720,-0.75,17.345783
287,-0.67451864,0.14999999,3.421823263168335,5740,-0.75,17.345469
288,-0.7685137,0.14999999,3.4327521324157715,5760,-0.75,17.345558
289,-0.8309533,0.14999999,3.4439449310302734,5780,-0.75,17.345606
290,-0.87731117,0.14999999,3.4555530548095703,5800,-0.75,17.345577
291,-0.7915657,0.14999999,3.470538377761841,5820,-0.75,17.345417
292,-0.9424478,0.14999999,3.482919454574585,5840,-0.75,17.345385
293,-0.74687374,0.14999999,3.4930431842803955,5860,-0.75,17.345055
294,-0.59225136,0.14999999,3.503915786743164,5880,-0.75,17.345177
295,-0.9392042,0.14999999,3.519683361053467,5900,-0.75,17.34542
296,-0.90680987,0.14999999,3.5306546688079834,5920,-0.75,17.345127
297,-0.8118627,0.14999999,3.542961597442627,5940,-0.75,17.344936
298,-0.6313702,0.14999999,3.5533978939056396,5960,-0.75,17.34492
299,-0.94314194,0.14999999,3.563258171081543,5980,-0.75,17.345152
300,-0.68640935,0.14999999,3.5740411281585693,6000,-0.75,17.34484
301,-0.6932351,0.14999999,3.592348575592041,6020,-0.75,17.345015
302,-0.4680746,0.14999999,3.6057889461517334,6040,-0.75,17.345167
303,-0.6720622,0.14999999,3.6185648441314697,6060,-0.75,17.345213
304,-0.7052176,0.14999999,3.628763198852539,6080,-0.75,17.345411
305,-0.6377106,0.14999999,3.6394777297973633,6100,-0.75,17.345573
306,-0.7200952,0.14999999,3.655324935913086,6120,-0.75,17.34573
307,-0.6596396,0.14999999,3.665834665298462,6140,-0.75,17.345837
308,-0.7032635,0.14999999,3.682404041290283,6160,-0.75,17.346014
309,-0.5407998,0.14999999,3.6925299167633057,6180,-0.75,17.346174
310,-0.9114403,0.14999999,3.7028074264526367,6200,-0.75,17.34622
311,-0.8526766,0.14999999,3.7151215076446533,6220,-0.75,17.34601
312,-0.5476167,0.14999999,3.7258827686309814,6240,-0.75,17.345879
313,-0.8608162,0.14999999,3.743196964263916,6260,-0.75,17.345896
314,-0.81613874,0.14999999,3.7608206272125244,6280,-0.75,17.345787
315,-0.5553292,0.14999999,3.772331953048706,6300,-0.75,17.345694
316,-0.8509708,0.14999999,3.7820959091186523,6320,-0.75,17.345926
317,-0.6751911,0.14999999,3.795327663421631,6340,-0.75,17.345844
318,-0.5135017,0.14999999,3.8058815002441406,6360,-0.75,17.345999
319,-0.9428117,0.14999999,3.816540002822876,6380,-0.75,17.34603
320,-0.99729145,0.14999999,3.8310463428497314,6400,-0.75,17.345743
321,-0.7686739,0.14999999,3.8404605388641357,6420,-0.75,17.345274
322,-0.8439072,0.14999999,3.8495686054229736,6440,-0.75,17.345314
323,-0.8240763,0.14999999,3.8600354194641113,6460,-0.75,17.345207
324,-0.9143036,0.14999999,3.8710403442382812,6480,-0.75,17.345161
325,-0.85182124,0.14999999,3.881775379180908,6500,-0.75,17.344963
326,-0.532431,0.14999999,3.897163152694702,6520,-0.75,17.344881
327,-0.85353076,0.14999999,3.908031940460205,6540,-0.75,17.344978
328,-0.86211526,0.14999999,3.9185702800750732,6560,-0.75,17.344883
329,-1.0679631,0.14999999,3.9284799098968506,6580,-0.75,17.34479
330,-0.7528624,0.14999999,3.943418502807617,6600,-0.75,17.344328
331,-0.6543855,0.14999999,3.9529354572296143,6620,-0.75,17.34439
332,-0.76553565,0.14999999,3.963937520980835,6640,-0.75,17.344519
333,-0.7687688,0.14999999,3.975242853164673,6660,-0.75,17.344576
334,-0.613204,0.14999999,3.9861299991607666,6680,-0.75,17.344633
335,-0.7853813,0.14999999,3.996748208999634,6700,-0.75,17.344652
336,-0.61861336,0.14999999,4.005983829498291,6720,-0.75,17.344692
337,-0.8070962,0.14999999,4.014892578125,6740,-0.75,17.344843
338,-0.9132247,0.14999999,4.025295972824097,6760,-0.75,17.344831
339,-0.60778666,0.14999999,4.037021636962891,6780,-0.75,17.34461
340,-0.6053891,0.14999999,4.047685861587524,6800,-0.75,17.344732
341,-0.5451398,0.14999999,4.06346869468689,6820,-0.75,17.344915
342,-0.5732252,0.14999999,4.074731111526489,6840,-0.75,17.345001
343,-0.9457671,0.14999999,4.090031147003174,6860,-0.75,17.345184
344,-0.7042807,0.14999999,4.100198745727539,6880,-0.75,17.34492
345,-0.6239893,0.14999999,4.109768867492676,6900,-0.75,17.344995
346,-0.75975484,0.14999999,4.119876146316528,6920,-0.75,17.345163
347,-0.84569335,0.14999999,4.135586261749268,6940,-0.75,17.345205
348,-0.83891904,0.14999999,4.146972894668579,6960,-0.75,17.345154
349,-0.7199524,0.14999999,4.156484842300415,6980,-0.75,17.345133
350,-0.6188701,0.14999999,4.170786380767822,7000,-0.75,17.345192
351,-0.50815517,0.14999999,4.183905124664307,7020,-0.75,17.345346
352,-0.76194024,0.14999999,4.194513559341431,7040,-0.75,17.34538
353,-0.785099,0.14999999,4.204957008361816,7060,-0.75,17.34543
354,-0.4474941,0.14999999,4.219205379486084,7080,-0.75,17.345413
355,-1.1350383,0.14999999,4.228764533996582,7100,-0.75,17.34551
356,-0.5952318,0.14999999,4.2392542362213135,7120,-0.75,17.345089
357,-1.0050862,0.14999999,4.250740051269531,7140,-0.75,17.345165
358,-0.5862476,0.14999999,4.260973215103149,7160,-0.75,17.344763
359,-1.1477652,0.14999999,4.271232604980469,7180,-0.75,17.344948
360,-0.7378529,0.14999999,4.2867326736450195,7200,-0.75,17.344555
361,-0.85844964,0.14999999,4.299002170562744,7220,-0.75,17.344576
362,-0.78918797,0.14999999,4.309846878051758,7240,-0.75,17.344486
363,-0.84474397,0.14999999,4.322711944580078,7260,-0.75,17.344492
364,-0.71917224,0.14999999,4.334205150604248,7280,-0.75,17.34445
365,-0.6532277,0.14999999,4.34453821182251,7300,-0.75,17.344494
366,-0.5625632,0.14999999,4.35538387298584,7320,-0.75,17.344612
367,-0.72673917,0.14999999,4.365119218826294,7340,-0.75,17.344631
368,-0.6257018,0.14999999,4.373565196990967,7360,-0.75,17.34469
369,-0.93275315,0.14999999,4.38430118560791,7380,-0.75,17.344824
370,-0.9774406,0.14999999,4.39401650428772,7400,-0.75,17.344591
371,-0.76147187,0.14999999,4.4043614864349365,7420,-0.75,17.344255
372,-0.6443104,0.14999999,4.413596868515015,7440,-0.75,17.34438
373,-0.5094369,0.14999999,4.428781270980835,7460,-0.75,17.344482
374,-0.69217724,0.14999999,4.445735216140747,7480,-0.75,17.344585
375,-0.6443671,0.14999999,4.454462289810181,7500,-0.75,17.344704
376,-0.6289604,0.14999999,4.465080976486206,7520,-0.75,17.344778
377,-0.82850873,0.14999999,4.4769203662872314,7540,-0.75,17.344975
378,-0.72801006,0.14999999,4.489784479141235,7560,-0.75,17.344967
379,-1.1276971,0.14999999,4.49884295463562,7580,-0.75,17.345001
380,-0.6728865,0.14999999,4.507737636566162,7600,-0.75,17.344616
