Iteration,TimeElapsed,ReturnMean,LQGmu1_actor,LQGmu1_higher,TimestepsSoFar,LQGsigma_higher
1,0.024052143096923828,17.364182,-0.592906,-0.7,20,0.14999999
2,0.06369400024414062,17.36954,-0.6697506,-0.7,40,0.14999999
3,0.07259225845336914,17.384243,-0.82667947,-0.7,60,0.14999999
4,0.08058500289916992,17.373009,-0.75965613,-0.7,80,0.14999999
5,0.08778142929077148,17.369122,-0.6393232,-0.7,100,0.14999999
6,0.09855508804321289,17.376177,-0.8117101,-0.7,120,0.14999999
7,0.10702013969421387,17.37277,-0.7690902,-0.7,140,0.14999999
8,0.11556315422058105,17.37048,-0.7390295,-0.7,160,0.14999999
9,0.12294960021972656,17.368097,-0.48868513,-0.7,180,0.14999999
10,0.13087129592895508,17.372023,-0.80577695,-0.7,200,0.14999999
11,0.13914895057678223,17.369661,-0.7288238,-0.7,220,0.14999999
12,0.14738726615905762,17.370749,-0.72841793,-0.7,240,0.14999999
13,0.15476107597351074,17.371603,-0.84993297,-0.7,260,0.14999999
14,0.16248655319213867,17.368011,-0.6983584,-0.7,280,0.14999999
15,0.16988825798034668,17.368345,-0.5933894,-0.7,300,0.14999999
16,0.17829084396362305,17.368525,-0.7826013,-0.7,320,0.14999999
17,0.18561577796936035,17.367952,-0.73214257,-0.7,340,0.14999999
18,0.19382023811340332,17.368832,-0.5323213,-0.7,360,0.14999999
19,0.20195531845092773,17.369297,-0.48656067,-0.7,380,0.14999999
20,0.21024703979492188,17.369959,-0.6798388,-0.7,400,0.14999999
21,0.21858954429626465,17.371317,-0.58738714,-0.7,420,0.14999999
22,0.22588419914245605,17.3725,-0.65955913,-0.7,440,0.14999999
23,0.23323655128479004,17.374027,-0.6419261,-0.7,460,0.14999999
24,0.2413938045501709,17.375252,-0.68370414,-0.7,480,0.14999999
25,0.2491316795349121,17.375225,-0.7418437,-0.7,500,0.14999999
26,0.2561967372894287,17.374802,-0.7869254,-0.7,520,0.14999999
27,0.26372718811035156,17.374346,-0.6136877,-0.7,540,0.14999999
28,0.27100181579589844,17.375643,-0.7468107,-0.7,560,0.14999999
29,0.27906298637390137,17.37555,-0.73967737,-0.7,580,0.14999999
30,0.28645896911621094,17.37579,-0.6401322,-0.7,600,0.14999999
31,0.2936267852783203,17.376316,-0.3481273,-0.7,620,0.14999999
32,0.3017079830169678,17.372807,-0.4064127,-0.7,640,0.14999999
33,0.3088102340698242,17.369719,-0.5106718,-0.7,660,0.14999999
34,0.3195033073425293,17.370419,-0.5281597,-0.7,680,0.14999999
35,0.32660365104675293,17.36978,-0.8534906,-0.7,700,0.14999999
36,0.3341028690338135,17.36857,-0.64243126,-0.7,720,0.14999999
37,0.34130239486694336,17.36941,-0.36720476,-0.7,740,0.14999999
38,0.3493461608886719,17.366789,-0.48347384,-0.7,760,0.14999999
39,0.35689306259155273,17.36636,-0.6549142,-0.7,780,0.14999999
40,0.36414575576782227,17.366858,-0.65219426,-0.7,800,0.14999999
41,0.3713200092315674,17.36726,-0.6777175,-0.7,820,0.14999999
42,0.3780684471130371,17.367891,-0.6599354,-0.7,840,0.14999999
43,0.38622307777404785,17.368212,-0.63104415,-0.7,860,0.14999999
44,0.3934328556060791,17.3688,-0.7123446,-0.7,880,0.14999999
45,0.40059399604797363,17.369326,-0.90632486,-0.7,900,0.14999999
46,0.4080238342285156,17.367464,-0.55500853,-0.7,920,0.14999999
47,0.4183237552642822,17.367064,-0.5633271,-0.7,940,0.14999999
48,0.42645764350891113,17.36671,-0.8289425,-0.7,960,0.14999999
49,0.43341684341430664,17.36587,-0.97344244,-0.7,980,0.14999999
50,0.44076108932495117,17.363169,-0.80586135,-0.7,1000,0.14999999
51,0.44800400733947754,17.362698,-0.6245405,-0.7,1020,0.14999999
52,0.4586141109466553,17.363182,-0.6259909,-0.7,1040,0.14999999
53,0.4657130241394043,17.363474,-0.6974045,-0.7,1060,0.14999999
54,0.47369980812072754,17.364178,-0.7348545,-0.7,1080,0.14999999
55,0.4810066223144531,17.364418,-0.52135706,-0.7,1100,0.14999999
56,0.48880887031555176,17.364458,-0.9581936,-0.7,1120,0.14999999
57,0.4964640140533447,17.362259,-0.49611312,-0.7,1140,0.14999999
58,0.5036571025848389,17.362684,-0.63975483,-0.7,1160,0.14999999
59,0.5148851871490479,17.362728,-0.49713504,-0.7,1180,0.14999999
60,0.5244300365447998,17.363016,-0.6631882,-0.7,1200,0.14999999
61,0.5318088531494141,17.363796,-0.42612028,-0.7,1220,0.14999999
62,0.5388710498809814,17.362997,-0.8411237,-0.7,1240,0.14999999
63,0.5462357997894287,17.362362,-0.57203734,-0.7,1260,0.14999999
64,0.5534496307373047,17.363064,-0.64618397,-0.7,1280,0.14999999
65,0.5604326725006104,17.3636,-0.6566604,-0.7,1300,0.14999999
66,0.5674886703491211,17.36416,-0.85153264,-0.7,1320,0.14999999
67,0.5748262405395508,17.36359,-0.43475583,-0.7,1340,0.14999999
68,0.5821058750152588,17.363245,-0.50707746,-0.7,1360,0.14999999
69,0.5890142917633057,17.363073,-0.50770235,-0.7,1380,0.14999999
70,0.5966084003448486,17.362946,-0.72082907,-0.7,1400,0.14999999
71,0.6038017272949219,17.362942,-0.5956348,-0.7,1420,0.14999999
72,0.6112871170043945,17.36352,-0.75555456,-0.7,1440,0.14999999
73,0.61859130859375,17.363613,-0.67913556,-0.7,1460,0.14999999
74,0.6256353855133057,17.363934,-0.49640372,-0.7,1480,0.14999999
75,0.6326613426208496,17.364256,-0.6518087,-0.7,1500,0.14999999
76,0.6416060924530029,17.36469,-0.66877264,-0.7,1520,0.14999999
77,0.6493890285491943,17.365013,-0.8162103,-0.7,1540,0.14999999
78,0.6565797328948975,17.364717,-0.6704219,-0.7,1560,0.14999999
79,0.6637897491455078,17.365194,-0.62976635,-0.7,1580,0.14999999
80,0.6709485054016113,17.365368,-1.0153415,-0.7,1600,0.14999999
81,0.6784594058990479,17.363277,-0.7605852,-0.7,1620,0.14999999
82,0.6853666305541992,17.363482,-0.49483538,-0.7,1640,0.14999999
83,0.6925594806671143,17.363235,-0.94442314,-0.7,1660,0.14999999
84,0.6996092796325684,17.361881,-0.5843899,-0.7,1680,0.14999999
85,0.7068443298339844,17.362011,-0.7693727,-0.7,1700,0.14999999
86,0.7141261100769043,17.362053,-0.78270656,-0.7,1720,0.14999999
87,0.7211470603942871,17.362047,-0.8159879,-0.7,1740,0.14999999
88,0.7280721664428711,17.361803,-0.86010677,-0.7,1760,0.14999999
89,0.735015869140625,17.361284,-0.8305824,-0.7,1780,0.14999999
90,0.7423028945922852,17.360806,-0.46460158,-0.7,1800,0.14999999
91,0.7493717670440674,17.360525,-0.6214711,-0.7,1820,0.14999999
92,0.7565643787384033,17.360924,-0.66569644,-0.7,1840,0.14999999
93,0.7637696266174316,17.361235,-0.43980187,-0.7,1860,0.14999999
94,0.771533727645874,17.361301,-0.6273687,-0.7,1880,0.14999999
95,0.7787909507751465,17.361696,-0.8038386,-0.7,1900,0.14999999
96,0.786384105682373,17.361555,-0.5404426,-0.7,1920,0.14999999
97,0.7945048809051514,17.362103,-0.6379071,-0.7,1940,0.14999999
98,0.8023550510406494,17.362188,-0.80620706,-0.7,1960,0.14999999
99,0.8097479343414307,17.361868,-0.5960574,-0.7,1980,0.14999999
100,0.8174843788146973,17.36224,-0.8803109,-0.7,2000,0.14999999
101,0.8257482051849365,17.36171,-0.9126268,-0.7,2020,0.14999999
102,0.8338172435760498,17.36087,-0.45937914,-0.7,2040,0.14999999
103,0.8410792350769043,17.360859,-0.6802418,-0.7,2060,0.14999999
104,0.848034143447876,17.361061,-0.88713455,-0.7,2080,0.14999999
105,0.8553364276885986,17.360416,-0.90334177,-0.7,2100,0.14999999
106,0.8624439239501953,17.359627,-0.80451334,-0.7,2120,0.14999999
107,0.8698348999023438,17.359516,-0.89237976,-0.7,2140,0.14999999
108,0.877371072769165,17.358833,-0.73123944,-0.7,2160,0.14999999
109,0.8849048614501953,17.359062,-0.8100609,-0.7,2180,0.14999999
110,0.8917286396026611,17.358965,-0.7973776,-0.7,2200,0.14999999
111,0.8993144035339355,17.358902,-0.69114816,-0.7,2220,0.14999999
112,0.906872034072876,17.359253,-0.74244595,-0.7,2240,0.14999999
113,0.9139652252197266,17.359243,-0.6414018,-0.7,2260,0.14999999
114,0.9215488433837891,17.359694,-1.0174481,-0.7,2280,0.14999999
115,0.9288678169250488,17.35831,-0.8787934,-0.7,2300,0.14999999
116,0.9364469051361084,17.357864,-0.6358851,-0.7,2320,0.14999999
117,0.9435584545135498,17.35825,-0.6139091,-0.7,2340,0.14999999
118,0.9507274627685547,17.358593,-0.7893143,-0.7,2360,0.14999999
119,0.9581422805786133,17.358612,-0.23404887,-0.7,2380,0.14999999
120,0.9657082557678223,17.354712,-0.5870086,-0.7,2400,0.14999999
121,0.9727022647857666,17.355042,-0.57664233,-0.7,2420,0.14999999
122,0.980029821395874,17.355476,-0.554741,-0.7,2440,0.14999999
123,0.9875080585479736,17.355776,-0.8496486,-0.7,2460,0.14999999
124,0.994654655456543,17.355446,-0.89388674,-0.7,2480,0.14999999
125,1.0027823448181152,17.35486,-0.8096939,-0.7,2500,0.14999999
126,1.0101909637451172,17.354673,-0.61276984,-0.7,2520,0.14999999
127,1.017793893814087,17.354885,-0.85734457,-0.7,2540,0.14999999
128,1.0253615379333496,17.354563,-0.9264661,-0.7,2560,0.14999999
