ReturnMean,TimestepsSoFar,LQGmu1_higher,LQGmu1_actor,Iteration,LQGsigma_higher,TimeElapsed
17.372555,20,-0.65,-0.542906,1,0.14999999,0.02364969253540039
17.368282,40,-0.65,-0.61975056,2,0.14999999,0.06232714653015137
17.38621,60,-0.65,-0.77667946,3,0.14999999,0.07180666923522949
17.380999,80,-0.65,-0.7096561,4,0.14999999,0.07920098304748535
17.37838,100,-0.65,-0.58932316,5,0.14999999,0.08745098114013672
17.384453,120,-0.65,-0.7617101,6,0.14999999,0.09459543228149414
17.383322,140,-0.65,-0.71909016,7,0.14999999,0.10194134712219238
17.381702,160,-0.65,-0.6890295,8,0.14999999,0.11117124557495117
17.379099,180,-0.65,-0.43868512,9,0.14999999,0.11833977699279785
17.379879,200,-0.65,-0.755777,10,0.14999999,0.12572169303894043
17.378729,220,-0.65,-0.67882377,11,0.14999999,0.1329331398010254
17.380201,240,-0.65,-0.6784179,12,0.14999999,0.14072632789611816
17.381372,260,-0.65,-0.79993296,13,0.14999999,0.14871788024902344
17.37918,280,-0.65,-0.6483584,14,0.14999999,0.15576434135437012
17.379194,300,-0.65,-0.54338944,15,0.14999999,0.1627180576324463
17.378054,320,-0.65,-0.7326013,16,0.14999999,0.17022395133972168
17.378157,340,-0.65,-0.68214256,17,0.14999999,0.1786653995513916
17.379297,360,-0.65,-0.48232126,18,0.14999999,0.18598556518554688
17.378036,380,-0.65,-0.43656066,19,0.14999999,0.19318604469299316
17.377115,400,-0.65,-0.62983876,20,0.14999999,0.20062637329101562
17.37847,420,-0.65,-0.53738713,21,0.14999999,0.2086331844329834
17.379047,440,-0.65,-0.6095591,22,0.14999999,0.21651220321655273
17.380505,460,-0.65,-0.5919261,23,0.14999999,0.22379374504089355
17.38156,480,-0.65,-0.6337041,24,0.14999999,0.23123931884765625
17.381523,500,-0.65,-0.6918436,25,0.14999999,0.23875951766967773
17.381355,520,-0.65,-0.73692536,26,0.14999999,0.24682354927062988
17.381523,540,-0.65,-0.5636877,27,0.14999999,0.25472164154052734
17.382483,560,-0.65,-0.69681066,28,0.14999999,0.2618744373321533
17.382687,580,-0.65,-0.68967736,29,0.14999999,0.2699284553527832
17.383223,600,-0.65,-0.5901322,30,0.14999999,0.27780652046203613
17.383541,620,-0.65,-0.2981273,31,0.14999999,0.28665828704833984
17.377068,640,-0.65,-0.35641268,32,0.14999999,0.2942674160003662
17.371895,660,-0.65,-0.46067178,33,0.14999999,0.30165553092956543
17.371872,680,-0.65,-0.47815967,34,0.14999999,0.3093540668487549
17.37049,700,-0.65,-0.8034906,35,0.14999999,0.318162202835083
17.370106,720,-0.65,-0.59243125,36,0.14999999,0.3254063129425049
17.370968,740,-0.65,-0.31720474,37,0.14999999,0.3321981430053711
17.366135,760,-0.65,-0.43347383,38,0.14999999,0.3395810127258301
17.364809,780,-0.65,-0.6049142,39,0.14999999,0.3473978042602539
17.365372,800,-0.65,-0.60219425,40,0.14999999,0.3559145927429199
17.365818,820,-0.65,-0.6277175,41,0.14999999,0.3630635738372803
17.366648,840,-0.65,-0.6099354,42,0.14999999,0.370593786239624
17.36699,860,-0.65,-0.58104414,43,0.14999999,0.37809157371520996
17.367563,880,-0.65,-0.6623446,44,0.14999999,0.38651514053344727
17.3684,900,-0.65,-0.85632485,45,0.14999999,0.39416980743408203
17.367336,920,-0.65,-0.5050085,46,0.14999999,0.4014601707458496
17.366455,940,-0.65,-0.513327,47,0.14999999,0.4088268280029297
17.36566,960,-0.65,-0.77894247,48,0.14999999,0.4160807132720947
17.365297,980,-0.65,-0.92344236,49,0.14999999,0.4253671169281006
17.363474,1000,-0.65,-0.75586134,50,0.14999999,0.4330129623413086
17.363403,1020,-0.65,-0.5745405,51,0.14999999,0.44075965881347656
17.363825,1040,-0.65,-0.5759909,52,0.14999999,0.44794392585754395
17.363993,1060,-0.65,-0.6474045,53,0.14999999,0.4569211006164551
17.364876,1080,-0.65,-0.6848545,54,0.14999999,0.46456074714660645
17.36535,1100,-0.65,-0.47135708,55,0.14999999,0.4714787006378174
17.364927,1120,-0.65,-0.9081936,56,0.14999999,0.4786348342895508
17.363401,1140,-0.65,-0.4461131,57,0.14999999,0.486281156539917
17.36333,1160,-0.65,-0.5897548,58,0.14999999,0.49495792388916016
17.363262,1180,-0.65,-0.44713503,59,0.14999999,0.502572774887085
17.363125,1200,-0.65,-0.6131882,60,0.14999999,0.5097596645355225
17.363989,1220,-0.65,-0.37612027,61,0.14999999,0.5173704624176025
17.362276,1240,-0.65,-0.7911237,62,0.14999999,0.5249547958374023
17.362057,1260,-0.65,-0.52203727,63,0.14999999,0.5328757762908936
17.362602,1280,-0.65,-0.596184,64,0.14999999,0.5399956703186035
