Iteration,LQGmu1_higher,LQGmu1_actor,TimeElapsed,TimestepsSoFar,LQGsigma_higher,ReturnMean
1,-0.67,-0.562906,0.02323317527770996,20,0.14999999,17.370079
2,-0.67,-0.6397506,0.06127285957336426,40,0.14999999,17.369791
3,-0.67,-0.7966795,0.06845760345458984,60,0.14999999,17.38637
4,-0.67,-0.72965616,0.07609176635742188,80,0.14999999,17.378685
5,-0.67,-0.6093232,0.08305859565734863,100,0.14999999,17.375534
6,-0.67,-0.78171015,0.0914161205291748,120,0.14999999,17.38201
7,-0.67,-0.7390902,0.09849143028259277,140,0.14999999,17.379953
8,-0.67,-0.70902956,0.10518932342529297,160,0.14999999,17.378056
9,-0.67,-0.45868516,0.11209893226623535,180,0.14999999,17.375536
10,-0.67,-0.775777,0.1251692771911621,200,0.14999999,17.377626
11,-0.67,-0.6988238,0.1350700855255127,220,0.14999999,17.375978
12,-0.67,-0.69841796,0.14464926719665527,240,0.14999999,17.377287
13,-0.67,-0.819933,0.1521604061126709,260,0.14999999,17.378323
14,-0.67,-0.66835845,0.16015148162841797,280,0.14999999,17.37556
15,-0.67,-0.5633894,0.16781973838806152,300,0.14999999,17.375702
16,-0.67,-0.7526013,0.17549419403076172,320,0.14999999,17.375103
17,-0.67,-0.7021426,0.18265819549560547,340,0.14999999,17.374928
18,-0.67,-0.5023213,0.1904146671295166,360,0.14999999,17.37596
19,-0.67,-0.4565607,0.19782733917236328,380,0.14999999,17.375418
20,-0.67,-0.6498388,0.20499968528747559,400,0.14999999,17.375156
21,-0.67,-0.5573872,0.21305131912231445,420,0.14999999,17.376509
22,-0.67,-0.62955916,0.2203972339630127,440,0.14999999,17.377333
23,-0.67,-0.61192614,0.22764205932617188,460,0.14999999,17.378817
24,-0.67,-0.65370417,0.23482608795166016,480,0.14999999,17.379942
25,-0.67,-0.7118437,0.24236702919006348,500,0.14999999,17.379906
26,-0.67,-0.7569254,0.2498631477355957,520,0.14999999,17.37963
27,-0.67,-0.5836877,0.25705981254577637,540,0.14999999,17.379541
28,-0.67,-0.7168107,0.2646491527557373,560,0.14999999,17.38064
29,-0.67,-0.7096774,0.2713663578033447,580,0.14999999,17.380718
30,-0.67,-0.6101322,0.27858448028564453,600,0.14999999,17.381132
31,-0.67,-0.31812733,0.2862980365753174,620,0.14999999,17.381533
32,-0.67,-0.37641272,0.2935211658477783,640,0.14999999,17.376347
33,-0.67,-0.48067182,0.3006558418273926,660,0.14999999,17.372066
34,-0.67,-0.4981597,0.3082849979400635,680,0.14999999,17.372347
35,-0.67,-0.8234906,0.3226914405822754,700,0.14999999,17.371271
36,-0.67,-0.6124313,0.3300638198852539,720,0.14999999,17.37055
