LQGsigma_higher,Iteration,TimestepsSoFar,LQGmu1_actor,TimeElapsed,ReturnMean,LQGmu1_higher
0.14999999,1,20,-0.512906,0.023359298706054688,17.373964,-0.62
0.14999999,2,40,-0.5897506,0.06158161163330078,17.363281,-0.62
0.14999999,3,60,-0.7466795,0.06929802894592285,17.38341,-0.62
0.14999999,4,80,-0.67965615,0.07706856727600098,17.382118,-0.62
0.14999999,5,100,-0.5593232,0.08438754081726074,17.380371,-0.62
0.14999999,6,120,-0.73171014,0.09157276153564453,17.385809,-0.62
0.14999999,7,140,-0.6890902,0.09876132011413574,17.386127,-0.62
0.14999999,8,160,-0.65902954,0.10730147361755371,17.384949,-0.62
0.14999999,9,180,-0.40868515,0.1147758960723877,17.382246,-0.62
0.14999999,10,200,-0.72577703,0.12160682678222656,17.380894,-0.62
0.14999999,11,220,-0.6488238,0.12876033782958984,17.380526,-0.62
0.14999999,12,240,-0.64841795,0.13589143753051758,17.382273,-0.62
0.14999999,13,260,-0.769933,0.14431524276733398,17.383675,-0.62
0.14999999,14,280,-0.61835843,0.15148043632507324,17.382374,-0.62
0.14999999,15,300,-0.51338947,0.15906453132629395,17.38219,-0.62
0.14999999,16,320,-0.7026013,0.16701626777648926,17.380194,-0.62
0.14999999,17,340,-0.6521426,0.17491865158081055,17.380737,-0.62
0.14999999,18,360,-0.4523213,0.18263792991638184,17.382069,-0.62
0.14999999,19,380,-0.4065607,0.18977594375610352,17.379635,-0.62
0.14999999,20,400,-0.5998388,0.19676756858825684,17.377636,-0.62
0.14999999,21,420,-0.50738716,0.20395708084106445,17.379005,-0.62
0.14999999,22,440,-0.57955915,0.21220707893371582,17.379194,-0.62
0.14999999,23,460,-0.5619261,0.2192082405090332,17.380613,-0.62
0.14999999,24,480,-0.60370415,0.22621655464172363,17.381567,-0.62
0.14999999,25,500,-0.66184366,0.23297667503356934,17.381538,-0.62
0.14999999,26,520,-0.7069254,0.24023699760437012,17.38155,-0.62
0.14999999,27,540,-0.5336877,0.24807167053222656,17.382128,-0.62
0.14999999,28,560,-0.6668107,0.2551143169403076,17.382868,-0.62
0.14999999,29,580,-0.6596774,0.26225876808166504,17.383276,-0.62
0.14999999,30,600,-0.5601322,0.2690398693084717,17.384012,-0.62
0.14999999,31,620,-0.26812732,0.2763829231262207,17.384207,-0.62
0.14999999,32,640,-0.3264127,0.2839474678039551,17.375443,-0.62
0.14999999,33,660,-0.4306718,0.29114580154418945,17.368744,-0.62
0.14999999,34,680,-0.4481597,0.29859423637390137,17.368237,-0.62
0.14999999,35,700,-0.7734906,0.30548977851867676,17.366358,-0.62
0.14999999,36,720,-0.5624313,0.3148634433746338,17.36651,-0.62
0.14999999,37,740,-0.28720477,0.32187628746032715,17.367413,-0.62
0.14999999,38,760,-0.40347385,0.3292684555053711,17.360899,-0.62
0.14999999,39,780,-0.5749142,0.336928129196167,17.35895,-0.62
0.14999999,40,800,-0.5721943,0.34500813484191895,17.359585,-0.62
0.14999999,41,820,-0.5977175,0.3519871234893799,17.36008,-0.62
0.14999999,42,840,-0.57993543,0.35980772972106934,17.361063,-0.62
0.14999999,43,860,-0.55104417,0.3671894073486328,17.361433,-0.62
0.14999999,44,880,-0.6323446,0.37445807456970215,17.362022,-0.62
0.14999999,45,900,-0.8263249,0.38318896293640137,17.36308,-0.62
0.14999999,46,920,-0.47500855,0.3901968002319336,17.362534,-0.62
0.14999999,47,940,-0.48332706,0.39694643020629883,17.361328,-0.62
0.14999999,48,960,-0.7489425,0.40398740768432617,17.360237,-0.62
0.14999999,49,980,-0.8934424,0.41100430488586426,17.360199,-0.62
0.14999999,50,1000,-0.7258614,0.41995668411254883,17.358932,-0.62
0.14999999,51,1020,-0.5445405,0.42682528495788574,17.35914,-0.62
0.14999999,52,1040,-0.54599094,0.43410468101501465,17.359537,-0.62
0.14999999,53,1060,-0.6174045,0.4413602352142334,17.359634,-0.62
0.14999999,54,1080,-0.65485454,0.44952893257141113,17.360647,-0.62
0.14999999,55,1100,-0.4413571,0.4571342468261719,17.361292,-0.62
0.14999999,56,1120,-0.8781936,0.4642822742462158,17.360558,-0.62
0.14999999,57,1140,-0.41611314,0.47147107124328613,17.359463,-0.62
0.14999999,58,1160,-0.55975485,0.4786663055419922,17.359055,-0.62
0.14999999,59,1180,-0.41713506,0.48767924308776855,17.358925,-0.62
0.14999999,60,1200,-0.58318824,0.4948568344116211,17.358496,-0.62
0.14999999,61,1220,-0.3461203,0.5020248889923096,17.359426,-0.62
0.14999999,62,1240,-0.7611237,0.5092663764953613,17.357046,-0.62
0.14999999,63,1260,-0.49203733,0.5168285369873047,17.357103,-0.62
0.14999999,64,1280,-0.56618404,0.5257329940795898,17.357552,-0.62
0.14999999,65,1300,-0.5766604,0.5327761173248291,17.358133,-0.62
0.14999999,66,1320,-0.77153265,0.5406477451324463,17.358807,-0.62
0.14999999,67,1340,-0.35475585,0.5475108623504639,17.358974,-0.62
0.14999999,68,1360,-0.42707744,0.555694580078125,17.357407,-0.62
0.14999999,69,1380,-0.42770237,0.5630369186401367,17.35657,-0.62
0.14999999,70,1400,-0.6408291,0.5699977874755859,17.355679,-0.62
0.14999999,71,1420,-0.51563483,0.5770514011383057,17.355963,-0.62
0.14999999,72,1440,-0.6755545,0.5839228630065918,17.356424,-0.62
0.14999999,73,1460,-0.5991356,0.5926876068115234,17.356928,-0.62
0.14999999,74,1480,-0.41640374,0.5999000072479248,17.357409,-0.62
0.14999999,75,1500,-0.5718087,0.6067812442779541,17.357145,-0.62
