LQGmu1_higher,Regret/t,Iteration,ReturnLastEpisode,TimeElapsed,Regret,ReturnMean,LQGsigma_higher,LQGmu1_actor
-1.0,0.00915403526813785,1,0.9559659647318621,0.03476834297180176,0.00915403526813785,0.9559659647318621,0.01831564,-1.003298
-0.97979796,0.00919283030803919,2,0.9558883746520594,0.04824185371398926,0.01838566061607838,0.9559271696919608,0.01831564,-0.9667213
-0.959596,0.009155773426690791,3,0.956038340336006,0.06227517127990723,0.02746732028007237,0.9559642265733093,0.01831564,-0.9559024
-0.93939394,0.009105711935308819,4,0.9561644725388371,0.07567930221557617,0.036422847741235276,0.9560142880646912,0.01831564,-0.95486206
-0.9191919,0.009114627127038099,5,0.9559697121060448,0.08890318870544434,0.0455731356351905,0.9560053728729618,0.01831564,-0.9264762
-0.8989899,0.009143697537511578,6,0.955830950410121,0.10248160362243652,0.05486218522506947,0.9559763024624884,0.01831564,-0.891581
-0.8787879,0.0091011594779254,7,0.9562740688795917,0.11550021171569824,0.0637081163454778,0.9560188405220745,0.01831564,-0.89242816
-0.85858583,0.009100940956525388,8,0.9560205886932747,0.128983736038208,0.07280752765220311,0.9560190590434745,0.01831564,-0.86702204
-0.83838385,0.009097534776366496,9,0.9560497146649046,0.14188122749328613,0.08187781298729846,0.9560224652236334,0.01831564,-0.84314954
-0.8181818,0.009103292682735608,10,0.9559648861599424,0.15540313720703125,0.09103292682735609,0.9560167073172643,0.01831564,-0.7923794
-0.7979798,0.009083562012763653,11,0.9562337446869559,0.16879677772521973,0.09991918214040019,0.9560364379872364,0.01831564,-0.8108956
-0.7777778,0.00906358959274838,12,0.9562761070274196,0.18167757987976074,0.10876307511298056,0.9560564104072515,0.01831564,-0.7812973
-0.75757575,0.009049550640144592,13,0.9562389167911008,0.19494843482971191,0.11764415832187969,0.9560704493598553,0.01831564,-0.7610457
-0.7373737,0.009045503891770676,14,0.9561271038370902,0.20795321464538574,0.12663705448478946,0.9560744961082293,0.01831564,-0.75568116
-0.7171717,0.009039201385351192,15,0.9561690337045216,0.2220630645751953,0.13558802078026788,0.9560807986146487,0.01831564,-0.7169713
-0.6969697,0.009029991504342291,16,0.9562281567107912,0.23547649383544922,0.14447986406947666,0.9560900084956576,0.01831564,-0.6839521
-0.67676765,0.009031708141540144,17,0.9560608256632942,0.2496662139892578,0.15353903840618244,0.9560882918584597,0.01831564,-0.68685365
-0.65656567,0.009019774268217817,18,0.9563031015782617,0.2625253200531006,0.1623559368279207,0.956100225731782,0.01831564,-0.6604904
-0.6363636,0.009003510806648489,19,0.9564092315015994,0.2767486572265625,0.1710667053263213,0.9561164891933513,0.01831564,-0.6158893
-0.61616164,0.009012086005451387,20,0.9559449852172935,0.2899339199066162,0.18024172010902773,0.9561079139945484,0.01831564,-0.5900998
-0.5959596,0.009006275370693772,21,0.9562299373244585,0.3031494617462158,0.1891317827845692,0.956113724629306,0.01831564,-0.5934978
-0.57575756,0.009000249223441765,22,0.9562462998688503,0.3163948059082031,0.19800548291571884,0.9561197507765581,0.01831564,-0.56200707
-0.5555556,0.008989191716084217,23,0.9563740734457818,0.3294384479522705,0.20675140946993698,0.9561308082839157,0.01831564,-0.5506176
-0.53535354,0.00899453634026789,24,0.9560025373035076,0.34355711936950684,0.21586887216642936,0.9561254636597321,0.01831564,-0.5282625
-0.5151515,0.008999895142708119,25,0.9559914935987264,0.35637640953063965,0.22499737856770297,0.9561201048572918,0.01831564,-0.5131617
-0.4949495,0.009009398690925097,26,0.9558730126036504,0.370302677154541,0.23424436596405251,0.9561106013090749,0.01831564,-0.50005877
-0.47474748,0.009002177010155047,27,0.9563055866898662,0.38340187072753906,0.2430587792741863,0.9561178229898449,0.01831564,-0.48536143
-0.45454547,0.008995186445551973,28,0.956313558798731,0.3972005844116211,0.25186522047545523,0.9561248135544479,0.01831564,-0.44400635
-0.43434343,0.00898655348675869,29,0.9563751693594532,0.4103882312774658,0.260610051116002,0.9561334465132412,0.01831564,-0.4400592
-0.41414142,0.008979226065922082,30,0.9563532691383395,0.42316699028015137,0.26937678197766246,0.9561407739340778,0.01831564,-0.4189862
-0.3939394,0.008981902642784248,31,0.9560578000513508,0.43682122230529785,0.27843898192631167,0.9561380973572157,0.01831564,-0.38662928
-0.37373737,0.008971817636614539,32,0.9564608175546464,0.4496922492980957,0.28709816437166524,0.9561481823633854,0.01831564,-0.33077222
-0.35353535,0.008977972271512653,33,0.9559450794117477,0.4638800621032715,0.29627308495991755,0.9561420277284873,0.01831564,-0.3176871
-0.33333334,0.008985953978705304,34,0.9558706496839372,0.47800350189208984,0.30552243527598033,0.9561340460212946,0.01831564,-0.31021556
-0.3131313,0.009000521218885492,35,0.9556241926149881,0.491774320602417,0.3150182426609922,0.9561194787811145,0.01831564,-0.29214886
-0.2929293,0.009002650603783975,36,0.9560428209247691,0.5053441524505615,0.3240954217362231,0.9561173493962161,0.01831564,-0.31167114
-0.27272728,0.009000837567031721,37,0.9561844317560494,0.5186436176300049,0.33303098998017366,0.9561191624329684,0.01831564,-0.2656979
-0.25252524,0.009001964135752502,38,0.9560763528215785,0.5321357250213623,0.3420746371585951,0.9561180358642475,0.01831564,-0.21188952
-0.23232323,0.009016822372780875,39,0.955538564620141,0.5451111793518066,0.3516560725384541,0.9561031776272191,0.01831564,-0.20588446
-0.21212122,0.009023631226542423,40,0.9558308234767572,0.5584936141967773,0.3609452490616969,0.9560963687734576,0.01831564,-0.20661606
