Regret,LQGmu1_higher,LQGmu1_actor,ReturnLastEpisode,Regret/t,ReturnMean,Iteration,LQGsigma_higher,TimeElapsed
0.16107552531924085,-1.0,-1.003298,17.19892447468076,0.16107552531924085,0.9861768620803186,1,0.01831564,0.0536956787109375
0.22813276442515118,-0.8947368,-0.88166016,17.29294276089409,0.11406638221257559,0.9888723404694624,2,0.01831564,0.5860354900360107
0.21891274992942655,-0.7894737,-0.78578013,17.369220014495724,0.07297091664314219,0.9912287318438565,3,0.01831564,0.8090629577636719
0.18471329762263622,-0.68421054,-0.69967866,17.39419945230679,0.046178324405659055,0.9927650043345378,4,0.01831564,1.070801019668579
0.17107761385671694,-0.57894737,-0.58623165,17.37363568376592,0.03421552277134339,0.9934509447952211,5,0.01831564,1.2964885234832764
0.14638208266038077,-0.47368422,-0.46627533,17.384695531196336,0.02439701377673013,0.9940139326962883,6,0.01831564,1.5542516708374023
0.2077113644036146,-0.36842105,-0.38206133,17.298670718256766,0.029673052057659226,0.993711407565501,7,0.01831564,1.8096935749053955
0.5775190914151906,-0.2631579,-0.2715941,16.990192272988423,0.07218988642689883,0.9912735156865309,8,0.01831564,2.0414111614227295
1.561864159006003,-0.15789473,-0.1626604,16.375654932409187,0.1735404621117781,0.9854621294660676,9,0.01831564,2.334287166595459
5.202302310263875,-0.05263158,-0.026829135,13.719561848742128,0.5202302310263874,0.9655831289549088,10,0.01831564,2.561211585998535
13.471336072407015,0.05263158,0.039715756,9.09096623785686,1.224666915673365,0.9251911172205638,11,0.01831564,2.7911124229431152
21.94366240679126,0.15789473,0.15437523,8.887673665615756,1.8286385338992714,0.8905597170929315,12,0.01831564,3.131868600845337
30.813007396484966,0.2631579,0.25968796,8.490655010306291,2.370231338191151,0.8595050838193146,13,0.01831564,3.5018365383148193
40.18439840621447,0.36842105,0.3501136,7.988608990270493,2.870314171872462,0.8308306094109825,14,0.01831564,3.79841947555542
50.484347030638446,0.47368422,0.47388467,7.060051375576028,3.3656231353758965,0.8024298660908314,15,0.01831564,4.0761566162109375
61.93016934581247,0.57894737,0.59196496,5.9141776848259715,3.8706355841132796,0.7734727302687339,16,0.01831564,4.406263589859009
74.32307024260889,0.68421054,0.67412454,4.967099103203585,4.371945308388758,0.7447279066290848,17,0.01831564,4.656201124191284
88.19678209474192,0.7894737,0.785549,3.486288147866977,4.8998212274856625,0.7144597920019689,18,0.01831564,4.939345836639404
104.07828952647597,0.8947368,0.9152111,1.4784925682659533,5.477804711919788,0.6813185371605626,19,0.01831564,5.254229545593262
121.43828952647597,1.0,1.0260619,,6.071914476323799,0.6472526103025344,20,0.01831564,5.5965166091918945
121.5960337965721,-1.0,-0.99696136,17.202255729903868,5.79028732364629,0.6634009562129419,21,0.022607496,5.9221351146698
121.65648110586378,-0.8947368,-0.87776417,17.299552690708328,5.529840050266535,0.6783348595030656,22,0.022607496,6.465007066726685
121.64994153807653,-0.7894737,-0.7833786,17.366539567787246,5.289127892959849,0.692137162100926,23,0.022607496,6.9369142055511475
121.6122091531095,-0.68421054,-0.67545784,17.397732384967032,5.067175381379562,0.7048637969392453,24,0.022607496,7.171437978744507
121.59351582669335,-0.57894737,-0.5764913,17.378693326416155,4.863740633067734,0.7165286334250154,25,0.022607496,7.415630578994751
121.60380343660911,-0.47368422,-0.47999075,17.349712390084235,4.677069362946504,0.727232261298939,26,0.022607496,7.691034555435181
121.62261568592824,-0.36842105,-0.38152215,17.341187750680877,4.504541321701046,0.7371249242143897,27,0.022607496,7.960525274276733
121.93817366116195,-0.2631579,-0.2501492,17.044442024766276,4.354934773612927,0.745703281329534,28,0.022607496,8.202172756195068
122.67562364651484,-0.15789473,-0.16494988,16.622550014647118,4.230193918845339,0.7528558532772168,29,0.022607496,8.4989914894104
125.07934736526744,-0.05263158,-0.05861162,14.9562762812474,4.169311578842248,0.7563468131397795,30,0.022607496,8.73466181755066
133.3693037250366,0.05263158,0.06165465,9.070043640230837,4.302235604033438,0.7487250227045047,31,0.022607496,8.963888883590698
142.02972150718844,0.15789473,0.2109278,8.699582217848153,4.438428797099639,0.7409157799828189,32,0.022607496,9.199475765228271
151.14544619893752,0.2631579,0.3074064,8.244275308250925,4.58016503633144,0.7327887020452156,33,0.022607496,9.43310809135437
160.83545005097722,0.36842105,0.39695597,7.669996147960319,4.730454413264035,0.724171191899998,34,0.022607496,9.66463565826416
171.3631690030316,0.47368422,0.49958342,6.832281047945625,4.89609054294376,0.7146737074000139,35,0.022607496,9.912168502807617
