Regret,ReturnMean,Iteration,ReturnLastEpisode,LQGmu1_higher,Regret/t,LQGsigma_higher,LQGmu1_actor
0.15117943722587057,0.9861709038287918,1,17.19882056277413,-1.0,0.15117943722587057,0.14999999,-1.0270102
0.20248295967448726,0.9890343188166718,2,17.298696477551385,-0.97979796,0.10124147983724363,0.14999999,-0.87270397
0.28405988771240587,0.9894101703418882,3,17.268423071962083,-0.959596,0.09468662923746862,0.14999999,-0.92934656
0.43270580373062373,0.988636671391476,4,17.201354083981784,-0.93939394,0.10817645093265593,0.14999999,-1.0660734
0.5648997172226835,0.9883612417749692,5,17.21780608650794,-0.9191919,0.1129799434445367,0.14999999,-0.97884804
0.5830156240887021,0.989267817048082,6,17.331884093133983,-0.8989899,0.09716927068145036,0.14999999,-0.8383131
0.7204935539050652,0.9889376347157187,7,17.21252207018364,-0.8787879,0.10292765055786646,0.14999999,-0.990498
0.8084496481300114,0.9890449423155819,8,17.262043905775055,-0.85858583,0.10105620601625143,0.14999999,-0.927676
0.8673880795393849,0.9893132767613443,9,17.291061568590628,-0.83838385,0.09637645328215388,0.14999999,-0.8774134
0.7987562583550911,0.9902594251241107,10,17.418631821184295,-0.8181818,0.07987562583550911,0.14999999,-0.60686696
0.8626922611373544,0.9903425132342715,11,17.286063997217738,-0.7979798,0.07842656919430495,0.14999999,-0.90375674
0.8634636942575469,0.9907135717973167,12,17.34922856687981,-0.7777778,0.07195530785479558,0.14999999,-0.8066016
0.8548061659158641,0.9910691330014296,13,17.358657528341684,-0.75757575,0.06575432045506648,0.14999999,-0.7859937
0.9094130593912517,0.9911147892390594,14,17.295393106524614,-0.7373737,0.0649580756708037,0.14999999,-0.8873067
0.890158378420427,0.9914367034464051,15,17.369254680970826,-0.7171717,0.05934389189469513,0.14999999,-0.71553016
0.8693204263219627,0.9917240523712659,16,17.370837952098466,-0.6969697,0.05433252664512267,0.14999999,-0.5903591
0.8500247249251132,0.9919723936693029,17,17.36929570139685,-0.67676765,0.0500014544073596,0.14999999,-0.75936896
0.8029372526143987,0.9922816728701123,18,17.397087472310716,-0.65656567,0.04460762514524438,0.14999999,-0.68870825
0.8058358213166912,0.9924075452036556,19,17.34710143129771,-0.6363636,0.042412411648246905,0.14999999,-0.4686849
0.8191171192645257,0.9924910633048609,20,17.336718702052167,-0.61616164,0.04095585596322628,0.14999999,-0.40272233
0.7641475601139511,0.9927529828524632,21,17.404969559150576,-0.5959596,0.03638797905304529,0.14999999,-0.5757984
0.7498818113603036,0.9928850036192653,22,17.36426574875365,-0.57575756,0.034085536880013804,0.14999999,-0.4631447
0.700245077602542,0.9930937248763401,23,17.399636733757763,-0.5555556,0.030445438156632258,0.14999999,-0.5151147
0.6717742827204667,0.993234484225152,24,17.378470794882077,-0.53535354,0.02799059511335278,0.14999999,-0.47727966
0.6638534552883151,0.9933168498731922,25,17.357920827432153,-0.5151515,0.026554138211532602,0.14999999,-0.49885562
0.6412542550817797,0.9934252508488849,26,17.372599200206537,-0.4949495,0.024663625195453065,0.14999999,-0.5367932
0.5719684716740403,0.9936247696405158,27,17.41928578340774,-0.47474748,0.0211840174694089,0.14999999,-0.56167287
0.6310102487613491,0.9935472431013245,28,17.290958222912693,-0.45454547,0.022536080312905327,0.14999999,-0.36823314
0.6062210413683964,0.9936408157201672,29,17.374789207392954,-0.43434343,0.02090417384028953,0.14999999,-0.4811541
0.5818664106312958,0.9937273195515459,30,17.374354630737102,-0.41414142,0.019395547021043194,0.14999999,-0.4538188
0.6990710772936239,0.9935464059683089,31,17.232795333337673,-0.3939394,0.022550679912697547,0.14999999,-0.3340716
5.741893825492525,0.9845507923138396,32,12.3071772518011,-0.37373737,0.1794341820466414,0.14999999,-0.021864682
8.756406276542231,0.9796246763335034,33,14.335487548950296,-0.35353535,0.265345644743704,0.14999999,-0.059948057
9.602476829877679,0.978645310257222,34,16.503929446664554,-0.33333334,0.28242578911404936,0.14999999,-0.14400515
10.739963830810956,0.9772444891369415,35,16.212512999066725,-0.3131313,0.3068561094517416,0.14999999,-0.141291
10.726028791717047,0.9777554332445894,36,17.36393503909391,-0.2929293,0.2979452442143624,0.14999999,-0.4464199
11.134463539850563,0.977584206019324,37,16.941565251866486,-0.27272728,0.3009314470229882,0.14999999,-0.21515852
19.438474173245528,0.9655080966724325,38,9.045989366605037,-0.25252524,0.511538794032777,0.14999999,0.08026999
25.629859168162078,0.9571573465535138,39,11.15861500508345,-0.23232323,0.6571758761067199,0.14999999,-0.015797079
26.429737858046867,0.9569527840337632,40,16.550121310115212,-0.21212122,0.6607434464511717,0.14999999,-0.16703543
27.523551867443363,0.9563471248217675,41,16.256185990603505,-0.1919192,0.6713061431083747,0.14999999,-0.14411348
28.48673635753776,0.9559486452086914,42,16.386815509905603,-0.17171717,0.6782556275604229,0.14999999,-0.14943472
30.02695776366801,0.9547992349001654,43,15.809778593869755,-0.15151516,0.6983013433411165,0.14999999,-0.11145059
32.676054512129376,0.9522570182025004,44,14.700903251538636,-0.13131313,0.742637602548395,0.14999999,-0.062357306
33.760167169578324,0.9518219072762765,45,16.265887342551057,-0.11111111,0.7502259371017406,0.14999999,-0.123455726
33.95883014925096,0.9525094358929362,46,17.151337020327368,-0.09090909,0.7382354380271947,0.14999999,-0.29723394
42.25441803758505,0.943289554414424,47,9.05441211166591,-0.07070707,0.8990301710124479,0.14999999,0.074284375
50.5673661111059,0.9344330966753801,48,9.037051926479151,-0.05050505,1.0534867939813728,0.14999999,0.086167894
