LQGmu1_actor,LQGsigma_higher,Regret,LQGmu1_higher
-1.0270102,0.14999999,0.15117943722587057,-1.0
-0.87270397,0.14999999,0.20248295967448726,-0.97979796
-0.92934656,0.14999999,0.28405988771240587,-0.959596
-1.0660734,0.14999999,0.43270580373062373,-0.93939394
-0.97884804,0.14999999,0.5648997172226835,-0.9191919
-0.8383131,0.14999999,0.5830156240887021,-0.8989899
-0.990498,0.14999999,0.7204935539050652,-0.8787879
-0.927676,0.14999999,0.8084496481300114,-0.85858583
-0.8774134,0.14999999,0.8673880795393849,-0.83838385
-0.60686696,0.14999999,0.7987562583550911,-0.8181818
-0.90375674,0.14999999,0.8626922611373544,-0.7979798
-0.8066016,0.14999999,0.8634636942575469,-0.7777778
-0.7859937,0.14999999,0.8548061659158641,-0.75757575
-0.8873067,0.14999999,0.9094130593912517,-0.7373737
-0.71553016,0.14999999,0.890158378420427,-0.7171717
-0.5903591,0.14999999,0.8693204263219627,-0.6969697
-0.75936896,0.14999999,0.8500247249251132,-0.67676765
-0.68870825,0.14999999,0.8029372526143987,-0.65656567
-0.4686849,0.14999999,0.8058358213166912,-0.6363636
-0.40272233,0.14999999,0.8191171192645257,-0.61616164
-0.5757984,0.14999999,0.7641475601139511,-0.5959596
-0.4631447,0.14999999,0.7498818113603036,-0.57575756
-0.5151147,0.14999999,0.700245077602542,-0.5555556
-0.47727966,0.14999999,0.6717742827204667,-0.53535354
-0.49885562,0.14999999,0.6638534552883151,-0.5151515
-0.5367932,0.14999999,0.6412542550817797,-0.4949495
-0.56167287,0.14999999,0.5719684716740403,-0.47474748
-0.36823314,0.14999999,0.6310102487613491,-0.45454547
-0.4811541,0.14999999,0.6062210413683964,-0.43434343
-0.4538188,0.14999999,0.5818664106312958,-0.41414142
-0.3340716,0.14999999,0.6990710772936239,-0.3939394
-0.021864682,0.14999999,5.741893825492525,-0.37373737
-0.059948057,0.14999999,8.756406276542231,-0.35353535
-0.14400515,0.14999999,9.602476829877679,-0.33333334
-0.141291,0.14999999,10.739963830810956,-0.3131313
-0.4464199,0.14999999,10.726028791717047,-0.2929293
-0.21515852,0.14999999,11.134463539850563,-0.27272728
0.08026999,0.14999999,19.438474173245528,-0.25252524
-0.015797079,0.14999999,25.629859168162078,-0.23232323
-0.16703543,0.14999999,26.429737858046867,-0.21212122
