DenMISEMeanLog,DenMISELogFirst,InvPendulum_std0_higher,ReturnAbsMax,Regret/t,InvPendulum_std2_higher,InvPendulum_mu0_higher,ActionIn1,ReturnMean,ReturnMin,MinEpLen,InvPendulum_mu3_higher,TimeElapsed,TimestepsSoFar,IWMin,Regret,IWLastEpisode,InvPendulum_mu2_higher,AvgEpLen,InvPendulum_std3_higher,Iteration,ReturnMax,DenMISELogLast,ReturnStepMax,ReturnLastEpisode,IWFirstEpisode,Bound,NumTrajectories,NumTrainableParams,InvPendulum_mu1_higher,BoundMISE,IWMax,IWMean,InvPendulum_std1_higher,BoundBonus,GridSize,Delta
19.951183,19.951183,0.0009999999,109.58321,114.58321,0.0009999999,-0.2,-0.79717314,-109.58321,-109.58321,15,-0.2,0.06813788414001465,15,,114.58321,,-0.2,15.0,0.0009999999,1,,19.951183,109.58321,-109.58321,,inf,1,4,-0.2,,,,0.0009999999,inf,1,0.060792707
19.65113,19.258036,0.0009999999,119.252106,119.41766,0.0009999999,-0.2,-0.4025861,-114.41766,-119.252106,15,0.2,0.4987502098083496,67,,238.83533,,-0.2,33.5,0.0009999999,2,,20.044228,119.252106,-119.252106,,inf,2,,-0.2,,,,0.0009999999,inf,16,0.001788021
19.60461,18.852571,0.0009999999,134.10614,125.98049,0.0009999999,-0.2,-0.40137002,-120.98049,-134.10614,15,-0.2,0.6931934356689453,104,,377.94147,,0.2,34.666666666666664,0.0009999999,3,,20.322496,134.10614,-134.10614,,inf,3,,-0.2,,,,0.0009999999,inf,16,0.000794676
18.961956,18.564888,0.0009999999,134.10614,122.59819,0.0009999999,-0.2,0.00041158497,-117.59819,-134.10614,15,0.2,0.8553049564361572,169,,490.39276,,0.2,42.25,0.0009999999,4,,17.897047,134.10614,-107.45128,,inf,4,,-0.2,,,,0.0009999999,inf,16,0.00044700524
18.187716,18.341745,0.0009999999,138.912,126.86095,0.0009999999,0.2,-0.39964092,-121.86095,-138.912,15,-0.2,1.0568840503692627,216,,634.30475,,-0.2,43.2,0.0009999999,5,,15.983316,138.912,-138.912,,inf,5,,-0.2,,,,0.0009999999,inf,16,0.00028608335
18.555025,18.159424,0.0009999999,138.912,123.87384,0.0009999999,0.2,0.0016995519,-118.87384,-138.912,15,0.2,1.221095323562622,238,,743.24304,,-0.2,39.666666666666664,0.0009999999,6,,21.303185,138.912,-103.938354,,inf,6,,-0.2,,,,0.0009999999,inf,16,0.000198669
18.78129,18.005274,0.0009999999,138.912,124.33325,0.0009999999,0.2,0.0006079376,-119.33325,-138.912,15,-0.2,1.3312475681304932,263,,870.33276,,0.2,37.57142857142857,0.0009999999,7,,21.063787,138.912,-122.089676,,inf,7,,-0.2,,,,0.0009999999,inf,16,0.00014596088
18.59045,17.871742,0.0009999999,138.912,124.82454,0.0009999999,0.2,0.4000367,-119.82454,-138.912,15,0.2,1.4558007717132568,289,,998.5963,,0.2,36.125,0.0009999999,8,,18.189281,138.912,-123.26353,,inf,8,,-0.2,,,,0.0009999999,inf,16,0.00011175131
18.751198,17.75396,0.0009999999,138.912,126.06641,0.0009999999,-0.2,-0.40155494,-121.06641,-138.912,15,-0.2,1.6349196434020996,324,,1134.5977,,-0.2,36.0,0.0009999999,9,,20.97945,138.912,-131.00137,,inf,9,,0.2,,,,0.0009999999,inf,16,8.829733e-05
18.680809,17.648598,0.0009999999,138.912,124.70974,0.0009999999,-0.2,0.0025981814,-119.70974,-138.912,15,0.2,1.7524232864379883,345,,1247.0974,,-0.2,34.5,0.0009999999,10,,18.995562,138.912,-107.49976,,inf,10,,0.2,,,,0.0009999999,inf,16,7.152084e-05
18.675724,17.553288,0.0009999999,138.912,123.88709,0.0009999999,-0.2,0.0016487241,-118.88709,-138.912,15,-0.2,1.8685100078582764,363,,1362.758,,0.2,33.0,0.0009999999,11,,19.577976,138.912,-110.6606,,inf,11,,0.2,,,,0.0009999999,inf,16,5.9108123e-05
18.728325,17.466276,0.0009999999,138.912,121.99966,0.0009999999,-0.2,0.40132064,-116.99966,-138.912,15,0.2,2.0654239654541016,418,,1463.9958,,0.2,34.833333333333336,0.0009999999,12,,20.264055,138.912,-96.23774,,inf,12,,0.2,,,,0.0009999999,inf,16,4.966725e-05
18.834887,17.386234,0.0009999999,138.912,122.10521,0.0009999999,0.2,-0.00055386126,-117.10521,-138.912,15,-0.2,2.2554266452789307,446,,1587.3677,,-0.2,34.30769230769231,0.0009999999,13,,21.074146,138.912,-118.37194,,inf,13,,0.2,,,,0.0009999999,inf,16,4.232002e-05
18.849905,17.312126,0.0009999999,138.912,121.65168,0.0009999999,0.2,0.39967418,-116.65168,-138.912,15,0.2,2.4236536026000977,462,,1703.1235,,-0.2,33.0,0.0009999999,14,,20.008566,138.912,-110.75578,,inf,14,,0.2,,,,0.0009999999,inf,16,3.649022e-05
18.84143,17.243134,0.0009999999,138.912,121.1089,0.0009999999,0.2,0.4004928,-116.1089,-138.912,15,-0.2,2.6312801837921143,478,,1816.6335,,0.2,31.866666666666667,0.0009999999,15,,19.68866,138.912,-108.51003,,inf,15,,0.2,,,,0.0009999999,inf,16,3.178704e-05
18.794762,17.178595,0.0009999999,138.912,120.43234,0.0009999999,0.2,0.801651,-115.43234,-138.912,15,0.2,2.7549667358398438,495,,1926.9175,,0.2,30.9375,0.0009999999,16,,19.062841,138.912,-105.28393,,inf,16,,0.2,,,,0.0009999999,inf,16,2.7937827e-05
18.756319,17.11797,0.0009999999,138.912,120.225525,0.0009999999,-0.2,0.00077855587,-115.225525,-138.912,15,-0.2,2.8835909366607666,511,,2043.8339,,0.2,30.058823529411764,0.0009999999,17,,19.111214,138.912,-111.91639,,714.74725,17,,0.2,-75.85921,17.000008,1.0000005,0.0009999999,790.60645,16,2.4747693e-05
18.880304,17.060812,0.0009999999,138.912,119.62015,0.0009999999,0.2,-0.39966866,-114.62015,-138.912,15,-0.2,3.043461799621582,530,,2153.1626,,-0.2,29.444444444444443,0.0009999999,18,,21.2666,138.912,-104.32866,,712.92633,18,,-0.2,-81.9292,17.999992,0.9999996,0.0009999999,794.8555,16,2.2074333e-05
18.996422,17.006744,0.0009999999,138.912,119.9907,0.0009999999,0.2,0.4015143,-114.9907,-138.912,15,-0.2,3.192899227142334,558,,2279.8232,,0.2,29.36842105263158,0.0009999999,19,,21.366583,138.912,-121.66063,,715.864,19,,0.2,-82.989845,19.0,1.0,0.0009999999,798.8539,16,1.9811867e-05
19.085314,16.955452,0.0009999999,138.912,119.50618,0.0009999999,-0.2,-0.40324897,-114.50618,-138.912,15,-0.2,3.353825569152832,578,,2390.1235,,0.2,28.9,0.0009999999,20,,21.055689,138.912,-105.30041,,717.9306,20,,-0.2,-84.69826,19.99998,0.99999905,0.0009999999,802.62885,16,1.788021e-05
19.080734,16.90666,0.0009999999,138.912,119.52739,0.0009999999,-0.2,-0.39903462,-114.52739,-138.912,15,-0.2,3.535130500793457,626,,2510.0752,,-0.2,29.80952380952381,0.0009999999,21,,19.271835,138.912,-114.95156,,721.4667,21,,0.2,-84.736465,21.000017,1.0000008,0.0009999999,806.2031,16,1.6217875e-05
19.077791,16.860142,0.0009999999,138.912,119.21675,0.0009999999,0.2,0.3988515,-114.21675,-138.912,15,0.2,3.645054340362549,641,,2622.7686,,-0.2,29.136363636363637,0.0009999999,22,,19.299744,138.912,-107.69351,,724.0636,22,,0.2,-85.532814,21.99998,0.9999991,0.0009999999,809.59644,16,1.4777031e-05
19.124146,16.81569,0.0009999999,138.912,118.93677,0.0009999999,-0.2,-0.0016345382,-113.93677,-138.912,13,0.2,3.7743446826934814,654,,2735.5457,,-0.2,28.434782608695652,0.0009999999,23,,20.42869,138.912,-107.77714,,725.59753,23,,0.2,-87.228,23.0,1.0,0.0009999999,812.82556,16,1.3520007e-05
19.180471,16.773129,0.0009999999,138.912,118.855675,0.0009999999,0.2,0.0008533001,-113.855675,-138.912,13,-0.2,3.9323859214782715,670,,2852.5361,,-0.2,27.916666666666668,0.0009999999,24,,20.76172,138.912,-111.99029,,728.6023,24,,0.2,-87.30302,23.999977,0.99999905,0.0009999999,815.90533,16,1.2416813e-05
19.233759,16.732307,0.0009999999,138.912,118.664925,0.0009999999,0.2,0.79796916,-113.664925,-138.912,13,0.2,4.103878736495972,689,,2966.623,,0.2,27.56,0.0009999999,25,,20.79928,138.912,-109.08708,,730.63055,25,,0.2,-88.21787,25.000002,1.0000001,0.0009999999,818.84845,16,1.1443334e-05
19.20397,16.693087,0.0009999999,138.912,118.27074,0.0009999999,-0.2,0.40026975,-113.27074,-138.912,11,0.2,4.251774311065674,700,,3075.039,,0.2,26.923076923076923,0.0009999999,26,,18.746552,138.912,-103.41583,,728.35974,26,,0.2,-93.30644,26.000004,1.0000001,0.0009999999,821.6662,16,1.0580005e-05
