Iteration,InvPendulum_std1_higher,InvPendulum_std2_higher,ReturnAbsMax,MinEpLen,IWMax,InvPendulum_mu0_higher,InvPendulum_mu1_higher,NumTrainableParams,Regret/t,TimeElapsed,NumTrajectories,ReturnStepMax,Bound,GridSize,DenMISEMeanLog,BoundMISE,IWMean,DenMISELogLast,InvPendulum_mu3_higher,TimestepsSoFar,InvPendulum_mu2_higher,InvPendulum_std3_higher,Regret,ReturnMean,DenMISELogFirst,Delta,IWLastEpisode,ReturnMin,InvPendulum_std0_higher,IWMin,BoundBonus,AvgEpLen,ReturnLastEpisode,IWFirstEpisode,ActionIn1,ReturnMax
1,0.0009999999,0.0009999999,99.78053,24,,-0.2,-0.2,4,104.78053,0.07353496551513672,1,99.78053,inf,1,23.104813,,,23.104813,-0.2,24,-0.2,0.0009999999,104.78053,-99.78053,23.104813,0.060792707,,-99.78053,0.0009999999,,inf,24.0,-99.78053,,-0.80263966,
2,0.0009999999,0.0009999999,104.20382,19,,-0.2,-0.2,,106.99217,0.3829660415649414,2,104.20382,inf,16,22.09591,,,21.780155,0.2,43,-0.2,0.0009999999,213.98434,-101.99217,22.411665,0.001788021,,-104.20382,0.0009999999,,inf,21.5,-104.20382,,-0.39989895,
3,0.0009999999,0.0009999999,112.254234,18,,-0.2,-0.2,,110.412865,0.5614950656890869,3,112.254234,inf,16,21.94782,,,22.462572,-0.2,61,0.2,0.0009999999,331.2386,-105.412865,22.0062,0.000794676,,-112.254234,0.0009999999,,inf,20.333333333333332,-112.254234,,-0.39832735,
4,0.0009999999,0.0009999999,112.254234,18,,-0.2,-0.2,,109.63037,0.7612357139587402,4,112.254234,inf,16,20.857752,,,18.450588,0.2,114,0.2,0.0009999999,438.52148,-104.63037,21.71852,0.00044700524,,-112.254234,0.0009999999,,inf,28.5,-102.28292,,-0.0004016459,
5,0.0009999999,0.0009999999,137.88452,18,,0.2,-0.2,,116.281204,0.9123020172119141,5,137.88452,inf,16,20.73581,,,21.140615,-0.2,158,-0.2,0.0009999999,581.406,-111.281204,21.495375,0.00028608335,,-137.88452,0.0009999999,,inf,31.6,-137.88452,,-0.40071112,
6,0.0009999999,0.0009999999,137.88452,18,,0.2,-0.2,,116.911804,1.0234012603759766,6,137.88452,inf,16,20.678947,,,21.306248,0.2,184,-0.2,0.0009999999,701.4708,-111.911804,21.313053,0.000198669,,-137.88452,0.0009999999,,inf,30.666666666666668,-115.06479,,-5.0246716e-05,
7,0.0009999999,0.0009999999,137.88452,18,,0.2,-0.2,,119.49852,1.1828877925872803,7,137.88452,inf,16,20.686153,,,21.654291,-0.2,220,0.2,0.0009999999,836.4896,-114.49852,21.158903,0.00014596088,,-137.88452,0.0009999999,,inf,31.428571428571427,-130.01874,,-0.003487423,
8,0.0009999999,0.0009999999,137.88452,18,,0.2,-0.2,,120.62428,1.3061103820800781,8,137.88452,inf,16,20.37084,,,19.09836,0.2,246,0.2,0.0009999999,964.99426,-115.62428,21.025372,0.00011175131,,-137.88452,0.0009999999,,inf,30.75,-123.504684,,0.39931816,
9,0.0009999999,0.0009999999,137.88452,18,,-0.2,0.2,,120.86884,1.424631118774414,9,137.88452,inf,16,20.152185,,,19.345211,-0.2,267,-0.2,0.0009999999,1087.8196,-115.86884,20.907589,8.829733e-05,,-137.88452,0.0009999999,,inf,29.666666666666668,-117.825356,,-0.40114695,
10,0.0009999999,0.0009999999,137.88452,14,,-0.2,0.2,,119.737595,1.5466110706329346,10,137.88452,inf,16,20.155628,,,21.134872,0.2,281,-0.2,0.0009999999,1197.376,-114.737595,20.802227,7.152084e-05,,-137.88452,0.0009999999,,inf,28.1,-104.556366,,0.0005752593,
11,0.0009999999,0.0009999999,137.88452,14,,-0.2,0.2,,119.1387,1.7028791904449463,11,137.88452,inf,16,20.128315,,,20.808296,-0.2,295,0.2,0.0009999999,1310.5258,-114.1387,20.706917,5.9108123e-05,,-137.88452,0.0009999999,,inf,26.818181818181817,-108.14981,,-0.0023388863,
12,0.0009999999,0.0009999999,137.88452,14,,-0.2,0.2,,118.53509,1.8903164863586426,12,137.88452,inf,16,19.885126,,,18.167162,0.2,311,0.2,0.0009999999,1422.421,-113.53509,20.619905,4.966725e-05,,-137.88452,0.0009999999,,inf,25.916666666666668,-106.89521,,0.40472668,
13,0.0009999999,0.0009999999,137.88452,14,,0.2,0.2,,119.77628,2.080331563949585,13,137.88452,inf,16,19.61463,,,17.329174,-0.2,349,-0.2,0.0009999999,1557.0917,-114.77628,20.539864,4.232002e-05,,-137.88452,0.0009999999,,inf,26.846153846153847,-129.67062,,0.00073575974,
14,0.0009999999,0.0009999999,137.88452,14,,0.2,0.2,,119.07714,2.280421495437622,14,137.88452,inf,16,19.60224,,,20.404589,0.2,364,-0.2,0.0009999999,1667.08,-114.07714,20.465755,3.649022e-05,,-137.88452,0.0009999999,,inf,26.0,-104.9883,,0.4010089,
15,0.0009999999,0.0009999999,137.88452,14,,0.2,0.2,,118.883934,2.448580026626587,15,137.88452,inf,16,19.625196,,,20.912493,-0.2,380,0.2,0.0009999999,1783.259,-113.883934,20.396763,3.178704e-05,,-137.88452,0.0009999999,,inf,25.333333333333332,-111.17913,,0.40309578,
16,0.0009999999,0.0009999999,137.88452,14,,0.2,0.2,,119.064644,2.6219005584716797,16,137.88452,inf,16,19.549847,,,19.387667,0.2,400,0.2,0.0009999999,1905.0343,-114.064644,20.332224,2.7937827e-05,,-137.88452,0.0009999999,,inf,25.0,-116.77529,,0.7996686,
17,0.0009999999,0.0009999999,137.88452,14,17.000008,-0.2,-0.2,,120.054596,2.7724721431732178,17,137.88452,704.13434,16,19.45935,-80.62431,1.0000005,18.981434,-0.2,439,0.2,0.0009999999,2040.9281,-115.054596,20.271599,2.4747693e-05,,-137.88452,0.0009999999,,784.75867,25.823529411764707,-130.89372,,-0.39962023,
