InvPendulum_std0_higher,ReturnAbsMax,Regret,ActionIn1,IWMean,InvPendulum_mu0_higher,IWLastEpisode,Regret/t,TimestepsSoFar,InvPendulum_std1_higher,ReturnLastEpisode,IWMin,TimeElapsed,DenMISELogLast,InvPendulum_mu2_higher,Delta,InvPendulum_std2_higher,NumTrainableParams,MinEpLen,InvPendulum_mu1_higher,NumTrajectories,ReturnMax,DenMISELogFirst,Bound,Iteration,IWMax,IWFirstEpisode,AvgEpLen,GridSize,BoundBonus,InvPendulum_mu3_higher,BoundMISE,ReturnMean,DenMISEMeanLog,ReturnMin,ReturnStepMax,InvPendulum_std3_higher
0.0009999999,152.30708,2135.4966,0.40083992,1.0000005,0.2,,125.61745,565,0.0009999999,-117.398476,,2.932232141494751,20.6499,0.2,2.4747693e-05,0.0009999999,,15,0.2,17,,20.219952,782.0116,17,17.000008,,33.23529411764706,16,866.84357,-0.2,-84.832,-120.61745,19.13163,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,2254.1006,-0.0011285543,0.9999996,0.2,,125.22781,583,0.0009999999,-113.60395,,3.0514590740203857,19.064299,0.2,2.2074333e-05,0.0009999999,,15,-0.2,18,,20.162794,785.6851,18,17.999992,,32.388888888888886,16,871.5023,-0.2,-85.81718,-120.22781,19.112413,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,2363.1128,-0.3977197,1.0,-0.2,,124.37436,606,0.0009999999,-104.01219,,3.176802396774292,20.257376,0.2,1.9811867e-05,0.0009999999,,15,-0.2,19,,20.108727,789.6777,19,19.0,,31.894736842105264,16,875.8863,-0.2,-86.208595,-119.37436,19.157934,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,2470.8486,0.39813542,0.99999905,0.2,,123.542435,625,0.0009999999,-102.73586,,3.3164594173431396,20.259933,-0.2,1.788021e-05,0.0009999999,,15,0.2,20,,20.057434,793.2572,20,19.99998,,31.25,16,880.02527,0.2,-86.76804,-118.542435,19.198963,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,2589.8262,5.2124262e-05,1.0000008,0.2,,123.32506,651,0.0009999999,-113.9775,,3.472933769226074,18.8508,-0.2,1.6217875e-05,0.0009999999,,15,0.2,21,,20.008642,795.4777,21,21.000017,,31.0,16,883.94415,-0.2,-88.46644,-118.32506,19.168924,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,2702.6167,-0.0016214252,0.9999991,-0.2,,122.846214,669,0.0009999999,-107.7905,,3.633575677871704,20.447943,0.2,1.4777031e-05,0.0009999999,,15,0.2,22,,19.962124,798.4617,22,21.99998,,30.40909090909091,16,887.6647,-0.2,-89.20298,-117.846214,19.214163,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,2813.0056,-0.39508158,1.0,0.2,,122.30459,689,0.0009999999,-105.38898,,3.7854413986206055,20.716154,-0.2,1.3520007e-05,0.0009999999,,15,-0.2,23,,19.917671,800.0126,23,23.0,,29.956521739130434,16,891.2052,-0.2,-91.192635,-117.30459,19.267084,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,2938.314,0.4015734,0.99999905,-0.2,,122.42975,713,0.0009999999,-120.308365,,3.96766996383667,15.152259,0.2,1.2416813e-05,0.0009999999,,15,0.2,24,,19.875113,803.0828,24,23.999977,,29.708333333333332,16,894.582,0.2,-91.499146,-117.42975,19.083729,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,3061.8813,-0.798535,1.0000001,-0.2,,122.47525,740,0.0009999999,-118.56731,,4.189981460571289,19.84091,-0.2,1.1443334e-05,0.0009999999,,15,-0.2,25,,19.83429,805.57227,25,25.000002,,29.6,16,897.8089,-0.2,-92.23665,-117.47525,19.102552,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,3194.7568,0.8022642,1.0000001,0.2,,122.87526,774,0.0009999999,-127.87552,,4.390136003494263,20.449217,0.2,1.0580005e-05,0.0009999999,,15,0.2,26,,19.795069,808.35925,26,26.000004,,29.76923076923077,16,900.8984,0.2,-92.53911,-117.87526,19.143293,-152.30708,152.30708,0.0009999999
