InvPendulum_mu2_higher,IWLastEpisode,InvPendulum_mu0_higher,AvgEpLen,ActionIn1,InvPendulum_mu1_higher,NumTrainableParams,Regret/t,TimeElapsed,BoundBonus,ReturnLastEpisode,TimestepsSoFar,GridSize,Bound,ReturnMean,IWMax,DenMISELogFirst,Delta,Iteration,BoundMISE,Regret,IWFirstEpisode,DenMISELogLast,IWMin,InvPendulum_std1_higher,ReturnStepMax,InvPendulum_std0_higher,ReturnMin,InvPendulum_std3_higher,MinEpLen,InvPendulum_std2_higher,ReturnMax,InvPendulum_mu3_higher,ReturnAbsMax,IWMean,NumTrajectories,DenMISEMeanLog
-0.2,,-0.2,54.0,-0.8040607,-0.2,4,105.599815,0.07280206680297852,inf,-100.599815,54,1,inf,-100.599815,,22.99131,0.060792707,1,,105.599815,,22.99131,,0.0009999999,100.599815,0.0009999999,-100.599815,0.0009999999,54,0.0009999999,,-0.2,100.599815,,1,22.99131
-0.2,,-0.2,35.5,-0.39953405,-0.2,,107.494385,0.4590799808502197,inf,-104.38896,71,16,inf,-102.494385,,22.298162,0.001788021,2,,214.98877,,17.548159,,0.0009999999,104.38896,0.0009999999,-104.38896,0.0009999999,17,0.0009999999,,0.2,104.38896,,2,19.92316
0.2,,-0.2,35.666666666666664,-0.40064383,-0.2,,117.22247,0.6505320072174072,inf,-131.67863,107,16,inf,-112.22247,,21.892698,0.000794676,3,,351.66742,,22.532808,,0.0009999999,131.67863,0.0009999999,-131.67863,0.0009999999,17,0.0009999999,,-0.2,131.67863,,3,20.522734
0.2,,-0.2,36.5,0.002060905,-0.2,,120.753876,0.818756103515625,inf,-126.34811,146,16,inf,-115.753876,,21.605015,0.00044700524,4,,483.0155,,21.499722,,0.0009999999,131.67863,0.0009999999,-131.67863,0.0009999999,17,0.0009999999,,0.2,131.67863,,4,20.551218
-0.2,,0.2,37.6,-0.39993456,-0.2,,125.3264,0.9861037731170654,inf,-138.61649,188,16,inf,-120.3264,,21.381872,0.00028608335,5,,626.632,,18.337097,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,17,0.0009999999,,-0.2,138.61649,,5,19.92988
-0.2,,0.2,33.666666666666664,-0.0020024776,-0.2,,123.30099,1.1180071830749512,inf,-108.173904,202,16,inf,-118.30099,,21.19955,0.000198669,6,,739.8059,,21.03532,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,14,0.0009999999,,0.2,138.61649,,6,19.962185
0.2,,0.2,34.714285714285715,-0.0017132163,-0.2,,125.95635,1.2892112731933594,inf,-136.8885,243,16,inf,-120.95635,,21.0454,0.00014596088,7,,881.69446,,18.440954,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,14,0.0009999999,,-0.2,138.61649,,7,19.612738
0.2,,0.2,35.125,0.39727038,-0.2,,125.60668,1.4738178253173828,inf,-118.15902,281,16,inf,-120.60668,,20.91187,0.00011175131,8,,1004.85345,,18.486256,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,14,0.0009999999,,0.2,138.61649,,8,19.355087
-0.2,,-0.2,35.333333333333336,-0.40169108,0.2,,127.02696,1.6616132259368896,inf,-133.38931,318,16,inf,-122.02696,,20.794085,8.829733e-05,9,,1143.2427,,19.805561,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,14,0.0009999999,,-0.2,138.61649,,9,19.300444
-0.2,,-0.2,33.0,0.002294153,0.2,,125.25903,1.780533790588379,inf,-104.34767,330,16,inf,-120.25903,,20.688725,7.152084e-05,10,,1252.5903,,20.406061,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,12,0.0009999999,,0.2,138.61649,,10,19.316181
0.2,,-0.2,33.63636363636363,0.00026655197,0.2,,126.31765,1.9322447776794434,inf,-131.90376,370,16,inf,-121.31765,,20.593414,5.9108123e-05,11,,1389.4941,,20.327541,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,12,0.0009999999,,-0.2,138.61649,,11,19.321478
0.2,,-0.2,32.0,0.40390587,0.2,,125.176575,2.046968698501587,inf,-107.62478,384,16,inf,-120.176575,,20.506403,4.966725e-05,12,,1502.1189,,20.435083,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,12,0.0009999999,,0.2,138.61649,,12,19.334517
-0.2,,0.2,31.46153846153846,-0.00048457086,0.2,,124.48011,2.1912448406219482,inf,-111.12244,409,16,inf,-119.48011,,20.426361,4.232002e-05,13,,1618.2415,,16.240997,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,12,0.0009999999,,-0.2,138.61649,,13,19.022667
-0.2,,0.2,30.071428571428573,0.39937228,0.2,,123.65536,2.3049817085266113,inf,-107.933586,421,16,inf,-118.65536,,20.352253,3.649022e-05,14,,1731.175,,20.806803,,0.0009999999,138.61649,0.0009999999,-138.61649,0.0009999999,12,0.0009999999,,0.2,138.61649,,14,19.081293
