IWMin,ReturnMean,IWMax,ReturnAbsMax,Regret/t,LQGmu1_higher,Iteration,ReturnMin,DenMISELogFirst,ReturnMax,TimestepsSoFar,ReturnLastEpisode,ReturnStepMax,LQGmu1_actor,Delta,IWFirstEpisode,Bound,LQGsigma_higher,Regret,DenMISEMeanLog,IWLastEpisode,DenMISELogLast,IWMean,TimeElapsed
,0.5937609,4.899421,0.95641094,0.3713591,0.63265306,25,,-1.1011999,0.95641094,500,0.6083983,0.9994056,0.62663764,1.9453666e-06,,39.348034,0.021563897,9.2839775,-0.048712965,5.3772382e-37,-0.12711725,0.29940113,278.8271005153656
,0.58782655,0.004130285,0.95641094,0.37729347,-0.5102041,26,,-1.1404206,0.95641094,520,0.4394673,0.9994056,-0.52081805,1.7986008e-06,3.5514612e-33,39.396034,0.01831564,9.80963,-0.07941585,,-0.14385208,0.0001588571,290.3764979839325
,0.6014733,3.7019668,0.95641094,0.36364675,-0.79591835,27,,-1.1781609,0.95641094,540,0.95628864,0.9994056,-0.78351015,1.6678383e-06,,39.16957,0.021563897,9.818462,-0.12623425,1.2115033e-34,-0.3624228,0.23157279,301.9675238132477
,0.6141395,0.00082429056,0.95641094,0.35098052,0.26530612,28,,-1.2145286,0.95641094,560,0.9561272,0.9994056,0.25959033,1.5508342e-06,,39.272583,0.01831564,9.8274555,-0.1562089,,-0.20298094,2.9438948e-05,313.5481970310211
,0.617041,0.00010430443,0.95641094,0.34807903,-0.42857143,29,,-1.2496198,0.95641094,580,0.6982828,0.9994056,-0.43341622,1.4457245e-06,4.0329724e-13,39.125298,0.01831564,10.094292,-0.19563547,,-0.31705156,3.6181862e-06,325.16309666633606
,0.62835145,19.133038,0.95641094,0.33676857,-1.0,30,,-1.2835214,0.95641094,600,0.9563565,0.9994056,-0.9890052,1.3509492e-06,,39.06477,0.027547687,10.103056,-0.23312508,,-0.3371821,1.0196087,336.8551149368286
,0.6389218,0.005943981,0.95641094,0.32619822,0.18367347,31,,-1.3163112,0.95641094,620,0.9560324,0.9994056,0.22663863,1.2651968e-06,,39.04967,0.01831564,10.112144,-0.22348867,,0.2284256,0.00019174132,348.2997090816498
,0.6419034,143.18085,0.95641094,0.32321662,0.2244898,32,,-1.3480599,0.95641094,640,0.73433214,0.9994056,0.2666957,1.1873576e-06,,39.396374,0.021563897,10.342932,-0.31135762,143.18085,-2.0512774,4.707238,359.82185411453247
,0.64198786,5.687681,0.95641094,0.32313216,0.5510204,33,,-1.3788316,0.95641094,660,0.64469,0.9994056,0.57823807,1.1164868e-06,,39.088493,0.021563897,10.663361,-0.28253448,4.3638995e-37,-0.28490138,0.27353582,371.6761486530304
,0.63749397,16.522425,0.95641094,0.32762605,0.8367347,34,,-1.4086846,0.95641094,680,0.48919535,0.9994056,0.8682934,1.051777e-06,,39.119656,0.027547687,11.139284,-0.3035947,1.436755e-18,-0.26899073,0.55193263,383.3633749485016
,0.62674236,3.0223206e-09,0.95641094,0.33837765,0.10204082,35,,-1.4376721,0.95641094,700,0.26118863,0.9994056,0.08329896,9.925341e-07,,39.0083,0.01831564,11.843218,-0.31164813,,-0.060826395,8.635209e-11,395.19654273986816
,0.6342425,4.4962606,0.95641094,0.33087754,-0.71428573,36,,-1.465843,0.95641094,720,0.89674455,0.9994056,-0.7060097,9.3815913e-07,,38.904587,0.021563897,11.911591,-0.35804763,,-0.99605006,0.15653415,407.0076549053192
,0.6429421,35.34355,0.95641094,0.32217795,-0.63265306,37,,-1.4932419,0.95641094,740,0.95612776,0.9994056,-0.5848106,8.881331e-07,,38.95501,0.021563897,11.920586,-0.38430715,0.092906,-0.49224725,1.0489304,418.9308705329895
,0.6511886,0.9969247,0.95641094,0.3139314,-0.2244898,38,,-1.5199102,0.95641094,760,0.9563103,0.9994056,-0.19805102,8.4200434e-07,0.9969247,39.017067,0.01831564,11.929394,-0.39432648,,-0.53860146,0.026236909,430.75698685646057
,0.6589914,0.17586015,0.95641094,0.30612862,0.020408163,39,,-1.519989,0.95641094,780,0.9554988,0.9994056,0.02591333,7.993782e-07,,39.058643,0.01831564,11.939014,-0.4492195,1.3468546e-29,-1.573982,0.004509235,442.54733633995056
,0.66629684,1.1500673,0.95641094,0.29882318,-0.14285715,40,,-1.5453068,0.95641094,800,0.95120865,0.9994056,-0.13701987,7.599088e-07,6.6438535e-11,39.028774,0.01831564,11.952929,-0.47841072,1.4992534e-17,-0.6339757,0.028751682,454.33934569358826
,0.67334133,0.008087476,0.95641094,0.29177868,-0.06122449,41,,-1.5699995,0.95641094,820,0.9551229,0.9994056,-0.058503706,7.2329226e-07,1.0440134e-29,39.066532,0.01831564,11.962925,-0.5063414,0.008087476,-0.66421163,0.00020973971,466.2655990123749
,0.6800003,7.565018,0.95641094,0.2851197,0.46938777,42,,-1.594097,0.95641094,840,0.9530177,0.9994056,0.47514743,6.8925965e-07,,38.87357,0.021563897,11.975029,-0.5332614,,-0.64919096,0.35353762,478.159530878067
,0.6762793,21.639645,0.95641094,0.2888407,0.75510204,43,,-1.6176275,0.95641094,860,0.51999587,0.9994056,0.7677659,6.5757393e-07,,38.733612,0.027547687,12.420151,-0.55125785,1.0334262e-21,-0.6443603,1.4650187,489.55247497558594
,0.6687198,16.244116,0.95641094,0.2964002,-0.5510204,44,,-1.640617,0.95641094,880,0.3436637,0.9994056,-0.55279505,6.280238e-07,4.9685538e-33,38.449554,0.021563897,13.041609,-0.5361648,,-0.09914449,0.8124508,501.28207302093506
,0.67511255,22.481915,0.95641094,0.29000747,-0.9183673,45,,-1.6630899,0.95641094,900,0.9563896,0.9994056,-0.95625913,6.0042186e-07,,38.374756,0.027547687,13.050337,-0.545733,1.6608036e-37,-0.6921718,0.67231244,513.1469442844391
,0.6812186,7.6422234,0.95641094,0.2839014,0.3877551,46,,-1.6850688,0.95641094,920,0.9559921,0.9994056,0.40859896,5.7460034e-07,,38.26633,0.021563897,13.0594635,-0.5506897,,-0.35728446,0.2622863,525.0675826072693
,0.67824155,80.644135,0.95641094,0.28687847,-0.26530612,47,,-1.706575,0.95641094,940,0.54129595,0.9994056,-0.2456581,5.5040925e-07,80.644135,37.94706,0.021563897,13.48329,-0.5687557,,-0.65602493,1.7807674,536.8303616046906
,0.68399286,84.079414,0.95641094,0.28112715,-0.18367347,48,,-0.72852975,0.95641094,960,0.9543078,0.9994056,-0.20221016,5.277145e-07,0.0017554939,37.885124,0.021563897,13.4941025,-0.569931,0.5974827,-0.6984433,1.8485428,548.728376865387
,0.6895146,6.86575,0.95641094,0.27560544,0.30612245,49,,-0.7491125,0.95641094,980,0.9545543,0.9994056,0.26681256,5.063948e-07,,37.799267,0.021563897,13.504669,-0.5705463,,-0.7159968,0.3107521,560.533456325531
,0.6890302,25.351797,0.95641094,0.27608985,-0.8367347,50,,-0.7693152,0.95641094,1000,0.66529655,0.9994056,-0.85617626,4.8634166e-07,,37.78573,0.027547687,13.804493,-0.58442855,,-0.5694678,0.99886316,572.3611779212952
,0.6942682,10.960134,0.95641094,0.2708518,-0.46938777,51,,-0.7891178,0.95641094,1020,0.9561716,0.9994056,-0.45853975,4.6745637e-07,7.4543383e-16,37.68638,0.021563897,13.813442,-0.5823105,,-0.3240815,0.25720474,584.2595698833466
,0.6993056,26.47862,0.95641094,0.26581442,0.67346936,52,,-0.8085359,0.95641094,1040,0.95620984,0.9994056,0.68706125,4.496502e-07,,37.72256,0.027547687,13.82235,-0.6014746,,-0.82463366,0.6979497,596.1935296058655
,0.693513,21.81299,0.95641094,0.27160704,-0.3469388,53,,-0.8275841,0.95641094,1060,0.3922971,0.9994056,-0.3465949,4.3284237e-07,0.15978366,37.57468,0.019873515,14.395172,-0.603252,,-0.29483804,0.41464236,607.9547069072723
,0.6983814,44.29425,0.95641094,0.2667386,0.06122449,54,,-0.84326595,0.95641094,1080,0.9564061,0.9994056,0.056213826,4.1695958e-07,,37.535076,0.021563897,14.403885,-0.6203061,,-0.8812636,1.0483929,619.672426700592
,0.7030422,28.012756,0.95641094,0.2620778,0.59183675,55,,-0.8616151,0.95641094,1100,0.95472217,0.9994056,0.62464476,4.0193527e-07,,37.08676,0.027547687,14.41428,-0.6286061,,-0.8904228,1.2653068,631.3241686820984
