IWMin,Delta,ReturnLastEpisode,TimestepsSoFar,LQGsigma_higher,DenMISELogFirst,ReturnMax,IWMax,IWMean,Iteration,DenMISEMeanLog,ReturnStepMax,ReturnAbsMax,LQGmu1_actor,ReturnMin,TimeElapsed,Regret/t,IWFirstEpisode,Bound,IWLastEpisode,Regret,DenMISELogLast,LQGmu1_higher,ReturnMean
,0.0012158542,0.14241993,20,0.01831564,-1.6393774,0.14241993,3.3850876e-05,3.3850876e-05,1,-1.6393774,0.13678852,0.14241993,0.98329943,,0.02838134765625,0.8227001,3.3850876e-05,5.4222775,3.3850876e-05,0.8227001,-1.6393774,1.0,0.14241993
,0.00030396355,0.1713868,40,0.01831564,-2.3324907,0.1713868,0.005568729,0.0027843644,2,-0.17248309,0.16620709,0.1713868,0.9062804,,11.656817197799683,0.8082167,8.129833e-20,6.8644958,0.005568729,1.6164334,1.9875245,0.9183673,0.15690336
,0.00013509492,0.24144222,60,0.01831564,-2.7379558,0.24144222,0.002722714,0.00090757135,3,0.20840585,0.23958535,0.24144222,0.8557021,,22.932337522506714,0.78003705,,9.745749,0.002722714,2.340111,1.7783334,0.8367347,0.18508297
,7.599089e-05,0.26921093,80,0.01831564,-3.0256379,0.26921093,,,4,0.2365169,0.2696997,0.26921093,-0.9975599,,34.43731999397278,0.75900507,,11.024198,,3.0360203,1.182989,-1.0,0.20611496
,4.8634163e-05,0.95586246,100,0.021563897,-3.2487814,0.95586246,3.3819125,0.72772753,5,0.30570373,0.99883837,0.95586246,0.9586074,,45.96754717826843,0.6090555,2.3446204e-07,39.40344,,3.0452778,1.4750254,0.9591837,0.35606447
,3.377373e-05,0.20974366,120,0.01831564,-3.431103,0.95586246,2.8146355e-06,4.691059e-07,6,0.41656438,0.99883837,0.95586246,0.7665941,,57.410585165023804,0.6334424,,39.98589,9.095437e-27,3.800654,1.3157661,0.75510204,0.33167765
,2.4813347e-05,0.35115996,140,0.01831564,-3.5852537,0.95586246,0.0006082179,8.688827e-05,7,0.36125374,0.99883837,0.95586246,-0.92748266,,68.98066544532776,0.6306591,,39.961243,,4.414614,0.95429385,-0.9183673,0.33446088
,1.8997722e-05,0.9562728,160,0.021563897,-3.718785,0.9562728,6.7844615,1.2563126,8,0.3108717,0.9992725,0.9562728,0.9143697,,80.53559017181396,0.5529327,4.9922378e-21,39.811222,,4.4234614,0.8928301,0.877551,0.41218734
,1.5010546e-05,0.23847398,180,0.01831564,-3.836568,0.9562728,2.6254347e-05,2.9171497e-06,9,0.40385097,0.9992725,0.9562728,0.6584272,,92.16101336479187,0.57223415,,40.190144,1.9089062e-37,5.1501074,1.1332568,0.67346936,0.39288583
,1.2158541e-05,0.421402,200,0.01831564,-3.9419286,0.9562728,5.2065672e-05,5.206567e-06,10,0.31467134,0.9992725,0.9562728,-0.8619975,,103.7215313911438,0.56938255,,40.010727,,5.6938257,0.46029595,-0.8367347,0.39573747
,1.0048381e-05,0.95615274,220,0.01831564,-4.0372386,0.9562728,0.020381402,0.0018528547,11,0.18019094,0.9992725,0.9562728,0.58358204,,115.25870490074158,0.5184357,,39.705147,,5.702793,-0.2115167,0.59183675,0.44668433
,8.443432e-06,0.46546933,240,0.021563897,-4.12425,0.9562728,4.8445883,0.42014578,12,0.1281123,0.9992725,0.9562728,0.756265,,126.9645893573761,0.51687026,,39.583218,9.7904475e-21,6.202443,0.5105216,0.79591835,0.44824973
,7.194403e-06,0.33086738,260,0.01831564,-4.204293,0.9562728,1.2763203e-06,9.817848e-08,13,0.123318344,0.9992725,0.9562728,-0.7691525,,138.56642055511475,0.5258997,,39.78137,,6.836696,0.6708836,-0.75510204,0.4392203
,6.203337e-06,0.9560728,280,0.021563897,-4.278401,0.9562728,4.4995775,0.49519518,14,0.05774345,0.9992725,0.9562728,-0.9356497,,150.14993596076965,0.48898166,,39.8059,2.1397402e-16,6.8457437,0.16867384,-0.9591837,0.47613835
,5.403797e-06,0.9557402,300,0.027547687,-4.3473935,0.9562728,7.3675756,0.80405724,15,0.051420666,0.9992725,0.9562728,1.0251216,,161.7143313884735,0.45700818,1.4671504,40.010063,,6.8551226,0.4898556,1.0,0.50811183
,4.7494304e-06,0.16956548,320,0.021563897,-4.318615,0.9562728,25.631079,1.6710898,16,0.039625436,0.9992725,0.9562728,-0.8770743,,173.26013493537903,0.47816733,,40.091156,,7.650677,0.14208004,-0.877551,0.4869527
,4.207108e-06,0.95588744,340,0.01831564,-4.3792396,0.9562728,0.0060579907,0.0003563524,17,0.056820184,0.9992725,0.9562728,0.48447695,,185.1170220375061,0.45058292,,40.099068,,7.6599092,0.27789012,0.5102041,0.5145371
,3.7526365e-06,0.5368102,360,0.01831564,-4.436398,0.9562728,2.8035622e-05,1.5575346e-06,18,-0.042258646,0.9992725,0.9562728,-0.6768075,,196.536780834198,0.44934553,,39.84803,,8.08822,-0.7552619,-0.67346936,0.5157745
,3.3680174e-06,0.9561874,380,0.021563897,-4.490465,0.9562728,2.0782127,0.18831117,19,-0.08411037,0.9992725,0.9562728,0.70572245,,207.92840671539307,0.42616594,,39.65656,,8.097153,0.13576683,0.71428573,0.5389541
,3.0396352e-06,0.40136337,400,0.01831564,-4.5417585,0.9562728,0.4883614,0.024418069,20,-0.113495186,0.9992725,0.9562728,0.41143188,,219.34861135482788,0.43304545,,39.701717,,8.66091,0.12155242,0.42857143,0.5320746
,2.7570386e-06,0.54813474,420,0.01831564,-4.5905485,0.9562728,0.00044567187,2.122247e-05,21,-0.17134753,0.9992725,0.9562728,-0.6167511,,230.81393122673035,0.43228072,,39.469093,,9.077895,-0.37671593,-0.59183675,0.5328393
,2.5120953e-06,0.95611715,440,0.027547687,-4.6370687,0.9562728,11.232432,1.2633034,22,-0.24776678,0.9992725,0.9562728,0.98048764,,242.27113914489746,0.41304082,4.973175e-07,39.499172,,9.086899,-0.8756717,0.9183673,0.5520792
,2.2984013e-06,0.17243177,460,0.01831564,-4.6815205,0.9562728,0.07060268,0.0030696816,23,-0.21369527,0.9992725,0.9562728,0.32717404,,253.7225570678711,0.4295472,,39.333534,,9.879585,0.45922858,0.3469388,0.5355728
,2.110858e-06,0.6053247,480,0.021563897,-4.72408,0.9562728,13.156774,0.620277,24,-0.27252293,0.9992725,0.9562728,0.6405458,,265.2880699634552,0.42664087,,39.358414,,10.23938,-0.6497527,0.63265306,0.53847915
,1.9453666e-06,0.41910306,500,0.01831564,-4.764902,0.9562728,2.6638397e-06,1.06553586e-07,25,-0.28453422,0.9992725,0.9562728,-0.5258694,,276.82613372802734,0.43141592,,39.273228,,10.785398,-0.099939294,-0.5102041,0.5337041
,1.7986008e-06,0.95633,520,0.021563897,-4.8041224,0.95633,13.434506,0.52470344,26,-0.33118093,0.9993046,0.95633,-0.83598155,,288.2220022678375,0.41516107,,39.335873,2.731135e-33,10.794188,-0.5168309,-0.79591835,0.54995894
,1.6678383e-06,0.9559487,540,0.01831564,-4.841863,0.95633,0.156231,0.0057863332,27,-0.33786067,0.9993046,0.95633,0.25880498,,299.5764558315277,0.40012437,,39.165833,,10.803359,0.045204543,0.26530612,0.56499565
,1.5508342e-06,0.6602375,560,0.01831564,-4.8782306,0.95633,2.9291412e-05,1.0461218e-06,28,-0.3712285,0.9993046,0.95633,-0.39980492,,310.93830370903015,0.3967229,,39.019756,,11.108242,-0.29600284,-0.42857143,0.5683971
,1.4457245e-06,0.9561915,580,0.01831564,-4.913322,0.95633,0.006729762,0.00023206076,29,-0.4426967,0.9993046,0.95633,0.17983457,,322.3837881088257,0.38335067,,38.854156,,11.117168,-1.4612496,0.18367347,0.58176935
,1.3509492e-06,0.72009665,600,0.021563897,-4.9472237,0.95633,46.14171,1.6425397,30,-0.47151184,0.9993046,0.95633,-0.6754949,,333.971887588501,0.37873977,,38.94395,,11.362192,-0.32423913,-0.63265306,0.58638024
,1.2651968e-06,0.9561806,620,0.021563897,-4.9800134,0.95633,8.574519,0.29501373,31,-0.46229494,0.9993046,0.95633,0.5380581,,345.40053367614746,0.36681074,,38.908596,,11.371132,-0.23286903,0.5510204,0.5983093
,1.1873576e-06,0.4988292,640,0.01831564,-5.011762,0.95633,1.6082059,0.050256435,32,-0.4808395,0.9993046,0.95633,-0.3299743,,356.81296396255493,0.36991948,,38.99518,,11.837423,-0.33396018,-0.3469388,0.59520054
,1.1164868e-06,0.9558776,660,0.027547687,-5.042534,0.95633,14.719648,0.49624854,33,-0.51939076,0.9993046,0.95633,0.8707885,,368.4317955970764,0.3589899,2.9068692e-17,38.987614,,11.846666,-0.8173723,0.8367347,0.6061301
,1.051777e-06,0.26452696,680,0.027547687,-5.0723867,0.95633,19.117624,0.6169256,34,-0.5220776,0.9993046,0.95633,-1.0214626,,379.977587223053,0.36903703,,39.027752,,12.547258,-0.044246435,-1.0,0.596083
,9.925341e-07,0.9557422,700,0.021563897,-5.101374,0.95633,57.45423,1.6811897,35,-0.53404325,0.9993046,0.95633,0.47057962,,391.5460686683655,0.358761,,39.07602,,12.556637,-0.45525035,0.46938777,0.606359
,9.3815913e-07,0.55845284,720,0.01831564,-5.129545,0.95633,0.0043718875,0.00012144132,36,-0.53159046,0.9993046,0.95633,0.1086244,,403.21791315078735,0.36009175,,39.084496,,12.963303,-0.47017214,0.10204082,0.6050283
,8.881331e-07,0.8977002,740,0.021563897,-5.1569443,0.95633,6.288862,0.34828606,37,-0.55942667,0.9993046,0.95633,-0.701886,,414.95549058914185,0.35218173,,39.160625,,13.0307255,-0.5752855,-0.71428573,0.6129383
,8.4200434e-07,0.9559466,760,0.01831564,-5.1836123,0.95633,0.111511126,0.0029345034,38,-0.5753624,0.9993046,0.95633,-0.24207138,,426.5793216228485,0.3431552,,39.107006,,13.039898,-0.50298977,-0.26530612,0.6219648
,7.993782e-07,0.9563637,780,0.01831564,-5.2095876,0.9563637,0.00037444214,9.601081e-06,39,-0.6203925,0.99935853,0.9563637,0.0029543377,,438.32837986946106,0.3345809,,39.052677,,13.048653,-1.3473994,0.020408163,0.6305391
