ReturnAbsMax,IWMean,ReturnMax,ReturnLastEpisode,Regret/t,ReturnMean,IWFirstEpisode,LQGmu1_actor,TimeElapsed,TimestepsSoFar,DenMISELogFirst,Bound,ReturnMin,IWMax,Delta,ReturnStepMax,LQGmu1_higher,IWMin,DenMISEMeanLog,LQGsigma_higher,Iteration,IWLastEpisode,Regret,DenMISELogLast
0.951847,,0.951847,0.951847,0.013273001,0.951847,,1.0215355,0.04921889305114746,20,-2.0051284,36.23913,,,0.0012158542,0.99492276,1.0,,-2.0051284,0.01831564,1,,0.013273001,-2.0051284
0.951847,2.52406e-07,0.951847,0.13706343,0.4206648,0.54445523,,0.9278886,11.63962197303772,40,-2.6982756,38.12135,,5.04812e-07,0.00030396355,0.99492276,0.9183673,,-0.49115354,0.01831564,2,5.04812e-07,0.8413296,1.7159685
0.951847,4.727649e-06,0.951847,0.20683795,0.5332039,0.43191612,,0.833335,22.96713376045227,60,-3.1037407,38.42018,,1.4182947e-05,0.00013509492,0.99492276,0.8367347,,0.0222888,0.01831564,3,1.4182947e-05,1.5996116,1.8601035
0.951847,,0.951847,0.2828812,0.5704626,0.3946574,,-0.99573904,34.58833026885986,80,-3.3914227,38.97817,,,7.599089e-05,0.99492276,-1.0,,0.22334203,0.01831564,4,,2.2818503,1.6895431
0.95552915,0.3603006,0.95552915,0.95552915,0.45828825,0.50683177,,0.9688282,46.113956689834595,100,-3.6145663,39.334175,,1.6743343,4.8634163e-05,0.9985115,0.9591837,,0.2915755,0.021563897,5,,2.2914414,1.4570836
0.95552915,0.00010977327,0.95552915,0.16563977,0.5151536,0.44996643,,0.7696493,57.481144428253174,120,-3.7968879,39.971977,,0.0006586396,3.377373e-05,0.9985115,0.75510204,,0.3641999,0.01831564,6,1.5646332e-29,3.0909214,1.3249826
0.95552915,0.00013529717,0.95552915,0.3323603,0.53195447,0.43316555,,-0.9144108,69.0122857093811,140,-3.9510386,39.947353,,0.00094708026,2.4813347e-05,0.9985115,-0.9183673,,0.29983377,0.01831564,7,,3.7236814,0.8384312
0.95552915,1.3832404e-06,0.95552915,0.95528376,0.4666897,0.4984303,,0.6828501,80.49489688873291,160,-4.08457,39.730736,,1.1065923e-05,1.8997722e-05,0.9985115,0.67346936,,0.26949066,0.01831564,8,,3.7335176,0.9916731
0.95552915,0.15157688,0.95552915,0.38789192,0.47897172,0.4861483,,0.8663008,92.27062749862671,180,-4.202353,39.918114,,0.93881965,1.5010546e-05,0.9985115,0.877551,,0.22022912,0.021563897,9,1.7018669e-17,4.3107452,0.7684
0.95552915,0.00012552885,0.95552915,0.2590296,0.5016836,0.46343642,,-0.8342609,104.01045250892639,200,-4.3077135,39.97973,,0.0012552885,1.2158541e-05,0.9985115,-0.8367347,,0.19990218,0.01831564,10,,5.016836,0.8197949
