LQGmu1_higher,Delta,ReturnMax,Regret/t,IWMean,DenMISEMeanLog,ReturnMin,IWFirstEpisode,DenMISELogFirst,Iteration,ReturnAbsMax,LQGmu1_actor,ReturnStepMax,TimeElapsed,IWMax,ReturnMean,ReturnLastEpisode,LQGsigma_higher,Regret,Bound,TimestepsSoFar,IWLastEpisode,DenMISELogLast,IWMin
-0.5102041,1.9453666e-06,0.95581526,0.42537284,0.0041812547,-0.043409385,,,-0.21006763,25,0.95581526,-0.50432414,0.9988446,275.21765518188477,0.10453136,0.5397472,0.5571561,0.01831564,10.634321,39.25843,500,,-0.1750265,
0.26530612,1.7986008e-06,0.95581526,0.4093812,0.00020827394,-0.08740462,,,-0.24928835,26,0.95581526,0.2565922,0.9988446,286.65982151031494,0.0054151225,0.5557388,0.95553154,0.01831564,10.643911,39.030174,520,,-0.21094051,
-0.42857143,1.6678383e-06,0.95581526,0.40622818,0.00019960593,-0.13194227,,,-0.28702867,27,0.95581526,-0.42215326,0.9988446,298.0525438785553,0.0053893602,0.55889183,0.64087063,0.01831564,10.968161,38.892773,540,,-0.30888066,
0.18367347,1.5508342e-06,0.95581526,0.3920915,0.0003972345,-0.17279918,,,-0.32339633,28,0.95581526,0.17764005,0.9988446,309.5320734977722,0.011122566,0.5730285,0.95471746,0.01831564,10.978563,38.731876,560,,-0.29420853,
0.8367347,1.4457245e-06,0.95581526,0.38634717,1.1049927,-0.21181317,,,-0.35848764,29,0.95581526,0.8358881,0.9988446,320.94446325302124,14.802634,0.57877284,0.73961616,0.027547687,11.204067,38.76751,580,,-0.32204518,
0.5510204,1.3509492e-06,0.95581526,0.39716023,0.4437119,-0.1942098,,,-0.3923892,30,0.95581526,0.568935,0.9988446,332.3810279369354,13.027647,0.5679598,0.25437993,0.021563897,11.914806,38.859035,600,1.6485205e-37,0.35623384,
-0.3469388,1.2651968e-06,0.95581526,0.4013828,0.00022737762,-0.21633318,,,-0.425179,31,0.95581526,-0.3483324,0.9988446,343.7410304546356,0.007048706,0.5637372,0.4370603,0.01831564,12.442867,38.835693,620,,-0.26639825,
0.10204082,1.1873576e-06,0.95581526,0.38915026,0.00020703147,-0.25187996,,,-0.45692772,32,0.95581526,0.101227194,0.9988446,355.1161313056946,0.006625007,0.57596976,0.95517844,0.01831564,12.452808,38.730606,640,,-0.36984795,
-0.71428573,1.1164868e-06,0.95581526,0.3817705,0.23030844,-0.28615853,,2.0651974e-18,-0.48769936,33,0.95581526,-0.7133466,0.9988446,366.65971159935,4.0662556,0.5833495,0.8195018,0.021563897,12.598427,38.707283,660,,-0.3985869,
-0.26530612,1.051777e-06,0.95581526,0.37083745,3.3996912e-05,-0.3124081,,,-0.5175523,34,0.95581526,-0.27598447,0.9988446,378.1839556694031,0.0011558951,0.59428257,0.95507175,0.01831564,12.608473,38.77116,680,,-0.4136736,
-0.9591837,9.925341e-07,0.95581526,0.36053216,1.0678217,-0.34942484,,7.686349,-0.5465399,35,0.95581526,-1.000307,0.9988446,389.8185043334961,17.85484,0.60458785,0.95496786,0.027547687,12.618628,38.802094,700,,-0.62245274,
0.46938777,9.3815913e-07,0.95581526,0.3507983,1.1363858,-0.35147485,,,-0.37617964,36,0.95581526,0.42886633,0.9988446,401.5489966869354,39.646122,0.6143217,0.95500714,0.021563897,12.628738,38.809807,720,,-0.3534202,
0.020408163,8.881331e-07,0.95581526,0.3533547,5.8163976e-05,-0.3579135,,,-0.4035786,37,0.95581526,-0.008205535,0.9988446,413.1282000541687,0.0021520671,0.6117653,0.51973605,0.01831564,13.074125,38.883694,740,,-0.38039362,
-0.18367347,8.4200434e-07,0.95581526,0.3446353,3.5354092e-06,-0.41964075,,,-0.43024686,38,0.95581526,-0.18448648,0.9988446,424.7956819534302,0.00013434555,0.6204847,0.9431016,0.01831564,13.096142,38.885036,760,1.4249271e-18,-1.7168818,
-0.06122449,7.993782e-07,0.95581526,0.3360961,0.04834492,-0.4486856,,,-0.45622233,39,0.95581526,-0.055436477,0.9988446,436.6131134033203,1.8854519,0.6290239,0.95351535,0.01831564,13.107746,38.949257,780,5.607094e-09,-0.56532377,
-0.877551,7.599088e-07,0.95581526,0.3281548,1.7588733,-0.47693557,,8.4666395,-0.48154014,40,0.95581526,-0.87655383,0.9988446,448.2904818058014,59.97217,0.6369652,0.9466752,0.027547687,13.126192,38.50773,800,,-0.6385041,
-0.63265306,7.2329226e-07,0.95581526,0.32039136,0.17282873,-0.47894892,,4.8165225e-37,-0.31423652,41,0.95581526,-0.60988504,0.9988446,459.92776584625244,5.7684984,0.64472866,0.9552672,0.021563897,13.136044,38.371746,820,6.357103e-27,-0.7269058,
0.75510204,6.8925965e-07,0.95581526,0.31298476,0.9554587,-0.5001098,,,-0.33833405,42,0.95581526,0.7683588,0.9988446,471.6292598247528,21.159359,0.65213525,0.95580477,0.027547687,13.145361,38.394947,840,,-0.5429954,
-0.5510204,6.5757393e-07,0.95581526,0.32079947,0.8743858,-0.4946556,,,-0.36186457,43,0.95581526,-0.5524279,0.9988446,483.1776690483093,33.19131,0.64432055,0.3161038,0.021563897,13.794376,38.424007,860,,-0.08255127,
