DenMISELogLast,IWLastEpisode,LQGmu1_actor,ReturnAbsMax,DenMISELogFirst,ReturnMax,ReturnLastEpisode,LQGmu1_higher,Delta,IWFirstEpisode,ReturnMean,LQGsigma_higher,Regret,IWMean,TimeElapsed,IWMax,Bound,Regret/t,ReturnMin,Iteration,ReturnStepMax,IWMin,DenMISEMeanLog,TimestepsSoFar
-2.550058,,1.0181214,0.90565646,-2.550058,0.90565646,0.90565646,1.0,0.0012158542,,0.90565646,0.01831564,0.05946356,,0.042490243911743164,,34.480537,0.05946356,,1,0.95091164,,-2.550058,20
1.914331,1.1626261e-06,0.92377764,0.90565646,-3.243205,0.90565646,0.005864179,0.9183673,0.00030396355,,0.45576033,0.01831564,1.0187194,5.8131303e-07,11.67747449874878,1.1626261e-06,36.271423,0.5093597,,2,0.95091164,,-0.66443706,40
1.9502646,3.8618673e-05,0.8234829,0.90565646,-3.6486702,0.90565646,0.07637702,0.8367347,0.00013509492,,0.32929924,0.01831564,1.9074624,1.2872891e-05,23.08589506149292,3.8618673e-05,36.555756,0.63582075,,3,0.95091164,,-0.06317973,60
1.4484395,,-0.9929119,0.90565646,-3.9363523,0.90565646,0.1596438,-1.0,7.599089e-05,,0.28688538,0.01831564,2.7129385,,34.614734411239624,,37.086662,0.67823464,,4,0.95091164,,0.09896672,80
1.4099025,,0.96066415,0.91094667,-4.159496,0.91094667,0.91094667,0.9591837,4.8634163e-05,,0.41169763,0.021563897,2.767112,0.2604144,46.233158111572266,1.1392889,37.447186,0.5534224,,5,0.9561426,,0.18263905,100
1.3158793,2.595113e-27,0.7698741,0.91094667,-4.3418174,0.91094667,0.043348722,0.75510204,3.377373e-05,,0.35030615,0.01831564,3.688883,0.0012028517,57.65975856781006,0.00721711,38.10715,0.61481386,,6,0.9561426,,0.25912926,120
0.82886446,,-0.8810423,0.91094667,-4.495968,0.91094667,0.2002306,-0.9183673,2.4813347e-05,,0.32886675,0.01831564,4.453773,0.0002690249,69.32625555992126,0.0018831743,38.083637,0.63625324,,7,0.9561426,,0.20856258,140
-0.97257936,48.29216,-0.8734864,0.9156676,-4.6294994,0.9156676,0.9156676,-0.877551,1.8997722e-05,,0.40221688,0.021563897,4.5032253,6.0365205,81.09717345237732,48.29216,39.704933,0.56290317,,8,0.96063066,,-0.055886477,160
0.7758784,,0.68594223,0.9156676,-4.7472825,0.9156676,0.9150755,0.67346936,1.5010546e-05,,0.4592012,0.01831564,4.5532694,1.3092805e-06,92.90982508659363,1.1783524e-05,38.483593,0.50591886,,9,0.96063066,,0.14862627,180
0.5644087,7.539356e-17,0.85185325,0.9156676,-4.852643,0.9156676,0.25828958,0.877551,1.2158541e-05,,0.43910998,0.021563897,5.2601004,0.11909576,104.66389799118042,0.71783626,38.58901,0.52601004,,10,0.96063066,,0.09538019,200
0.8158216,,-0.8187582,0.9156676,-4.947953,0.9156676,0.13705969,-0.79591835,1.0048381e-05,,0.41165087,0.01831564,6.088161,0.00016283372,116.36421990394592,0.0015615681,38.060287,0.5534692,,11,0.96063066,,0.08473589,220
-0.1083753,,0.5847251,0.9166746,-5.0349646,0.9166746,0.9166746,0.59183675,8.443432e-06,,0.4537362,0.01831564,6.1366057,2.2936233e-06,128.17219066619873,2.752348e-05,38.346947,0.51138383,,12,0.96153754,,-0.011103551,240
0.45624,1.7395864e-20,0.7872499,0.9166746,-5.1150074,0.9166746,0.3194009,0.79591835,7.194403e-06,,0.44340274,0.021563897,6.782325,1.0400937,139.96566605567932,7.2326813,38.250175,0.5217173,,13,0.96153754,,-0.049039457,260
0.47758457,1.0041778e-12,1.0137199,0.9166746,-5.189115,0.9166746,0.18737464,1.0,6.203337e-06,,0.42511502,0.027547687,7.5600705,1.0776033,151.621999502182,11.658979,38.013695,0.54000497,,14,0.96153754,,-0.01989351,280
0.70031327,,-0.9613302,0.9166746,-5.258108,0.9166746,0.0060692127,-0.9591837,5.403797e-06,,0.39717862,0.021563897,8.519121,0.26737204,163.20115113258362,3.9869466,38.163097,0.5679414,,15,0.96153754,,0.018857146,300
0.33780736,,-0.6974726,0.9166746,-5.3226466,0.9166746,0.91221404,-0.71428573,4.7494304e-06,,0.42936832,0.01831564,8.572027,1.7415965e-07,174.9737765789032,2.7865544e-06,38.29757,0.5357517,,16,0.96153754,,-0.0068835914,320
