AvgRet,AvgEpLen,ActionIn1,J,InvPendulum_std1_higher,MinEpLen,StepSize,VarJ,NatGradInftyNorm,TimestepsSoFar,NumTrajectories,InvPendulum_mu2_higher,NatGrad2Norm,InvPendulum_mu1_higher,ReturnMean,InvPendulum_mu3_higher,InvPendulum_std2_higher,InvPendulum_std0_higher,InvPendulum_mu0_higher,ReturnMax,BatchSize,Iteration,InvPendulum_std3_higher
-112.85270437853737,20.25,0.7989546,-112.85270437853737,0.01,10,1.0,0.30012582406537897,0.26007122,2025,100,0.41005367,0.29234192,-0.4217885,-112.85270437853737,-0.06532505,0.01,0.01,0.8060292,-105.1993111700676,100,1,0.01
-127.14182065325842,26.105,0.7855966,-127.14182065325842,0.01,10,1.0,2.612284956944911,0.16824882,5221,200,0.29752988,0.258888,-0.4922065,-119.99726251589789,0.19474617,0.01,0.01,0.7916608,-105.1993111700676,100,2,0.01
-123.77220848063298,27.07,1.0788188,-123.77220848063298,0.01,10,1.0,1.5025903502230387,0.21010277,8121,300,0.45269543,0.22409202,-0.5784015,-121.25557783747628,0.36299497,0.01,0.01,0.876569,-104.56569404485212,100,3,0.01
-123.37215412151872,27.31,1.4169743,-123.37215412151872,0.01,10,1.0,1.9865804555494617,0.17150557,10924,400,0.43706062,0.27578363,-0.5135161,-121.78472190848686,0.5730977,0.01,0.01,0.91681206,-104.56569404485212,100,4,0.01
-131.83116872584225,28.982,0.9184086,-131.83116872584225,0.01,10,1.0,4.548908497328813,0.32617137,14491,500,0.26555505,0.3617037,-0.5079695,-123.79401127195794,0.4409442,0.01,0.01,0.7460867,-104.56569404485212,100,5,0.01
-118.48570143884328,28.178333333333335,1.4324012,-118.48570143884328,0.01,10,1.0,1.2860652933841439,0.12699188,16907,600,0.4150459,0.17121036,-0.18179813,-122.90929296643885,0.4866494,0.01,0.01,0.7437767,-103.40089968270263,100,6,0.01
-122.11610879103804,28.048571428571428,1.5315709,-122.11610879103804,0.01,10,1.0,1.8667919113843972,0.13762361,19634,700,0.4544292,0.15174747,-0.2896638,-122.79598094138159,0.61364126,0.01,0.01,0.7438514,-103.40089968270263,100,7,0.01
-120.64877266280507,27.82875,1.6625848,-120.64877266280507,0.01,10,1.0,1.2891640720301265,0.1454395,22263,800,0.45439094,0.17002673,-0.25095782,-122.52757990655951,0.56276023,0.01,0.01,0.88147503,-103.40089968270263,100,8,0.01
-125.69017172440354,28.07777777777778,1.3932725,-125.69017172440354,0.01,10,1.0,2.4075666299613854,0.15417539,25270,900,0.30895144,0.1750321,-0.31693432,-122.87897899743108,0.5044408,0.01,0.01,0.87993246,-103.40089968270263,100,9,0.01
-121.80765259794163,27.85,1.4708381,-121.80765259794163,0.01,10,1.0,2.0034485434608382,0.19934462,27850,1000,0.23316565,0.24511969,-0.3371312,-122.77184635748213,0.5311762,0.01,0.01,1.0341078,-103.40089968270263,100,10,0.01
-126.53394882311345,28.14909090909091,1.295781,-126.53394882311345,0.01,10,1.0,3.3254985500457908,0.16132031,30964,1100,0.36156487,0.17476587,-0.38238817,-123.11385567253953,0.4886224,0.01,0.01,0.83476317,-103.40089968270263,100,11,0.01
-126.59986970164003,28.39,1.2671835,-126.59986970164003,0.01,10,1.0,3.938820056304254,0.0921785,34068,1200,0.40306193,0.10234657,-0.5437085,-123.40435684163123,0.5319794,0.01,0.01,0.8650457,-103.40089968270263,100,12,0.01
-123.99469139243183,28.413846153846155,1.1608615,-123.99469139243183,0.01,10,1.0,1.6607331404825714,0.1568258,36938,1300,0.42035642,0.25312597,-0.53334457,-123.44976719169281,0.4398009,0.01,0.01,0.8254044,-103.40089968270263,100,13,0.01
-127.68753611796981,28.623571428571427,1.3344809,-127.68753611796981,0.01,10,1.0,3.284794204601699,0.13464743,40073,1400,0.2635306,0.1493645,-0.4092842,-123.7524649721412,0.5681457,0.01,0.01,0.91266876,-103.40089968270263,100,14,0.01
-125.91290367506137,28.668666666666667,1.2644573,-125.91290367506137,0.01,10,1.0,3.2107361847109344,0.17947198,43003,1500,0.12888318,0.2457556,-0.41112056,-123.89649421900253,0.63176244,0.01,0.01,0.9012951,-103.40089968270263,100,15,0.01
-124.21762872362031,28.5975,1.5384142,-124.21762872362031,0.01,10,1.0,2.0466793252809645,0.26360652,45756,1600,0.055654846,0.27610445,-0.38256803,-123.91656512554113,0.78011334,0.01,0.01,1.0807672,-103.40089968270263,100,16,0.01
-127.79529231769433,28.72529411764706,1.2084383,-127.79529231769433,0.01,10,1.0,2.8127625271431924,0.14490716,48833,1700,-0.012962475,0.23669587,-0.64617455,-124.14472554860897,0.81682223,0.01,0.01,1.0545111,-103.40089968270263,100,17,0.01
-123.09724171704482,28.607222222222223,1.1271274,-123.09724171704482,0.01,10,1.0,1.630668541775696,0.24291644,51493,1800,-0.14314502,0.3062854,-0.56656677,-124.08653200241096,0.67191505,0.01,0.01,1.1628714,-103.40089968270263,100,18,0.01
-122.38007644386174,28.47157894736842,1.4436526,-122.38007644386174,0.01,10,1.0,1.6261763324537284,0.15948072,54096,1900,0.022340223,0.18718956,-0.32365033,-123.996718551961,0.5866633,0.01,0.01,1.1750829,-103.40089968270263,100,19,0.01
