AvgRet,AvgEpLen,ActionIn1,J,InvPendulum_std1_higher,MinEpLen,StepSize,VarJ,NatGradInftyNorm,TimestepsSoFar,NumTrajectories,InvPendulum_mu2_higher,NatGrad2Norm,InvPendulum_mu1_higher,ReturnMean,InvPendulum_mu3_higher,InvPendulum_std2_higher,InvPendulum_std0_higher,InvPendulum_mu0_higher,ReturnMax,BatchSize,Iteration,InvPendulum_std3_higher
-122.08927786542763,28.332,1.4318769,-122.08927786542763,0.01,10,1.0,1.5876852180971466,0.07314508,56664,2000,0.107135326,0.11895568,-0.48313105,-123.90134651763435,0.6212772,0.01,0.01,1.2099756,-103.40089968270263,100,20,0.01
-121.203909071282,28.167142857142856,1.5729439,-121.203909071282,0.01,10,1.0,1.6864965052315202,0.26254272,59151,2100,0.054914568,0.37320906,-0.43823722,-123.77289711542707,0.684978,0.01,0.01,1.2831206,-103.40089968270263,100,21,0.01
-118.75103221498362,27.92818181818182,1.6638168,-118.75103221498362,0.01,10,1.0,0.8458389628061519,0.3971714,61442,2200,0.07345346,0.41025087,-0.40185112,-123.54463052904329,0.42289275,0.01,0.01,1.5456634,-103.40089968270263,100,22,0.01
-125.13648406050712,27.965652173913043,1.2930619,-125.13648406050712,0.01,10,1.0,1.6350686823586544,0.14179324,64321,2300,0.16853032,0.16217102,-0.79902256,-123.61384155215042,0.3855058,0.01,0.01,1.5567652,-103.40089968270263,100,23,0.01
-123.09567385816355,27.94125,1.612442,-123.09567385816355,0.01,10,1.0,2.1256659727196596,0.15807432,67059,2400,0.31032354,0.22882868,-0.7391177,-123.59225123156762,0.42388958,0.01,0.01,1.5904136,-103.40089968270263,100,24,0.01
-123.29634158226463,27.9188,1.5692574,-123.29634158226463,0.01,10,1.0,1.6754544328033887,0.3941419,69797,2500,0.26777077,0.45380068,-0.58104336,-123.58041484559551,0.47062147,0.01,0.01,1.4375068,-103.40089968270263,100,25,0.01
-119.31795959394735,27.736538461538462,1.499737,-119.31795959394735,0.01,10,1.0,0.890461266234993,0.21309693,72115,2600,-0.12637115,0.25402188,-0.5622162,-123.41647425899367,0.54570305,0.01,0.01,1.6486832,-103.40089968270263,100,26,0.01
-121.16798089404952,27.635555555555555,1.4884584,-121.16798089404952,0.01,10,1.0,1.4753097955502334,0.1766454,74616,2700,-0.1254297,0.19886324,-0.77531314,-123.3331967269587,0.5932856,0.01,0.01,1.7784978,-103.40089968270263,100,27,0.01
-123.7619926822257,27.63142857142857,1.3565831,-123.7619926822257,0.01,10,1.0,2.217030155918758,0.15443045,77368,2800,-0.1159596,0.20883201,-0.68458986,-123.34851086821823,0.59803885,0.01,0.01,1.6018524,-103.40089968270263,100,28,0.01
-121.35674827423806,27.545172413793104,1.5398835,-121.35674827423806,0.01,10,1.0,1.715744117233014,0.14445862,79881,2900,-0.19140917,0.1773625,-0.73252225,-123.27982939946028,0.7524693,0.01,0.01,1.7103508,-103.40089968270263,100,29,0.01
-123.5486374272425,27.532666666666668,1.3839304,-123.5486374272425,0.01,10,1.0,2.14036332825292,0.3411304,82598,3000,-0.117366225,0.35866717,-0.8769809,-123.28878966705304,0.7119151,0.01,0.01,1.6515106,-103.40089968270263,100,30,0.01
-122.2840735148589,27.476774193548387,1.8702996,-122.2840735148589,0.01,10,1.0,1.5037900093534216,0.22669409,85178,3100,-0.08227885,0.29703805,-0.775176,-123.25637946859514,1.0530455,0.01,0.01,1.6775262,-103.40089968270263,100,31,0.01
-121.60659100074525,27.404375,2.0962415,-121.60659100074525,0.01,10,1.0,1.656036203024353,0.10197459,87694,3200,0.04637927,0.14311945,-0.9175564,-123.20482357897482,1.049007,0.01,0.01,1.9042203,-103.40089968270263,100,32,0.01
-119.48154556101319,27.285454545454545,1.9782591,-119.48154556101319,0.01,10,1.0,1.671325593440698,0.21713428,90042,3300,-0.055595323,0.24189796,-0.8640308,-123.09199697236993,0.9683385,0.01,0.01,1.9309027,-103.40089968270263,100,33,0.01
-122.18845266580729,27.246764705882352,2.2062917,-122.18845266580729,0.01,10,1.0,2.4935419385992446,0.15351488,92639,3400,-0.07727318,0.19188523,-0.9198762,-123.06542213982398,1.0565354,0.01,0.01,2.148037,-103.40089968270263,100,34,0.01
-121.73058426140511,27.19542857142857,2.1682134,-121.73058426140511,0.01,10,1.0,2.1952676155148128,0.22868507,95184,3500,-0.17223127,0.2413555,-0.95536196,-123.0272839147263,1.0019748,0.01,0.01,2.3015518,-103.40089968270263,100,35,0.01
-118.0404270333949,27.056944444444444,2.3856049,-118.0404270333949,0.01,10,1.0,1.0277018627459205,0.11189195,97405,3600,-0.15424371,0.13946904,-0.7266769,-122.88876011246708,1.015943,0.01,0.01,2.227816,-103.40089968270263,100,36,0.01
-119.18441784740666,26.95216216216216,2.116271,-119.18441784740666,0.01,10,1.0,0.8618084884982845,0.21181983,99723,3700,-0.26613566,0.2929585,-0.7538785,-122.78864275395195,0.946887,0.01,0.01,2.1900916,-103.40089968270263,100,37,0.01
-117.26501325802644,26.82,2.0849948,-117.26501325802644,0.01,10,1.0,0.7902671864416368,0.13527778,101916,3800,-0.4779555,0.21630768,-0.71167386,-122.64328408300653,0.87924725,0.01,0.01,2.376104,-103.40089968270263,100,38,0.01
-118.0547616163106,26.71871794871795,2.109509,-118.0547616163106,0.01,10,1.0,1.1680133875413437,0.1898056,104203,3900,-0.5223115,0.19999693,-0.61480516,-122.52562966078357,1.0101591,0.01,0.01,2.2408264,-103.40089968270263,100,39,0.01
-117.49511417840614,26.60175,2.3725352,-117.49511417840614,0.01,10,1.0,0.8107168630284295,0.07495232,106407,4000,-0.48425195,0.1138305,-0.6433103,-122.39986677372413,1.1999648,0.01,0.01,2.282197,-103.40089968270263,100,40,0.01
-115.96191386404011,26.458048780487804,2.2331321,-115.96191386404011,0.01,10,1.0,0.7480132909156595,0.15081355,108478,4100,-0.50652325,0.21083994,-0.7182626,-122.24284353202451,1.1515483,0.01,0.01,2.3492744,-103.24820393856706,100,41,0.01
-118.27957743017996,26.36857142857143,2.2639608,-118.27957743017996,0.01,10,1.0,1.0822929425271492,0.19275625,110748,4200,-0.38681355,0.28871003,-0.86907613,-122.14848005340917,1.0981249,0.01,0.01,2.416537,-103.24820393856706,100,42,0.01
-115.9390801531157,26.244883720930233,2.2114296,-115.9390801531157,0.01,10,1.0,0.8297117314659187,0.19284433,112853,4300,-0.57511526,0.26500383,-0.6763199,-122.00407540456511,1.0172364,0.01,0.01,2.4813292,-102.92174675965201,100,43,0.01
-114.37106790146782,26.096363636363638,2.1991303,-114.37106790146782,0.01,10,1.0,0.531640105760516,0.0680945,114824,4400,-0.6110335,0.09625462,-0.48347557,-121.83059796131293,0.97493416,0.01,0.01,2.308244,-102.92174675965201,100,44,0.01
-115.06570163599594,25.962666666666667,2.1067946,-115.06570163599594,0.01,10,1.0,0.48544675775443225,0.17249984,116832,4500,-0.5999378,0.2351075,-0.55157006,-121.68026693186144,0.9183301,0.01,0.01,2.3443127,-102.92174675965201,100,45,0.01
-113.92985333716642,25.820217391304347,1.9953368,-113.92985333716642,0.01,10,1.0,0.6652261999586797,0.21273269,118773,4600,-0.54307556,0.2654709,-0.44157597,-121.51177967980287,0.74583024,0.01,0.01,2.2433803,-102.92174675965201,100,46,0.01
-116.48746786562464,25.72744680851064,1.943924,-116.48746786562464,0.01,10,1.0,1.1493271608664772,0.24526022,120919,4700,-0.49026048,0.29674244,-0.6543087,-121.40487942843735,0.88073766,0.01,0.01,2.1783407,-102.92174675965201,100,47,0.01
-115.79499954217303,25.633958333333332,1.9817998,-115.79499954217303,0.01,10,1.0,1.1591831889358837,0.23636079,123043,4800,-0.62513345,0.32331458,-0.74988055,-121.28800693080683,0.9047958,0.01,0.01,2.423601,-102.92174675965201,100,48,0.01
-115.27556783067695,25.530408163265307,2.1858594,-115.27556783067695,0.01,10,1.0,0.7607213252157317,0.13763343,125099,4900,-0.81008667,0.2016473,-0.7080953,-121.16530409202868,1.0175443,0.01,0.01,2.6599617,-102.92174675965201,100,49,0.01
-117.01452035247092,25.4682,2.0511227,-117.01452035247092,0.01,10,1.0,1.1909355127635701,0.16132793,127341,5000,-0.6724532,0.23682366,-0.7945422,-121.08228841723754,0.94581974,0.01,0.01,2.5645614,-102.92174675965201,100,50,0.01
