ActionIn1,InvPendulum_std2_higher,ReturnMax,InvPendulum_std1_higher,ReturnMean,NatGrad2Norm,InvPendulum_std0_higher,InvPendulum_std3_higher,VarJ,BatchSize,InvPendulum_mu2_higher,InvPendulum_mu1_higher,AvgEpLen,MinEpLen,NatGradInftyNorm,TimestepsSoFar,InvPendulum_mu3_higher,NumTrajectories,J,Iteration,InvPendulum_mu0_higher,StepSize,AvgRet
0.7731854,0.01,-103.78777491901435,0.01,-114.64348190889272,0.35149348,0.01,0.01,0.3230792063137969,100,0.37639052,-0.4319728,21.431428571428572,10,0.25544015,45006,-0.0008160253,2100,-114.47909424820293,21,0.84141576,0.1,-114.47909424820293
0.81417537,0.01,-103.78777491901435,0.01,-114.6198140811379,0.40186158,0.01,0.01,0.36856022407704514,100,0.37970948,-0.42779636,21.43090909090909,10,0.3892062,47148,-0.02636004,2200,-114.12278969828702,22,0.86496407,0.1,-114.12278969828702
0.73620355,0.01,-103.78777491901435,0.01,-114.6601251041922,0.14728093,0.01,0.01,0.4606328359145271,100,0.38832313,-0.46671697,21.461739130434783,10,0.12278778,49362,-0.03144699,2300,-115.54696761138683,23,0.8647615,0.1,-115.54696761138683
0.8060554,0.01,-103.78777491901435,0.01,-114.6397520580332,0.2116176,0.01,0.01,0.39246484490395106,100,0.4006019,-0.45996475,21.449166666666667,10,0.14807886,51478,-0.030757407,2400,-114.171171996376,24,0.8692426,0.1,-114.171171996376
0.7530272,0.01,-103.78777491901435,0.01,-114.68331863769313,0.41670027,0.01,0.01,0.5316222507541132,100,0.39690182,-0.44582814,21.4876,10,0.36103308,53719,-0.026882872,2500,-115.72891654953149,25,0.8544347,0.1,-115.72891654953149
0.76664555,0.01,-103.78777491901435,0.01,-114.70425789396567,0.25082892,0.01,0.01,0.43166032383325925,100,0.3607985,-0.44339672,21.514230769230767,10,0.218425,55937,-0.017582893,2600,-115.22773930077929,26,0.8728885,0.1,-115.22773930077929
0.78335774,0.01,-103.78777491901435,0.01,-114.84815537824554,0.2041179,0.01,0.01,0.6530790254565427,100,0.35987392,-0.46523923,21.63925925925926,10,0.1754526,58426,-0.012989675,2700,-118.58948996952216,27,0.8842948,0.1,-118.58948996952216
0.7199241,0.01,-103.78777491901435,0.01,-114.90154380896769,0.20092027,0.01,0.01,0.4608440746417919,100,0.36093327,-0.45544827,21.673571428571428,10,0.15079045,60686,-0.009551621,2800,-116.34303143846557,28,0.8667495,0.1,-116.34303143846557
0.7795252,0.01,-103.78777491901435,0.01,-114.93236653929881,0.16335085,0.01,0.01,0.465838217203873,100,0.35332003,-0.45770818,21.689655172413794,10,0.13713862,62900,0.0055274246,2900,-115.79540298857037,29,0.8773911,0.1,-115.79540298857037
0.7758165,0.01,-103.78777491901435,0.01,-115.04632857241036,0.35419798,0.01,0.01,0.6616314114203239,100,0.35905033,-0.47142205,21.788333333333334,10,0.332553,65365,0.00083446456,3000,-118.35122753264437,30,0.87250185,0.1,-118.35122753264437
0.80909115,0.01,-103.78777491901435,0.01,-115.12297733627065,0.2900714,0.01,0.01,0.5536746984939653,100,0.36585495,-0.46133712,21.846129032258066,10,0.21585281,67723,0.034089766,3100,-117.42244025207985,31,0.87330097,0.1,-117.42244025207985
0.8459111,0.01,-103.78777491901435,0.01,-115.19144343088719,0.117619306,0.01,0.01,0.622813106032548,100,0.37934303,-0.47517684,21.8853125,10,0.0759008,70033,0.032667387,3200,-117.31389236400031,32,0.89488626,0.1,-117.31389236400031
0.825167,0.01,-103.78777491901435,0.01,-115.23477527073523,0.22985028,0.01,0.01,0.44365600168711344,100,0.37175295,-0.47107044,21.921515151515152,10,0.19820186,72341,0.02622493,3300,-116.62139414587203,33,0.8996155,0.1,-116.62139414587203
0.85095483,0.01,-103.78777491901435,0.01,-115.31020823175078,0.18607499,0.01,0.01,0.48763703890627674,100,0.3706647,-0.47510314,21.983823529411765,10,0.15091532,74745,0.037088845,3400,-117.79949594526379,34,0.91943574,0.1,-117.79949594526379
0.8430743,0.01,-103.78777491901435,0.01,-115.36123844783022,0.2677523,0.01,0.01,0.6538032150480133,100,0.36082762,-0.47799537,22.01142857142857,10,0.25453952,77040,0.033434812,3500,-117.09626579453113,35,0.9345273,0.1,-117.09626579453113
0.89211285,0.01,-103.78777491901435,0.01,-115.40718023508038,0.13747345,0.01,0.01,0.8420070900525018,100,0.3616072,-0.4525414,22.032777777777778,10,0.11791512,79318,0.03400439,3600,-117.01514278883587,36,0.9262764,0.1,-117.01514278883587
0.8474824,0.01,-103.78777491901435,0.01,-115.4627936311062,0.28746316,0.01,0.01,0.655259152316034,100,0.34981567,-0.45283705,22.07,10,0.20013915,81659,0.02738809,3700,-117.46487588803586,37,0.92380923,0.1,-117.46487588803586
0.86467916,0.01,-103.78777491901435,0.01,-115.51805873838354,0.2162653,0.01,0.01,0.8430862614452832,100,0.32980174,-0.4478138,22.10763157894737,10,0.13582571,84009,0.020733908,3800,-117.56286770764537,38,0.9426847,0.1,-117.56286770764537
0.8453863,0.01,-103.78777491901435,0.01,-115.62025524560156,0.1867134,0.01,0.01,1.1337038386350338,100,0.32526088,-0.43885288,22.18,10,0.17762637,86502,0.034235872,3900,-119.50372251988615,39,0.9291021,0.1,-119.50372251988615
0.8898702,0.01,-103.78777491901435,0.01,-115.69179803437154,0.11810966,0.01,0.01,0.9172024768432462,100,0.33048555,-0.44090927,22.23925,10,0.078497306,88957,0.05199851,4000,-118.48196679640093,40,0.9303598,0.1,-118.48196679640093
0.8200108,0.01,-103.78777491901435,0.01,-115.77584684934935,0.1980947,0.01,0.01,0.772207967384936,100,0.32980588,-0.448759,22.316829268292683,10,0.12972231,91499,0.045536816,4100,-119.13779944846226,41,0.9363318,0.1,-119.13779944846226
0.8691327,0.01,-103.78777491901435,0.01,-115.84540256917523,0.2825003,0.01,0.01,1.121602344768568,100,0.34277812,-0.46116683,22.362380952380953,10,0.18834847,93922,0.039849628,4200,-118.69718708203617,42,0.942483,0.1,-118.69718708203617
0.83251107,0.01,-103.78777491901435,0.01,-115.8883349596452,0.27097684,0.01,0.01,0.8598938505430652,100,0.32444298,-0.44233197,22.397906976744185,10,0.2053573,96311,0.03466135,4300,-117.69149535938406,43,0.95143944,0.1,-117.69149535938406
0.8748139,0.01,-103.78777491901435,0.01,-115.93462559746904,0.09999343,0.01,0.01,0.9023573565321964,100,0.32076854,-0.42179623,22.444772727272728,10,0.07148011,98757,0.030797353,4400,-117.92512302389338,44,0.9345831,0.1,-117.92512302389338
0.8481294,0.01,-103.78777491901435,0.01,-115.9846590514377,0.22531788,0.01,0.01,0.9220761096458031,100,0.3191231,-0.42894423,22.480666666666668,10,0.16420563,101163,0.024702106,4500,-118.18613102605981,45,0.9375887,0.1,-118.18613102605981
0.8336763,0.01,-103.78777491901435,0.01,-115.98922230731056,0.2699809,0.01,0.01,0.8319026944315318,100,0.32435796,-0.41790614,22.477391304347826,10,0.21654302,103396,0.008281542,4600,-116.19456882158867,46,0.92816514,0.1,-116.19456882158867
0.86293423,0.01,-103.78777491901435,0.01,-116.02789467015863,0.29502246,0.01,0.01,0.9689883454615871,100,0.3311881,-0.43956044,22.51468085106383,10,0.24299006,105819,0.020966873,4700,-117.80682336117,47,0.920925,0.1,-117.80682336117
0.86473656,0.01,-103.78777491901435,0.01,-116.05289778962981,0.33909196,0.01,0.01,1.2410693645357598,100,0.31886992,-0.4507106,22.529166666666665,10,0.24296325,108140,0.022935918,4800,-117.22804440477582,48,0.94522405,0.1,-117.22804440477582
0.88490963,0.01,-103.78777491901435,0.01,-116.08231175006743,0.21676463,0.01,0.01,0.7333068270164879,100,0.29924625,-0.44543704,22.544285714285714,10,0.1374456,110467,0.035044752,4900,-117.49418185107263,49,0.9695204,0.1,-117.49418185107263
0.8515028,0.01,-103.78777491901435,0.01,-116.15259980669543,0.22668469,0.01,0.01,0.8991074787627629,100,0.3129908,-0.45592996,22.6028,10,0.15819891,113014,0.028498424,5000,-119.59671458146813,50,0.95820665,0.1,-119.59671458146813
