VarJ,AvgRet,NatGradInftyNorm,ActionIn1,Iteration,NumTrajectories,MinEpLen,StepSize,BatchSize,TimestepsSoFar,InvPendulum_std0_higher,InvPendulum_std1_higher,InvPendulum_mu2_higher,AvgEpLen,ReturnMax,InvPendulum_mu1_higher,ReturnMean,InvPendulum_mu3_higher,InvPendulum_std3_higher,NatGrad2Norm,J,InvPendulum_std2_higher,InvPendulum_mu0_higher
0.22419110523922345,-107.58010927013038,0.08926007,-2.1935003,21,2100,11,1.0,100,130773,0.01,0.01,-0.4150102,62.27285714285714,-46.24181743229214,-0.16412333,-109.23307621526332,-0.8020685,0.01,0.13935973,-107.58010927013038,0.01,-0.8137435
0.3737578137375784,-106.62796118031414,0.21320869,-2.1601815,22,2200,11,1.0,100,133524,0.01,0.01,-0.35574517,60.692727272727275,-46.24181743229214,-0.25169912,-109.11466189549292,-0.818558,0.01,0.21464556,-106.62796118031414,0.01,-0.7244834
1.0080438584183107,-106.18695037536264,0.23433633,-2.414084,23,2300,11,1.0,100,137146,0.01,0.01,-0.37734336,59.62869565217391,-46.24181743229214,-0.46490782,-108.98737009026986,-0.8170464,0.01,0.24125138,-106.18695037536264,0.01,-0.7365668
0.6431759654709862,-100.29795813858362,0.11822659,-2.1809683,24,2400,11,1.0,100,141666,0.01,0.01,-0.14300703,59.0275,-46.24181743229214,-0.51628965,-108.6253112589496,-0.79158103,0.01,0.15088797,-100.29795813858362,0.01,-0.7362017
0.3732965045887581,-101.05421489858465,0.0930426,-2.1579177,25,2500,11,1.0,100,146305,0.01,0.01,-0.087857455,58.522,-46.24181743229214,-0.5846173,-108.32246740453499,-0.67335445,0.01,0.12595937,-101.05421489858465,0.01,-0.7690576
0.32716721106027885,-100.21396849496792,0.06356253,-1.8753288,26,2600,11,1.0,100,150963,0.01,0.01,-0.0334696,58.06269230769231,-46.24181743229214,-0.5268624,-108.01060206185934,-0.6431027,0.01,0.08418828,-100.21396849496792,0.01,-0.67601496
0.5260941717123848,-100.36938181399707,0.2985756,-1.9368191,27,2700,11,1.0,100,155666,0.01,0.01,-0.09703213,57.654074074074074,-46.24181743229214,-0.4839105,-107.72759390453109,-0.6646386,0.01,0.33674574,-100.36938181399707,0.01,-0.70319605
7.178422413654749,-107.08737863454752,0.21985984,-1.4348267,28,2800,11,1.0,100,173395,0.01,0.01,0.044262886,61.926785714285714,50.87322991642307,-0.43058074,-107.70472907346027,-0.36606297,0.01,0.22682562,-107.08737863454752,0.01,-0.66522294
2.2999217831390535,-104.0194875501164,0.23697565,-1.1500112,29,2900,11,1.0,100,180548,0.01,0.01,0.09423661,62.25793103448276,50.87322991642307,-0.43964693,-107.57765177955184,-0.38912684,0.01,0.26746574,-104.0194875501164,0.01,-0.4453631
3.6148097798782834,-126.57884340728417,0.21409896,-1.2963936,30,3000,11,1.0,100,195967,0.01,0.01,0.18823612,65.32233333333333,50.87322991642307,-0.4863249,-108.2110248338096,-0.3230533,0.01,0.25255123,-126.57884340728417,0.01,-0.6823388
