InvPendulum_std0_higher,InvPendulum_std2_higher,ActionIn1,J,NumTrajectories,InvPendulum_mu2_higher,BatchSize,MinEpLen,InvPendulum_mu0_higher,Iteration,VarJ,InvPendulum_std1_higher,AvgRet,NatGrad2Norm,ReturnMax,InvPendulum_mu1_higher,InvPendulum_mu3_higher,NatGradInftyNorm,InvPendulum_std3_higher,ReturnMean,TimestepsSoFar,StepSize,AvgEpLen
0.01,0.01,-0.1619556,-119.4091861718913,100,0.561099,100,16,0.278299,1,0.24279141521286526,0.01,-119.4091861718913,0.12544465,-108.18545643480361,-0.74013203,-0.24478999,0.1060355,0.01,-119.4091861718913,2777,0.01,27.77
0.01,0.01,-0.09047541,-119.32644683652677,200,0.5606671,100,15,0.2785898,2,0.284002019257597,0.01,-119.32644683652677,0.1653551,-108.18545643480361,-0.73907167,-0.24521215,0.12352441,0.01,-119.36781650420905,5582,0.01,27.91
0.01,0.01,-0.14212179,-119.35386772323311,300,0.55943185,100,15,0.2784281,3,0.22526391704302753,0.01,-119.35386772323311,0.27022797,-105.6342634501147,-0.74012166,-0.24492975,0.1938043,0.01,-119.3631669105504,8377,0.01,27.923333333333332
0.01,0.01,-0.120265484,-119.49661400059809,400,0.56036425,100,15,0.2776315,4,0.20595928515788184,0.01,-119.49661400059809,0.29110962,-105.6342634501147,-0.7386926,-0.2429917,0.24870124,0.01,-119.39652868306231,11202,0.01,28.005
0.01,0.01,-0.14441933,-120.15231497743545,500,0.5589014,100,15,0.2778832,5,0.2807191548213151,0.01,-120.15231497743545,0.23802212,-105.6342634501147,-0.7362056,-0.24328513,0.20354116,0.01,-119.54768594193696,14225,0.01,28.45
0.01,0.01,-0.15064956,-119.80145787905278,600,0.5588348,100,15,0.27754962,6,0.22316904758681907,0.01,-119.80145787905278,0.1747495,-105.6342634501147,-0.738241,-0.24209903,0.13274843,0.01,-119.58998126478959,17078,0.01,28.463333333333335
0.01,0.01,-0.15112571,-119.86187468070803,700,0.5577952,100,15,0.2788771,7,0.2447902334032352,0.01,-119.86187468070803,0.26908317,-105.6342634501147,-0.73804677,-0.24168302,0.24911946,0.01,-119.62882318134938,19976,0.01,28.537142857142857
0.01,0.01,-0.13788374,-119.1810707700748,800,0.55786264,100,15,0.27983478,8,0.1929738970157226,0.01,-119.1810707700748,0.24435453,-105.58236096209717,-0.73771083,-0.24417421,0.19646265,0.01,-119.57285412994004,22859,0.01,28.57375
0.01,0.01,-0.13519116,-119.96301549226207,900,0.55756694,100,15,0.27966782,9,0.2475449613375239,0.01,-119.96301549226207,0.25840354,-105.58236096209717,-0.7357462,-0.24558695,0.17175272,0.01,-119.61620539242027,25734,0.01,28.593333333333334
0.01,0.01,-0.16604763,-119.25004656404136,1000,0.5572334,100,15,0.28099674,10,0.26171753393354624,0.01,-119.25004656404136,0.15793496,-105.58236096209717,-0.7374637,-0.24694711,0.09288496,0.01,-119.57958950958238,28659,0.01,28.659
0.01,0.01,-0.18391222,-118.8069037317602,1100,0.5563339,100,15,0.2819256,11,0.2611871782295475,0.01,-118.8069037317602,0.15084748,-105.58236096209717,-0.73832655,-0.2472263,0.10138813,0.01,-119.50934534796217,31389,0.01,28.535454545454545
0.01,0.01,-0.12925313,-118.7320448557624,1200,0.5560153,100,15,0.2809117,12,0.26234167329792263,0.01,-118.7320448557624,0.19802034,-105.58236096209717,-0.7387496,-0.2462429,0.15137677,0.01,-119.44457030694554,34318,0.01,28.598333333333333
0.01,0.01,-0.18848813,-119.43505541845083,1300,0.55450153,100,15,0.2813292,13,0.24478005109736375,0.01,-119.43505541845083,0.19387752,-105.58236096209717,-0.7375907,-0.24590799,0.12939115,0.01,-119.44383839244594,37196,0.01,28.61230769230769
0.01,0.01,-0.13011059,-119.54416233574747,1400,0.5549697,100,15,0.28003532,14,0.27315828304618384,0.01,-119.54416233574747,0.13008788,-105.58236096209717,-0.7369499,-0.24470182,0.10011162,0.01,-119.45100438839606,40073,0.01,28.623571428571427
0.01,0.01,-0.15658382,-119.57997938435238,1500,0.55435437,100,15,0.28038242,15,0.24942456852553652,0.01,-119.57997938435238,0.21739419,-105.58236096209717,-0.7373868,-0.24570294,0.14903794,0.01,-119.45960272145982,42939,0.01,28.626
0.01,0.01,-0.14739844,-119.90607452931721,1600,0.5538915,100,15,0.28181303,16,0.2044553574508862,0.01,-119.90607452931721,0.27800417,-105.58236096209717,-0.7388772,-0.24520904,0.18856947,0.01,-119.48750720945088,45753,0.01,28.595625
0.01,0.01,-0.12890553,-119.61878465451665,1700,0.5547701,100,15,0.2836987,17,0.2511695810369253,0.01,-119.61878465451665,0.38217795,-105.58236096209717,-0.7402524,-0.24643773,0.2626004,0.01,-119.49522941210182,48656,0.01,28.621176470588235
0.01,0.01,-0.13286254,-119.42042750007384,1800,0.5536437,100,15,0.28509519,18,0.23616641378368702,0.01,-119.42042750007384,0.3166531,-105.58236096209717,-0.7376264,-0.24855697,0.28205234,0.01,-119.49107375032249,51500,0.01,28.61111111111111
0.01,0.01,-0.16536516,-120.21448695331279,1900,0.55082315,100,15,0.2864026,19,0.2305515738831344,0.01,-120.21448695331279,0.13162819,-105.58236096209717,-0.7375471,-0.24915358,0.09617895,0.01,-119.52914812942724,54445,0.01,28.655263157894737
0.01,0.01,-0.17478347,-119.03915901973342,2000,0.5513786,100,15,0.28570813,20,0.21143605675593385,0.01,-119.03915901973342,0.35628703,-105.58236096209717,-0.7376763,-0.24819179,0.23133035,0.01,-119.50464867394254,57259,0.01,28.6295
0.01,0.01,-0.14780934,-118.98133811013436,2100,0.55331236,100,15,0.2875493,21,0.1957806402542631,0.01,-118.98133811013436,0.15124752,-105.58236096209717,-0.7372144,-0.24587849,0.12278394,0.01,-119.47972912328501,60033,0.01,28.587142857142858
0.01,0.01,-0.14863205,-119.46559451905081,2200,0.55278176,100,15,0.2877764,22,0.2648457850489352,0.01,-119.46559451905081,0.12628174,-105.58236096209717,-0.7365459,-0.24710633,0.09472496,0.01,-119.47908664127436,62962,0.01,28.619090909090907
0.01,0.01,-0.13216618,-119.00604377734895,2300,0.55255854,100,15,0.28714925,23,0.2043990181829149,0.01,-119.00604377734895,0.20970266,-105.58236096209717,-0.7355987,-0.24660207,0.13076153,0.01,-119.45851956023415,65874,0.01,28.64086956521739
0.01,0.01,-0.17127906,-119.02366409912408,2400,0.55386615,100,15,0.2863555,24,0.21495432267884126,0.01,-119.02366409912408,0.17543663,-105.58236096209717,-0.7347472,-0.2454477,0.11643431,0.01,-119.44040058268787,68661,0.01,28.60875
0.01,0.01,-0.15026698,-118.54854452476559,2500,0.5532246,100,15,0.28723386,25,0.20104501691269416,0.01,-118.54854452476559,0.21746314,-103.33804236188122,-0.73358285,-0.2447135,0.12657963,0.01,-119.40472634037097,71521,0.01,28.6084
0.01,0.01,-0.12002373,-120.46686851826955,2600,0.5519588,100,15,0.2882857,26,0.27295440830307305,0.01,-120.46686851826955,0.28500143,-103.33804236188122,-0.734237,-0.24345157,0.250581,0.01,-119.44557796259787,74396,0.01,28.613846153846154
0.01,0.01,-0.112893224,-118.77214207354584,2700,0.5515103,100,15,0.28951293,27,0.21904340889449464,0.01,-118.77214207354584,0.18198341,-103.33804236188122,-0.73460615,-0.24094576,0.11766121,0.01,-119.42063589263297,77285,0.01,28.624074074074073
0.01,0.01,-0.1390696,-120.46207427813384,2800,0.5503337,100,15,0.28862435,28,0.2945460236790369,0.01,-120.46207427813384,0.25785282,-103.33804236188122,-0.73354405,-0.2408472,0.18958855,0.01,-119.45783012068658,80216,0.01,28.64857142857143
0.01,0.01,-0.141851,-119.09417256863655,2900,0.55042124,100,15,0.28672847,29,0.20347827766781149,0.01,-119.09417256863655,0.23203476,-103.33804236188122,-0.7319112,-0.24023035,0.2116745,0.01,-119.44529020509866,83022,0.01,28.628275862068964
0.01,0.01,-0.11541751,-119.93896961749414,3000,0.5498625,100,15,0.28600985,30,0.20301808843931984,0.01,-119.93896961749414,0.16927354,-103.33804236188122,-0.7316377,-0.24234709,0.11086053,0.01,-119.46174618551184,85885,0.01,28.628333333333334
0.01,0.01,-0.11775565,-120.00564179952958,3100,0.5507703,100,15,0.285592,31,0.2671779998048914,0.01,-120.00564179952958,0.27775797,-103.33804236188122,-0.73243624,-0.24123849,0.17902945,0.01,-119.47929120531884,88727,0.01,28.621612903225806
0.01,0.01,-0.14146855,-118.62201453275297,3200,0.5521636,100,15,0.28568006,32,0.24619463474893455,0.01,-118.62201453275297,0.08697927,-103.33804236188122,-0.73083603,-0.24302879,0.06286808,0.01,-119.45250130930116,91574,0.01,28.616875
0.01,0.01,-0.1328828,-119.26413383737628,3300,0.5522046,100,15,0.28590778,33,0.24008885870157848,0.01,-119.26413383737628,0.2289996,-103.33804236188122,-0.7313908,-0.24240011,0.21626112,0.01,-119.44679320409132,94454,0.01,28.62242424242424
0.01,0.01,-0.0966662,-119.01580790233065,3400,0.55436724,100,15,0.28631628,34,0.24213061475430384,0.01,-119.01580790233065,0.19209425,-103.33804236188122,-0.73075855,-0.24237569,0.12657537,0.01,-119.43411716580425,97233,0.01,28.597941176470588
0.01,0.01,-0.16303378,-119.2791226441571,3500,0.5536611,100,15,0.28758204,35,0.19035204382127305,0.01,-119.2791226441571,0.13808164,-103.33804236188122,-0.731362,-0.24126886,0.10848339,0.01,-119.42968875090004,100004,0.01,28.57257142857143
0.01,0.01,-0.12825087,-118.85265013279201,3600,0.5547459,100,15,0.28701338,36,0.2514979889936048,0.01,-118.85265013279201,0.45134553,-103.33804236188122,-0.7311992,-0.24065249,0.36216167,0.01,-119.41365990039705,102848,0.01,28.56888888888889
0.01,0.01,-0.14536503,-119.49623544139837,3700,0.55358696,100,15,0.28878084,37,0.25581614988907253,0.01,-119.49623544139837,0.26128542,-103.33804236188122,-0.72757757,-0.24232227,0.23559822,0.01,-119.41589167177546,105620,0.01,28.545945945945945
0.01,0.01,-0.10525265,-119.13877741728021,3800,0.55594295,100,15,0.28931683,38,0.21476279215669597,0.01,-119.13877741728021,0.23145162,-103.33804236188122,-0.72742826,-0.24133903,0.20016867,0.01,-119.408599191394,108449,0.01,28.539210526315788
0.01,0.01,-0.1402145,-119.30825909104902,3900,0.5565769,100,15,0.288507,39,0.2497107120816421,0.01,-119.30825909104902,0.16561297,-103.33804236188122,-0.72542655,-0.24079816,0.13116892,0.01,-119.40602636830822,111243,0.01,28.523846153846154
0.01,0.01,-0.10538767,-118.9721434682685,4000,0.55675495,100,15,0.28948203,40,0.281891179644569,0.01,-118.9721434682685,0.45966792,-103.33804236188122,-0.7252268,-0.24210985,0.41223234,0.01,-119.39517929580724,114025,0.01,28.50625
0.01,0.01,-0.090791285,-119.39912973696497,4100,0.55649555,100,15,0.2897978,41,0.1971195949930586,0.01,-119.39912973696497,0.32882887,-103.33804236188122,-0.72721905,-0.24623217,0.24622753,0.01,-119.39527564803059,116866,0.01,28.50390243902439
0.01,0.01,-0.15742454,-119.72795669291139,4200,0.555253,100,15,0.29002988,42,0.2572256296940708,0.01,-119.72795669291139,0.42489028,-103.33804236188122,-0.72899455,-0.24376988,0.26442686,0.01,-119.40319662528967,119730,0.01,28.507142857142856
0.01,0.01,-0.14545932,-118.66673372474779,4300,0.55761045,100,15,0.29267415,43,0.23643936808507943,0.01,-118.66673372474779,0.2231416,-103.33804236188122,-0.7313398,-0.24371284,0.14093325,0.01,-119.38606958109102,122515,0.01,28.49186046511628
0.01,0.01,-0.07886502,-119.43775331795757,4400,0.5590198,100,15,0.29398888,44,0.23642235493011587,0.01,-119.43775331795757,0.18514438,-103.33804236188122,-0.73055816,-0.24290442,0.11663296,0.01,-119.38724421147434,125271,0.01,28.470681818181816
0.01,0.01,-0.11242688,-118.090435746852,4500,0.5579446,100,15,0.29515523,45,0.2366937563366309,0.01,-118.090435746852,0.40397948,-103.33804236188122,-0.72962046,-0.24308367,0.2705385,0.01,-119.35842624559383,128119,0.01,28.47088888888889
0.01,0.01,-0.1073197,-118.96496628884523,4600,0.56019425,100,15,0.29374313,46,0.31928815086258544,0.01,-118.96496628884523,0.123838015,-103.33804236188122,-0.73232585,-0.24168868,0.073579125,0.01,-119.34987276827324,130902,0.01,28.45695652173913
0.01,0.01,-0.1254365,-119.36161953149684,4700,0.5601485,100,15,0.29306328,47,0.19282876765525456,0.01,-119.36161953149684,0.1267535,-103.33804236188122,-0.73305243,-0.2409529,0.11867078,0.01,-119.35012269940565,133595,0.01,28.424468085106383
0.01,0.01,-0.0562243,-119.22497107962953,4800,0.5602173,100,15,0.29424998,48,0.2506797675421259,0.01,-119.22497107962953,0.15998225,-103.33804236188122,-0.7327658,-0.24061903,0.121982224,0.01,-119.34751537399364,136293,0.01,28.394375
0.01,0.01,-0.1467182,-119.2007401548702,4900,0.5589975,100,15,0.2936319,49,0.19780416499554776,0.01,-119.2007401548702,0.31766388,-103.33804236188122,-0.73312044,-0.23986822,0.21156731,0.01,-119.34451996135849,139109,0.01,28.389591836734695
0.01,0.01,-0.10956493,-118.96247594436036,5000,0.5607636,100,15,0.29151624,50,0.29701156333765594,0.01,-118.96247594436036,0.16242687,-103.33804236188122,-0.7320136,-0.2409955,0.12591784,0.01,-119.33687908101851,141930,0.01,28.386
