J,BatchSize,VarJ,InvPendulum_mu2_higher,NatGradInftyNorm,AvgEpLen,NatGrad2Norm,NumTrajectories,ActionIn1,InvPendulum_mu1_higher,StepSize,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_std3_higher,InvPendulum_std0_higher,ReturnMean,InvPendulum_std1_higher,InvPendulum_std2_higher,InvPendulum_mu3_higher,MinEpLen,AvgRet,Iteration,ReturnMax
-119.4091861718913,100,0.24279141521286526,0.561099,0.1060355,27.77,0.12544465,100,-0.1619556,-0.74013203,0.0001,0.278299,2777,0.01,0.01,-119.4091861718913,0.01,0.01,-0.24478999,16,-119.4091861718913,1,-108.18545643480361
-119.46616056118968,100,0.28281330386344394,0.5610947,0.1327396,27.985,0.16672312,200,-0.09096748,-0.7401214,0.0001,0.27830192,5597,0.01,0.01,-119.4376733665405,0.01,0.01,-0.2447942,16,-119.46616056118968,2,-107.62057723250305
-120.35597500281055,100,0.24141354881116212,0.5610814,0.19503412,28.273333333333333,0.28473634,300,-0.14047064,-0.7401313,0.0001,0.27830178,8482,0.01,0.01,-119.74377391196384,0.01,0.01,-0.2447922,15,-120.35597500281055,3,-107.62057723250305
-119.23544175084571,100,0.2770322745688485,0.5610917,0.2550063,28.465,0.30397958,400,-0.12208015,-0.74011546,0.0001,0.27829322,11386,0.01,0.01,-119.6166908716843,0.01,0.01,-0.24477269,15,-119.23544175084571,4,-107.62057723250305
-119.06704342219484,100,0.25207045213286944,0.5610759,0.19350225,28.542,0.22602355,500,-0.14720593,-0.74008995,0.0001,0.27829704,14271,0.01,0.01,-119.5067613817864,0.01,0.01,-0.2447757,14,-119.06704342219484,5,-107.62057723250305
-119.38791567191902,100,0.27255149718127997,0.56107527,0.1331683,28.616666666666667,0.18051761,600,-0.15219802,-0.7401093,0.0001,0.27829432,17170,0.01,0.01,-119.48695376347517,0.01,0.01,-0.24476436,14,-119.38791567191902,6,-107.62057723250305
-118.40594900735918,100,0.1921591388305085,0.56106424,0.2535125,28.478571428571428,0.27177817,700,-0.15356353,-0.7401077,0.0001,0.27830765,19935,0.01,0.01,-119.33252451260145,0.01,0.01,-0.24475944,14,-118.40594900735918,7,-107.62057723250305
-120.06731536042179,100,0.2287663794849742,0.5610642,0.21110335,28.5425,0.25579432,800,-0.13920489,-0.74010533,0.0001,0.27831715,22834,0.01,0.01,-119.424373368579,0.01,0.01,-0.24478479,14,-120.06731536042179,8,-107.62057723250305
-119.85635934201463,100,0.22112660260520112,0.5610612,0.16611502,28.573333333333334,0.25890657,900,-0.13659926,-0.74008423,0.0001,0.27831534,25716,0.01,0.01,-119.47237181007186,0.01,0.01,-0.2447988,14,-119.85635934201463,9,-107.62057723250305
-119.44824747110425,100,0.22967098220374982,0.56105745,0.09723506,28.583,0.16083999,1000,-0.16539446,-0.74010086,0.0001,0.2783288,28583,0.01,0.01,-119.4699593761751,0.01,0.01,-0.2448129,14,-119.44824747110425,10,-107.62057723250305
-119.49310318537032,100,0.2529041326652483,0.5610484,0.112491466,28.576363636363638,0.15792091,1100,-0.18215741,-0.7401094,0.0001,0.27833852,31434,0.01,0.01,-119.4720633588292,0.01,0.01,-0.24481608,14,-119.49310318537032,11,-107.62057723250305
-118.54246672515391,100,0.24827670610078445,0.5610449,0.13507523,28.4825,0.19191685,1200,-0.12673546,-0.74011356,0.0001,0.2783273,34179,0.01,0.01,-119.39459697268961,0.01,0.01,-0.24480642,14,-118.54246672515391,12,-107.62057723250305
