InvPendulum_std3_higher,TimestepsSoFar,StepSize,InvPendulum_std0_higher,InvPendulum_std1_higher,NatGrad2Norm,NumTrajectories,VarJ,ReturnMean,InvPendulum_mu2_higher,BatchSize,InvPendulum_std2_higher,InvPendulum_mu0_higher,MinEpLen,ActionIn1,InvPendulum_mu3_higher,NatGradInftyNorm,ReturnMax,AvgEpLen,J,Iteration,InvPendulum_mu1_higher,AvgRet
0.01,83559,0.0001,0.01,0.01,0.23521043,2000,0.617448925948794,-102.15097807798409,-0.106482126,100,0.01,-0.3573032,11,-1.7294254,-0.807578,0.16238904,-59.93635733478327,41.7795,-101.62646154659116,20,-0.45706475,-101.62646154659116
0.01,87651,0.0001,0.01,0.01,0.2164078,2100,0.5221139433842661,-102.20426074666038,-0.10649837,100,0.01,-0.35731682,11,-1.7401989,-0.807588,0.16261534,-59.93635733478327,41.738571428571426,-103.26991412018612,21,-0.45706683,-103.26991412018612
0.01,91645,0.0001,0.01,0.01,0.079914935,2200,0.5031460716413344,-102.21140222744903,-0.106504455,100,0.01,-0.3573331,11,-1.7101011,-0.8075793,0.058974806,-59.93635733478327,41.65681818181818,-102.36137332401057,22,-0.4570573,-102.36137332401057
0.01,95659,0.0001,0.01,0.01,0.15173909,2300,0.6934059966472124,-102.21829437414118,-0.106509835,100,0.01,-0.35733345,11,-1.7046416,-0.8075734,0.12054623,-59.93635733478327,41.59086956521739,-102.36992160136877,23,-0.45705748,-102.36992160136877
0.01,99464,0.0001,0.01,0.01,0.29567522,2400,0.6017701534814602,-102.23174354366293,-0.10652189,100,0.01,-0.35732743,11,-1.7403481,-0.80757606,0.20738381,-59.93635733478327,41.443333333333335,-102.54107444266324,24,-0.457051,-102.54107444266324
0.01,103692,0.0001,0.01,0.01,0.11513821,2500,0.825986739419702,-102.14562278759247,-0.106501155,100,0.01,-0.35732448,11,-1.7212231,-0.80756885,0.104145974,-51.17910210240289,41.4768,-100.07872464190125,25,-0.45703143,-100.07872464190125
0.01,107964,0.0001,0.01,0.01,0.16039626,2600,0.9283224743248009,-102.09387574942487,-0.10650303,100,0.01,-0.35733488,11,-1.7355046,-0.8075696,0.11382731,-51.17910210240289,41.52461538461539,-100.80019979523492,26,-0.4570359,-100.80019979523492
0.01,112006,0.0001,0.01,0.01,0.25256014,2700,0.6367146638916364,-102.1023395248907,-0.106496766,100,0.01,-0.35733035,11,-1.731543,-0.80755824,0.19347644,-51.17910210240289,41.4837037037037,-102.32239768700154,27,-0.45704415,-102.32239768700154
0.01,115803,0.0001,0.01,0.01,0.25456157,2800,0.7044246759466515,-102.11329250794016,-0.10649956,100,0.01,-0.357311,11,-1.7549423,-0.80757105,0.15122779,-51.17910210240289,41.35821428571428,-102.40902305027605,28,-0.45705372,-102.40902305027605
0.01,119840,0.0001,0.01,0.01,0.40790465,2900,0.48169902579341334,-102.08865687631997,-0.1064899,100,0.01,-0.3573248,11,-1.7462375,-0.8075559,0.27263492,-51.17910210240289,41.324137931034485,-101.39885919095515,29,-0.45704207,-101.39885919095515
0.01,123843,0.0001,0.01,0.01,0.31727612,3000,0.6008310895881133,-102.07264899010416,-0.10649903,100,0.01,-0.35729763,11,-1.6998315,-0.807546,0.19164823,-51.17910210240289,41.281,-101.60842028984499,30,-0.4570148,-101.60842028984499
0.01,128305,0.0001,0.01,0.01,0.19663581,3100,0.8101892179056542,-102.06298858017263,-0.10647995,100,0.01,-0.35731095,11,-1.7441428,-0.8075268,0.19531721,-51.17910210240289,41.38870967741936,-101.77317628222653,31,-0.4570247,-101.77317628222653
0.01,132291,0.0001,0.01,0.01,0.46336383,3200,0.33923578331603543,-102.07204082511882,-0.10647907,100,0.01,-0.35730937,11,-1.7153261,-0.8075464,0.3593571,-51.17910210240289,41.3409375,-102.3526604184513,32,-0.45702606,-102.3526604184513
0.01,136490,0.0001,0.01,0.01,0.08047076,3300,0.4513841270168239,-102.06839073253725,-0.106483184,100,0.01,-0.35727343,11,-1.7406895,-0.80754423,0.074586146,-51.17910210240289,41.36060606060606,-101.95158776992713,33,-0.45705494,-101.95158776992713
0.01,140844,0.0001,0.01,0.01,0.24670437,3400,0.7604887980839363,-102.06732062502059,-0.106482945,100,0.01,-0.3572739,11,-1.7279874,-0.8075517,0.14946741,-51.17910210240289,41.42470588235294,-102.03200707697131,34,-0.45705196,-102.03200707697131
0.01,144790,0.0001,0.01,0.01,0.18134072,3500,0.5204234644577977,-102.0745665591157,-0.106497824,100,0.01,-0.3572861,11,-1.7459457,-0.8075367,0.12632442,-51.17910210240289,41.36857142857143,-102.32092831834876,35,-0.45704806,-102.32092831834876
0.01,148991,0.0001,0.01,0.01,0.16392253,3600,0.5488770002819986,-102.05928115485817,-0.10650609,100,0.01,-0.35728097,11,-1.7285311,-0.8075281,0.14581868,-51.17910210240289,41.38638888888889,-101.52429200584454,36,-0.45703542,-101.52429200584454
