ActionIn1,AvgEpLen,TimestepsSoFar,MinEpLen,ReturnMax,NatGrad2Norm,J,InvPendulum_std0_higher,InvPendulum_std2_higher,ReturnMean,NumTrajectories,VarJ,StepSize,InvPendulum_std3_higher,InvPendulum_mu0_higher,AvgRet,InvPendulum_mu1_higher,Iteration,NatGradInftyNorm,BatchSize,InvPendulum_mu2_higher,InvPendulum_std1_higher,InvPendulum_mu3_higher
-1.1124316,70.33,7033,22,-111.54714944845783,0.28190935,-159.65418683822202,0.01,0.01,-159.65418683822202,100,1.7814225106320816,1.0,0.01,-0.22476089,-159.65418683822202,-0.85142165,1,0.23142505,100,-0.3480244,0.01,0.32162514
-1.6143143,60.055,12011,19,-109.2226497862481,0.18128906,-136.46760465937226,0.01,0.01,-148.06089574879715,200,0.6004759813469603,1.0,0.01,-0.3260157,-136.46760465937226,-0.94683456,2,0.13372532,100,-0.5794494,0.01,0.24063651
-1.9274567,55.70666666666666,16712,19,-109.2226497862481,0.22456867,-132.94632946170555,0.01,0.01,-143.0227069864333,300,0.4808271018461581,1.0,0.01,-0.3692228,-132.94632946170555,-1.0805598,3,0.20274556,100,-0.69010204,0.01,0.21109995
-2.119626,48.795,19518,16,-108.8103635594643,0.29546663,-118.89413466467516,0.01,0.01,-136.99056390599378,400,0.2279197286301175,1.0,0.01,-0.28876686,-118.89413466467516,-1.1255766,4,0.18888576,100,-0.8928476,0.01,0.18236572
-2.2158642,43.934,21967,12,-103.78678671164299,0.35832718,-117.275697521455,0.01,0.01,-133.04759062908602,500,0.2086833490821151,1.0,0.01,-0.22151598,-117.275697521455,-1.2706599,5,0.2813376,100,-1.0817333,0.01,0.34376842
-2.169578,40.06166666666667,24037,12,-103.78678671164299,0.33779824,-112.1777619151713,0.01,0.01,-129.56928584343356,600,0.11466640839448687,1.0,0.01,-0.2727566,-112.1777619151713,-0.9893223,6,0.2787477,100,-1.0430568,0.01,0.13133946
-1.6264677,36.88857142857143,25822,12,-103.78678671164299,0.31054845,-109.39789090664345,0.01,0.01,-126.68765799532069,700,0.08727145071339615,1.0,0.01,-0.09740901,-109.39789090664345,-0.7105746,7,0.20313147,100,-1.0250727,0.01,0.20439523
-1.9108627,34.8325,27866,11,-103.78678671164299,0.30582336,-112.1320672904459,0.01,0.01,-124.86820915721135,800,0.1014745546432772,1.0,0.01,-0.29645514,-112.1320672904459,-0.91370606,8,0.23987952,100,-1.0504979,0.01,0.3265105
-2.3424232,33.25,29925,11,-103.78678671164299,0.14227705,-111.7981812180222,0.01,0.01,-123.41598383063479,900,0.16810267199141454,1.0,0.01,-0.53633463,-111.7981812180222,-0.88712853,9,0.11694091,100,-1.0810258,0.01,0.14117992
-2.1793041,31.909,31909,11,-103.78678671164299,0.18978484,-111.00837614075284,0.01,0.01,-122.17522306164659,1000,0.1397775470853413,1.0,0.01,-0.41939372,-111.00837614075284,-0.8836893,10,0.1828987,100,-1.120671,0.01,0.21177748
-1.950397,30.80727272727273,33888,11,-103.6198708391633,0.16805544,-112.19208392852389,0.01,0.01,-121.26766495863542,1100,0.1218050542030368,1.0,0.01,-0.39029846,-112.19208392852389,-0.87378347,11,0.14862677,100,-1.0804008,0.01,0.39467618
-2.1752481,29.819166666666668,35783,11,-102.34473205219214,0.08277626,-111.3576253538833,0.01,0.01,-120.4418283249061,1200,0.14490357412723406,1.0,0.01,-0.46557346,-111.3576253538833,-0.8695302,12,0.05713792,100,-1.1020411,0.01,0.2460494
-2.3347046,28.953846153846154,37640,11,-102.34473205219214,0.17253469,-110.07489572894173,0.01,0.01,-119.64437197137035,1300,0.0903588351593746,1.0,0.01,-0.47479418,-110.07489572894173,-0.892811,13,0.11747174,100,-1.1564484,0.01,0.18891148
