NatGradInftyNorm,InvPendulum_std2_higher,InvPendulum_std0_higher,AvgEpLen,ReturnMean,InvPendulum_mu2_higher,TimestepsSoFar,MinEpLen,StepSize,InvPendulum_std1_higher,InvPendulum_std3_higher,NumTrajectories,Iteration,AvgRet,VarJ,InvPendulum_mu1_higher,NatGrad2Norm,InvPendulum_mu3_higher,ActionIn1,ReturnMax,J,BatchSize,InvPendulum_mu0_higher
0.1060355,0.01,0.01,27.77,-119.4091861718913,0.561099,2777,16,1.0,0.01,0.01,100,1,-119.4091861718913,0.24279141521286526,-0.74013203,0.12544465,-0.24478999,-0.1619556,-108.18545643480361,-119.4091861718913,100,0.278299
0.12234581,0.01,0.01,27.15,-117.54378516164238,0.5179119,5430,15,1.0,0.01,0.01,200,2,-115.67838415139346,0.495051609429444,-0.6340965,0.15772136,-0.28700602,-0.04126239,-94.93834555333653,-115.67838415139346,100,0.3073767
0.20058057,0.01,0.01,29.163333333333334,-119.59146878470085,0.3955661,8749,15,1.0,0.01,0.01,300,3,-123.68683603081774,0.3004999023546812,-0.7316303,0.2944219,-0.26834396,-0.2987741,-94.93834555333653,-123.68683603081774,100,0.3005644
0.25086752,0.01,0.01,28.265,-119.48886503506635,0.49905658,11306,15,1.0,0.01,0.01,400,4,-119.18105378616293,0.13453231105543142,-0.56837285,0.29741496,-0.06776339,0.091574684,-94.93834555333653,-119.18105378616293,100,0.2052313
0.19066937,0.01,0.01,27.142,-118.61695937413455,0.34496826,13571,14,1.0,0.01,0.01,500,5,-115.1293367304073,0.33184658336913125,-0.31750533,0.227254,-0.10259463,0.15215015,-94.93834555333653,-115.1293367304073,100,0.22899505
0.13929334,0.01,0.01,27.638333333333332,-119.73185157838249,0.33960858,16583,14,1.0,0.01,0.01,600,6,-125.30631259962216,0.3106925921922353,-0.5081747,0.19245762,0.016436376,0.037118897,-94.93834555333653,-125.30631259962216,100,0.19594255
0.29218405,0.01,0.01,28.867142857142856,-121.4889483137074,0.21959643,20207,14,1.0,0.01,0.01,700,7,-132.03152872565678,0.9628559249268903,-0.49055013,0.31376815,0.07050814,0.12672204,-94.93834555333653,-132.03152872565678,100,0.3352359
0.19836336,0.01,0.01,28.91625,-121.29261315099306,0.23825788,23133,14,1.0,0.01,0.01,800,8,-119.91826701199275,0.803677749135032,-0.4639278,0.25826,-0.22167592,0.0038385093,-94.93834555333653,-119.91826701199275,100,0.44488046
0.1342256,0.01,0.01,28.712222222222223,-119.8631772381734,0.21928905,25841,12,1.0,0.01,0.01,900,9,-108.42768993561619,0.5384869708286413,-0.26556444,0.21586724,-0.38386166,-0.0025442839,-82.84357335718794,-108.42768993561619,100,0.41868553
0.07871295,0.01,0.01,29.291,-118.45556503392244,0.18632898,29291,12,1.0,0.01,0.01,1000,10,-105.7870551956638,0.5404674344056761,-0.39979005,0.13544299,-0.5098567,-0.21669841,-82.84357335718794,-105.7870551956638,100,0.5264864
0.10162921,0.01,0.01,30.272727272727273,-117.1697630926593,0.11260312,33300,12,1.0,0.01,0.01,1100,11,-104.31174368002783,0.6250207353579731,-0.478503,0.13885388,-0.5397687,-0.3395197,-77.48923727523909,-104.31174368002783,100,0.60276777
0.12929492,0.01,0.01,31.753333333333334,-115.99368002503883,0.0733961,38104,12,1.0,0.01,0.01,1200,12,-103.0567662812137,1.045823332324788,-0.50975215,0.17518759,-0.4595303,-0.37593544,-70.08477426571172,-103.0567662812137,100,0.50113857
0.11061128,0.01,0.01,32.472307692307695,-115.13198781235853,-0.055898815,42214,12,1.0,0.01,0.01,1300,13,-104.79168126019523,1.0802386684169059,-0.40105328,0.15789557,-0.42253837,-0.39107114,-70.08477426571172,-104.79168126019523,100,0.5292396
0.0940277,0.01,0.01,33.23357142857143,-114.49501314855453,-0.04066141,46527,12,1.0,0.01,0.01,1400,14,-106.21434251910229,1.0081124510361912,-0.34530187,0.12225164,-0.32581323,-0.2766121,-70.08477426571172,-106.21434251910229,100,0.4186283
0.13812916,0.01,0.01,33.608,-113.8658750510842,-0.107065916,50412,12,1.0,0.01,0.01,1500,15,-105.05794168649932,1.1997937768424696,-0.3849067,0.19395266,-0.41984093,-0.4901844,-70.08477426571172,-105.05794168649932,100,0.42986003
0.17407766,0.01,0.01,33.8775,-113.63264098377402,-0.14754023,54204,12,1.0,0.01,0.01,1600,16,-110.13412997412155,1.0240370458603607,-0.5122022,0.25544292,-0.39346573,-0.4842357,-70.08477426571172,-110.13412997412155,100,0.5679892
0.22230312,0.01,0.01,34.58352941176471,-113.05821557917253,-0.07462376,58792,12,1.0,0.01,0.01,1700,17,-103.86740910554849,1.0867407694072901,-0.6394277,0.33208045,-0.50941795,-0.4620868,-70.08477426571172,-103.86740910554849,100,0.74206686
0.24985021,0.01,0.01,34.08833333333333,-112.64635081963178,-0.17799434,61359,12,1.0,0.01,0.01,1800,18,-105.64464990743933,0.4462130137095334,-0.4171246,0.2789134,-0.69389987,-0.40532792,-70.08477426571172,-105.64464990743933,100,0.869109
