StepSize,BatchSize,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_std2_higher,ReturnMean,NumTrajectories,Iteration,InvPendulum_mu2_higher,NatGrad2Norm,InvPendulum_std3_higher,InvPendulum_std0_higher,J,NatGradInftyNorm,ReturnMax,AvgRet,InvPendulum_mu1_higher,VarJ,InvPendulum_mu3_higher,AvgEpLen,ActionIn1,InvPendulum_std1_higher,MinEpLen
1.0,100,-0.35728163,4458,0.01,-101.54757119156108,100,1,-0.10657271,0.11808304,0.01,0.01,-101.54757119156108,0.09612575,-59.93635733478327,-101.54757119156108,-0.45693675,0.8336646892645632,-0.8075896,44.58,-1.7556748,0.01,15
1.0,100,-0.33155793,8013,0.01,-102.44430328381193,200,2,-0.05378297,0.2219977,0.01,0.01,-103.34103537606278,0.175784,-59.93635733478327,-103.34103537606278,-0.360811,0.5635102308790898,-0.84301525,40.065,-1.5830233,0.01,13
1.0,100,-0.15577392,11445,0.01,-102.31397592756187,300,3,0.053761147,0.21482116,0.01,0.01,-102.05332121506176,0.13760507,-41.366642686738864,-102.05332121506176,-0.44064957,0.6744656096381426,-0.8640634,38.15,-1.3774501,0.01,13
1.0,100,-0.293379,14492,0.01,-103.0190335380529,400,4,-0.017457202,0.22530562,0.01,0.01,-105.13420636952594,0.147189,-41.366642686738864,-105.13420636952594,-0.30682543,0.2807356401125206,-0.9291174,36.23,-1.5371196,0.01,13
1.0,100,-0.3991682,18155,0.01,-102.82849221299304,500,5,-0.0018163566,0.22891589,0.01,0.01,-102.0663269127536,0.16778916,-41.366642686738864,-102.0663269127536,-0.45401442,0.9709176731656626,-1.062016,36.31,-1.9426091,0.01,12
1.0,100,-0.23137903,21523,0.01,-103.30735074576852,600,6,0.058183998,0.1702854,0.01,0.01,-105.7016434096459,0.12276256,-41.366642686738864,-105.7016434096459,-0.31669635,0.6825383461691946,-1.0196723,35.87166666666667,-1.5164466,0.01,12
1.0,100,-0.30994943,25023,0.01,-103.09611307371928,700,7,0.13855664,0.2435041,0.01,0.01,-101.82868704142385,0.2004334,-41.366642686738864,-101.82868704142385,-0.4394589,0.5364778016073666,-0.9837084,35.747142857142855,-1.6095719,0.01,12
1.0,100,-0.39183614,29487,0.01,-102.76133110670253,800,8,0.24871638,0.23499195,0.01,0.01,-100.4178573375853,0.14248288,-41.366642686738864,-100.4178573375853,-0.63989234,0.6573999831127192,-0.9669721,36.85875,-1.7645959,0.01,12
1.0,100,-0.5330101,36420,0.01,-102.16319651394258,900,9,0.39119926,0.12332587,0.01,0.01,-97.37811977186297,0.08413741,-41.366642686738864,-97.37811977186297,-0.71847546,1.1230480702942571,-0.87308687,40.46666666666667,-1.7326943,0.01,12
1.0,100,-0.47365,42684,0.01,-101.78040742767269,1000,10,0.47533667,0.21162601,0.01,0.01,-98.33530565124362,0.18393034,-41.366642686738864,-98.33530565124362,-0.6674619,0.6827444355218271,-0.91785467,42.684,-1.5643506,0.01,12
1.0,100,-0.42873818,48093,0.01,-101.72734318777184,1100,11,0.29140633,0.18563652,0.01,0.01,-101.1967007887632,0.12588027,-41.366642686738864,-101.1967007887632,-0.7615571,0.768906102438475,-0.90867776,43.72090909090909,-1.7952123,0.01,12
1.0,100,-0.40241292,53664,0.01,-101.80904146248788,1200,12,0.4172866,0.117010295,0.01,0.01,-102.7077224843645,0.085870884,-41.366642686738864,-102.7077224843645,-0.87406164,1.5766749051008688,-0.83611894,44.72,-1.7082791,0.01,12
1.0,100,-0.4758361,58870,0.01,-102.16557093587849,1300,13,0.5031575,0.1954392,0.01,0.01,-106.44392461656591,0.13060336,-41.366642686738864,-106.44392461656591,-0.9000304,1.1515393835009327,-0.8520017,45.284615384615385,-1.7440195,0.01,12
1.0,100,-0.5100693,66181,0.01,-102.43172235569746,1400,14,0.41794094,0.15145628,0.01,0.01,-105.8916908133441,0.09755946,-3.5421295871130525,-105.8916908133441,-1.012749,3.85895139302773,-0.72139835,47.27214285714286,-1.8125546,0.01,12
1.0,100,-0.54816914,72595,0.01,-102.74385619066244,1500,15,0.5155004,0.32832813,0.01,0.01,-107.1137298801722,0.26761204,10.19536636447914,-107.1137298801722,-1.0970953,2.471883997581645,-0.791078,48.39666666666667,-1.9227448,0.01,12
1.0,100,-0.6594498,79297,0.01,-104.90692798839257,1600,16,0.65443027,0.091589585,0.01,0.01,-137.3530049543442,0.054824434,10.19536636447914,-137.3530049543442,-1.3647072,0.2647293096704945,-0.7240088,49.560625,-2.123486,0.01,12
1.0,100,-0.6696272,88743,0.01,-108.69128005704049,1700,17,0.59960586,0.3703107,0.01,0.01,-169.2409131554071,0.26292115,10.19536636447914,-169.2409131554071,-1.4151855,1.133640693738459,-0.6717469,52.201764705882354,-2.1433127,0.01,12
1.0,100,-0.70212966,96071,0.01,-111.82523173753854,1800,18,0.862527,0.39589587,0.01,0.01,-165.1024103060059,0.27160442,10.19536636447914,-165.1024103060059,-1.6352268,0.2973452898583273,-0.53562987,53.37277777777778,-1.984815,0.01,12
1.0,100,-0.47622567,102916,0.01,-113.85017211482294,1900,19,0.6990092,0.19447851,0.01,0.01,-150.29909890594155,0.15319195,10.19536636447914,-150.29909890594155,-1.7072954,0.6961973314750983,-0.8072343,54.166315789473686,-2.272858,0.01,12
1.0,100,-0.62941766,110299,0.01,-116.19381059238167,2000,20,0.7967636,0.37894276,0.01,0.01,-160.72294166599804,0.28484383,10.19536636447914,-160.72294166599804,-1.7642633,0.3921548565286116,-0.767828,55.1495,-2.3657427,0.01,12
1.0,100,-0.8326868,157682,0.01,-124.30499339674087,2100,21,0.51191974,0.58602315,0.01,0.01,-286.52864948392465,0.4029599,10.19536636447914,-286.52864948392465,-1.784236,6.113908496933927,-0.911857,75.08666666666667,-3.0285888,0.01,12
1.0,100,-1.2356467,207682,0.01,-127.1587934579265,2200,22,0.33152056,0.19766356,0.01,0.01,-187.0885947428246,0.16688937,10.19536636447914,-187.0885947428246,-1.4139991,4.542361139363044,-0.80495894,94.4009090909091,-3.104711,0.01,12
1.0,100,-1.2307227,239804,0.01,-123.89727974132705,2300,23,0.16463119,0.07173214,0.01,0.01,-52.14397797613923,0.057742774,43.028403105101624,-52.14397797613923,-1.3657031,33.601343485966105,-0.89909756,104.26260869565218,-3.3070595,0.01,12
1.0,100,-1.2064795,273814,0.01,-120.80139857710805,2400,24,0.22237396,0.21391015,0.01,0.01,-49.596131800071106,0.17138049,97.68710721119224,-49.596131800071106,-1.3653972,38.64315286762643,-0.86411977,114.08916666666667,-3.2254944,0.01,12
1.0,100,-1.2095726,303467,0.01,-117.98029545385367,2500,25,0.39375445,0.12009928,0.01,0.01,-50.273820495749085,0.09844718,97.68710721119224,-50.273820495749085,-1.2402151,49.33443272749516,-0.8375463,121.3868,-2.8863766,0.01,12
1.0,100,-1.3080198,335171,0.01,-115.9057263701315,2600,26,0.36733124,0.12135253,0.01,0.01,-64.04149927707753,0.07817812,97.68710721119224,-64.04149927707753,-1.2550377,21.784519550115885,-0.8993046,128.91192307692307,-3.102092,0.01,12
1.0,100,-1.3133351,374495,0.01,-116.02019376369356,2700,27,0.42226702,0.3974942,0.01,0.01,-118.9963459963063,0.30600464,97.68710721119224,-118.9963459963063,-1.3296596,6.331743857820323,-0.8211265,138.70185185185184,-3.0449677,0.01,12
1.0,100,-1.0656588,380795,0.01,-115.58184417620974,2800,28,0.36895818,0.24929073,0.01,0.01,-103.74640531414698,0.14365652,97.68710721119224,-103.74640531414698,-1.3429809,0.6309953784126893,-1.1271312,135.99821428571428,-3.1933198,0.01,12
1.0,100,-1.2058903,398320,0.01,-114.77299274529975,2900,29,0.47330087,0.3875658,0.01,0.01,-92.1251526798196,0.27444196,97.68710721119224,-92.1251526798196,-1.238308,10.810612799800062,-0.98347473,137.35172413793103,-2.9721968,0.01,12
1.0,100,-0.96312654,404768,0.01,-114.53849011548311,3000,30,0.3715622,0.33565924,0.01,0.01,-107.73791385080106,0.19700335,97.68710721119224,-107.73791385080106,-0.963866,0.6617238789998134,-0.90861595,134.92266666666666,-2.4355204,0.01,12
1.0,100,-1.1125315,420530,0.01,-114.46273951833291,3100,31,0.56856555,0.2554144,0.01,0.01,-112.19022160382616,0.2393699,97.68710721119224,-112.19022160382616,-1.0867939,6.678589182677963,-0.7177661,135.65483870967742,-2.3643262,0.01,12
1.0,100,-1.1151707,425975,0.01,-114.32334728947035,3200,32,0.5957415,0.48385707,0.01,0.01,-110.00218819473108,0.3753609,97.68710721119224,-110.00218819473108,-1.001982,0.8146265546236389,-0.95713603,133.1171875,-2.4655125,0.01,12
1.0,100,-0.7398098,432874,0.01,-114.13611173298779,3300,33,0.553385,0.08641667,0.01,0.01,-108.14457392554546,0.07294374,97.68710721119224,-108.14457392554546,-1.3031158,2.0056292685860897,-0.92982006,131.1739393939394,-2.4316945,0.01,12
1.0,100,-0.7614251,438768,0.01,-113.98437266694869,3400,34,0.5705658,0.24539125,0.01,0.01,-108.97698348765873,0.14954662,97.68710721119224,-108.97698348765873,-1.2659049,0.9514845972814159,-1.0027637,129.0494117647059,-2.4591548,0.01,12
